id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h	100uM-K99A-24h	10uM-K99A-24h	10uM-PCC-24h	No-Peptide-24h	gene_name
NM_010481	chr18	34937415	34954351	-	3023.0	1	Hspa9|74kDa|Csa|Grp75|Hsc74|Hsp74|Hsp74a|Hspa9a|Mortalin|Mot-2|Mot2|Mthsp70|Pbp74|-|18 C|18 18.8 cM|protein-coding	377.184	371.839	275.579	376.601	59.31	Hspa9
NM_025397	chr11	70451931	70453726	+	884.0	1	Med11|1110030J09Rik|AI465144|AW545069|DN-491F10.5|11 B3|11|protein-coding	90.26299999999999	97.23299999999999	99.426	89.304	34.798	Med11
NR_002840	chr1	161035166	161038537	+	2550.0	1	Gas5|Gas-5|Mir5117|-|1 H2.1|1|ncRNA	182.735	163.989	146.804	138.953	59.282	Gas5
NM_007591	chr8	84842088	84846931	-	1932.0	1	Calr|CRT|Calregulin|-|8 C3|8 41.21 cM|protein-coding	635.6669999999999	653.359	503.026	664.4069999999999	240.46099999999998	Calr
NM_008965	chr15	5233399	5244187	-	3259.0	1	Ptger4|EP4|Ptgerep4|-|15 A1|15 1.99 cM|protein-coding	35.17	68.157	50.211000000000006	40.431999999999995	25.429000000000002	Ptger4
NM_010444	chr15	101266846	101274794	+	2467.0	1	Nr4a1|GFRP1|Gfrp|Hbr-1|Hbr1|Hmr|N10|NGFI-B|NGFIB|NP10|TIS1|TR3|nur77|-|15|15 F|protein-coding	341.75199999999995	355.147	196.83700000000002	261.26	94.786	Nr4a1
NM_198297	chr16	48734690	48771956	-	676.0	1	Trat1|C030046M14Rik|Tcrim|Trim|-|16 B5|16|protein-coding	39.986	75.859	49.672	45.751000000000005	23.401999999999997	Trat1
NM_007746	chr18	4331327	4352953	-	2497.0	1	Map3k8|Cot|Cot/Tpl2|Est|Estf|Tpl-2|Tpl2|c-COT|-|18 A1|18 2.73 cM|protein-coding	11.664000000000001	37.898	33.791	14.686	11.345999999999998	Map3k8
NM_001252316	chr10	127517123	127522444	-	2282.0	1	Shmt2|2700043D08Rik|AA408223|AA986903|-|10 D3|10|protein-coding	296.899	272.565	224.157	273.399	53.556999999999995	Shmt2
NM_001253700	chr11	69968226	69980330	-	944.0	1	Elp5|Derp6|Rai12|RP23-172M21.15-001|11|11 B4|protein-coding	77.023	91.51299999999999	88.81700000000001	84.929	28.643	Elp5
NM_001145034	chr2	93955810	93957100	-	1288.0	1	Gm13889|Ag2|OTTMUSG00000014994|-|2 E1|2|protein-coding	3.677	27.288	24.451	4.488	1.365	Gm13889
NM_001204979	chr3	108424864	108445259	-	3619.0	1	Sars|Sars1|Strs|serRS|RP23-37G19.1|3 F3|3 47.08 cM|protein-coding	171.65	173.972	151.222	166.704	54.998999999999995	Sars
NM_001164062	chr11	100860484	100885169	+	3586.0	1	Stat5a|AA959963|STAT5|RP23-279L23.4|11 D|11 63.77 cM|protein-coding	161.309	162.967	141.28799999999998	159.483	39.661	Stat5a
NM_001081005	chr2	167062934	167065862	+	731.0	1	1500012F01Rik|Zfas1|-|2 H3|2|protein-coding	216.304	206.24400000000003	160.911	177.19099999999997	61.318000000000005	1500012F01Rik
NM_016767	chr12	85686720	85709087	+	899.0	1	Batf|B-ATF|SFA-2|-|12 D2|12|protein-coding	60.881	75.778	76.385	60.847	35.77	Batf
NM_013706	chr4	134093538	134095073	-	499.0	1	Cd52|AI463198|B7|B7-Ag|CAMPATH-1|CLS1|MB7|RP23-314D24.5|4 D3|4 66.5 cM|protein-coding	213.738	334.624	417.27	232.855	739.747	Cd52
NM_009896	chr16	10783809	10785536	-	1215.0	1	Socs1|Cish1|Cish7|JAB|SOCS-1|SSI-1|-|16 A1|16 5.81 cM|protein-coding	165.59599999999998	207.947	115.292	142.023	84.37899999999999	Socs1
NM_001277311	chr17	46680783	46683126	+	852.0	1	Mea1|Mea-1|-|17 C|17 22.9 cM|protein-coding	94.391	107.04299999999999	89.23899999999999	85.788	39.442	Mea1
NM_001159662	chr2	158667135	158766334	+	6379.0	1	Ppp1r16b|ANKRD4|C130078N17Rik|TIMAP|Wdt4|RP23-22K4.1|2 H1|2|protein-coding	29.682	46.032	48.638000000000005	30.744	18.162	Ppp1r16b
NM_001287180	chr15	80255184	80257545	+	1440.0	1	Atf4|Atf-4|C/ATF|CREB2|TAXREB67|-|15 E1|15 37.85 cM|protein-coding	678.762	653.6619999999999	482.298	635.265	207.48	Atf4
NM_009846	chr10	43579169	43584265	+	1812.0	1	Cd24a|Cd24|HSA|Ly-52|nectadrin|-|10 B2|10 23.01 cM|protein-coding	41.191	83.617	69.158	42.67	92.985	Cd24a
NR_105913	chr14	54643049	54643110	-	61.0	1	Mir6948|mmu-mir-6948|-|-|ncRNA	6.183	43.973	28.16	24.877	9.323	Mir6948
NM_010286	chrX	140539529	140543187	-	1968.0	1	Tsc22d3|DIP|Dsip1|Gilz|TSC-22R|Tilz3|RP23-440B21.1|X F1|X|protein-coding	89.97	98.27600000000001	147.615	63.21	199.048	Tsc22d3
NM_008946	chr11	70525357	70527858	+	1028.0	1	Psmb6|Lmp19|Mpnd|RP23-122P1.4|11 B3|11 42.99 cM|protein-coding	172.768	188.94400000000002	146.609	174.395	64.876	Psmb6
NM_010347	chr10	81559444	81566371	+	1461.0	1	Aes|AL024115|Esp1|Grg|Grg-5|Grg5|Tle5|-|10 C1|10 39.72 cM|protein-coding	110.03299999999999	149.254	190.891	112.249	272.58099999999996	Aes
NM_026517	chr3	28805511	28807415	+	471.0	1	Rpl22l1|3110001N18Rik|AU041196|-|3 A3|3|protein-coding	61.571999999999996	62.813	72.854	53.62	29.416999999999998	Rpl22l1
NM_173867	chr4	140701473	140723220	+	3752.0	1	Rcc2|2610510H01Rik|2610529N02Rik|AA536646|AA675016|Td60|mKIAA1470|RP23-275J10.2|4 D3|4|protein-coding	283.235	273.876	215.28799999999998	262.512	83.50200000000001	Rcc2
NM_134023	chr11	4186833	4215505	+	1902.0	1	Tbc1d10a|AI447804|EPI64|Tbc1d10|mFLJ00288|RP23-453B22.5|11 A1|11|protein-coding	46.181999999999995	65.24600000000001	51.887	43.805	22.724	Tbc1d10a
NM_011968	chr12	55398825	55418459	+	988.0	1	Psma6|IOTA|-|12 C1|12|protein-coding	252.762	239.035	223.207	259.567	84.71799999999999	Psma6
NM_028627	chr19	46312087	46327156	-	3880.0	1	Psd|1110007H17Rik|A930015K15|Efa6|Efa6a|Psdl|mKIAA2011|-|19 C3|19 38.8 cM|protein-coding	28.029	36.702	38.96	20.355999999999998	8.461	Psd
NM_009937	chr14	31523084	31577383	-	2816.0	1	Colq|A130034K24Rik|-|14 B|14|protein-coding	2.0540000000000003	11.345999999999998	27.392	3.028	1.2670000000000001	Colq
NM_009139	chr11	83587886	83593087	-	1430.0	1	Ccl6|MRP-1|Scya6|c10|RP23-320E6.4|11 C|11 50.85 cM|protein-coding	29.072	80.548	68.127	13.795	153.869	Ccl6
NM_009871	chr11	80477046	80481179	+	4131.0	1	Cdk5r1|Cdk5r|D11Bwg0379e|p25|p35|RP23-252E4.5|11 B5|11 47.94 cM|protein-coding	21.689	30.308000000000003	36.662	18.839000000000002	5.169	Cdk5r1
NM_008452	chr8	72319062	72321654	+	1811.0	1	Klf2|Lklf|-|8|8 C1|protein-coding	61.67	87.01799999999999	152.26	47.92100000000001	255.757	Klf2
NM_011034	chr4	116685599	116700000	+	1409.0	1	Prdx1|MSP23|NkefA|OSF-3|OSF3|PAG|Paga|PrdxI|PrxI|TDX2|TPxA|Tdpx2|prx1|RP23-177C18.2|4 D1|4 53.28 cM|protein-coding	137.41299999999998	157.702	115.09299999999999	127.417	71.183	Prdx1
NM_010317	chr13	13784539	13827895	+	2962.0	1	Gng4|-|-|13 A1|13 5.29 cM|protein-coding	2.8160000000000003	16.634	21.761	1.635	2.374	Gng4
NM_028932	chr14	31495079	31509858	+	4230.0	1	Eaf1|4933403C17Rik|AI666536|-|14 B|14|protein-coding	38.5	48.455	52.676	39.214	18.712	Eaf1
NM_023172	chr15	58933810	58939489	+	645.0	1	Ndufb9|1190008J14Rik|-|15|15 D2|protein-coding	122.8	138.155	112.869	121.891	62.119	Ndufb9
NM_009025	chr8	13567218	13677587	-	4092.0	1	Rasa3|AI326412|C86362|E130011G04|GAPIII|scat|-|8 A1.1|8 6.29 cM|protein-coding	17.369	30.191999999999997	65.047	12.873	84.485	Rasa3
NM_011865	chr6	86524497	86526165	-	1666.0	1	Pcbp1|WBP17|[a]CP-1|alphaCP-1|-|6|6 D1|protein-coding	675.204	604.863	490.3	578.756	255.301	Pcbp1
NM_011817	chr13	51846675	51848474	+	1074.0	1	Gadd45g|AI327420|C86281|CR6|DDIT2|OIG37|-|13|13 A5-B|protein-coding	29.655	57.773999999999994	27.609	28.965	8.617	Gadd45g
NM_010831	chr17	31844250	31855792	-	4493.0	1	Sik1|Msk|Sik|Snf1lk|-|17 B1|17 17.25 cM|protein-coding	36.321	50.728	44.295	34.876	16.432000000000002	Sik1
NM_009850	chr9	44969572	44980431	-	1014.0	1	Cd3g|Ctg-3|Ctg3|T3g|-|9 A5.2|9 24.84 cM|protein-coding	61.415	75.275	122.335	63.281000000000006	151.121	Cd3g
NM_001278269	chr15	6579847	6665608	+	4840.0	1	Fyb|ADAP|B630013F22Rik|FYB-120/130|Slap130|p120/130|p120/p130|-|15 A1|15|protein-coding	19.162	32.755	75.393	13.855	110.321	Fyb
NM_008838	chr17	86997259	87025401	-	972.0	1	Pigf|-|-|17 E4-E5|17 56.9 cM|protein-coding	32.034	47.523	38.08	32.004	9.042	Pigf
NM_011640	chr11	69580359	69591873	+	1759.0	1	Trp53|Tp53|bbl|bfy|bhy|p44|p53|RP23-56I20.1|11 B2-C|11 42.83 cM|protein-coding	144.188	138.41	130.719	135.196	59.606	Trp53
NM_175256	chr16	33684466	33768195	+	4763.0	1	Heg1|4632417D23Rik|5530401I02Rik|9530025L16Rik|BC038614|Gm629|OTTMUSG00000027315|-|16 B3|16|protein-coding	32.713	42.618	40.384	29.622	9.628	Heg1
NM_172435	chrX	107089335	107104970	+	2822.0	1	P2ry10|5830408N17Rik|Lypsr2|P2Y10|RP23-35H8.1|X D|X|protein-coding	27.680999999999997	47.568000000000005	54.43600000000001	23.160999999999998	65.128	P2ry10
NM_009630	chr10	75316877	75334792	+	2599.0	1	Adora2a|A2AAR|A2aR|AA2AR|-|10 B5.3|10|protein-coding	47.858000000000004	48.022	62.096000000000004	40.607	30.991999999999997	Adora2a
NM_010090	chr2	127336159	127338377	+	1612.0	1	Dusp2|PAC1|RP23-206D14.6|2 F1|2|protein-coding	185.128	181.082	176.892	190.715	91.34	Dusp2
NM_001277113	chr4	152324436	152334082	+	2147.0	1	Rpl22|2700038K18Rik|RP23-421E12.9|4 E2|4|protein-coding	178.679	183.269	150.91	169.174	81.992	Rpl22
NM_009521	chr11	103774175	103818021	+	3108.0	1	Wnt3|Int-4|Wnt-3|RP23-326K2.2|11 E1|11 67.5 cM|protein-coding	4.059	13.872	21.871	3.534	0.8320000000000001	Wnt3
NR_045896	chr2	58163974	58177063	+	681.0	1	Gm13546|OTTMUSG00000012675|RP23-255J22.5|2 C1.1|2|ncRNA	13.722999999999999	45.934	15.735	11.619000000000002	14.804	Gm13546
NM_023210	chr3	95929257	95947387	+	3251.0	1	Anp32e|2810018A15Rik|AI047746|AI326868|CPD1|LANP-L|LANPL|mLANP-L|-|3 F2.1|3|protein-coding	109.62299999999999	117.59899999999999	102.141	115.014	38.755	Anp32e
NM_016737	chr19	7020696	7040026	-	2157.0	1	Stip1|Hop|Sti1|p60|-|19 A|19|protein-coding	242.976	247.579	191.887	261.153	50.885	Stip1
NM_175015	chr2	73908450	73911294	-	672.0	1	Atp5g3|6030447M23|RP23-146O7.1|2 C3|2|protein-coding	310.879	339.75699999999995	259.759	329.796	157.945	Atp5g3
NM_011770	chr1	69531210	69685960	-	9411.0	1	Ikzf2|A730095J18Rik|Helios|Zfpn1a2|Znfn1a2|-|1 C3|1|protein-coding	4.912	17.219	22.680999999999997	5.809	5.388999999999999	Ikzf2
NM_173733	chr10	128669887	128673918	-	2343.0	1	Suox|SO|-|10 D3|10|protein-coding	15.615	27.645	29.518	14.742	10.415	Suox
NM_025907	chr14	31478798	31494977	-	1897.0	1	Mettl6|1600013P15Rik|AI467521|AU020711|-|14 B|14|protein-coding	33.8	46.496	41.589	34.302	14.417	Mettl6
NM_025899	chr7	120635189	120659523	+	1866.0	1	Uqcrc2|1500004O06Rik|-|7 F2|7|protein-coding	147.351	147.808	131.18	146.225	59.623000000000005	Uqcrc2
NM_146069	chr16	32142825	32165476	-	3553.0	1	Nrros|E430025L02Rik|Lrcc33|Lrrc33|-|16 B2|16|protein-coding	19.674	40.379	41.003	19.158	45.952	Nrros
NM_020618	chr11	99209048	99231017	-	2905.0	1	Smarce1|2810417B20Rik|5830412H02Rik|9030408N19Rik|Baf27|RP23-255N16.1|11 D|11|protein-coding	30.41	46.398999999999994	37.957	34.613	11.354000000000001	Smarce1
NM_021876	chr7	89954654	89980976	-	2046.0	1	Eed|ENSMUSG00000039373|l(7)5Rn|l7Rn5|lusk|-|7 E1|7|protein-coding	73.8	81.631	72.023	71.36	32.521	Eed
NM_134255	chr9	77917365	77984519	+	2771.0	1	Elovl5|1110059L23Rik|AI747313|AU043003|HELO1|-|9 E1|9|protein-coding	30.898000000000003	44.059	52.058	25.973000000000003	52.29600000000001	Elovl5
NM_008138	chr9	107614138	107635342	-	2166.0	1	Gnai2|C76432|Galphai2|Gia|Gnai-2|-|9 F1|9 58.43 cM|protein-coding	173.958	240.303	252.363	175.247	396.07599999999996	Gnai2
NM_011407	chr11	83116845	83122659	+	1853.0	1	Slfn1|AV316259|RP23-308N3.1|11 C|11 50.3 cM|protein-coding	85.21799999999999	98.435	153.797	57.91	248.34099999999998	Slfn1
NM_013509	chr6	124760055	124769509	-	2617.0	1	Eno2|AI837106|D6Ertd375e|Eno-2|NSE|-|6 F2|6 59.17 cM|protein-coding	5.733	13.475	25.818	6.309	8.238	Eno2
NM_021284	chr6	145216699	145250231	-	4663.0	1	Kras|AI929937|K-ras|Ki-ras|Kras-2|Kras2|p21B|ras|RP24-359O2.1|6 G2|6 77.37 cM|protein-coding	59.298	59.411	66.107	55.718	27.84	Kras
NM_008248	chr11	54866438	54870496	+	571.0	1	Hint1|AA673479|Hint|Ipk1|PKCI-1|PRKCNH1|RP24-84L18.1|11 B1.3|11|protein-coding	249.68599999999998	226.386	206.43	215.2	123.137	Hint1
NM_009423	chr11	78158423	78165550	-	3007.0	1	Traf4|A530032M13Rik|CART1|msp2|RP23-185A18.2|11|11 B5-C|protein-coding	44.152	60.685	48.217	49.215	19.222	Traf4
NM_001168230	chrX	136732948	136743686	-	1720.0	1	Morf4l2|2410017O14Rik|Mrgx|Sid393p|mKIAA0026|RP23-197O15.4|X F1|X|protein-coding	96.68	110.565	89.051	107.214	33.214	Morf4l2
NM_001276403	chr3	131112791	131224357	+	2291.0	1	Lef1|3000002B05|AI451430|Lef-1|-|3 G3|3 60.78 cM|protein-coding	45.236999999999995	62.931999999999995	90.867	46.838	119.015	Lef1
NM_023154	chr7	24587543	24608926	+	1475.0	1	Ethe1|0610025L15Rik|Hsco|-|7 A3|7|protein-coding	7.643	14.522	28.921	4.752	18.962	Ethe1
NM_011543	chr11	52231995	52246858	+	1446.0	1	Skp1a|15kDa|2610043E24Rik|2610206H23Rik|EMC19|OCP-II|OCP2|SKP1|Tceb1l|p19A|p19Skp1|RP23-223A11.5|11 B1.3|11 31.86 cM|protein-coding	107.03	117.139	92.49	103.443	46.73	Skp1a
NM_011613	chr14	78277446	78308043	-	2228.0	1	Tnfsf11|Ly109l|ODF|OPG|OPGL|RANKL|Trance|-|14 D3|14 41.26 cM|protein-coding	252.65099999999998	212.176	160.238	200.435	22.671	Tnfsf11
NM_011809	chr16	95702407	95721049	+	3544.0	1	Ets2|AU022856|Ets-2|-|16 C3-qter|16 56.64 cM|protein-coding	26.476	34.827	36.168	22.326999999999998	17.753	Ets2
NM_001039214	chr18	73572705	73592578	+	4076.0	1	Mex3c|A130001D14Rik|BC035207|BM-013|Rkhd2|-|18 E2|18|protein-coding	41.126000000000005	52.589	45.214	41.165	18.340999999999998	Mex3c
NM_026125	chr4	155962312	155966629	+	1311.0	1	Fam132a|1110035L05Rik|C1qdc2|CTRP12|alipolin|RP23-118E21.2|4 E2|4 87.66 cM|protein-coding	10.068999999999999	25.515	19.405	10.059	5.638999999999999	Fam132a
NM_019662	chr8	104628066	104631321	-	1568.0	1	Rrad|REM3|Rad|-|8 D3|8|protein-coding	8.259	17.711	28.430999999999997	6.175	21.366	Rrad
NM_011894	chr14	31373964	31436033	-	2462.0	1	Sh3bp5|AI606498|SH3BP-5|Sab|-|14|14 B|protein-coding	15.184000000000001	29.112	41.746	10.405	54.428999999999995	Sh3bp5
NM_001038231	chr19	5364633	5366363	-	761.0	1	Banf1|Baf|Bcrp1|L2bp1/Baf|-|19 A|19|protein-coding	283.938	283.435	208.204	276.033	82.542	Banf1
NM_001162917	chr9	64811011	64919667	+	8618.0	1	Dennd4a|AI115600|AI851943|F730015K02Rik|mCG_145419|9 C|9|protein-coding	22.631999999999998	33.185	33.458	22.668000000000003	14.98	Dennd4a
NM_001003913	chr10	127296221	127311786	-	2916.0	1	Mars|Metrs|Mtrns|-|10 D3|10|protein-coding	120.133	120.40899999999999	98.08200000000001	116.779	30.584	Mars
NM_008689	chr3	135584655	135691547	-	4091.0	1	Nfkb1|NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105|-|3 G3|3 62.82 cM|protein-coding	342.17699999999996	329.30300000000005	242.00599999999997	309.125	110.905	Nfkb1
NM_027656	chr2	181390886	181424388	-	2008.0	1	Zbtb46|2610019F01Rik|4933406L05Rik|BZEL|Btbd4|RP23-60M5.6|2 H4|2|protein-coding	5.1339999999999995	15.126	21.855	6.837000000000001	7.6979999999999995	Zbtb46
NM_029632	chr17	36948355	36951792	-	1674.0	1	Ppp1r11|1500041B02Rik|AV117883|Hcgv|Tcte5|Tctex-5|Tctex5|-|17 B1|17 19.16 cM|protein-coding	82.289	87.329	79.16	84.56299999999999	32.705999999999996	Ppp1r11
NM_138597	chr16	91925223	91931630	-	763.0	1	Atp5o|ATPO|D12Wsu28e|OSCP|-|16 C4|16|protein-coding	136.32399999999998	134.315	114.764	125.76899999999999	57.052	Atp5o
NM_026030	chr2	154871410	154892906	-	2502.0	1	Eif2s2|2810026E11Rik|38kDa|AA408636|AA571381|AA986487|AW822225|D2Ertd303e|EIF2|EIF2B|RP23-480H10.3|2 H1|2 76.89 cM|protein-coding	72.861	75.125	60.858000000000004	66.542	14.609000000000002	Eif2s2
NM_001164602	chr15	97244074	97247287	-	2835.0	1	Amigo2|AI415330|AMIGO-2|AW208913|Ali1|-|15 F1|15|protein-coding	15.418	24.6	32.936	23.462	9.683	Amigo2
NM_008338	chr16	91547094	91564007	+	2061.0	1	Ifngr2|Ifgr2|Ifgt|-|16 C3.3|16 53.07 cM|protein-coding	21.31	39.179	40.522	22.719	45.604	Ifngr2
NM_009969	chr11	54247270	54249899	-	1027.0	1	Csf2|Csfgm|GMCSF|Gm-CSf|MGI-IGM|RP23-309E16.1|11 B1.3|11 32.13 cM|protein-coding	46.601000000000006	69.444	34.846	47.63399999999999	12.384	Csf2
NM_028057	chr1	134405990	134411738	+	1615.0	1	Cyb5r1|1500005G05Rik|B5R.1|C80155|Nqo3a2|-|1 E4|1|protein-coding	56.361999999999995	70.589	54.271	63.245	20.008	Cyb5r1
NM_011692	chrX	75514297	75534946	+	1593.0	1	Vbp1|-|RP23-252K7.8|X A7.3|X 38.25 cM|protein-coding	54.351000000000006	68.96300000000001	56.971000000000004	63.869	24.795	Vbp1
NM_011718	chr15	98771752	98778150	-	2220.0	1	Wnt10b|Wnt12|-|15 F1|15 54.65 cM|protein-coding	3.096	11.674000000000001	17.17	4.899	1.653	Wnt10b
NR_034038	chr5	100420842	100429535	-	621.0	1	5430416N02Rik|100041797|Adapt33|Gm3514|mCG_1030747|5 E4|5|ncRNA	61.951	61.17100000000001	43.27	37.992	17.233	5430416N02Rik
NM_001081279	chr8	35587798	35679449	+	6403.0	1	Mfhas1|2310066G09Rik|D8Ertd91e|-|8 A4|8 21.16 cM|protein-coding	44.441	52.038999999999994	47.44	46.863	17.166	Mfhas1
NM_025437	chrX	159372195	159385699	+	917.0	1	Eif1ax|1500010B24Rik|AI426898|Eif1ay|RP23-52L10.2|X F4|X|protein-coding	163.29	164.325	128.89700000000002	159.651	54.293	Eif1ax
NM_001113379	chr7	98494222	98501830	+	3812.0	1	Lrrc32|AI426318|D11S833Eh|D7H11S833E|EG434215|Garp|-|7 E2|7 53.86 cM|protein-coding	7.047000000000001	21.7	11.684000000000001	4.673	3.2689999999999997	Lrrc32
NR_106060	chrX	74317362	74317429	+	67.0	1	Mir7092|mmu-mir-7092|-|-|ncRNA	11.259	18.250999999999998	21.365	8.089	8.488	Mir7092
NM_016891	chr17	20945454	20965905	+	2239.0	1	Ppp2r1a|6330556D22Rik|PP2A|PR65|-|17 A3.2|17|protein-coding	130.908	136.592	119.59200000000001	135.145	67.332	Ppp2r1a
NM_023326	chr2	25706879	25707719	+	838.0	1	Bmyc|2900002K07Rik|AW060705|Mycb|RP23-225D24.2|2 A3|2|protein-coding	17.203	33.563	21.475	17.72	11.29	Bmyc
NM_001252506	chr16	23290470	23360350	+	4035.0	1	St6gal1|AW742324|Siat1|St6Gal-I|St6gal|St6galI|-|16 B1|16 14.03 cM|protein-coding	14.582	24.851	35.993	10.395999999999999	44.318999999999996	St6gal1
NM_009884	chr7	35046422	35056566	-	4698.0	1	Cebpg|C/EBP[g]|C/EBPgamma|GPE1-BP|Gpe1bp|Ig/EBP|-|7 B1|7|protein-coding	38.634	43.871	41.333999999999996	35.292	18.114	Cebpg
NM_025790	chr13	24817955	24831489	-	681.0	1	Acot13|0610006O17Rik|Them2|RP23-92G13.5|13|13 A3.2|protein-coding	13.539000000000001	22.938000000000002	28.467	15.492	17.916	Acot13
NM_001163445	chr6	133105239	133107750	+	2509.0	1	2700089E24Rik|AI662692|-|6 G1|6|protein-coding	27.71	36.522	31.379	26.928	11.189	2700089E24Rik
NM_018807	chr2	153227769	153241358	-	5402.0	1	Plagl2|AU018672|AW552839|mKIAA0198|RP23-192G18.4|2|2 H2|protein-coding	78.075	85.115	73.34899999999999	89.34200000000001	20.557	Plagl2
NM_133726	chr15	81365044	81399694	-	1608.0	1	St13|1110007I03Rik|3110002K08Rik|AW555194|HIP|HOP|HSPABP|HSPABP1|PRO0786|SNC6|p48|-|15|15 E2|protein-coding	209.748	204.83700000000002	171.075	219.388	61.763000000000005	St13
NM_145441	chr12	4879032	4907520	-	2502.0	1	Ubxn2a|6330407P03Rik|Ubxd4|-|12 A1.1|12|protein-coding	39.563	42.379	40.621	33.257	17.233	Ubxn2a
NM_022019	chr1	184034461	184075636	+	2706.0	1	Dusp10|2610306G15Rik|AI158871|MKP-5|MKP5|-|1|1 H5|protein-coding	10.267999999999999	16.633	23.956	7.25	16.182000000000002	Dusp10
NM_009562	chr11	49203500	49218816	+	3921.0	1	Zfp62|-|RP23-10M12.4|11 B1.2|11 29.23 cM|protein-coding	31.979	32.676	40.388000000000005	29.45	16.455	Zfp62
NM_172393	chr10	43950307	44004846	-	7394.0	1	Aim1|AI462491|AI463325|-|10 B2|10 23.14 cM|protein-coding	18.914	34.437	29.791999999999998	27.994	13.655999999999999	Aim1
NM_009123	chr7	132596239	132599637	-	1899.0	1	Nkx1-2|Nkx-1.1|Nkx-1.2|Sax1|-|7 F3|7|protein-coding	3.7739999999999996	10.864	13.762	1.617	1.6880000000000002	Nkx1-2
NM_011346	chr1	164062076	164080785	+	2310.0	1	Sell|AI528707|CD62L|L-selectin|LECAM-1|Lnhr|Ly-22|Ly-m22|Lyam-1|Lyam1|-|1 H2.2|1 71.37 cM|protein-coding	51.324	59.083999999999996	109.56	35.692	177.815	Sell
NM_018750	chr1	131176410	131245178	-	3397.0	1	Rassf5|1300019G20Rik|AU042887|Maxp1|Nore1|Nore1A|Nore1B|Rapl|-|1 E4|1 56.91 cM|protein-coding	38.663000000000004	52.673	63.341	37.343	78.592	Rassf5
NM_001177603	chr11	70235204	70237914	-	774.0	1	0610010K14Rik|1110020A23Rik|AL033328|AU045833|Bap18|DN-160I24.7|11 B3|11|protein-coding	76.235	88.678	70.96600000000001	78.422	42.681999999999995	0610010K14Rik
NM_029735	chr1	185363095	185428355	+	4816.0	1	Eprs|2410081F06Rik|3010002K18Rik|C79379|Qprs|-|1|1 H4-H6|protein-coding	139.77700000000002	136.589	102.34100000000001	132.112	27.428	Eprs
NR_104577	chr6	108577036	108660934	-	1730.0	1	0610040F04Rik|-|RP23-131B11.3|6 E2|6|ncRNA	15.649000000000001	21.410999999999998	22.459	13.742	4.572	0610040F04Rik
NR_037218	chr10	81271597	81271687	+	90.0	1	Mir3057|mmu-mir-3057|-|10|10 39.72 cM|ncRNA	18.16	24.545	19.086	7.226	10.34	Mir3057
NM_175092	chr5	123118180	123132629	-	2136.0	1	Rhof|AI845056|AV026554|Arhf|Ifld1|Rif|-|5 F|5 62.77 cM|protein-coding	75.94800000000001	64.839	73.086	65.681	30.69	Rhof
NM_001039090	chr3	31095058	31122923	+	6919.0	1	Skil|Skir|SnoN|sno|-|3 A3|3 15.12 cM|protein-coding	27.099	38.529	38.139	35.624	17.373	Skil
NM_001122733	chr5	75574987	75656721	+	5158.0	1	Kit|Bs|CD117|Fdc|Gsfsco1|Gsfsco5|Gsfsow3|SCO1|SCO5|SOW3|Ssm|Tr-kit|W|c-KIT|-|5 C3.3|5 39.55 cM|protein-coding	6.167000000000001	17.345	15.954	4.112	10.935	Kit
NM_009424	chr2	101678440	101700974	+	5464.0	1	Traf6|2310003F17Rik|AI851288|C630032O20Rik|RP23-313G3.1|2 E2|2|protein-coding	43.887	50.478	45.757	46.67	16.085	Traf6
NM_026474	chr14	79587691	79629755	+	1936.0	1	Sugt1|2410174K12Rik|SGT1|-|14 D3|14|protein-coding	55.61	60.861000000000004	60.461999999999996	62.052	26.116999999999997	Sugt1
NM_015816	chr8	70673231	70678752	+	935.0	1	Lsm4|-|-|8 B3.3|8|protein-coding	127.427	133.612	106.73200000000001	125.084	58.611000000000004	Lsm4
NM_007901	chr3	115710433	115715055	-	3025.0	1	S1pr1|AI849002|Edg1|Lpb1|S1p|S1p1|-|3 G1|3|protein-coding	18.660999999999998	36.251999999999995	78.932	10.594000000000001	154.808	S1pr1
NM_001033302	chr3	95878505	95882228	-	1387.0	1	Ciart|Chrono|Gm129|-|3 F2.1|3|protein-coding	22.48	27.359	22.764	16.698	3.802	Ciart
NM_001252456	chr17	56412426	56462221	-	5587.0	1	Ptprs|AL022616|PTP|PTP-NU3|PTPNU-3|PTPsigma|Ptpt9|R-PTP-S|RPTPsigma|AC073761.1|17 D|17 29.32 cM|protein-coding	14.634	17.948	29.179000000000002	17.907	9.642000000000001	Ptprs
NM_001170967	chr18	31804057	31841642	+	1138.0	1	Wdr33|1110001N06Rik|2310011G05Rik|2810021O11Rik|8430413N20Rik|WDC146|-|18|18 B3|protein-coding	38.373000000000005	44.161	41.906000000000006	38.384	19.352999999999998	Wdr33
NM_011113	chr7	24462500	24475873	+	1387.0	1	Plaur|Cd87|u-PAR|uPAR|-|7 A3|7|protein-coding	58.073	94.023	63.63399999999999	47.957	109.139	Plaur
NM_183368	chr17	6705830	6738044	+	1493.0	1	Sytl3|A430092N21|Slp3|Slp3-a|Slp3-b|mFLJ00307|-|17|17 A1|protein-coding	18.357	23.488000000000003	24.49	17.375	5.956	Sytl3
