id	id	chr	start	end	strand	Length	Copies	Annotation/Divergence	../../rep1/tag-dirs/0-1uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/100uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-K99A-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/10uM-PCC-24h-KAA-15-01-22 reads	../../rep1/tag-dirs/No-Peptide-24h-KAA-15-01-22 reads	0-1uM-PCC-24h-0-5uM-MEKi	0-1uM-PCC-24h	100uM-K99A-24h-0-5uM-MEKi	100uM-K99A-24h	10uM-K99A-24h-0-5uM-MEKi	10uM-K99A-24h	10uM-PCC-24h-0-5uM-MEKi	10uM-PCC-24h	No-Peptide-24h-0-5uM-MEKi	No-Peptide-24h	gene_name
NM_019732	NM_019732	chr4	135120645	135177990	+	3883.0	1	Runx3|AML2|Cbfa3|Pebp2a3|RP23-167O21.1|4 D3|4 67.19 cM|protein-coding	49.516999999999996	73.895	63.85	44.188	38.025999999999996	46.415	57.352	58.721000000000004	56.148	34.583	38.649	45.595	47.133	25.964000000000002	22.771	Runx3
NM_175256	NM_175256	chr16	33684466	33768195	+	4763.0	1	Heg1|4632417D23Rik|5530401I02Rik|9530025L16Rik|BC038614|Gm629|OTTMUSG00000027315|-|16 B3|16|protein-coding	32.713	42.618	40.384	29.622	9.628	30.313000000000002	37.9	41.001000000000005	39.025	20.017	27.574	31.304000000000002	33.702	8.804	9.536	Heg1
NM_001009935	NM_001009935	chr3	96557957	96561857	+	2791.0	1	Txnip|1200008J08Rik|AA682105|Hyplip1|THIF|Tbp-2|VDUP1|-|3 F2.2|3 41.93 cM|protein-coding	65.977	78.215	150.364	47.302	363.1	68.462	76.97800000000001	98.43799999999999	78.895	164.38299999999998	165.487	60.403	59.059	201.446	176.41	Txnip
NM_010730	NM_010730	chr19	20373434	20390671	-	1380.0	1	Anxa1|Anx-1|Anx-A1|C430014K04Rik|Lpc-1|Lpc1|-|19 B|19 13.83 cM|protein-coding	29.214000000000002	69.86	99.61	19.06	294.275	32.703	66.206	144.93	61.102	344.30400000000003	328.836	21.104	12.407	418.75	397.791	Anxa1
NM_026517	NM_026517	chr3	28805511	28807415	+	471.0	1	Rpl22l1|3110001N18Rik|AU041196|-|3 A3|3|protein-coding	61.571999999999996	62.813	72.854	53.62	29.416999999999998	25.863000000000003	38.037	33.319	33.849000000000004	5.392	21.053	22.861	24.59	15.479000000000001	7.975	Rpl22l1
NM_009909	NM_009909	chr1	74153994	74161246	+	3039.0	1	Cxcr2|CD128|CDw128|Cmkar2|Gpcr16|IL-8Rh|IL-8rb|IL8RA|Il8rb|mIL-8RH|-|1 C3|1 38.41 cM|protein-coding	5.0889999999999995	12.642999999999999	17.132	1.985	54.03	9.315	22.018	52.265	22.892	119.83200000000001	122.421	6.917000000000001	3.3139999999999996	143.548	136.75799999999998	Cxcr2
NM_018750	NM_018750	chr1	131176410	131245178	-	3397.0	1	Rassf5|1300019G20Rik|AU042887|Maxp1|Nore1|Nore1A|Nore1B|Rapl|-|1 E4|1 56.91 cM|protein-coding	38.663000000000004	52.673	63.341	37.343	78.592	38.592	43.81100000000001	60.72	46.748999999999995	76.3	75.47	37.764	33.732	73.702	71.524	Rassf5
NM_009382	NM_009382	chr9	44043384	44048579	+	1729.0	1	Thy1|CD90|T25|Thy-1|Thy-1.2|Thy1.1|Thy1.2|-|9 A5.1|9 24.52 cM|protein-coding	128.196	162.21200000000002	112.95200000000001	138.942	121.041	133.66299999999998	140.088	99.31299999999999	141.216	69.116	84.906	123.304	135.138	65.086	60.401	Thy1
NM_007648	NM_007648	chr9	44998743	45009590	-	1426.0	1	Cd3e|AI504783|CD3|CD3epsilon|T3e|-|9 A5.2|9 24.84 cM|protein-coding	97.305	100.47	116.21600000000001	115.257	150.458	155.881	155.543	139.268	161.349	122.711	138.688	179.13099999999997	189.748	122.91799999999999	94.758	Cd3e
NM_001081409	NM_001081409	chr15	66577572	66645255	+	6647.0	1	Phf20l1|CGI-72|E130113K22Rik|-|15 D2|15|protein-coding	21.436	24.788	33.06	19.291	35.716	30.09	32.57	38.898	32.824	52.935	51.496	28.316999999999997	24.259	46.693999999999996	43.937	Phf20l1
NM_008453	NM_008453	chr5	64803523	64830129	+	2306.0	1	Klf3|9930027G08Rik|AL024007|Bklf|Tef-2|-|5 C3.1|5|protein-coding	21.554000000000002	25.230999999999998	42.088	18.676	74.209	25.331	31.77	45.777	30.616999999999997	58.656000000000006	57.405	23.48	19.386	62.148999999999994	53.839	Klf3
NM_009637	NM_009637	chr6	140624298	140677418	+	902.0	1	Aebp2|AU023766|B230313N05Rik|-|6|6 G1|protein-coding	176.227	207.16	224.81	193.06799999999998	60.01	155.374	161.816	175.233	160.796	99.92299999999999	106.46799999999999	164.903	188.945	49.808	59.013000000000005	Aebp2
NM_009006	NM_009006	chr19	6341160	6355619	+	4614.0	1	Map4k2|AI385662|BL44|GCK|Rab8ip|-|19 A|19|protein-coding	19.455	24.519000000000002	52.857	22.912	75.398	32.675	42.068999999999996	50.973	43.505	89.075	81.202	34.971	30.995	102.704	80.06	Map4k2
NM_010555	NM_010555	chr1	40084768	40125226	+	1333.0	1	Il1r2|CD121b|Il1r-2|-|1 B|1 18.65 cM|protein-coding	40.965	35.777	24.945	49.655	50.497	42.037	47.481	65.14699999999999	53.51	65.905	91.719	43.733999999999995	32.361999999999995	60.395	95.65899999999999	Il1r2
NM_153137	NM_153137	chr1	193175504	193201546	-	2103.0	1	Traf3ip3|6030423D04Rik|AI115021|T3jam|RP23-282D4.1|1 H6|1|protein-coding	21.781	27.104	52.938	19.156	77.955	26.783	30.945999999999998	37.747	32.318000000000005	54.997	54.577	25.015	23.226999999999997	54.608000000000004	48.318999999999996	Traf3ip3
NM_001009947	NM_001009947	chrX	35888832	36076562	+	6610.0	1	Dock11|5033414A21Rik|8030476J24|Zizimin2|sph238|RP23-339O19.3|X A3.2|X|protein-coding	17.537	30.173000000000002	34.65	21.951	29.541	24.634	31.642	38.115	30.564	41.33	43.263000000000005	24.07	20.366	37.604	36.795	Dock11
NM_026377	NM_026377	chr19	47731756	47735588	+	1577.0	1	Sfr1|6330577E15Rik|Meir5|-|19 D2|19|protein-coding	107.919	126.219	120.31200000000001	109.742	45.667	80.078	75.528	80.50399999999999	88.229	44.847	53.98	78.779	84.3	23.194000000000003	29.93	Sfr1
NM_001290984	NM_001290984	chr1	53344617	53352752	-	1003.0	1	Asnsd1|2210409M21Rik|-|1|1 C1|protein-coding	35.599000000000004	42.67100000000001	35.924	32.168	43.246	28.455	32.348	45.817	32.306	52.073	54.621	30.058000000000003	25.381999999999998	39.574	47.896	Asnsd1
NM_001291894	NM_001291894	chr10	51490898	51496611	+	1489.0	1	Lilrb4|CD85K|Gp49b|HM18|ILT3|LIR-5|gp49|-|10 25.5 cM|protein-coding	29.665	35.844	34.994	19.97	88.33	83.993	96.476	151.004	98.13600000000001	180.981	171.378	58.952	40.658	187.729	210.641	Lilrb4
NM_199299	NM_199299	chr11	51813456	51857481	-	6087.0	1	Jade2|1200017K05Rik|AI480685|Phf15|mKIAA0239|RP23-79E13.10-004|11 B1.3|11|protein-coding	34.328	59.211999999999996	61.79600000000001	36.742	32.887	27.598000000000003	34.917	43.251000000000005	37.663000000000004	27.763	30.674	32.177	32.365	15.703	16.588	Jade2
NM_011640	NM_011640	chr11	69580359	69591873	+	1759.0	1	Trp53|Tp53|bbl|bfy|bhy|p44|p53|RP23-56I20.1|11 B2-C|11 42.83 cM|protein-coding	144.188	138.41	130.719	135.196	59.606	126.37100000000001	117.329	100.06	122.12200000000001	54.757	74.97399999999999	130.616	141.453	32.484	34.841	Trp53
NM_001077496	NM_001077496	chr11	79513385	79523762	-	3525.0	1	Evi2b|Evi-2|Evi2|RP23-271B20.2|11 B5|11|protein-coding	5.921	11.067	17.183	4.1819999999999995	46.727	12.671	19.555999999999997	33.32	17.871	85.575	75.317	8.945	6.968	93.458	78.994	Evi2b
NM_028121	NM_028121	chr9	59291572	59316200	+	2462.0	1	Adpgk|2610017G09Rik|Adp-gk|C77577|-|9 B|9|protein-coding	44.036	49.748999999999995	56.498000000000005	34.236999999999995	118.287	40.031	46.793	70.488	48.503	150.905	135.184	34.404	31.566	184.858	147.971	Adpgk
NM_023429	NM_023429	chr5	73292794	73314077	+	1518.0	1	Ociad1|6030432N09Rik|AI481327|AW557942|Asrij|B230209J16Rik|BB021357|Emi2|Imi2|OCIA|TPA018|-|5 C3.2|5|protein-coding	125.171	132.658	119.788	133.287	72.985	121.595	118.42299999999999	103.15	114.027	62.763999999999996	70.612	119.46799999999999	105.52600000000001	53.896	54.438	Ociad1
NM_028696	NM_028696	chr1	51469488	51478399	-	2830.0	1	Nabp1|4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2|-|1|1 C1|protein-coding	91.931	120.389	89.92	94.743	30.252	74.20100000000001	80.835	72.88600000000001	82.25299999999999	33.39	45.111000000000004	79.645	78.55	25.805	25.253	Nabp1
NM_134115	NM_134115	chr17	28970885	29007937	-	3272.0	1	Stk38|5830476G13Rik|9530097A09Rik|AA617404|Ndr1|-|17 A3.3|17|protein-coding	26.064	30.043000000000003	50.474	29.008000000000003	71.671	44.144	47.626000000000005	56.178999999999995	48.677	87.992	88.126	43.281000000000006	40.938	92.896	86.175	Stk38
NM_009937	NM_009937	chr14	31523084	31577383	-	2816.0	1	Colq|A130034K24Rik|-|14 B|14|protein-coding	2.0540000000000003	11.345999999999998	27.392	3.028	1.2670000000000001	1.421	5.16	8.597000000000001	5.11	8.88	11.743	2.44	1.629	1.151	0.807	Colq
NM_001033432	NM_001033432	chr10	17900466	17948067	-	3661.0	1	Heca|Gm869|HDC|HDCL|-|10 A2-A3|10|protein-coding	18.739	24.329	41.614	16.017	49.158	23.434	26.279	37.196	25.153000000000002	53.881	51.055	21.344	18.783	56.388000000000005	46.535	Heca
NM_001001806	NM_001001806	chr17	84183928	84187947	-	3529.0	1	Zfp36l2|Brf2|ERF2|Tis11d|-|17 E4|17|protein-coding	51.574	45.147	88.90299999999999	44.72	256.768	69.383	76.96300000000001	108.78200000000001	85.63	202.40099999999998	177.298	70.102	67.082	226.203	191.18400000000003	Zfp36l2
NM_001099217	NM_001099217	chr15	75108161	75111949	-	795.0	1	Ly6c2|Ly-6C.2|Ly-6C2|-|15 D3|15|protein-coding	67.263	100.427	124.601	49.81	357.019	94.126	104.81	163.409	104.501	273.928	279.075	80.36	61.019	316.88599999999997	329.61699999999996	Ly6c2
NM_001159662	NM_001159662	chr2	158667135	158766334	+	6379.0	1	Ppp1r16b|ANKRD4|C130078N17Rik|TIMAP|Wdt4|RP23-22K4.1|2 H1|2|protein-coding	29.682	46.032	48.638000000000005	30.744	18.162	30.682	37.314	41.138999999999996	37.765	23.491	28.454	33.445	34.576	13.197000000000001	14.876	Ppp1r16b
NM_001159963	NM_001159963	chr5	43744618	43782149	-	2842.0	1	Fbxl5|Fbl4|Fir4|-|5 B3|5|protein-coding	23.048000000000002	28.676	30.048000000000002	19.602999999999998	48.243	43.7	53.177	88.12899999999999	52.199	118.81200000000001	111.631	35.559	23.506999999999998	132.362	130.116	Fbxl5
NM_016888	NM_016888	chr11	22834739	22859735	-	2695.0	1	B3gnt2|AA408337|AA409404|AW260308|B3Galt6|B3gnt1|BGnT-1|BGnT-2|BGnT1|BGnT2|Beta3gnt|RP23-242C19.1|11 A3.2|11 14.22 cM|protein-coding	105.835	133.035	117.022	113.351	48.381	74.689	77.748	74.683	81.033	43.81	54.159	78.593	82.775	31.491	33.12	B3gnt2
NM_146023	NM_146023	chr11	79513385	79530609	-	3958.0	1	Evi2a-evi2b|-|-|11 B5|protein-coding	5.4	10.305	15.975	4.016	44.097	11.562999999999999	18.153	30.778000000000002	16.805	78.155	68.656	8.446	6.46	85.706	72.75	Evi2a-evi2b
NM_001253700	NM_001253700	chr11	69968226	69980330	-	944.0	1	Elp5|Derp6|Rai12|RP23-172M21.15-001|11|11 B4|protein-coding	77.023	91.51299999999999	88.81700000000001	84.929	28.643	60.711999999999996	62.614	61.726000000000006	64.319	22.145	35.031	60.615	64.664	14.72	15.235999999999999	Elp5
NM_009871	NM_009871	chr11	80477046	80481179	+	4131.0	1	Cdk5r1|Cdk5r|D11Bwg0379e|p25|p35|RP23-252E4.5|11 B5|11 47.94 cM|protein-coding	21.689	30.308000000000003	36.662	18.839000000000002	5.169	11.515	17.097	21.226	17.367	11.302999999999999	14.594000000000001	11.63	12.434000000000001	3.696	4.152	Cdk5r1
NM_028932	NM_028932	chr14	31495079	31509858	+	4230.0	1	Eaf1|4933403C17Rik|AI666536|-|14 B|14|protein-coding	38.5	48.455	52.676	39.214	18.712	30.005	32.893	31.494	33.626999999999995	19.722	25.316999999999997	27.564	27.605	14.304	14.944	Eaf1
NM_001030294	NM_001030294	chr14	80000302	80021930	+	1632.0	1	Olfm4|GC1|GW112|Gm296|Gm913|OlfD|pPD4|-|14 D3|14|protein-coding	4.391	9.812999999999999	10.550999999999998	2.878	21.541	7.571000000000001	14.752	27.21	15.478	49.84	41.68	5.938	3.668	44.901	42.095	Olfm4
NM_001286100	NM_001286100	chr13	24582189	24733806	+	5441.0	1	Fam65b|-|RP23-461O24.1|13|13 A3.2|protein-coding	11.005999999999998	11.912	26.316999999999997	7.696000000000001	44.45	17.218	19.791	30.641	21.377	47.42100000000001	48.895	15.388	12.433	49.336000000000006	47.607	Fam65b
NM_019439	NM_019439	chr17	37045966	37074305	+	4461.0	1	Gabbr1|GABAB1|GABAbR1|bM573K1.1|-|17 B1|17 19.16 cM|protein-coding	4.293	5.747999999999999	9.361	4.7219999999999995	15.030999999999999	12.457	13.977	17.305999999999997	13.785	24.511	28.34	10.425	9.219	27.391	22.225	Gabbr1
NM_008372	NM_008372	chr15	9506159	9529876	-	3200.0	1	Il7r|CD127|IL-7Ralpha|-|15 A1|15 4.16 cM|protein-coding	20.849	24.518	83.19200000000001	11.222999999999999	307.272	23.656	44.995	66.745	43.108000000000004	196.266	190.475	20.541	15.492	258.689	226.887	Il7r
NM_001159402	NM_001159402	chr11	9118507	9136170	+	1244.0	1	Upp1|AI325217|UPase|UdRPase|Up|Upp|RP23-104F14.1|11|11 A1-2|protein-coding	15.597999999999999	19.215999999999998	10.652000000000001	11.472000000000001	20.031	22.055999999999997	23.398000000000003	37.846	24.258000000000003	24.866	28.057	20.69	13.988	18.383	23.798000000000002	Upp1
NM_001252653	NM_001252653	chr3	95734148	95739569	-	1883.0	1	Ecm1|AI663821|p85|-|3 F2.1|3 40.91 cM|protein-coding	50.276	41.667	39.400999999999996	23.543000000000003	28.005	57.823	56.312	55.163000000000004	59.817	10.583	20.985	52.68899999999999	40.946	11.284	14.069	Ecm1
NM_009912	NM_009912	chr9	123962126	123968692	-	2827.0	1	Ccr1|Cmkbr1|Mip-1a-R|-|9 F|9 75.05 cM|protein-coding	3.647	11.344000000000001	13.05	2.237	30.943	9.685	20.559	42.593	20.654	69.155	71.46600000000001	7.218	5.303999999999999	77.564	80.176	Ccr1
NM_009025	NM_009025	chr8	13567218	13677587	-	4092.0	1	Rasa3|AI326412|C86362|E130011G04|GAPIII|scat|-|8 A1.1|8 6.29 cM|protein-coding	17.369	30.191999999999997	65.047	12.873	84.485	27.005	37.898	64.80199999999999	38.05	82.58200000000001	76.064	19.848	19.471	96.573	84.777	Rasa3
NM_001039214	NM_001039214	chr18	73572705	73592578	+	4076.0	1	Mex3c|A130001D14Rik|BC035207|BM-013|Rkhd2|-|18 E2|18|protein-coding	41.126000000000005	52.589	45.214	41.165	18.340999999999998	34.355	38.935	37.086	37.539	19.668	25.13	37.7	35.141	10.854000000000001	13.071	Mex3c
NM_033042	NM_033042	chr4	152116343	152120119	+	1602.0	1	Tnfrsf25|APO-3|DDR3|DR3|LARD|TR3|TRAMP|Tnfrsf12|WSL-1|WSL-LR|Wsl|RP23-284C20.2|4|4 E1|protein-coding	42.117	59.711999999999996	64.77	40.731	24.204	31.465999999999998	35.986	41.425	38.806	23.781	23.52	33.318000000000005	36.044000000000004	10.307	9.934	Tnfrsf25
NM_008838	NM_008838	chr17	86997259	87025401	-	972.0	1	Pigf|-|-|17 E4-E5|17 56.9 cM|protein-coding	32.034	47.523	38.08	32.004	9.042	21.305	27.671999999999997	25.701999999999998	28.065	12.462	19.23	22.101999999999997	24.406999999999996	7.757000000000001	8.39	Pigf
NM_008388	NM_008388	chr15	43250040	43282736	-	1526.0	1	Eif3e|48kDa|Eif3s6|Int6|eIF3-p46|eIF3-p48|-|15 B3.2|15 16.73 cM|protein-coding	133.99	121.7	101.176	132.91899999999998	53.427	95.90700000000001	89.63799999999999	64.241	92.806	42.461999999999996	49.839	101.0	89.39	31.646	31.999000000000002	Eif3e
NM_025437	NM_025437	chrX	159372195	159385699	+	917.0	1	Eif1ax|1500010B24Rik|AI426898|Eif1ay|RP23-52L10.2|X F4|X|protein-coding	163.29	164.325	128.89700000000002	159.651	54.293	98.11399999999999	90.866	77.281	98.95200000000001	42.824	50.498000000000005	97.625	100.92	18.551	26.248	Eif1ax
NM_001002786	NM_001002786	chr17	29135056	29148976	+	4095.0	1	Rab44|9830134C10Rik|RP23-73N16.7|17 A3.3|17|protein-coding	5.311	8.043	12.125	3.7939999999999996	32.724000000000004	14.775	18.843	36.381	18.897000000000002	55.581	57.218	10.43	8.977	64.32	60.56399999999999	Rab44
NM_030209	NM_030209	chr8	119992470	120052793	+	4133.0	1	Crispld2|1810049K24Rik|Lcrisp2|Lgl1|coffeecrisp|-|8 E1|8|protein-coding	5.699	14.469000000000001	13.33	3.2430000000000003	36.376	10.652999999999999	17.51	35.468	17.859	60.412	65.67699999999999	7.22	4.792	72.488	73.102	Crispld2
NM_173733	NM_173733	chr10	128669887	128673918	-	2343.0	1	Suox|SO|-|10 D3|10|protein-coding	15.615	27.645	29.518	14.742	10.415	15.720999999999998	17.741	22.587	18.778	11.841	17.203	14.005	15.642000000000001	7.047999999999999	7.867999999999999	Suox
NM_007800	NM_007800	chr14	56099881	56102574	-	995.0	1	Ctsg|-|-|14 C3|14 28.19 cM|protein-coding	14.025	17.959	26.143	8.824	44.633	7.1129999999999995	11.578	23.694000000000003	11.133	25.198	28.701	6.854	4.499	17.597	26.028000000000002	Ctsg
NM_025846	NM_025846	chr7	114046782	114117781	-	2267.0	1	Rras2|2610016H24Rik|C86394|TC21|-|7 F2|7|protein-coding	61.965	97.65100000000001	73.048	53.948	36.397	52.097	57.413999999999994	67.17699999999999	57.493	30.191999999999997	30.311	50.753	46.104	20.285	22.565	Rras2
NM_025315	NM_025315	chr6	146642579	146650600	+	774.0	1	Med21|0610007L03Rik|AI449604|D19234|D6Ertd782e|Srb7|Surb7|RP23-158O11.4|6 G3|6 77.7 cM|protein-coding	26.423000000000002	33.637	30.701	32.069	18.836	24.506999999999998	21.81	19.185	20.932	16.07	20.434	24.179000000000002	22.699	10.224	8.684	Med21
NM_025899	NM_025899	chr7	120635189	120659523	+	1866.0	1	Uqcrc2|1500004O06Rik|-|7 F2|7|protein-coding	147.351	147.808	131.18	146.225	59.623000000000005	105.975	99.009	85.573	105.161	39.681	59.967	105.51299999999999	109.264	28.584	35.969	Uqcrc2
NM_026640	NM_026640	chr19	12573525	12589696	+	3193.0	1	Fam111a|4632417K18Rik|AW413625|-|19 B|19|protein-coding	9.568	17.864	19.547	9.618	29.954	13.026	18.997	26.029	19.032	47.379	44.765	12.059000000000001	9.655	45.391999999999996	46.096000000000004	Fam111a
NM_009875	NM_009875	chr6	134920401	134925525	+	2400.0	1	Cdkn1b|AA408329|AI843786|Kip1|p27|p27Kip1|-|6 G1|6 65.77 cM|protein-coding	38.416	50.705	69.852	35.859	124.079	37.077	44.926	60.346000000000004	47.988	72.558	84.346	37.109	33.244	93.85600000000001	90.837	Cdkn1b
NM_011178	NM_011178	chr10	79879667	79883172	+	963.0	1	Prtn3|PR3|mPR3|-|10 C1|10 39.72 cM|protein-coding	7.18	16.672	27.139	3.4139999999999997	47.028999999999996	3.554	10.059	18.195999999999998	9.191	17.447	24.609	1.9169999999999998	2.0340000000000003	15.918	22.993000000000002	Prtn3
NM_078478	NM_078478	chr14	37120445	37135322	-	2894.0	1	Ghitm|1010001P14Rik|C77840|MICS1|PTD010|Tmbim5|-|14 B|14 21.29 cM|protein-coding	220.328	278.811	225.53900000000002	233.53599999999997	63.07899999999999	141.612	142.205	130.267	143.321	64.493	77.503	151.799	157.917	34.213	44.147	Ghitm
NM_007746	NM_007746	chr18	4331327	4352953	-	2497.0	1	Map3k8|Cot|Cot/Tpl2|Est|Estf|Tpl-2|Tpl2|c-COT|-|18 A1|18 2.73 cM|protein-coding	11.664000000000001	37.898	33.791	14.686	11.345999999999998	10.64	22.24	32.777	23.072	9.546	14.633	14.435	12.390999999999998	8.41	10.728	Map3k8
NM_001039701	NM_001039701	chr2	24345371	24351491	+	2474.0	1	Il1rn|F630041P17Rik|IL-1ra|RP23-218B17.2|2 A3|2 16.36 cM|protein-coding	8.165	12.644	9.721	5.462000000000001	17.177	16.741	20.641	29.1	19.311	25.218000000000004	31.543000000000003	12.890999999999998	8.933	21.988000000000003	32.104	Il1rn
NM_001252506	NM_001252506	chr16	23290470	23360350	+	4035.0	1	St6gal1|AW742324|Siat1|St6Gal-I|St6gal|St6galI|-|16 B1|16 14.03 cM|protein-coding	14.582	24.851	35.993	10.395999999999999	44.318999999999996	12.694	16.385	22.412	15.715	27.534000000000002	27.634	10.979000000000001	9.499	25.758000000000003	24.975	St6gal1
NM_145569	NM_145569	chr6	72432799	72439558	-	2793.0	1	Mat2a|D630045P18Rik|-|6 C1|6|protein-coding	93.67399999999999	81.322	71.035	107.34299999999999	43.961999999999996	91.965	86.098	61.732	85.97399999999999	44.372	53.058	95.845	89.266	28.891	34.86	Mat2a
NM_009778	NM_009778	chr17	57203973	57228136	-	5090.0	1	C3|AI255234|ASP|HSE-MSF|Plp|-|17 E1-E3|17 29.72 cM|protein-coding	21.489	29.612	27.593000000000004	16.461	71.536	39.591	41.766000000000005	58.456	42.06100000000001	59.276	64.822	30.623	20.457	67.49	75.253	C3
NM_029575	NM_029575	chr9	116087695	116175363	-	4704.0	1	Tgfbr2|1110020H15Rik|AU042018|DNIIR|RIIDN|TBR-II|TbetaR-II|TbetaRII|-|9 F3|9 68.39 cM|protein-coding	24.215	34.900999999999996	50.394	17.435	74.681	24.01	29.249000000000002	39.436	29.776	47.208999999999996	47.26	23.249000000000002	22.35	49.277	46.376999999999995	Tgfbr2
NM_008210	NM_008210	chr1	180802568	180813603	-	1070.0	1	H3f3a|H3.3A|-|1|1 D2.3|protein-coding	19.975	21.05	23.393	16.477999999999998	20.003	18.053	17.842	24.006	18.576	23.189	25.67	15.669	10.772	23.526999999999997	23.095	H3f3a
NM_001110145	NM_001110145	chr2	69861562	69871846	+	2047.0	1	Ssb|SS-B|RP23-273G23.1|2 C2|2 40.95 cM|protein-coding	160.732	155.493	128.012	179.66299999999998	67.535	119.728	107.943	75.97800000000001	109.06200000000001	50.68	61.979	115.921	112.723	36.894	40.684	Ssb
NM_008972	NM_008972	chr1	86526736	86530698	+	1185.0	1	Ptma|Thym|-|1 D|1|protein-coding	137.536	104.92399999999999	88.184	138.514	78.444	91.295	93.926	65.861	93.958	43.635	52.758	93.806	90.089	40.751999999999995	38.371	Ptma
NM_145634	NM_145634	chr11	115116214	115133992	-	1855.0	1	Cd300lf|CLIM1|CLM-1|CLM1|Digr2|F730004D16Rik|IREM1|IgSF13|LMIR3|Pigr3|RP23-342L24.3|11 E2|11|protein-coding	9.376	19.266	24.230999999999998	5.999	63.489	30.739	48.163000000000004	91.391	47.214	124.98100000000001	126.79299999999999	20.785999999999998	15.383	154.351	155.945	Cd300lf
NM_010686	NM_010686	chr4	130913334	130936148	+	2388.0	1	Laptm5|E3|RP23-412B2.5|4 D2.3|4|protein-coding	86.30799999999999	104.976	140.784	82.655	294.003	124.12899999999999	136.597	176.31799999999998	138.596	219.014	230.08	122.406	118.25299999999999	254.88099999999997	252.398	Laptm5
NM_023721	NM_023721	chr12	78842982	78861638	-	1399.0	1	Atp6v1d|1110004P10Rik|Atp6m|VATD|Vma8|-|12 C3|12 35.51 cM|protein-coding	31.603	37.529	48.29600000000001	35.046	90.57600000000001	32.922	36.635999999999996	39.941	37.48	64.984	63.754	31.261999999999997	28.156	65.47399999999999	66.134	Atp6v1d
NM_010266	NM_010266	chr19	21391307	21472661	-	5401.0	1	Gda|AU015411|AW047581|-|19 B|19 14.32 cM|protein-coding	5.695	12.672	16.569000000000003	4.114	50.023999999999994	13.49	22.026999999999997	43.051	21.084	101.76700000000001	93.09899999999999	10.319	6.33	126.50299999999999	108.72200000000001	Gda
NM_010720	NM_010720	chr18	74939322	74961263	-	3775.0	1	Lipg|3110013K01Rik|EL|lipase|mEDL|-|18|18 E2|protein-coding	8.537	12.277999999999999	7.107	2.594	8.258	10.925	12.705	13.777000000000001	13.04	2.967	8.051	6.778	4.55	2.509	4.229	Lipg
NM_027769	NM_027769	chr4	19519252	19570104	-	5628.0	1	Cpne3|5430428M23Rik|5730450C07Rik|C85108|CPN3|RP23-109G18.2|4 A3|4|protein-coding	8.511000000000001	9.967	11.889000000000001	9.058	12.677	15.625	16.167	22.233	16.031	30.838	29.581999999999997	15.57	12.009	27.424	26.195999999999998	Cpne3
NM_153820	NM_153820	chr2	43748824	44387623	+	2634.0	1	Arhgap15|5830480G12Rik|RP23-211K16.1|2 B|2|protein-coding	10.039	14.886	27.406	9.094	55.13399999999999	12.795	15.692	22.924	18.394000000000002	37.333	37.909	10.804	11.534	42.7	36.89	Arhgap15
NM_007839	NM_007839	chr5	52150203	52190546	-	3026.0	1	Dhx15|DBP1|DEAH9|Ddx15|HRH2|mDEAH9|-|5 C1|5|protein-coding	162.64600000000002	157.33	128.428	161.201	74.081	136.336	126.584	102.74700000000001	127.02799999999999	58.946999999999996	77.203	134.113	129.506	46.95	56.92100000000001	Dhx15
NM_001081279	NM_001081279	chr8	35587798	35679449	+	6403.0	1	Mfhas1|2310066G09Rik|D8Ertd91e|-|8 A4|8 21.16 cM|protein-coding	44.441	52.038999999999994	47.44	46.863	17.166	35.232	40.171	42.381	41.924	20.647	26.28	39.71	44.26	11.094000000000001	12.335	Mfhas1
NM_007952	NM_007952	chr2	121413902	121438686	+	2627.0	1	Pdia3|58kDa|ERp57|ERp60|ERp61|Erp|Grp58|PDI|PDI-Q2|PI-PLC|PLC[a]|Plca|RP23-433P19.8|2 E5|2 60.38 cM|protein-coding	212.21900000000002	206.017	183.49400000000003	217.895	134.237	177.225	163.191	129.711	165.63099999999997	74.915	104.461	175.737	176.18200000000002	62.193000000000005	75.763	Pdia3
NM_028876	NM_028876	chr5	108121647	108132591	-	3745.0	1	Tmed5|3110020O18Rik|4432412D15Rik|-|5|5 E5|protein-coding	31.4	30.557	27.576	33.853	18.333	39.684	39.25	30.386	37.623000000000005	19.928	23.843000000000004	40.608000000000004	30.0	17.171	18.555	Tmed5
NM_207244	NM_207244	chr16	44820728	44839150	+	1692.0	1	Cd200r4|F630107N04Rik|MCD200RLa|-|16 B4|16|protein-coding	2.625	3.1239999999999997	3.384	1.7719999999999998	5.317	7.7139999999999995	10.783	18.176	10.401	24.171	28.451999999999998	7.485	3.208	33.328	28.596999999999998	Cd200r4
NM_007782	NM_007782	chr4	126024659	126044975	+	3888.0	1	Csf3r|Cd114|Csfgr|G-CSF-R|G-CSFR|RP23-140F18.1|4 D2.2|4 59.77 cM|protein-coding	3.805	7.031000000000001	11.402999999999999	1.868	37.578	10.548	25.215999999999998	68.817	26.973000000000003	142.558	121.626	8.44	4.015	191.005	147.128	Csf3r
