id	chr	start	end	strand	Length	Copies	Annotation/Divergence	0-1uM-PCC-24h-1	100uM-K99A-24h-1	10uM-K99A-24h-1	10uM-PCC-24h-1	No-Peptide-24h-1	0-1uM-PCC-24h-MEKi	0-1uM-PCC-24h-2	100uM-K99A-24h-MEKi	100uM-K99A-24h-2	10uM-K99A-24h-MEKi	10uM-K99A-24h-2	10uM-PCC-24h-MEKi	10uM-PCC-24h-2	No-Peptide-24h-MEKi	No-Peptide-24h-2	No-Peptide-24h	No-Peptide-24h-std	10uM-K99A-24h	10uM-K99A-24h-std	100uM-K99A-24h	100uM-K99A-24h-std	0-1uM-PCC-24h	0-1uM-PCC-24h-std	10uM-PCC-24h	10uM-PCC-24h-std	gene_name	pc1	pc2
NM_010726	chr2	4918996	4938743	+	1463.0	1	Phyh|AI256161|AI265699|Lnap1|PAHX|RP23-349P20.1|2 A1|2|protein-coding	3.5810000000000004	5.905	8.275	4.371	13.04	5.432	5.752999999999999	8.081	5.767	11.351	11.759	5.502000000000002	3.671	9.668	12.027	12.5335	0.7162991693419662	10.017000000000001	2.4635600256539387	5.836	0.0975807358037642	4.667	1.5358359287371817	4.021000000000001	0.4949747468305807	Phyh	-0.00044654888983551425	-0.0007796064064185465
NM_026418	chr7	128373625	128418172	-	868.0	1	Rgs10|2310010N19Rik|-|7 F3|7|protein-coding	17.188	26.495	36.093	22.311	75.345	22.588	23.403	28.539	22.303	39.014	35.813	19.848	20.241	39.77	43.331	59.338	22.637316492906127	35.953	0.19798989873264855	24.399	2.9641916267339865	20.2955	4.394668645074405	21.276	1.4637110370561328	Rgs10	-0.0019538511006083857	0.005870002339933817
NM_008366	chr3	37120716	37125954	-	940.0	1	Il2|Il-2|DN-144H19.3|3 B-C|3 18.3 cM|protein-coding	167.854	32.732	9.833	249.106	11.0	104.044	72.28399999999998	12.128	70.375	4.295	4.43	166.31	136.129	3.513	3.681	7.3405	5.175314531504339	7.1315	3.820497938750916	51.5535	26.617620564205225	120.069	67.57819507799833	192.6175	79.8868028181126	Il2	0.00807388726182024	0.07649117646505767
NM_025938	chr14	8080313	8091846	+	2459.0	1	Rpp14|2610511E03Rik|AA682089|-|14 A1|14|protein-coding	28.768	24.945	18.512	23.2	8.557	18.094	13.481	11.19	15.956	6.568	6.291	16.243	17.93	3.168	3.939	6.247999999999999	3.2654191155194754	12.4015	8.641551972880798	20.4505	6.3561828560858835	21.1245	10.809541363998747	20.565	3.726452736853117	Rpp14	0.0007928130526001795	-0.0006450854572594445
NM_009884	chr7	35046422	35056566	-	4698.0	1	Cebpg|C/EBP[g]|C/EBPgamma|GPE1-BP|Gpe1bp|Ig/EBP|-|7 B1|7|protein-coding	38.634	43.871	41.334	35.292	18.114	28.806	31.388	28.102	30.663	18.145	22.52	28.452	30.227	13.117	15.433	16.7735	1.895753280361152	31.927	13.303506981243698	37.266999999999996	9.339466365911905	35.010999999999996	5.123695736477722	32.7595	3.5814958467098155	Cebpg	0.000854098362608393	-0.0075569715175050345
NM_201609	chr11	95749067	95764713	+	2658.0	1	Zfp652|9530033F24Rik|ZNF652|RP23-151M22.1|11 D|11|protein-coding	6.7010000000000005	7.153	9.417	5.193	24.897	6.351	8.156	10.776	10.068	22.026	18.895	8.044	6.399	24.123	20.435	22.666	3.1551104576544393	14.156	6.701958072086103	8.6105	2.0612162671587884	7.4285	1.0288403666264296	5.7959999999999985	0.8527707781109808	Zfp652	-0.000836121341482812	0.0011523123650321097
NM_027748	chr2	9914552	10048609	-	4796.0	1	Taf3|140kDa|4933439M23Rik|AW539625|TAF140|TAFII-140|TAFII140|mTAFII140|RP23-393G10.2|2 A1|2|protein-coding	14.671	12.757	11.35	13.485	7.039	12.784	10.961	10.257	11.515999999999998	5.377000000000002	5.985	12.722	14.245	4.755	5.513	6.276	1.079044948090672	8.6675	3.7936278810658246	12.136499999999998	0.8775195154525341	12.816	2.6233661582021006	13.864999999999998	0.5374011537018111	Taf3	0.0003856181861960791	0.0005701017789524964
NM_011986	chr4	126743750	126753429	-	3692.0	1	Ncdn|AU042419|MMS10-AE|Ms10ae|mKIAA0607|norbin|RP23-273D6.1|4|4 D2.1|protein-coding	27.799	23.986	19.154	26.256	11.777	20.378	19.104	14.601	19.264	9.208	10.998	21.845	25.824	8.422	8.661	10.219	2.203344730177281	15.075999999999999	5.767162907357478	21.625	3.3389582207628767	23.4515	6.148293462417045	26.04	0.30547012947253777	Ncdn	0.0007872954533380143	0.0014559522427990555
NM_026655	chr7	131342718	131362698	-	2206.0	1	2310057M21Rik|3110040E10Rik|AI429544|-|7 F3|7|protein-coding	11.892	12.285	9.659	13.872	2.812	9.545	8.27	6.891	9.104	4.517	5.731	8.205	9.029	3.474	2.98	2.8960000000000004	0.11879393923934332	7.6949999999999985	2.7775154365007606	10.6945	2.2493066709544083	10.081	2.5611407614576844	11.4505	3.4245181412864514	2310057M21Rik	0.00041589173378800664	-0.0011643660877934281
NM_008059	chr1	193272160	193273188	-	839.0	1	G0s2|AI255151|AV006465|-|1 H6|1 97.69 cM|protein-coding	2.198	5.83	6.63	1.981	21.382	3.734	5.941	15.014	8.205	16.455	18.023	6.295	3.735	29.485	23.504	22.443	1.5004805896778908	12.3265	8.056067558058338	7.0175	1.6793786053180504	4.0695	2.646700681981247	2.858	1.240265294201207	G0s2	-0.0009675158671881381	0.0011810737699815927
NM_007650	chr19	10718143	10738974	-	2056.0	1	Cd5|Ly-1|Ly-12|Ly-A|Lyt-1|-|19 A|19 7.16 cM|protein-coding	114.594	43.802	52.397	109.638	42.949	92.852	74.582	39.329	73.565	26.67	33.639	102.546	116.012	15.972	14.952	28.9505	19.79686855287977	43.018	13.26390900149726	58.6835	21.04561912845524	94.588	28.292756528836176	112.825	4.507098623283382	Cd5	0.003844864591272451	0.023760063035622093
NM_029585	chr7	78827474	78847211	-	2210.0	1	Det1|2610034H20Rik|-|7|7 D2|protein-coding	14.279000000000002	13.298	10.067	10.659	6.714	9.764	9.575	8.12	7.565	5.658	3.612	7.447	8.81	3.017	3.5780000000000003	5.146	2.2174868658010114	6.8395	4.5643742725591645	10.4315	4.053843176542479	11.927	3.3262302987015278	9.7345	1.307440438413921	Det1	0.00030555213894313657	8.834845115862839e-06
NM_130796	chr13	113592179	113618564	-	4443.0	1	Snx18|Snag1|-|13 D2.2|13|protein-coding	15.252	21.415	23.621	12.027	21.376	13.5	16.426	25.422	18.582	26.31	28.544	13.398	13.034	29.452	28.678	25.026999999999997	5.163293716224165	26.0825	3.4810866837813688	19.9985	2.00323351110149	15.839	0.8301433611130152	12.5305	0.7120565286548932	Snx18	-0.0006176011404518547	-0.0054955665943693865
NM_181470	chr10	13178638	13193137	-	1755.0	1	Ltv1|2610020N02Rik|-|10 A2|10|protein-coding	84.58	73.634	58.005	75.96600000000002	15.23	45.448	37.618	29.313	37.222	11.132	14.577	44.32	43.74100000000001	7.207999999999998	8.477	11.8535	4.775092093352752	36.291	30.70823329336939	55.428000000000004	25.747172116564577	61.099	33.20714865808263	59.85350000000001	22.786516023736485	Ltv1	0.002533610133129494	-0.0037631262961205464
NM_001276425	chr2	32587078	32599696	+	3633.0	1	St6galnac4|SIAT7-D|ST6GalNAcIV|Siat7d|RP23-17P12.1|2 B|2|protein-coding	32.806	19.588	8.567	34.907	6.7170000000000005	21.891	16.438	8.252	16.527	2.653	3.152	20.958	25.704	4.288	4.966	5.8415	1.2381439738576447	5.8595	3.828983220125155	18.0575	2.164453857212025	24.622	11.573923794461408	30.3055	6.507503707259778	St6galnac4	0.001224850520217835	0.008749701038172327
NM_008433	chr7	24370263	24385212	+	1941.0	1	Kcnn4|IK1|IKCA1|KCA4|KCa3.1|SK4|SKCas|mIKCa1|-|7 A3|7|protein-coding	90.228	75.17399999999998	67.09100000000001	98.711	54.203	65.718	60.492	42.275	58.163	19.661	24.981	78.719	103.024	22.247	16.424	35.31350000000001	26.713787086446576	46.036	29.776266555765513	66.6685	12.028593454764376	75.36	21.02652724536312	100.8675	3.04975154725723	Kcnn4	0.0029124905641549075	0.015278684817569225
NM_011176	chr9	31088590	31131799	-	3996.0	1	St14|Epithin|MT-SP1|Prss14|Tmprss14|mCAP3|matriptase|-|9 A4|9 16.61 cM|protein-coding	2.349	4.768	2.323	2.857	8.707	2.729	2.777	5.865	3.381	5.818	3.797	3.387	2.982	6.752000000000002	14.867	11.787	4.355777772109134	3.06	1.0422753954689716	4.0745000000000005	0.9807571055057396	2.563	0.3026417023478488	2.9195	0.08838834764831845	St14	-0.0004023117927757437	0.0035100176826234897
NM_145585	chr7	119715094	119720798	-	2682.0	1	Thumpd1|6330575P11Rik|-|7 F2|7 64.13 cM|protein-coding	76.081	65.141	51.025	69.297	20.105	44.944	36.976	28.365	37.422	14.132	17.543	38.235	45.833	7.481	10.393	15.249	6.867421058883754	34.284	23.67534924768798	51.2815	19.600292867709914	56.5285	27.65141067829993	57.565	16.59155351376117	Thumpd1	0.0021992674480652607	-0.0011606890492885332
NM_001145034	chr2	93955810	93957100	-	1288.0	1	Gm13889|Ag2|OTTMUSG00000014994|-|2 E1|2|protein-coding	3.677	27.288	24.451	4.488	1.365	1.306	3.906	8.578	2.894	1.213	2.81	1.911	1.781	0.677	0.422	0.8935	0.6668016946589145	13.6305	15.302497851658078	15.091	17.24916282026464	3.7915	0.16192745289172206	3.1345	1.9141380566719848	Gm13889	0.00012148030861681221	-0.011492156983147752
NM_173036	chr8	95017692	95045249	+	2424.0	1	Gpr97|A030001G24Rik|AW214383|Pb1|Pb99|-|8 D1|8|protein-coding	3.302	4.947	5.484	2.6830000000000003	16.06	6.988	8.4	13.616	8.67	18.672	22.724	5.796	3.509	26.271	23.346	19.703	5.1519800077251885	14.104000000000001	12.190520907656081	6.8085	2.632558546357513	5.851	3.6048303704890197	3.096	0.5840702012600859	Gpr97	-0.0008308083399719077	-0.0009236296133000077
NM_019732	chr4	135120645	135177990	+	3883.0	1	Runx3|AML2|Cbfa3|Pebp2a3|RP23-167O21.1|4 D3|4 67.19 cM|protein-coding	49.517	73.895	63.85	44.188	38.026	46.415	57.352	58.721	56.148	34.583	38.649	45.595	47.133	25.964	22.771	30.3985	10.786913947000793	51.2495	17.8197979926822	65.0215	12.549024045717688	53.4345	5.540181630596536	45.6605	2.082429470594607	Runx3	0.0010296887183182722	-0.015152408323674073
NM_028775	chr7	25802476	25816530	-	2610.0	1	Cyp2s1|1200011C15Rik|AU041727|C79779|-|7 A3|7|protein-coding	0.305	0.68	2.366	0.055	13.925	0.5329999999999999	0.775	0.998	0.813	5.414	4.407	0.177	0.193	7.425	6.249	10.087	5.427751652387938	3.3865	1.4432049404017433	0.7464999999999999	0.09404520189781157	0.54	0.33234018715767744	0.124	0.0975807358037436	Cyp2s1	-0.0004929518259392523	0.002066629479830986
NM_011313	chr3	90612894	90614414	+	714.0	1	S100a6|2A9|5B10|CALCYCLIN|Cacy|PRA|-|3 F1-F2|3 39.35 cM|protein-coding	42.143	101.102	131.404	20.646	391.656	63.614	101.618	242.17	123.678	417.282	395.866	45.815	35.42	609.237	610.185	500.9205	154.52333778591517	263.635	187.0028735661567	112.39	15.963642692067554	71.8805	42.0551758110699	28.033	10.446795585250053	S100a6	-0.02341697153743808	0.02971335698069623
NM_007669	chr17	29093772	29100722	+	1905.0	1	Cdkn1a|CAP20|CDKI|CIP1|Cdkn1|P21|SDI1|Waf1|mda6|p21Cip1|p21WAF|-|17 A3.3|17 15.12 cM|protein-coding	155.312	127.14	83.258	182.567	38.293	136.752	127.022	87.884	120.996	28.579	39.585	157.31799999999996	172.73	19.756	36.841	37.567	1.0267190462827227	61.4215	30.881474454760102	124.068	4.344464063609808	141.167	20.004050839767405	177.6485	6.9558094065315235	Cdkn1a	0.00680997232833041	0.028644436175538485
NM_009983	chr7	142375916	142387870	-	1943.0	1	Ctsd|CD|CatD|-|7 F5|7|protein-coding	98.482	122.847	137.70600000000002	88.196	352.61	157.99200000000005	187.194	325.466	188.8	436.223	401.529	131.679	122.154	563.88	637.068	494.839	201.1421807627629	269.6175	186.55103233297848	155.82350000000002	46.63581353959629	142.83800000000005	62.728856772621	105.175	24.01193207553279	Ctsd	-0.019078856007417478	0.050430661192624855
NM_001081163	chr7	66109515	66173798	+	4171.0	1	Chsy1|mKIAA0990|-|7 C|7|protein-coding	12.981	8.748	4.766	17.852999999999994	7.053	14.909	11.183	8.183	12.224	11.429	10.329	15.833	16.392	11.548	12.027	9.54	3.517149129621888	7.5475	3.9336350237407656	10.485999999999999	2.4579031714044293	12.082	1.27137799257341	17.1225	1.0330830073135338	Chsy1	0.00031019198359153583	0.004513227565803049
NM_024267	chr14	55625629	55635678	-	3579.0	1	Ipo4|8430408O15Rik|AA409693|Imp4a|RanBP4|-|14 C3|14 28.19 cM|protein-coding	53.524	38.785	27.563	52.101000000000006	10.906	38.024	32.294000000000004	21.256	32.57	9.535	9.683	40.729	43.679	4.683	5.22	8.062999999999999	4.020609157826709	18.623	12.643069247615474	35.67749999999999	4.394668645074443	42.909	15.011876964590394	47.89	5.955253311153164	Ipo4	0.0020203108224360732	0.0052934855277046505
NM_134023	chr11	4186833	4215505	+	1902.0	1	Tbc1d10a|AI447804|EPI64|Tbc1d10|mFLJ00288|RP23-453B22.5|11 A1|11|protein-coding	46.182	65.24600000000001	51.887	43.805	22.724	28.76	32.387	33.855	31.27	16.093	17.83	30.138	39.89	15.692	15.383	19.0535	5.190870880690444	34.8585	24.08193564687025	48.258	24.024659997594146	39.2845	9.754538046468467	41.8475	2.768323048345416	Tbc1d10a	0.001198320880116998	-0.00738861348219105
NM_001286058	chr12	84373876	84400934	-	4857.0	1	Entpd5|AI196558|AI987697|Cd39l4|ER-UDPase|NTPDase-5|NTPDase5|Pcph|mNTPase|-|12 E|12 39.18 cM|protein-coding	4.823	7.2120000000000015	9.903	3.905	17.372	4.909	6.215	8.982999999999997	6.693	12.979	12.004	5.152	5.023	15.331	12.974	15.173	3.109855623658435	10.9535	1.485631347272935	6.9525000000000015	0.3669884194358012	5.519	0.9842926394116736	4.464	0.7905453813665624	Entpd5	-0.0005386095468116534	-0.00027940738169919375
NM_153560	chr2	32535359	32569750	+	4204.0	1	Fam102a|AI426465|C230093N12Rik|Eeig1|RP23-255P20.4|2 B|2|protein-coding	20.605	31.752	41.658	13.545	64.391	26.879	33.086	43.239	32.69	37.906	37.37300000000001	23.526	23.357	38.596	30.743	47.56700000000001	23.79272897336493	39.5155	3.0299525573844024	32.221	0.6632661607529997	26.8455	8.825399735989286	18.451	6.938131737002402	Fam102a	-0.0013177447010295263	-0.004441321584037704
NM_010497	chr1	65158616	65179142	-	2252.0	1	Idh1|AI314845|AI788952|E030024J03Rik|Id-1|Idh-1|Idpc|-|1 C2|1 32.91 cM|protein-coding	4.15	7.637	10.388	3.867	31.52	6.981	8.874	16.062	8.229	27.038	24.789	6.238	3.677	29.468000000000004	32.569	32.0445	0.7417550134648913	17.5885	10.183044755867472	7.933	0.418607214462446	6.5120000000000005	3.340372434325252	3.772	0.13435028842543953	Idh1	-0.0014058830497997066	0.002218864723532587
NM_033080	chr7	35547185	35555928	-	1917.0	1	Nudt19|D7Rp2|D7Rp2-r|D7Rp2-s|D7Rp2e|RP2-r|RP2-s|-|7 B2|7 21.37 cM|protein-coding	13.991	11.153	8.833	14.757	7.039	10.561	8.291	6.5710000000000015	7.667999999999998	3.023	4.112	12.25	11.616	3.641	2.991	5.015	2.8623682502431453	6.4725	3.33825111398169	9.4105	2.4642671324351157	11.140999999999998	4.030508652763322	13.1865	2.2210223997069654	Nudt19	0.00038886476131382307	0.0018130093766616086
NM_028464	chr17	49428364	49455430	+	2631.0	1	Mocs1|3110045D15Rik|AI043170|AW536397|-|17 C|17|protein-coding	7.072	7.586	10.338	6.125	19.827	8.577	8.829	12.652	8.794	20.396	20.333	8.633	8.145	26.739	25.886	22.8565	4.284359987209282	15.3355	7.06753227795954	8.190000000000001	0.8541849916733383	7.9505	1.2423866145447655	7.135	1.4283556979968255	Mocs1	-0.000819915090114799	0.001141888890971035
NM_001109756	chr8	88282992	88329962	+	5907.0	1	Adcy7|AA407758|-|8 C3|8 43.06 cM|protein-coding	5.853	6.631	13.598	7.419	54.69300000000001	10.527	12.044	14.332	12.303	34.893	27.295	9.609	9.68	48.714	39.333	47.01300000000001	10.861160159025356	20.4465	9.68524158191215	9.467	4.0107096628901004	8.9485	4.37769808232592	8.5495	1.598768432262775	Adcy7	-0.0019352676019999482	0.008736679553395101
NM_018776	chr11	80046493	80080991	-	2386.0	1	Crlf3|BB164954|Creme9|Cytor4|RP23-253E9.5|11 B5|11 47.43 cM|protein-coding	37.464	41.596	61.897	40.446	136.789	36.468	38.174	47.63399999999999	34.298	68.972	65.953	34.125	32.876999999999995	93.101	84.59700000000002	110.693	36.90531712368831	63.925	2.8680251044929257	37.946999999999996	5.1604652890994025	37.819	0.5020458146415966	36.6615	5.352091226800979	Crlf3	-0.0037899946403554237	0.013963492809284803
NM_029418	chr15	58022271	58034294	-	1300.0	1	9130401M01Rik|AI849328|-|15 D1|15|protein-coding	41.328	41.449	30.297	39.438	17.18	24.408	21.847	17.756	20.068	8.266	8.847999999999997	22.757	24.446	4.506	9.619	13.3995	5.346434372551487	19.5725	15.166733349670254	30.7585	15.118650088549565	31.5875	13.775147204295141	31.941999999999997	10.600944863548733	9130401M01Rik	0.0010197286765259764	0.0005749270965782159
NM_025682	chr14	56722449	56778316	-	2364.0	1	Pspc1|5730470C09Rik|AI327109|AI449052|PSP1|-|14 C3|14|protein-coding	34.072	36.526	30.259	37.49	14.543	26.722	25.64	19.856	23.122	11.46	13.842	27.48	28.804	8.356	8.091000000000001	11.317	4.5622529522156015	22.0505	11.608572026739555	29.824	9.47805929502449	29.856	5.962324378964977	33.14700000000001	6.141929501386305	Pspc1	0.0010687448261186665	-0.0015165557222744732
NM_029658	chr11	76019195	76027782	-	3506.0	1	Fam101b|1500005K14Rik|RefilinB|cfm|RP23-96I9.3|11|11 B4|protein-coding	4.255	4.9510000000000005	14.01	2.01	72.889	4.269	7.055	13.288	7.471	43.094	42.621	2.559	3.032	66.683	57.53	65.20949999999999	10.860453052244289	28.3155	20.231032116528315	6.211	1.7819090885900968	5.6549999999999985	1.9798989873223367	2.521	0.7226631303726505	Fam101b	-0.0031746161736750174	0.009470675803336303
NM_001163571	chr11	69673110	69682084	-	2217.0	1	Senp3|AA408656|Smt3ip|Smt3ip1|RP23-422L16.11-003|11|11 B4|protein-coding	50.887	45.087	37.228	54.627	27.89	40.66	36.375	34.124	38.571	22.06	25.427	45.653	51.989	20.658	17.879	22.884500000000006	7.078845986458505	31.3275	8.34456712478245	41.82899999999999	4.607507786211587	43.631	10.26153360857919	53.30799999999999	1.8653476887702576	Senp3	0.0013996350731926923	0.0037202873806228753
NM_025615	chr8	124839355	124863029	-	1373.0	1	2810004N23Rik|3110004G14Rik|Ayu21-55|Gt(pU21)55Imeg|GtAyu21-55|-|8 E2|8|protein-coding	65.502	55.938	36.848	59.761	21.086	31.18	27.398000000000003	23.373	26.729	9.913	10.725	32.526	38.877	6.218	4.6080000000000005	12.847000000000001	11.651705540391927	23.7865	18.471750444936177	41.3335	20.653881971677876	46.45	26.943596790332176	49.318999999999996	14.767218018299847	2810004N23Rik	0.001906138855155355	0.0032771822409664144
NM_011952	chr7	126759626	126765816	+	1761.0	1	Mapk3|Erk-1|Erk1|Ert2|Esrk1|Mnk1|Mtap2k|Prkm3|p44|p44erk1|p44mapk|-|7 F3|7 69.25 cM|protein-coding	20.633000000000006	29.479	37.624	19.963	77.446	23.915	31.215	53.27	29.952	81.913	72.49600000000002	23.671	22.114	99.571	97.136	87.291	13.922932521563206	55.06	24.658227673537297	29.7155	0.3344615075011033	25.924	7.482603958516062	21.0385	1.5209866863323198	Mapk3	-0.003362350957857081	0.0041832040692469045
NM_028599	chr1	45795501	45823613	+	2589.0	1	Wdr75|1300003A18Rik|2410118I19Rik|C77608|-|1|1 C1|protein-coding	65.605	48.177	38.435	62.352	12.78	43.355	40.012	27.481	36.38800000000001	9.835	11.662	44.619	39.916	6.691	6.93	9.855	4.136574669941301	25.0485	18.931369852707444	42.2825	8.336081843408246	52.8085	18.09698385090733	51.13399999999999	15.864647742701347	Wdr75	0.0022085098377569137	0.00225468112948507
NM_022653	chr10	81070083	81082360	+	2570.0	1	Thop1|AI131655|AI327041|EP24.15|-|10 C1|10 39.72 cM|protein-coding	21.622	18.342	9.182	24.321	3.0380000000000003	12.82	12.222	5.559	10.836	2.23	3.144	14.245	17.067999999999998	1.188	1.712	2.375	0.9376235918533626	6.162999999999999	4.269510744804373	14.589	5.307543499586223	16.922	6.646803743153543	20.6945	5.128645483946023	Thop1	0.0009113379577630169	0.0031458775510208787
NM_008404	chr10	77530348	77565674	+	2844.0	1	Itgb2|2E6|AI528527|Cd18|LAD|LCAMB|Lfa1|MF17|-|10 C1|10 39.72 cM|protein-coding	60.386	90.738	93.936	63.673	185.529	71.266	89.23299999999998	135.032	92.386	201.003	182.782	67.444	62.75899999999999	255.906	228.629	207.079	30.476302269140557	138.359	62.8236090813	91.562	1.1653119753932155	74.8095	20.397909316888267	63.216	0.6462955980046595	Itgb2	-0.007171674708087937	0.0057036171758018915
NM_172947	chr11	102163489	102185256	-	1217.0	1	Lsm12|1110032E16Rik|1110059P07|2600001B17Rik|RP23-167N11.2|11 D|11|protein-coding	35.4	29.658	21.676	36.071	12.872	28.027	24.11	20.181	26.498	15.518	12.507	30.292	29.884	12.083	9.747	11.3095	2.2097086912079607	17.0915	6.483462076699453	28.078000000000007	2.2344574285494367	29.755	7.983235559596126	32.9775	4.374869655201115	Lsm12	0.0011130576501461435	0.0023182410889531365
NM_027898	chr7	31130127	31151050	-	2660.0	1	Gramd1a|1300003M23Rik|AI415002|AW547240|D7Bwg0611e|-|7 B1|7 19.3 cM|protein-coding	37.355	39.372	66.76100000000001	33.088	126.683	37.269	46.863	52.622	46.255	90.634	83.184	38.339	39.271	116.681	92.14	109.4115	24.42558954252696	74.9725	11.612814667426706	42.81350000000001	4.867015974906934	42.109	6.7231712755217234	36.1795	4.372041228076337	Gramd1a	-0.0037652239441443042	0.004671339453277886
NM_001080944	chr2	126320973	126491553	-	5499.0	1	Atp8b4|A530043E15|Im|RP23-460B5.1|2 F1|2|protein-coding	5.2970000000000015	9.591	9.944	4.435	22.319000000000006	9.652	10.184	16.918	9.582	28.375	28.229	5.9110000000000005	4.5280000000000005	39.501	37.749	30.034	10.910657633708437	19.0865	12.929447493996019	9.5865	0.006363961031577281	7.7405	3.455630839658657	4.4815000000000005	0.06576093065031564	Atp8b4	-0.0012696310206414126	0.0002544288007024312
NM_015765	chr2	3488854	3512814	-	1775.0	1	Hspa14|70kDa|HSP70L1|Hsp70-4|NST-1|hsr.1|RP23-167G19.9|2 A1|2|protein-coding	50.644	50.625	39.171	57.015	29.243	41.635	30.942	26.683000000000003	32.749	16.84	19.245	38.303	38.142	13.129	15.425999999999998	22.3345	9.77009439565453	29.208000000000002	14.089809721923158	41.687	12.64024082049075	40.793	13.931417802937341	47.5785	13.345226281333721	Hspa14	0.0012361564904720915	0.0023190042193748026
NM_028754	chr4	107889899	107897802	+	1542.0	1	0610037L13Rik|1110008H16Rik|RP23-40G2.3|4 C7|4|protein-coding	25.71	24.916	19.415	21.978	12.338	17.229	15.064	13.737	14.871	7.475	7.845	15.095999999999998	17.816	8.324	6.922999999999999	9.6305	3.828983220125152	13.63	8.181225458328353	19.8935	7.102887617018865	20.387	7.5278587925119815	19.897000000000002	2.9429784232984457	0610037L13Rik	0.0005774552902184179	-0.00018780434349818125
NM_031181	chr7	43651070	43660161	-	1840.0	1	Siglece|Cd170|Siglec12|Siglec5|Siglec9|Siglecl1|mSiglec-E|-|7 B2|7|protein-coding	4.806	7.353	6.424	2.474	17.224	9.143	10.222	17.135	10.324000000000002	24.457	21.96	5.545	3.953	27.668000000000006	30.272	23.748	9.226329280922087	14.192	10.985610952514207	8.8385	2.1008142469052458	7.514000000000001	3.82969032690634	3.2135	1.0458109293749054	Siglece	-0.0009569247577079082	0.0004992311423305368
NM_024260	chr6	3498393	3603531	+	3747.0	1	Ccdc132|1700034M03Rik|8430415E05Rik|BLM|C87205|mKIAA1861|-|6 A1|6|protein-coding	13.869000000000002	11.212	10.817	12.169	4.263	10.62	10.604	8.377	9.905	6.448	5.398	10.742	9.512	3.625	4.419	4.340999999999998	0.11030865786511328	8.1075	3.8318116472499018	10.5585	0.9241885630108392	12.2365	2.308703640574074	10.8405	1.878782717612654	Ccdc132	0.00036320567985761125	-0.0007775313291697559
NM_007645	chr7	45233632	45238839	-	1216.0	1	Cd37|Tspan26|-|7 B4|7 29.2 cM|protein-coding	39.806	55.958	78.502	42.28100000000001	124.699	54.573	61.678	74.77199999999998	60.701	106.522	82.889	57.935	53.32899999999999	114.784	106.53	115.6145	12.847423107378555	80.6955	3.1020774490654666	58.3295	3.353807463167886	50.742	15.465839518112151	47.805	7.8121157185489825	Cd37	-0.003427876278555049	0.0049396495153304736
NM_133825	chr1	97643902	97662018	-	2733.0	1	D1Ertd622e|AI987691|AW047450|-|1 D|1 47.76 cM|protein-coding	9.277	11.446	13.603	8.619	15.606	8.957	10.788	14.832	11.667	26.307	24.69	9.53	7.329	28.636	26.439	21.0225	7.660087760593861	19.1465	7.839692883015263	11.5565	0.1562705986421068	10.0325	1.0684383463728722	7.974	0.912167747730636	D1Ertd622e	-0.0006836297855774943	-0.0026703178322264264
NM_001290790	chr2	118707517	118728438	-	5043.0	1	Plcb2|AI550384|B230205M18Rik|B230399N12|RP23-172B16.2|2 E5|2 59.43 cM|protein-coding	5.152	7.1960000000000015	8.791	4.413	19.13	8.995	12.644	18.979	11.434	35.461	30.3	8.276	7.622000000000001	45.38399999999999	35.958	27.544	11.89919291380723	19.5455	15.209159756541453	9.315	2.9967185386685884	8.898	5.297644004649613	6.0175	2.2691056608276323	Plcb2	-0.0010992936358756155	-0.0003441409020086917
NM_172856	chr2	68861557	69111290	+	3918.0	1	Cers6|4732462C07Rik|AW544719|Lass6|T1L|RP23-431D4.1|2 C2|2|protein-coding	4.749	5.447	6.034	5.376	18.315	10.467	12.602	21.374	12.617	35.703	38.418	10.823	7.382999999999999	39.41	45.69	32.0025	19.35704813498174	22.226	22.898946001945163	9.032	5.069955621107547	8.6755	5.552909552657959	6.3795	1.4191633098413976	Cers6	-0.0013430167373058301	-8.600921810990567e-06
NM_133227	chr15	8109313	8159859	+	6367.0	1	Nup155|D930027M19Rik|mKIAA0791|-|15|15 A2|protein-coding	12.559	10.265999999999998	9.282	14.379	6.3820000000000014	15.361	14.15	9.461	13.861	6.157	7.989	15.51	14.403	5.559	6.148	6.2650000000000015	0.16546298679760552	8.6355	0.9142890680742084	12.063499999999998	2.5420488783656525	13.354500000000002	1.1250068888677545	14.390999999999998	0.016970562748825812	Nup155	0.00041083538002492355	0.0008829354798229415
NM_018775	chr1	39371496	39478747	-	4417.0	1	Tbc1d8|AD3|HBLP1|VRP|-|1 B|1|protein-coding	9.298	14.727	11.991	9.529	34.084	14.183	17.651	32.04	17.426	41.94600000000001	34.089	13.442	8.677	50.828	61.833	47.9585	19.621506071145507	23.04	15.625645650660324	16.0765	1.9084812024225004	13.4745	5.9064629432512366	9.103	0.6024549775709443	Tbc1d8	-0.0018276377815674195	0.006275486956228401
