PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr12-24260	chr12	99264630	99529785	+	2000.9	16.213	intron (NM_183186, intron 1 of 5)	B3A|SINE|B2	52867	NM_183186	71375	Mm.341972	NM_183186	ENSMUSG00000033713	Foxn3	5430426H20Rik|AA589593|AW556347|Ches1|Ches1l|HTLFL1	forkhead box N3	protein-coding
chr11-69461	chr11	46277467	46487068	+	1996.0	18.724	intron (NM_001281966, intron 1 of 16)	intron (NM_001281966, intron 1 of 16)	7248	NM_001281968	16428	Mm.339927	NM_010583	ENSMUSG00000020395	Itk	Emt|Tcsk|Tsk	IL2 inducible T cell kinase	protein-coding
chr8-30457	chr8	81687266	81893690	+	1995.4	14.966	intron (NM_001024617, intron 7 of 24)	intron (NM_001024617, intron 7 of 24)	447916	NM_001297593	234515	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding
chr2-31031	chr2	79037281	79275712	+	1976.1	18.077	Intergenic	Intergenic	-98930	NM_010576	16401	Mm.31903	NM_010576	ENSMUSG00000027009	Itga4	CD49D|Itga4B	integrin alpha 4	protein-coding
chr9-18652	chr9	13414323	13651298	+	1974.3	18.075	Intergenic	Intergenic	-87179	NM_001013813	270118	Mm.116898	NM_173776	ENSMUSG00000031925	Maml2	5930431H10|BC032967	mastermind like 2 (Drosophila)	protein-coding
chr10-38143	chr10	42817381	42968739	+	1954.7	16.657	intron (NM_172938, intron 1 of 8)	L3|LINE|CR1	32548	NM_172938	268297	Mm.98731	NM_172938	ENSMUSG00000044770	Scml4	9330161D17|mFLJ00197	sex comb on midleg-like 4 (Drosophila)	protein-coding
chr12-28628	chr12	107113533	107269611	+	1940.5	16.238	Intergenic	L1Md_A|LINE|L1	-475248	NR_015512	71033	Mm.159404	NR_015512	ENSMUSG00000085820	4933406K04Rik	4930426M03Rik|4930485I22Rik|4933427G14Rik	RIKEN cDNA 4933406K04 gene	ncRNA
chr7-62234	chr7	132655932	132814366	+	1939.1	18.136	intron (NM_175268, intron 4 of 4)	intron (NM_175268, intron 4 of 4)	51786	NM_175268	77938	Mm.225649	NM_175268	ENSMUSG00000030956	Fam53b	A930008G19Rik|mKIAA0140	family with sequence similarity 53, member B	protein-coding
chr3-9109	chr3	52555357	52773002	+	1921.6	17.188	Intergenic	Intergenic	-75545	NR_038079	329639	Mm.131245	NR_038079		Gm2447	100039832|A530017F20	predicted gene 2447	ncRNA
chr2-65316	chr2	3566041	3773152	+	1915.8	17.049	Intergenic	Intergenic	-43862	NM_025626	66540	Mm.277864	NM_025626	ENSMUSG00000026655	Fam107b	3110001A13Rik|AA589595|AA959793|AI132312	family with sequence similarity 107, member B	protein-coding
chr13-38840	chr13	112331474	112492327	+	1915.2	17.187	Intergenic	ERVB3_1-LTR_MM|LTR|ERVK	-52170	NM_010560	16195	Mm.4364	NM_010560	ENSMUSG00000021756	Il6st	5133400A03Rik|AA389424|BB405851|CD130|D13Ertd699e|gp130	interleukin 6 signal transducer	protein-coding
chr11-46291	chr11	52224053	52368634	+	1912.4	14.513	Intergenic	Intergenic	-13772	NM_009331	21414	Mm.31630	NM_009331	ENSMUSG00000000782	Tcf7	AI465550|TCF-1|Tcf1	transcription factor 7, T cell specific	protein-coding
chr3-31849	chr3	95609591	95769594	+	1902.1	15.588	Intergenic	Intergenic	-1734	NM_144899	229595	Mm.490574	NM_144899	ENSMUSG00000015850	Adamtsl4	Tsrc1	ADAMTS-like 4	protein-coding
chr11-50315	chr11	117240263	117357799	+	1887.6	13.265	intron (NM_001113487, intron 2 of 10)	intron (NM_001113487, intron 2 of 10)	-32684	NM_017380	53860	Mm.38450	NM_017380	ENSMUSG00000059248	Sept9	MSF1|Msf|PNUTL4|Sint1	septin 9	protein-coding
chr2-40513	chr2	117288029	117451866	+	1886.6	18.858	Intergenic	ORR1A2|LTR|ERVL-MaLR	-27070	NM_011246	19419	Mm.42150	NM_011246	ENSMUSG00000027347	Rasgrp1	Rasgrp	RAS guanyl releasing protein 1	protein-coding
chr8-38547	chr8	13551407	13717581	+	1866.2	19.497	intron (NM_009025, intron 1 of 23)	intron (NM_009025, intron 1 of 23)	43093	NM_009025	19414	Mm.18517	NM_009025	ENSMUSG00000031453	Rasa3	AI326412|C86362|E130011G04|GAPIII|scat	RAS p21 protein activator 3	protein-coding
chr8-43987	chr8	122893393	123085869	+	1865.8	19.538	intron (NR_037865, intron 1 of 13)	intron (NR_037865, intron 1 of 13)	52653	NR_037865	77087	Mm.31567	NM_001081379	ENSMUSG00000035569	Ankrd11	2410104C19Rik|3010027A04Rik|6330578C09Rik|9530048I21Rik|AA930108|Gm176|Yod	ankyrin repeat domain 11	protein-coding
chr5-52130	chr5	100471415	100675150	+	1858.8	18.748	Intergenic	Intergenic	-1077	NM_139198	231507	Mm.34609	NM_139198	ENSMUSG00000029322	Plac8	C15|D5Wsu111e	placenta-specific 8	protein-coding
chr4-39269	chr4	8689731	8874206	+	1853.4	17.306	intron (NM_001277149, intron 2 of 37)	intron (NM_001277149, intron 2 of 37)	91562	NM_001277149	320790	Mm.138792	NM_001033395	ENSMUSG00000041235	Chd7	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|GENA 60|Gena 52|Lda|Mt|Obt|Todo|WBE1|Whi|metis	chromodomain helicase DNA binding protein 7	protein-coding
chr13-33381	chr13	5702417	5892387	+	1818.8	17.106	Intergenic	Intergenic	60690	NR_045891	71867	Mm.179181	NR_045891		1700016G22Rik	-	RIKEN cDNA 1700016G22 gene	ncRNA
chr3-32443	chr3	103736049	103933715	+	1814.8	13.164	TTS (NR_106164).2	TTS (NR_106164).2	2186	NM_001142959	229672	Mm.297245	NM_001142959	ENSMUSG00000044165	Bcl2l15	Bfk|Gm566	BCLl2-like 15	protein-coding
chr2-73650	chr2	153161174	153364832	+	1811.9	13.317	intron (NM_080463, intron 6 of 6)	intron (NM_080463, intron 6 of 6)	21471	NM_080463	140484	Mm.293761	NM_080463	ENSMUSG00000046020	Pofut1	O-FucT-1|mKIAA0180	protein O-fucosyltransferase 1	protein-coding
chr17-26366	chr17	35105764	35262998	+	1805.6	13.260	TTS (NM_010734)	TTS (NM_010734)	4059	NM_010734	16988	Mm.19379	NM_010734	ENSMUSG00000073412	Lst1	B144	leukocyte specific transcript 1	protein-coding
chr5-52654	chr5	107041202	107289607	+	1798.6	12.367	intron (NM_011578, intron 4 of 16)	intron (NM_011578, intron 4 of 16)	124191	NM_011578	21814	Mm.200775	NM_011578	ENSMUSG00000029287	Tgfbr3	1110036H20Rik|AU015626|AW215636|TBRIII	transforming growth factor, beta receptor III	protein-coding
chr15-40903	chr15	85956063	86131141	+	1798.5	5.987	Intergenic	Intergenic	-9825	NM_009886	12614	Mm.22680	NM_009886	ENSMUSG00000016028	Celsr1	Crsh|Scy|crash	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	protein-coding
chr1-39549	chr1	53761545	53911010	+	1798.4	9.164	intron (NM_001001883, intron 23 of 28)	MYSERV16_I-int|LTR|ERVK	-13147	NR_106149	102465783		NR_106149	miRBase:MI0025029	Mir7681	mmu-mir-7681	microRNA mir-7681	ncRNA
chr13-36153	chr13	51720245	51855830	+	1797.3	8.625	intron (NM_013660, intron 1 of 15)	intron (NM_013660, intron 1 of 15)	5710	NM_001281880	20354	Mm.33903	NM_013660	ENSMUSG00000021451	Sema4d	CD100|Semacl2|Semaj|Semcl2|coll-4	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	protein-coding
chr18-20509	chr18	82450380	82589296	+	1790.6	7.781	intron (NM_001025245, intron 2 of 3)	intron (NM_001025245, intron 2 of 3)	-34625	NM_001025255	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding
chr16-16917	chr16	49748133	49892255	+	1789.7	6.981	Intergenic	Lx6|LINE|L1	-35460	NM_010581	16423	Mm.31752	NM_010581	ENSMUSG00000055447	Cd47	9130415E20Rik|AA407862|AI848868|AW108519|B430305P08Rik|IAP|Itgp	CD47 antigen (Rh-related antigen, integrin-associated signal transducer)	protein-coding
chr10-38583	chr10	60249729	60411774	+	1788.0	7.841	intron (NM_023370, intron 42 of 68)	ID_B1|SINE|B4	-16100	NM_028732	74048	Mm.273584	NM_028732	ENSMUSG00000020101	4632428N05Rik	Dies1|PD-1H|VISTA	RIKEN cDNA 4632428N05 gene	protein-coding
chr3-35879	chr3	79126823	79294557	+	1767.7	8.178	Intergenic	Intergenic	-2229	NR_045502	70924	Mm.444622	NR_045502		4921511C10Rik	-	RIKEN cDNA 4921511C10 gene	ncRNA
chr8-38912	chr8	22630839	22819511	+	1767.5	8.525	Intergenic	Intergenic	-18592	NM_010546	16150	Mm.277886	NM_010546	ENSMUSG00000031537	Ikbkb	AI132552|IKK-2|IKK-beta|IKK2|IKK[b]|IKKbeta	inhibitor of kappaB kinase beta	protein-coding
chr18-12960	chr18	80581481	80746086	+	1765.5	7.452	intron (NM_198429, intron 5 of 9)	intron (NM_198429, intron 5 of 9)	44390	NM_001164111	18018	Mm.329560	NM_016791	ENSMUSG00000033016	Nfatc1	2210017P03Rik|AI449492|AV076380|NF-ATc|NFAT2|NFATc|Nfatcb	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	protein-coding
chr1-48312	chr1	136524896	136738544	+	1762.6	8.670	Intergenic	Intergenic	6819	NM_001160251	226442	Mm.62521	NM_177643	ENSMUSG00000041483	Zfp281	Znf281	zinc finger protein 281	protein-coding
chr8-5659	chr8	94337822	94469247	+	1758.2	9.478	Intergenic	B4|SINE|B4	17034	NM_022331	64209	Mm.29151	NM_022331	ENSMUSG00000031770	Herpud1	Herp|Mifl|SUP	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	protein-coding
chr6-40508	chr6	39226407	39398528	+	1756.4	5.633	Intergenic	Intergenic	65240	NM_028123	72144	Mm.482167	NM_028123	ENSMUSG00000029924	Slc37a3	2610507O21Rik|AU044904	solute carrier family 37 (glycerol-3-phosphate transporter), member 3	protein-coding
chr10-50990	chr10	40341993	40530069	+	1753.4	5.893	intron (NM_198164, intron 3 of 11)	intron (NM_198164, intron 3 of 11)	86723	NM_001291817	78334	Mm.200924	NM_198164	ENSMUSG00000038481	Cdk19	2700084L06Rik|AI845279|AW228747|CDK11|Cdc2l6|mKIAA1028	cyclin-dependent kinase 19	protein-coding
chr14-35463	chr14	73079068	73260597	+	1752.2	6.268	intron (NM_001170694, intron 10 of 14)	intron (NM_001170694, intron 10 of 14)	27047	NR_033185	105670	Mm.280068	NM_134083	ENSMUSG00000022106	Rcbtb2	2610028E02Rik|2810420M18Rik|AI448345|AW240694|Chc1l|RC/BTB2	regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2	protein-coding
chr1-56614	chr1	159951934	160079823	+	1745.1	6.305	Intergenic	L1MDa|LINE|L1	-28502	NM_001162896	67647	Mm.171518	NM_001024470	ENSMUSG00000090394	4930523C07Rik	-	RIKEN cDNA 4930523C07 gene	protein-coding
chr11-49809	chr11	108150810	108344307	+	1739.2	6.172	intron (NM_011101, intron 2 of 16)	MLT1B|LTR|ERVL-MaLR	96330	NM_011101	18750	Mm.222178	NM_011101	ENSMUSG00000050965	Prkca	AI875142|Pkca	protein kinase C, alpha	protein-coding
chr15-40414	chr15	81011250	81219579	+	1738.7	5.924	intron (NM_001082536, intron 2 of 13)	intron (NM_001082536, intron 2 of 13)	-10367	NM_153049	223701	Mm.439814	NM_153049	ENSMUSG00000042292	Mkl1	AMKL|Bsac|Mal|Mrtf-A	MKL (megakaryoblastic leukemia)/myocardin-like 1	protein-coding
chr10-20563	chr10	80558582	80714904	+	1737.2	6.267	intron (NM_001159591, intron 2 of 11)	intron (NM_001159591, intron 2 of 11)	7087	NM_001159591	103236	Mm.29873	NM_134002	ENSMUSG00000003345	Csnk1g2	2810429I12Rik|AI463719	casein kinase 1, gamma 2	protein-coding
chr17-42271	chr17	49992738	50209374	+	1733.3	6.861	intron (NM_181397, intron 3 of 9)	(TG)n|Simple_repeat|Simple_repeat	89441	NM_181397	76438	Mm.41854	NM_181397		Rftn1	2310015N21Rik|AI853526	raftlin lipid raft linker 1	protein-coding
chr8-42836	chr8	111490102	111630225	+	1730.2	5.904	intron (NM_001168623, intron 1 of 4)	L2|LINE|L2	21820	NM_001168623	170737	Mm.271578	NM_133206	ENSMUSG00000033545	Znrf1	B830022L21Rik|Rnf42|Zrfp1|nin283	zinc and ring finger 1	protein-coding
chr9-48702	chr9	41026375	41182178	+	1726.4	5.229	intron (NM_176860, intron 1 of 13)	intron (NM_176860, intron 1 of 13)	53218	NM_176860	72828	Mm.133615	NM_176860	ENSMUSG00000032020	Ubash3b	2810457I06Rik|BB125008|TULA-2|p70	ubiquitin associated and SH3 domain containing, B	protein-coding
chr17-26875	chr17	50441910	50685098	+	1725.9	5.701	intron (NM_013880, intron 1 of 5)	intron (NM_013880, intron 1 of 5)	53957	NM_013880	224860	Mm.217362	NM_013880	ENSMUSG00000038910	Plcl2	PLC-L2|PRIP-2|Plce2|mKIAA1092	phospholipase C-like 2	protein-coding
chr7-39212	chr7	102198852	102394438	+	1721.2	5.745	intron (NM_009287, intron 1 of 11)	intron (NM_009287, intron 1 of 11)	28821	NM_009287	20866	Mm.645	NM_009287	ENSMUSG00000030987	Stim1	SIM	stromal interaction molecule 1	protein-coding
chr11-65577	chr11	107338098	107493696	+	1716.9	5.055	intron (NM_145823, intron 1 of 9)	RLTR48C|LTR|ERV1	54823	NM_145823	71795	Mm.397413	NM_145823	ENSMUSG00000040430	Pitpnc1	1110020B03Rik|5830436L09Rik|AI662802|AI851387|C330017I21Rik|Dnr411|RDGBB|RDGBB1|rdgB-beta	phosphatidylinositol transfer protein, cytoplasmic 1	protein-coding
chr10-26041	chr10	68080479	68286742	+	1714.7	4.478	intron (NM_023598, intron 4 of 9)	intron (NM_023598, intron 4 of 9)	95116	NM_023598	71371	Mm.440357	NM_023598	ENSMUSG00000019947	Arid5b	4930580B11|5430435G07Rik|AI467247|Desrt|Mrf2|Mrf2alpha|Mrf2beta	AT rich interactive domain 5B (MRF1-like)	protein-coding
chr1-34718	chr1	54785728	54945550	+	1712.3	3.982	intron (NM_001081433, intron 1 of 27)	intron (NM_001081433, intron 1 of 27)	60748	NM_001081433	329154	Mm.397910	NM_001081433	ENSMUSG00000052331	Ankrd44	4930444A19Rik|A130096K20|E130014H08Rik|PP6-ARS-B	ankyrin repeat domain 44	protein-coding
chr16-10413	chr16	91354814	91497803	+	1709.3	4.633	TTS (NM_008349)	TTS (NM_008349)	20073	NM_008349	16155	Mm.4154	NM_008349	ENSMUSG00000022969	Il10rb	6620401D04Rik|AI528744|CRF2-4|Crfb4|D16H21S58|D21S58h|IL-10R2|Il10r2	interleukin 10 receptor, beta	protein-coding
chr17-40582	chr17	29380848	29537284	+	1707.6	5.629	Intergenic	Intergenic	-31979	NM_008842	18712	Mm.405293	NM_008842		Pim1	Pim-1	proviral integration site 1	protein-coding
chr1-38299	chr1	183924120	184079995	+	1707.3	5.019	Intergenic	Intergenic	31941	NM_028516	73363	Mm.50115	NM_028516	ENSMUSG00000044854	1700056E22Rik	-	RIKEN cDNA 1700056E22 gene	protein-coding
chr1-49167	chr1	161659200	161832209	+	1707.1	4.848	Intergenic	MT2C_Mm|LTR|ERVL	42791	NM_001205243	14103	Mm.3355	NM_010177	ENSMUSG00000000817	Fasl	APT1LG1|CD178|CD95-L|CD95L|Fas-L|Faslg|Tnfsf6|gld	Fas ligand (TNF superfamily, member 6)	protein-coding
chr4-41845	chr4	102483665	102653149	+	1705.9	4.999	intron (NM_019840, intron 5 of 14)	intron (NM_019840, intron 5 of 14)	-1653	NM_001177980	18578	Mm.20181	NM_019840	ENSMUSG00000028525	Pde4b	Dpde4|R74983|dunce	phosphodiesterase 4B, cAMP specific	protein-coding
chr13-25834	chr13	41317390	41525713	+	1702.0	5.038	intron (NM_001111324, intron 2 of 7)	intron (NM_001111324, intron 2 of 7)	-62550	NM_017464	18003	Mm.288980	NM_017464	ENSMUSG00000021365	Nedd9	Cas-L|CasL|HEF1|MEF1|Nedd-9|p105	neural precursor cell expressed, developmentally down-regulated gene 9	protein-coding
chr6-16467	chr6	41492695	41588147	+	1692.2	5.141	Intergenic	Intergenic	18645	NM_009430	22072	Mm.276926	NM_009430	ENSMUSG00000057163	Prss2	TRY8|TRYP|Ta|Tesp4|Try2	protease, serine 2	protein-coding
chr12-38530	chr12	102581269	102713664	+	1691.1	5.971	intron (NM_172584, intron 2 of 9)	intron (NM_172584, intron 2 of 9)	37554	NR_035457	100316812		NR_035457		Mir1936	mmu-mir-1936	microRNA 1936	ncRNA
chr10-44597	chr10	59878860	60003923	+	1689.8	6.407	Intergenic	B1_Mus1|SINE|Alu	10379	NM_029083	74747	Mm.21697	NM_029083	ENSMUSG00000020108	Ddit4	5830413E08Rik|AA415483|REDD1|Rtp801|dig2	DNA-damage-inducible transcript 4	protein-coding
chr1-61818	chr1	74140630	74398381	+	1686.5	7.962	Intergenic	Intergenic	-9095	NM_174985	227289	Mm.246587	NM_174985	ENSMUSG00000064272	Gpbar1	BG37|GPCR|GPR131|M-BAR|TGR5	G protein-coupled bile acid receptor 1	protein-coding
chr10-34973	chr10	93242254	93457949	+	1683.4	7.931	Intergenic	IMPB_01|Satellite|Satellite	13869	NR_038014	432488	Mm.32833	NR_038014		Gm17745	-	predicted gene, 17745	ncRNA
chr7-36847	chr7	30939163	31113899	+	1681.1	6.907	Intergenic	Intergenic	13786	NR_106017	102465635		NR_106017		Mir7050	mmu-mir-7050	microRNA mir-7050	ncRNA
chr14-35038	chr14	66178871	66306894	+	1676.5	8.944	intron (NM_001162365, intron 1 of 30)	intron (NM_001162365, intron 1 of 30)	-29330	NM_001162366	19229	Mm.21613	NM_172498	ENSMUSG00000059456	Ptk2b	CADTK|CAKB|CAKbeta|E430023O05Rik|FADK2|FAK2|PYK2|Raftk	PTK2 protein tyrosine kinase 2 beta	protein-coding
chr11-54536	chr11	75914230	76087516	+	1674.2	8.722	intron (NM_198637, intron 1 of 1)	intron (NM_198637, intron 1 of 1)	961	NM_198637	74230	Mm.271247	NM_198637	ENSMUSG00000053783	1700016K19Rik	-	RIKEN cDNA 1700016K19 gene	protein-coding
chr2-8630	chr2	29619211	29732639	+	1665.0	8.337	intron (NM_001039086, intron 1 of 25)	L1MB8|LINE|L1	56205	NM_001039087	107746	Mm.298274	NM_054050	ENSMUSG00000039844	Rapgef1	4932418O06Rik|C3G|Grf2	Rap guanine nucleotide exchange factor (GEF) 1	protein-coding
chr16-22933	chr16	57378852	57586008	+	1661.2	10.691	intron (NM_001040397, intron 1 of 4)	intron (NM_001040397, intron 1 of 4)	-66812	NM_001177871	78749	Mm.328360	NM_001040397	ENSMUSG00000043336	Filip1l	4631422O05Rik|Doc1	filamin A interacting protein 1-like	protein-coding
chr11-45320	chr11	21071333	21270359	+	1656.7	10.484	Intergenic	Intergenic	-68186	NM_139061	245944	Mm.170103	NM_139061	ENSMUSG00000020128	Vps54	Hcc8|Vps54l|mSLP8|wr	vacuolar protein sorting 54 (yeast)	protein-coding
chr2-33640	chr2	18889543	19008030	+	1645.1	10.311	intron (NM_008845, intron 1 of 9)	intron (NM_008845, intron 1 of 9)	49335	NM_008845	18718	Mm.313977	NM_008845	ENSMUSG00000026737	Pip4k2a	AW742916|Pip5k2a	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha	protein-coding
chr18-9586	chr18	65300645	65445671	+	1644.9	10.005	intron (NM_001037294, intron 2 of 12)	RSINE1|SINE|B4	20730	NM_001037294	225638	Mm.296528	NM_001037294	ENSMUSG00000032845	Alpk2	Gm549|Hak	alpha-kinase 2	protein-coding
chr2-20301	chr2	167686330	167859349	+	1643.6	10.273	Intergenic	Intergenic	81662	NR_015500	329562	Mm.123101	NM_177851	ENSMUSG00000006462	A530013C23Rik	-	RIKEN cDNA A530013C23 gene	ncRNA
chr11-12611	chr11	22754739	22909666	+	1628.4	9.936	Intergenic	Intergenic	27533	NM_016888	53625	Mm.395495	NM_016888	ENSMUSG00000051650	B3gnt2	AA408337|AA409404|AW260308|B3Galt6|B3gnt1|BGnT-1|BGnT-2|BGnT1|BGnT2|Beta3gnt	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	protein-coding
chr11-73398	chr11	86512599	86658167	+	1627.2	9.929	exon (NM_029478, exon 12 of 12)	exon (NM_029478, exon 12 of 12)	-1225	NR_029738	387140		NR_029738	miRBase:MI0000569	Mir21a	Mir21|Mirn21|mmu-mir-21|mmu-mir-21a	microRNA 21a	ncRNA
chr2-34749	chr2	58089813	58203604	+	1623.5	9.002	intron (NM_139200, intron 5 of 7)	MIRc|SINE|MIR	13414	NM_139200	227929	Mm.273905	NM_139200	ENSMUSG00000026832	Cytip	A130053M09Rik|AI462064|C80816|Cbp|Cybr|Pscdbp	cytohesin 1 interacting protein	protein-coding
chr4-48170	chr4	87921911	88170365	+	1622.7	11.504	Intergenic	B4A|SINE|B4	-12731	NM_027326	70122	Mm.288898	NM_027326	ENSMUSG00000028496	Mllt3	2210011H10Rik|2610012I03Rik|3830408D16Rik|Af9|D4Ertd321e	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	protein-coding
chr4-41727	chr4	101146384	101269347	+	1612.1	11.536	intron (NM_146145, intron 1 of 24)	intron (NM_146145, intron 1 of 24)	57417	NM_146145	16451	Mm.289657	NM_146145	ENSMUSG00000028530	Jak1	AA960307|C130039L05Rik	Janus kinase 1	protein-coding
chr8-35281	chr8	81463878	81649044	+	1610.1	9.463	intron (NM_001297596, intron 2 of 24)	L1Md_F2|LINE|L1	213899	NM_001297593	234515	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding
chr11-33471	chr11	98437845	98565521	+	1605.6	9.499	intron (NM_011771, intron 3 of 7)	(TGGGGG)n|Simple_repeat|Simple_repeat	44348	NM_011771	22780	Mm.133367	NM_011771	ENSMUSG00000018168	Ikzf3	5830411O07Rik|Aiolos|Zfpn1a3|Znfn1a3	IKAROS family zinc finger 3	protein-coding
chr10-37316	chr10	21780928	22000668	+	1598.8	9.757	intron (NM_001161845, intron 1 of 13)	B3A|SINE|B2	8614	NM_001161845	20393	Mm.28405	NM_011361	ENSMUSG00000019970	Sgk1	Sgk	serum/glucocorticoid regulated kinase 1	protein-coding
chr7-50722	chr7	80572326	80736959	+	1585.7	9.644	intron (NM_173863, intron 2 of 14)	RSINE1|SINE|B4	18625	NR_040343	100504375	Mm.322881	NR_040343	ENSMUSG00000084821	Gm15880	OTTMUSG00000027171	predicted gene 15880	ncRNA
chr13-13706	chr13	73672701	73808552	+	1584.3	8.546	Intergenic	Intergenic	-23071	NM_011390	20499	Mm.275800	NM_011390	ENSMUSG00000017756	Slc12a7	AA408796|D13Ertd261e|Kcc4	solute carrier family 12, member 7	protein-coding
chr10-32407	chr10	21145124	21335414	+	1579.7	8.944	Intergenic	Intergenic	-55710	NM_019702	56422	Mm.25527	NM_019702	ENSMUSG00000019977	Hbs1l	2810035F15Rik|AI326327|eRFS	Hbs1-like (S. cerevisiae)	protein-coding
chr6-17523	chr6	120006511	120209161	+	1578.3	8.430	intron (NM_016718, intron 1 of 3)	intron (NM_016718, intron 1 of 3)	14456	NM_016718	29862	Mm.103668	NM_016718	ENSMUSG00000041377	Ninj2	-	ninjurin 2	protein-coding
chr10-29828	chr10	77498571	77647666	+	1573.2	7.232	Intergenic	Intergenic	-8649	NM_145925	108705	Mm.28853	NM_145925	ENSMUSG00000009291	Pttg1ip	1810010L20Rik|AI314311|AU018448|C79540	pituitary tumor-transforming 1 interacting protein	protein-coding
chr11-6121	chr11	53735845	53861214	+	1573.0	6.471	intron (NR_033332, intron 3 of 3)	intron (NR_033332, intron 3 of 3)	28056	NM_001159396	16362	Mm.105218	NM_008390	ENSMUSG00000018899	Irf1	AU020929|Irf-1	interferon regulatory factor 1	protein-coding
chr12-18143	chr12	82139257	82334199	+	1568.1	6.442	intron (NM_001167983, intron 2 of 23)	intron (NM_001167983, intron 2 of 23)	66712	NM_001167983	217692	Mm.261333	NM_172579	ENSMUSG00000042700	Sipa1l1	4931426N11Rik|AW213287|Spar|mKIAA0440	signal-induced proliferation-associated 1 like 1	protein-coding
chr5-47558	chr5	140151989	140332273	+	1564.0	7.985	intron (NM_010752, intron 10 of 17)	intron (NM_010752, intron 10 of 17)	79421	NM_010752	17120	Mm.27250	NM_010752	ENSMUSG00000029554	Mad1l1	AI173502|AW550425|Mad1	MAD1 mitotic arrest deficient 1-like 1	protein-coding
chr1-12758	chr1	155027892	155175494	+	1562.2	8.492	Intergenic	Intergenic	-2057	NM_010500	15939	Mm.12246	NM_010500	ENSMUSG00000056708	Ier5	-	immediate early response 5	protein-coding
chr2-56475	chr2	6558404	6740216	+	1561.5	8.389	intron (NM_001110232, intron 5 of 15)	intron (NM_001110232, intron 5 of 15)	235686	NM_010160	14007	Mm.398543	NM_010160	ENSMUSG00000002107	Celf2	B230218O03|B230345P09Rik|C88023|CELF-2|CUG-BP2|Cugbp2|D230046B21Rik|Etr-3|Napor|Napor-2|mETR-3	CUGBP, Elav-like family member 2	protein-coding
chr16-27468	chr16	92696862	92828462	+	1552.4	8.453	intron (NM_001111022, intron 2 of 6)	intron (NM_001111022, intron 2 of 6)	63412	NM_001111022	12394	Mm.4081	NM_009821	ENSMUSG00000022952	Runx1	AML1|CBF-alpha-2|Cbfa2|Pebp2a2|Pebpa2b	runt related transcription factor 1	protein-coding
chr4-40094	chr4	40757250	40911257	+	1551.1	7.622	intron (NM_022305, intron 1 of 5)	B3|SINE|B2	15885	NR_039584	100628614		NR_039584		Mir5123	mmu-mir-5123|mu-mir-5123	microRNA 5123	ncRNA
chr19-23997	chr19	34543466	34655748	+	1538.6	7.783	promoter-TSS (NM_001110517)	promoter-TSS (NM_001110517)	-180	NM_001110517	667373	Mm.371956	NM_001101605	ENSMUSG00000079339	Gm14446	OTTMUSG00000016644	predicted gene 14446	protein-coding
chr9-41591	chr9	32441027	32567071	+	1534.6	8.457	intron (NM_008026, intron 1 of 8)	intron (NM_008026, intron 1 of 8)	37403	NM_008026	14247	Mm.258908	NM_008026	ENSMUSG00000016087	Fli1	EWSR2|Fli-1|SIC-1|Sic1	Friend leukemia integration 1	protein-coding
chr1-62614	chr1	87785184	87945556	+	1530.1	8.718	intron (NM_177646, intron 1 of 29)	intron (NM_177646, intron 1 of 29)	12083	NM_177646	227333	Mm.277217	NM_177646	ENSMUSG00000070738	Dgkd	AI841987|D330025K09|DGKdelta|dgkd-2	diacylglycerol kinase, delta	protein-coding
chr11-16619	chr11	87662639	87770782	+	1529.5	7.487	intron (NM_172448, intron 2 of 9)	intron (NM_172448, intron 2 of 9)	17186	NR_045139	68690	Mm.342009	NR_045139		1110028F11Rik	-	RIKEN cDNA 1110028F11 gene	ncRNA
