PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr1-97255	chr1	183876138	184101965	+	2401.0	14.462	Intergenic	Intergenic	44947	NM_028516	73363	Mm.50115	NM_028516	ENSMUSG00000044854	1700056E22Rik	-	RIKEN cDNA 1700056E22 gene	protein-coding
chr2-99418	chr2	103565421	103728990	+	2392.4	16.050	intron (NM_178890, intron 1 of 16)	intron (NM_178890, intron 1 of 16)	80895	NM_178890	99382	Mm.35850	NM_178890	ENSMUSG00000032724	Abtb2	AW539457|BPOZ-2	ankyrin repeat and BTB (POZ) domain containing 2	protein-coding
chr7-57570	chr7	117375947	117620085	+	2349.0	15.394	intron (NM_175645, intron 2 of 11)	L1MA10|LINE|L1	117037	NM_175645	233781	Mm.461427	NM_175645	ENSMUSG00000030657	Xylt1	8030490L12	xylosyltransferase 1	protein-coding
chr2-89780	chr2	132543736	132732075	+	2343.8	17.493	intron (NR_033468, intron 4 of 5)	intron (NR_033468, intron 4 of 5)	39709	NR_033468	767814	Mm.371752	NR_033468	ENSMUSG00000074783	AU019990	-	expressed sequence AU019990	ncRNA
chr3-19654	chr3	95588248	95778323	+	2341.7	17.016	intron (NM_144899, intron 6 of 17)	(TGGGGG)n|Simple_repeat|Simple_repeat	4573	NM_144899	229595	Mm.490574	NM_144899	ENSMUSG00000015850	Adamtsl4	Tsrc1	ADAMTS-like 4	protein-coding
chr1-78932	chr1	53761448	53911013	+	2336.5	16.133	intron (NM_001001883, intron 23 of 28)	MYSERV16_I-int|LTR|ERVK	-13194	NR_106149	102465783		NR_106149	miRBase:MI0025029	Mir7681	mmu-mir-7681	microRNA mir-7681	ncRNA
chr10-15735	chr10	39358696	39543533	+	2325.4	15.516	intron (NM_001122892, intron 2 of 12)	intron (NM_001122892, intron 2 of 12)	81315	NM_001122892	14360	Mm.4848	NM_008054	ENSMUSG00000019843	Fyn	AI448320|AW552119	Fyn proto-oncogene	protein-coding
chr1-52213	chr1	60852167	61072350	+	2322.2	8.811	Intergenic	B3|SINE|B2	-15656	NM_017480	54167	Mm.42044	NM_017480	ENSMUSG00000026009	Icos	AILIM|CCLP|CRP-1|H4|Ly115	inducible T cell co-stimulator	protein-coding
chr15-55664	chr15	78427200	78632357	+	2308.6	8.852	promoter-TSS (NM_001204153)	promoter-TSS (NM_001204153)	-127	NM_001204152	72709	Mm.34776	NM_028331	ENSMUSG00000022440	C1qtnf6	2810036M19Rik|CTRP6	C1q and tumor necrosis factor related protein 6	protein-coding
chr1-76943	chr1	193102355	193295148	+	2303.3	8.809	intron (NM_153137, intron 2 of 15)	intron (NM_153137, intron 2 of 15)	2795	NM_153137	215243	Mm.261259	NM_153137	ENSMUSG00000037318	Traf3ip3	6030423D04Rik|AI115021|T3jam	TRAF3 interacting protein 3	protein-coding
chr13-15074	chr13	5702725	5892641	+	2298.4	8.239	Intergenic	B4A|SINE|B4	60409	NR_045891	71867	Mm.179181	NR_045891		1700016G22Rik	-	RIKEN cDNA 1700016G22 gene	ncRNA
chr7-40646	chr7	30973618	31174120	+	2293.7	6.553	intron (NM_008557, intron 1 of 7)	intron (NM_008557, intron 1 of 7)	2828	NM_008557	17178	Mm.263847	NM_008557		Fxyd3	Mat8	FXYD domain-containing ion transport regulator 3	protein-coding
chr11-59012	chr11	106647204	106793366	+	2293.0	6.720	Intergenic	Intergenic	-5004	NM_008816	18613	Mm.343951	NM_008816	ENSMUSG00000020717	Pecam1	C85791|Cd31|PECAM-1|Pecam	platelet/endothelial cell adhesion molecule 1	protein-coding
chr2-72913	chr2	166593234	166807198	+	2287.5	5.536	intron (NR_105783, intron 2 of 2)	intron (NR_105783, intron 2 of 2)	13616	NM_177782	277360	Mm.34420	NM_177782	ENSMUSG00000039621	Prex1	G630042G04|P-REX1|Setd6	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1	protein-coding
chr1-41726	chr1	171815617	172000834	+	2285.6	4.864	Intergenic	Lx|LINE|L1	-9312	NM_030710	30925	Mm.486404	NM_030710	ENSMUSG00000015314	Slamf6	KAL1|KAL1b|Ly108|NTB-A|NTBA|SF2000	SLAM family member 6	protein-coding
chr15-52156	chr15	9506799	9722295	+	2284.1	4.914	Intergenic	Intergenic	-84671	NM_008372	16197	Mm.389	NM_008372	ENSMUSG00000003882	Il7r	CD127|IL-7Ralpha	interleukin 7 receptor	protein-coding
chr2-76880	chr2	58075608	58203941	+	2283.7	5.238	intron (NM_139200, intron 6 of 7)	intron (NM_139200, intron 6 of 7)	20348	NM_139200	227929	Mm.273905	NM_139200	ENSMUSG00000026832	Cytip	A130053M09Rik|AI462064|C80816|Cbp|Cybr|Pscdbp	cytohesin 1 interacting protein	protein-coding
chr2-82622	chr2	3610305	3810643	+	2279.5	6.456	Intergenic	(GA)n|Simple_repeat|Simple_repeat	-2984	NM_025626	66540	Mm.277864	NM_025626	ENSMUSG00000026655	Fam107b	3110001A13Rik|AA589595|AA959793|AI132312	family with sequence similarity 107, member B	protein-coding
chr15-53897	chr15	59371511	59663768	+	2273.4	8.050	intron (NM_026746, intron 4 of 6)	B4|SINE|B4	-131015	NM_144549	211770	Mm.40298	NM_144549	ENSMUSG00000032501	Trib1	A530090O15Rik|TRB-1|Trb1	tribbles homolog 1 (Drosophila)	protein-coding
chr6-60907	chr6	41492304	41564097	+	2272.3	9.442	Intergenic	L1_Mur3|LINE|L1	6424	NM_009430	22072	Mm.276926	NM_009430	ENSMUSG00000057163	Prss2	TRY8|TRYP|Ta|Tesp4|Try2	protease, serine 2	protein-coding
chr11-39521	chr11	52224007	52372208	+	2267.1	10.264	Intergenic	PB1D10|SINE|Alu	-15536	NM_009331	21414	Mm.31630	NM_009331	ENSMUSG00000000782	Tcf7	AI465550|TCF-1|Tcf1	transcription factor 7, T cell specific	protein-coding
chr2-104146	chr2	170104498	170254067	+	2260.4	12.226	Intergenic	RLTR17B_Mm|LTR|ERVK	-36607	NM_001159683	228913	Mm.22858	NM_001033299	ENSMUSG00000052056	Zfp217	4933431C08Rik|AW987152|Gm562|ZABC1|Znf217	zinc finger protein 217	protein-coding
chr2-88461	chr2	117286800	117450340	+	2251.9	12.613	Intergenic	Intergenic	-25693	NM_011246	19419	Mm.42150	NM_011246	ENSMUSG00000027347	Rasgrp1	Rasgrp	RAS guanyl releasing protein 1	protein-coding
chr2-35216	chr2	6545581	6764151	+	2236.3	11.797	intron (NM_001110232, intron 5 of 15)	intron (NM_001110232, intron 5 of 15)	230130	NM_010160	14007	Mm.398543	NM_010160	ENSMUSG00000002107	Celf2	B230218O03|B230345P09Rik|C88023|CELF-2|CUG-BP2|Cugbp2|D230046B21Rik|Etr-3|Napor|Napor-2|mETR-3	CUGBP, Elav-like family member 2	protein-coding
chr9-60528	chr9	14858226	15069231	+	2225.6	15.642	Intergenic	(TTCA)n|Simple_repeat|Simple_repeat	-59777	NM_176807	64931	Mm.86738	NM_022888	ENSMUSG00000031933	Folr4	0910001L11Rik|C86255|Folbp3|Juno	folate receptor 4 (delta)	protein-coding
chr13-47074	chr13	51676807	51849790	+	2218.8	17.140	5' UTR (NM_001281880, exon 2 of 17)	5' UTR (NM_001281880, exon 2 of 17)	30449	NM_013660	20354	Mm.33903	NM_013660	ENSMUSG00000021451	Sema4d	CD100|Semacl2|Semaj|Semcl2|coll-4	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	protein-coding
chr15-62603	chr15	77777225	77908893	+	2206.0	16.459	promoter-TSS (NM_022410)	promoter-TSS (NM_022410)	-884	NM_022410	17886	Mm.29677	NM_022410	ENSMUSG00000022443	Myh9	Fltn|Myhn-1|Myhn1|NMHCIIA|NMMHC-A|NMMHC-IIA|TU72.6	myosin, heavy polypeptide 9, non-muscle	protein-coding
chr5-34804	chr5	134164991	134352963	+	2199.2	16.972	intron (NM_001080749, intron 15 of 32)	intron (NM_001080749, intron 15 of 32)	-29352	NR_104383	17969	Mm.425296	NM_010876	ENSMUSG00000015950	Ncf1	NCF-47K|NOXO2|Ncf-1|p47-phox|p47<phox>|p47phox	neutrophil cytosolic factor 1	protein-coding
chr9-11470	chr9	123923149	124128086	+	2198.4	15.454	intron (NM_009914, intron 1 of 1)	intron (NM_009914, intron 1 of 1)	3646	NM_009914	12771	Mm.57050	NM_009914	ENSMUSG00000035448	Ccr3	CC-CKR3|CKR3|Cmkbr1l2|Cmkbr3	chemokine (C-C motif) receptor 3	protein-coding
chr16-32247	chr16	57393342	57586030	+	2172.8	15.726	intron (NM_001040397, intron 1 of 4)	RLTR11A2|LTR|ERVK	-59556	NM_001177871	78749	Mm.328360	NM_001040397	ENSMUSG00000043336	Filip1l	4631422O05Rik|Doc1	filamin A interacting protein 1-like	protein-coding
chr11-82652	chr11	22778069	22954639	+	2158.1	14.849	Intergenic	Intergenic	-6018	NM_001169114	53625	Mm.395495	NM_016888	ENSMUSG00000051650	B3gnt2	AA408337|AA409404|AW260308|B3Galt6|B3gnt1|BGnT-1|BGnT-2|BGnT1|BGnT2|Beta3gnt	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	protein-coding
chr7-34936	chr7	80736450	80948482	+	2155.7	15.464	Intergenic	RMER10A|LTR|ERVL	-19642	NM_009553	22691	Mm.358645	NM_009553	ENSMUSG00000038797	Zscan2	Zfp-29|Zfp29	zinc finger and SCAN domain containing 2	protein-coding
chr4-39491	chr4	102486129	102656129	+	2144.0	14.778	intron (NM_001177980, intron 1 of 9)	intron (NM_001177980, intron 1 of 9)	1069	NM_001177980	18578	Mm.20181	NM_019840	ENSMUSG00000028525	Pde4b	Dpde4|R74983|dunce	phosphodiesterase 4B, cAMP specific	protein-coding
chr9-69655	chr9	44478177	44616598	+	2138.0	15.006	Intergenic	PB1D9|SINE|Alu	-20966	NM_007551	12145	Mm.6246	NM_007551	ENSMUSG00000047880	Cxcr5	Blr1|CXC-R5|CXCR-5|Gpcr6|MDR15	chemokine (C-X-C motif) receptor 5	protein-coding
chr18-6928	chr18	35702556	35959450	+	2125.6	11.343	intron (NM_133687, intron 1 of 2)	CpG	1185	NM_133687	67393	Mm.94560	NM_133687	ENSMUSG00000046668	Cxxc5	4930415K17Rik	CXXC finger 5	protein-coding
chr3-56191	chr3	105730827	105966529	+	2124.3	9.553	Intergenic	Intergenic	-22180	NM_027025	11542	Mm.235024	NM_009631	ENSMUSG00000000562	Adora3	1700001D09Rik|4930578J19Rik|A3AR|A3R|AA3R|ARA3|Gpcr2	adenosine A3 receptor	protein-coding
chr15-46251	chr15	100588512	100762499	+	2107.6	9.531	intron (NM_033612, intron 6 of 7)	intron (NM_033612, intron 6 of 7)	-6005	NM_001270537	668218	Mm.451225	NM_001270537	ENSMUSG00000098112	Bin2	-	bridging integrator 2	protein-coding
chr7-63537	chr7	102187276	102398958	+	2105.2	8.137	intron (NM_009287, intron 1 of 11)	intron (NM_009287, intron 1 of 11)	25293	NM_009287	20866	Mm.645	NM_009287	ENSMUSG00000030987	Stim1	SIM	stromal interaction molecule 1	protein-coding
chr8-56638	chr8	81453130	81667905	+	2102.9	9.800	intron (NM_001297596, intron 2 of 24)	RMER13B|LTR|ERVK	217955	NM_001297591	234515	Mm.324468	NM_001024617	ENSMUSG00000037940	Inpp4b	E130107I17Rik	inositol polyphosphate-4-phosphatase, type II	protein-coding
chr11-100551	chr11	108125400	108344398	+	2100.7	8.179	intron (NM_011101, intron 2 of 16)	MIR|SINE|MIR	108989	NM_011101	18750	Mm.222178	NM_011101	ENSMUSG00000050965	Prkca	AI875142|Pkca	protein kinase C, alpha	protein-coding
chr11-34319	chr11	86538896	86687680	+	2097.3	8.680	intron (NM_029478, intron 7 of 11)	U1|snRNA|snRNA	-29130	NR_029738	387140		NR_029738	miRBase:MI0000569	Mir21a	Mir21|Mirn21|mmu-mir-21|mmu-mir-21a	microRNA 21a	ncRNA
chr16-27768	chr16	23981003	24241443	+	2095.1	6.374	Intergenic	Intergenic	-122611	NM_009744	12053	Mm.347398	NM_009744	ENSMUSG00000022508	Bcl6	Bcl5	B cell leukemia/lymphoma 6	protein-coding
chr12-54458	chr12	82163365	82424580	+	2092.2	6.803	intron (NM_001167983, intron 3 of 23)	intron (NM_001167983, intron 3 of 23)	-17377	NM_172579	217692	Mm.261333	NM_172579	ENSMUSG00000042700	Sipa1l1	4931426N11Rik|AW213287|Spar|mKIAA0440	signal-induced proliferation-associated 1 like 1	protein-coding
chr8-47838	chr8	13551391	13709788	+	2075.7	8.158	intron (NM_009025, intron 2 of 23)	intron (NM_009025, intron 2 of 23)	46998	NM_009025	19414	Mm.18517	NM_009025	ENSMUSG00000031453	Rasa3	AI326412|C86362|E130011G04|GAPIII|scat	RAS p21 protein activator 3	protein-coding
chr14-39985	chr14	73080994	73269646	+	2073.5	8.670	intron (NM_001170694, intron 12 of 14)	intron (NM_001170694, intron 12 of 14)	31531	NR_030459	751541		NR_030459		Mir687	Mirn687|mir-687|mmu-mir-687	microRNA 687	ncRNA
chr8-59604	chr8	122904508	123073276	+	2069.1	9.742	intron (NR_037865, intron 1 of 13)	B1_Mur4|SINE|Alu	53392	NR_037865	77087	Mm.31567	NM_001081379	ENSMUSG00000035569	Ankrd11	2410104C19Rik|3010027A04Rik|6330578C09Rik|9530048I21Rik|AA930108|Gm176|Yod	ankyrin repeat domain 11	protein-coding
chr8-58411	chr8	111505430	111630353	+	2067.0	10.288	intron (NM_001168623, intron 1 of 4)	MLT1B|LTR|ERVL-MaLR	29548	NM_001168623	170737	Mm.271578	NM_133206	ENSMUSG00000033545	Znrf1	B830022L21Rik|Rnf42|Zrfp1|nin283	zinc and ring finger 1	protein-coding
chr6-58898	chr6	140460528	140726120	+	2062.0	10.407	intron (NM_144920, intron 30 of 30)	B1_Mm|SINE|Alu	-29339	NM_178803	11569	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding
chr11-96821	chr11	75909749	76154887	+	2051.0	8.526	Intergenic	Intergenic	-4536	NM_029658	76566	Mm.34131	NM_029658	ENSMUSG00000020846	Fam101b	1500005K14Rik|RefilinB|cfm	family with sequence similarity 101, member B	protein-coding
chr12-55829	chr12	102581122	102783398	+	2045.5	8.212	intron (NM_172584, intron 1 of 9)	MLT1D|LTR|ERVL-MaLR	2760	NR_035457	100316812		NR_035457		Mir1936	mmu-mir-1936	microRNA 1936	ncRNA
chr2-10753	chr2	153161269	153388485	+	2035.3	7.625	Intergenic	MIRc|SINE|MIR	-16539	NM_008444	16569	Mm.315560	NM_008444	ENSMUSG00000027475	Kif3b	AI854312|AW549267|mKIAA0359	kinesin family member 3B	protein-coding
chr17-57132	chr17	50451506	50686839	+	2029.6	7.517	intron (NM_013880, intron 1 of 5)	intron (NM_013880, intron 1 of 5)	59625	NM_013880	224860	Mm.217362	NM_013880	ENSMUSG00000038910	Plcl2	PLC-L2|PRIP-2|Plce2|mKIAA1092	phospholipase C-like 2	protein-coding
chr1-88989	chr1	54775289	54928176	+	2026.0	7.173	intron (NM_001081433, intron 1 of 27)	intron (NM_001081433, intron 1 of 27)	74655	NM_001081433	329154	Mm.397910	NM_001081433	ENSMUSG00000052331	Ankrd44	4930444A19Rik|A130096K20|E130014H08Rik|PP6-ARS-B	ankyrin repeat domain 44	protein-coding
chr2-54211	chr2	173307587	173545377	+	2021.5	5.699	Intergenic	Intergenic	-96110	NM_028158	72221	Mm.46132	NM_028158	ENSMUSG00000027518	1700021F07Rik	-	RIKEN cDNA 1700021F07 gene	protein-coding
chr18-30938	chr18	82447128	82622591	+	2021.3	5.101	intron (NM_001025245, intron 3 of 3)	intron (NM_001025245, intron 3 of 3)	-19604	NM_001025259	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding
chr6-64011	chr6	108366946	108604537	+	2020.6	3.724	intron (NM_010585, intron 49 of 61)	(TGAG)n|Simple_repeat|Simple_repeat	-4002	NR_106121	102465766		NR_106121		Mir7661	mmu-mir-7661	microRNA mir-7661	ncRNA
chr4-34343	chr4	8689688	8873239	+	2019.2	4.822	intron (NM_001277149, intron 2 of 37)	intron (NM_001277149, intron 2 of 37)	91057	NM_001277149	320790	Mm.138792	NM_001033395	ENSMUSG00000041235	Chd7	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|GENA 60|Gena 52|Lda|Mt|Obt|Todo|WBE1|Whi|metis	chromodomain helicase DNA binding protein 7	protein-coding
chr5-75885	chr5	140857604	141094365	+	2016.3	5.183	intron (NM_175362, intron 1 of 24)	intron (NM_175362, intron 1 of 24)	24612	NM_175362	108723	Mm.46187	NM_175362	ENSMUSG00000036526	Card11	0610008L17Rik|2410011D02Rik|BIMP3|CARMA1	caspase recruitment domain family, member 11	protein-coding
chr8-57622	chr8	94326619	94461588	+	2014.8	5.652	intron (NM_022331, intron 7 of 7)	intron (NM_022331, intron 7 of 7)	7603	NM_022331	64209	Mm.29151	NM_022331	ENSMUSG00000031770	Herpud1	Herp|Mifl|SUP	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	protein-coding
chr8-54137	chr8	22641107	22821076	+	2013.1	6.951	Intergenic	Lx8|LINE|L1	-24508	NM_001159774	16150	Mm.277886	NM_010546	ENSMUSG00000031537	Ikbkb	AI132552|IKK-2|IKK-beta|IKK2|IKK[b]|IKKbeta	inhibitor of kappaB kinase beta	protein-coding
chr2-67248	chr2	18887263	19008922	+	2011.7	6.935	intron (NM_008845, intron 1 of 9)	intron (NM_008845, intron 1 of 9)	50029	NM_008845	18718	Mm.313977	NM_008845	ENSMUSG00000026737	Pip4k2a	AW742916|Pip5k2a	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha	protein-coding
chr10-72782	chr10	40347630	40529725	+	1999.0	8.354	intron (NM_001291817, intron 4 of 11)	B3|SINE|B2	89369	NM_001168304	78334	Mm.200924	NM_198164	ENSMUSG00000038481	Cdk19	2700084L06Rik|AI845279|AW228747|CDK11|Cdc2l6|mKIAA1028	cyclin-dependent kinase 19	protein-coding
chr18-26504	chr18	65297532	65445946	+	1993.1	8.619	intron (NM_001037294, intron 3 of 12)	ORR1E|LTR|ERVL-MaLR	22149	NM_001037294	225638	Mm.296528	NM_001037294	ENSMUSG00000032845	Alpk2	Gm549|Hak	alpha-kinase 2	protein-coding
chr11-65689	chr11	117239469	117357391	+	1985.5	10.633	intron (NM_001113487, intron 2 of 10)	intron (NM_001113487, intron 2 of 10)	32184	NM_001113487	53860	Mm.38450	NM_017380	ENSMUSG00000059248	Sept9	MSF1|Msf|PNUTL4|Sint1	septin 9	protein-coding
chr15-25646	chr15	80978107	81225387	+	1977.1	11.715	intron (NM_001082536, intron 2 of 13)	intron (NM_001082536, intron 2 of 13)	3300	NM_153049	223701	Mm.439814	NM_153049	ENSMUSG00000042292	Mkl1	AMKL|Bsac|Mal|Mrtf-A	MKL (megakaryoblastic leukemia)/myocardin-like 1	protein-coding
chr1-45372	chr1	161653542	161834406	+	1976.5	11.587	Intergenic	Intergenic	44521	NM_001205243	14103	Mm.3355	NM_010177	ENSMUSG00000000817	Fasl	APT1LG1|CD178|CD95-L|CD95L|Fas-L|Faslg|Tnfsf6|gld	Fas ligand (TNF superfamily, member 6)	protein-coding
chr15-61817	chr15	67075805	67264754	+	1966.1	9.680	intron (NM_009177, intron 1 of 8)	MLT1A1|LTR|ERVL-MaLR	6603	NM_009177	20442	Mm.248334	NM_009177	ENSMUSG00000013846	St3gal1	5330418N22Rik|AI467004|ST3GalI|Siat4|Siat4a|St3gal-1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein-coding
chr5-57667	chr5	122109641	122318262	+	1961.5	9.233	intron (NM_001042489, intron 2 of 7)	intron (NM_001042489, intron 2 of 7)	3664	NM_028752	74096	Mm.28804	NM_028752	ENSMUSG00000064267	Hvcn1	0610039P13Rik|AI450555|BTS|HV1|Vsop.|mVSOP	hydrogen voltage-gated channel 1	protein-coding
chr9-71026	chr9	61621631	61830378	+	1947.2	8.301	Intergenic	Intergenic	188506	NM_018853	56040	Mm.3158	NM_018853	ENSMUSG00000007892	Rplp1	2410042H16Rik|Arpp1|C430017H15Rik	ribosomal protein, large, P1	protein-coding
chr15-56773	chr15	85944077	86125862	+	1938.6	7.034	Intergenic	Intergenic	-1192	NM_009886	12614	Mm.22680	NM_009886	ENSMUSG00000016028	Celsr1	Crsh|Scy|crash	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	protein-coding
chr5-37293	chr5	107048388	107289747	+	1938.0	6.983	intron (NM_011578, intron 4 of 16)	intron (NM_011578, intron 4 of 16)	120528	NM_011578	21814	Mm.200775	NM_011578	ENSMUSG00000029287	Tgfbr3	1110036H20Rik|AU015626|AW215636|TBRIII	transforming growth factor, beta receptor III	protein-coding
chr16-26454	chr16	91354832	91498489	+	1937.4	6.395	TTS (NM_008349)	TTS (NM_008349)	20425	NM_008349	16155	Mm.4154	NM_008349	ENSMUSG00000022969	Il10rb	6620401D04Rik|AI528744|CRF2-4|Crfb4|D16H21S58|D21S58h|IL-10R2|Il10r2	interleukin 10 receptor, beta	protein-coding
chr10-32856	chr10	68080630	68287273	+	1934.3	6.377	intron (NM_023598, intron 4 of 9)	intron (NM_023598, intron 4 of 9)	94775	NM_023598	71371	Mm.440357	NM_023598	ENSMUSG00000019947	Arid5b	4930580B11|5430435G07Rik|AI467247|Desrt|Mrf2|Mrf2alpha|Mrf2beta	AT rich interactive domain 5B (MRF1-like)	protein-coding
chr2-61238	chr2	29606645	29739535	+	1932.7	4.122	intron (NM_001039086, intron 1 of 25)	intron (NM_001039086, intron 1 of 25)	53370	NM_001039087	107746	Mm.298274	NM_054050	ENSMUSG00000039844	Rapgef1	4932418O06Rik|C3G|Grf2	Rap guanine nucleotide exchange factor (GEF) 1	protein-coding
chr10-78546	chr10	122642349	122829233	+	1932.3	3.851	intron (NM_176919, intron 1 of 8)	intron (NM_176919, intron 1 of 8)	56476	NR_106182	102466884		NR_106182		Mir8104	mmu-mir-8104	microRNA mir-8104	ncRNA
chr18-24336	chr18	80574067	80749423	+	1932.1	3.874	intron (NM_198429, intron 6 of 9)	intron (NM_198429, intron 6 of 9)	46428	NM_001164111	18018	Mm.329560	NM_016791	ENSMUSG00000033016	Nfatc1	2210017P03Rik|AI449492|AV076380|NF-ATc|NFAT2|NFATc|Nfatcb	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	protein-coding
chr11-89427	chr11	107338039	107484010	+	1925.4	3.859	intron (NM_145823, intron 1 of 9)	PB1D7|SINE|Alu	59696	NM_145823	71795	Mm.397413	NM_145823	ENSMUSG00000040430	Pitpnc1	1110020B03Rik|5830436L09Rik|AI662802|AI851387|C330017I21Rik|Dnr411|RDGBB|RDGBB1|rdgB-beta	phosphatidylinositol transfer protein, cytoplasmic 1	protein-coding
chr1-48086	chr1	87755144	87953969	+	1920.9	4.637	intron (NM_177646, intron 1 of 29)	intron (NM_177646, intron 1 of 29)	1269	NM_177646	227333	Mm.277217	NM_177646	ENSMUSG00000070738	Dgkd	AI841987|D330025K09|DGKdelta|dgkd-2	diacylglycerol kinase, delta	protein-coding
chr15-54642	chr15	66437518	66619667	+	1920.9	4.829	intron (NM_172514, intron 9 of 9)	MTE2a|LTR|ERVL-MaLR	-27682	NM_019457	54562	Mm.244890	NM_019457	ENSMUSG00000022375	Lrrc6	LRTP	leucine rich repeat containing 6 (testis)	protein-coding
chr15-48301	chr15	60070108	60195161	+	1914.1	4.986	Intergenic	Intergenic	-116016	NM_027668	71088	Mm.425950	NM_027668	ENSMUSG00000071749	4933412E24Rik	-	RIKEN cDNA 4933412E24 gene	protein-coding
chr19-30111	chr19	29342436	29506127	+	1913.3	5.192	intron (NM_021396, intron 2 of 5)	L1_Mus4|LINE|L1	13362	NM_021396	58205	Mm.116737	NM_021396		Pdcd1lg2	B7-DC|Btdc|F730015O22Rik|PD-L2	programmed cell death 1 ligand 2	protein-coding
chr13-52407	chr13	41321625	41520905	+	1912.9	4.190	intron (NM_001111324, intron 2 of 7)	intron (NM_001111324, intron 2 of 7)	-62264	NM_017464	18003	Mm.288980	NM_017464	ENSMUSG00000021365	Nedd9	Cas-L|CasL|HEF1|MEF1|Nedd-9|p105	neural precursor cell expressed, developmentally down-regulated gene 9	protein-coding
chr11-60738	chr11	20974291	21201271	+	1904.8	4.589	Intergenic	Intergenic	-3543	NM_023324	67245	Mm.28957	NM_023324	ENSMUSG00000020134	Peli1	2810468L03Rik|A930031K15Rik|AA409794|AI586297|D11Ertd676e	pellino 1	protein-coding
chr11-40537	chr11	83010606	83135553	+	1902.0	4.670	Intergenic	MERVL-int|LTR|ERVL	7967	NM_011408	20556	Mm.278689	NM_011408	ENSMUSG00000072620	Slfn2	Shlf2	schlafen 2	protein-coding
chr1-59782	chr1	136547353	136731144	+	1900.6	4.123	Intergenic	PB1D7|SINE|Alu	14347	NM_177643	226442	Mm.62521	NM_177643	ENSMUSG00000041483	Zfp281	Znf281	zinc finger protein 281	protein-coding
chr1-83911	chr1	155004864	155175587	+	1899.1	4.908	Intergenic	T-rich|Low_complexity|Low_complexity	9411	NM_010500	15939	Mm.12246	NM_010500	ENSMUSG00000056708	Ier5	-	immediate early response 5	protein-coding
chr1-88274	chr1	43444967	43601806	+	1898.8	5.060	intron (NM_010879, intron 2 of 4)	intron (NM_010879, intron 2 of 4)	77635	NM_010879	17974	Mm.389903	NM_010879	ENSMUSG00000066877	Nck2	4833426I10Rik|Grb4|NCKbeta|Nck-2	non-catalytic region of tyrosine kinase adaptor protein 2	protein-coding
chr5-71568	chr5	96852535	97039646	+	1891.8	4.957	Intergenic	B3A|SINE|B2	-51599	NM_080708	140780	Mm.281490	NM_080708	ENSMUSG00000034663	Bmp2k	4933417M22Rik|AA673486|AV128808|BIKE	BMP2 inducible kinase	protein-coding
chr3-48047	chr3	60467223	60618084	+	1891.2	6.007	intron (NM_001253708, intron 2 of 8)	intron (NM_001253708, intron 2 of 8)	41401	NM_020007	56758	Mm.255723	NM_020007	ENSMUSG00000027763	Mbnl1	Mbnl|mKIAA0428	muscleblind-like 1 (Drosophila)	protein-coding
chr12-52076	chr12	28667132	28886920	+	1887.8	8.032	intron (NM_201357, intron 3 of 8)	intron (NM_201357, intron 3 of 8)	25198	NM_201357	380752	Mm.273724	NM_201357	ENSMUSG00000036613	Tssc1	D12Ertd604e	tumor suppressing subtransferable candidate 1	protein-coding
chr13-54699	chr13	73641018	73804267	+	1882.1	8.158	Intergenic	Intergenic	-21947	NM_028878	74338	Mm.271635	NM_028878		Slc6a19	4632401C08Rik|B<0>AT1	solute carrier family 6 (neurotransmitter transporter), member 19	protein-coding
chr10-35626	chr10	59878719	60007991	+	1880.7	9.305	Intergenic	Intergenic	8415	NM_029083	74747	Mm.21697	NM_029083	ENSMUSG00000020108	Ddit4	5830413E08Rik|AA415483|REDD1|Rtp801|dig2	DNA-damage-inducible transcript 4	protein-coding
chr3-41911	chr3	9740865	9947766	+	1873.3	8.366	Intergenic	Intergenic	-10636	NM_001195031	94212	Mm.23897	NM_053182	ENSMUSG00000027508	Pag1	Cbp|F730007C19Rik|Pag	phosphoprotein associated with glycosphingolipid microdomains 1	protein-coding
