PeakID (cmd=annotatePeaks.pl AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr12-35862	chr12	79599488	79843560	+	2281.9	25.266	intron (NM_009014, intron 8 of 10)	B3|SINE|B2	391489	NM_007564	12192	Mm.235132	NM_007564	ENSMUSG00000021127	Zfp36l1	AW742437|AW743212|Berg36|Brf1|D530020L18Rik|ERF1|TIS11b|cMG1	zinc finger protein 36, C3H type-like 1	protein-coding
chr4-32364	chr4	6724298	6991840	+	2264.5	26.784	intron (NM_145711, intron 1 of 8)	intron (NM_145711, intron 1 of 8)	132654	NM_145711	252838	Mm.435828	NM_145711	ENSMUSG00000041272	Tox	1700007F02Rik	thymocyte selection-associated high mobility group box	protein-coding
chr6-52987	chr6	114767086	114937203	+	2264.1	27.453	intron (NM_001253717, intron 19 of 19)	MLT1A1|LTR|ERVL-MaLR	69608	NM_177683	232334	Mm.268357	NM_177683		Vgll4	BC048841|VGL-4	vestigial like 4 (Drosophila)	protein-coding
chr1-45448	chr1	39895223	40092546	+	2262.5	28.670	intron (NM_008696, intron 12 of 30)	intron (NM_008696, intron 12 of 30)	-90884	NM_010555	16178	Mm.1349	NM_010555	ENSMUSG00000026073	Il1r2	CD121b|Il1r-2	interleukin 1 receptor, type II	protein-coding
chr10-24986	chr10	96516430	96664656	+	2250.6	26.965	Intergenic	Intergenic	-26458	NM_007569	12226	Mm.23811	NM_007569	ENSMUSG00000036478	Btg1	AI426953|AW546738	B cell translocation gene 1, anti-proliferative	protein-coding
chr4-34903	chr4	145177371	145361594	+	2248.6	19.633	intron (NM_009401, intron 12 of 12)	intron (NM_009401, intron 12 of 12)	-22612	NM_011610	21938	Mm.235328	NM_011610		Tnfrsf1b	CD120b|TNF-R-II|TNF-R2|TNF-R75|TNF-alphaR2|TNFBR|TNFR80|TNFRII|TNFalpha-R2|Tnfr-1|Tnfr2|p75	tumor necrosis factor receptor superfamily, member 1b	protein-coding
chr2-82027	chr2	170104214	170253889	+	2230.7	16.414	Intergenic	ID4|SINE|ID	-36376	NM_001159683	228913	Mm.22858	NM_001033299	ENSMUSG00000052056	Zfp217	4933431C08Rik|AW987152|Gm562|ZABC1|Znf217	zinc finger protein 217	protein-coding
chr1-70259	chr1	91969531	92190915	+	2220.4	16.654	intron (NM_207225, intron 1 of 25)	intron (NM_207225, intron 1 of 25)	68170	NM_207225	208727	Mm.318567	NM_207225	ENSMUSG00000026313	Hdac4	4932408F19Rik|AI047285	histone deacetylase 4	protein-coding
chr1-68172	chr1	51995188	52150822	+	2194.4	17.170	intron (NM_011487, intron 6 of 23)	ORR1C2|LTR|ERVL-MaLR	-46433	NM_001205314	20846	Mm.277406	NM_009283	ENSMUSG00000026104	Stat1	2010005J02Rik|AA408197	signal transducer and activator of transcription 1	protein-coding
chr4-49776	chr4	101146466	101329213	+	2192.0	17.042	intron (NM_146145, intron 1 of 24)	intron (NM_146145, intron 1 of 24)	27443	NM_146145	16451	Mm.289657	NM_146145	ENSMUSG00000028530	Jak1	AA960307|C130039L05Rik	Janus kinase 1	protein-coding
chr10-22419	chr10	59878719	60029062	+	2188.9	16.796	Intergenic	Intergenic	-2120	NM_029083	74747	Mm.21697	NM_029083	ENSMUSG00000020108	Ddit4	5830413E08Rik|AA415483|REDD1|Rtp801|dig2	DNA-damage-inducible transcript 4	protein-coding
chr8-30955	chr8	13548286	13709770	+	2186.7	14.704	intron (NM_009025, intron 2 of 23)	intron (NM_009025, intron 2 of 23)	48559	NM_009025	19414	Mm.18517	NM_009025	ENSMUSG00000031453	Rasa3	AI326412|C86362|E130011G04|GAPIII|scat	RAS p21 protein activator 3	protein-coding
chr5-49665	chr5	96848097	97039610	+	2185.2	13.884	Intergenic	L2b|LINE|L2	-53836	NM_080708	140780	Mm.281490	NM_080708	ENSMUSG00000034663	Bmp2k	4933417M22Rik|AA673486|AV128808|BIKE	BMP2 inducible kinase	protein-coding
chr9-57287	chr9	107249428	107356137	+	2181.1	10.082	TTS (NM_009895)	TTS (NM_009895)	6093	NM_009895	12700	Mm.4592	NM_009895		Cish	AI385595|CIS1|Cis|F17|F23	cytokine inducible SH2-containing protein	protein-coding
chr3-37915	chr3	79089363	79290163	+	2169.9	9.893	Intergenic	Intergenic	-23156	NR_045502	70924	Mm.444622	NR_045502		4921511C10Rik	-	RIKEN cDNA 4921511C10 gene	ncRNA
chr17-32200	chr17	72889629	73038115	+	2169.0	9.610	Intergenic	MTD|LTR|ERVL-MaLR	45567	NM_029999	77889	Mm.154109	NM_029999	ENSMUSG00000024063	Lbh	1810009F10Rik|6720416L16Rik	limb-bud and heart	protein-coding
chr2-48269	chr2	128275447	128477768	+	2161.1	9.311	intron (NR_028591, intron 1 of 1)	intron (NR_028591, intron 1 of 1)	52744	NR_028590	100043424	Mm.297222	NR_028589		Gm14005	OTTMUSG00000015351	predicted gene 14005	ncRNA
chr3-26721	chr3	95623478	95761479	+	2154.6	10.807	Intergenic	B3|SINE|B2	-4620	NM_144899	229595	Mm.490574	NM_144899	ENSMUSG00000015850	Adamtsl4	Tsrc1	ADAMTS-like 4	protein-coding
chr15-14555	chr15	6519521	6648025	+	2146.7	10.750	intron (NM_011815, intron 1 of 17)	intron (NM_011815, intron 1 of 17)	3926	NM_011815	23880	Mm.170905	NM_011815		Fyb	ADAP|B630013F22Rik|FYB-120/130|Slap130|p120/130|p120/p130	FYN binding protein	protein-coding
chr11-35320	chr11	117240276	117354402	+	2145.1	9.133	intron (NM_001113487, intron 2 of 10)	intron (NM_001113487, intron 2 of 10)	31093	NM_001113487	53860	Mm.38450	NM_017380	ENSMUSG00000059248	Sept9	MSF1|Msf|PNUTL4|Sint1	septin 9	protein-coding
chr11-50278	chr11	52224097	52362131	+	2143.3	10.326	Intergenic	MIR|SINE|MIR	-10543	NM_009331	21414	Mm.31630	NM_009331	ENSMUSG00000000782	Tcf7	AI465550|TCF-1|Tcf1	transcription factor 7, T cell specific	protein-coding
chr19-11045	chr19	29342356	29505922	+	2142.6	10.643	intron (NM_021396, intron 2 of 5)	L1_Mus4|LINE|L1	13220	NM_021396	58205	Mm.116737	NM_021396		Pdcd1lg2	B7-DC|Btdc|F730015O22Rik|PD-L2	programmed cell death 1 ligand 2	protein-coding
chr3-39895	chr3	135556246	135733077	+	2134.0	9.719	intron (NM_008689, intron 6 of 24)	intron (NM_008689, intron 6 of 24)	46886	NM_008689	18033	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding
chr8-46375	chr8	122893872	123067923	+	2130.2	9.336	intron (NR_037865, intron 1 of 13)	intron (NR_037865, intron 1 of 13)	61387	NM_001081379	77087	Mm.31567	NM_001081379	ENSMUSG00000035569	Ankrd11	2410104C19Rik|3010027A04Rik|6330578C09Rik|9530048I21Rik|AA930108|Gm176|Yod	ankyrin repeat domain 11	protein-coding
chr1-34384	chr1	165763440	165882784	+	2126.6	9.025	intron (NM_031162, intron 1 of 7)	intron (NM_031162, intron 1 of 7)	34431	NM_001113392	12503	Mm.217308	NM_031162	ENSMUSG00000005763	Cd247	4930549J05Rik|A430104F18Rik|AW552088|Cd3|Cd3-eta|Cd3-zeta|Cd3h|Cd3z|Cd3zeta|T3z|Tcrk|Tcrz	CD247 antigen	protein-coding
chr2-67001	chr2	18849931	19009012	+	2120.1	9.437	intron (NM_008845, intron 1 of 9)	B3|SINE|B2	68650	NM_008845	18718	Mm.313977	NM_008845	ENSMUSG00000026737	Pip4k2a	AW742916|Pip5k2a	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha	protein-coding
chr18-26845	chr18	80579142	80739378	+	2110.6	9.611	intron (NM_198429, intron 6 of 9)	intron (NM_198429, intron 6 of 9)	48913	NM_001164111	18018	Mm.329560	NM_016791	ENSMUSG00000033016	Nfatc1	2210017P03Rik|AI449492|AV076380|NF-ATc|NFAT2|NFATc|Nfatcb	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	protein-coding
chr7-58430	chr7	68182574	68331204	+	2108.6	8.471	intron (NM_030101, intron 1 of 3)	intron (NM_030101, intron 1 of 3)	7344	NM_030101	78444	Mm.425468	NM_030101	ENSMUSG00000030553	Pgpep1l	C330024D12Rik	pyroglutamyl-peptidase I-like	protein-coding
chr9-39883	chr9	44953533	45131104	+	2102.4	12.815	promoter-TSS (NM_007962)	promoter-TSS (NM_007962)	-26	NM_007962	14012	Mm.33240	NM_007962	ENSMUSG00000032092	Mpzl2	Eva|Eva1	myelin protein zero-like 2	protein-coding
chrX-6506	chrX	167019841	167212944	+	2102.4	7.729	Intergenic	Intergenic	-46022	NM_001101606	667794	Mm.302232	NM_001101606		Gm8817	EG667794	predicted gene 8817	protein-coding
chr10-55529	chr10	42816106	42963278	+	2098.6	16.346	intron (NM_172938, intron 1 of 8)	ID4|SINE|ID	29180	NM_172938	268297	Mm.98731	NM_172938	ENSMUSG00000044770	Scml4	9330161D17|mFLJ00197	sex comb on midleg-like 4 (Drosophila)	protein-coding
chr13-42516	chr13	45812954	45977091	+	2097.1	15.379	intron (NM_001199305, intron 2 of 7)	Tigger14a|DNA|TcMar-Tigger	69969	NM_009124	20238	Mm.342683	NM_009124	ENSMUSG00000046876	Atxn1	2900016G23Rik|Atx1|C85907|ENSMUSG00000074917|Gm10786|Sca1	ataxin 1	protein-coding
chr9-54145	chr9	44478072	44620351	+	2093.9	15.586	Intergenic	MTD|LTR|ERVL-MaLR	-22790	NM_007551	12145	Mm.6246	NM_007551	ENSMUSG00000047880	Cxcr5	Blr1|CXC-R5|CXCR-5|Gpcr6|MDR15	chemokine (C-X-C motif) receptor 5	protein-coding
chr17-43430	chr17	50016744	50209988	+	2093.6	15.435	intron (NM_181397, intron 2 of 9)	intron (NM_181397, intron 2 of 9)	77131	NM_181397	76438	Mm.41854	NM_181397		Rftn1	2310015N21Rik|AI853526	raftlin lipid raft linker 1	protein-coding
chr6-41661	chr6	54698898	54869835	+	2065.9	15.473	Intergenic	B1_Mus1|SINE|Alu	-32550	NM_199143	387524	Mm.286149	NM_199143		Znrf2	1190002C14Rik|AU044205|D6Ertd365e	zinc and ring finger 2	protein-coding
chr7-49490	chr7	125527062	125653942	+	2042.7	16.560	Intergenic	RLTR20B4_MM|LTR|ERVK	-12927	NM_021887	60504	Mm.155643	NM_021887	ENSMUSG00000030745	Il21r	NILR	interleukin 21 receptor	protein-coding
chr8-22937	chr8	111521482	111667508	+	2037.8	18.069	intron (NM_001168623, intron 1 of 4)	(GA)n|Simple_repeat|Simple_repeat	35827	NM_027570	52815	Mm.27589	NM_027570	ENSMUSG00000031958	Ldhd	4733401P21Rik|D8Bwg1320e	lactate dehydrogenase D	protein-coding
chr1-74692	chr1	193123998	193286344	+	2034.7	20.407	Intergenic	Intergenic	-3625	NM_153137	215243	Mm.261259	NM_153137	ENSMUSG00000037318	Traf3ip3	6030423D04Rik|AI115021|T3jam	TRAF3 interacting protein 3	protein-coding
chr16-23106	chr16	23217857	23380069	+	2029.3	22.375	intron (NM_001252506, intron 1 of 6)	intron (NM_001252506, intron 1 of 6)	8493	NM_001252506	20440	Mm.149029	NM_145933	ENSMUSG00000022885	St6gal1	AW742324|Siat1|St6Gal-I|St6gal|St6galI	beta galactoside alpha 2,6 sialyltransferase 1	protein-coding
chr15-37692	chr15	67085712	67218781	+	2029.1	17.535	intron (NM_009177, intron 2 of 8)	ORR1E|LTR|ERVL-MaLR	24636	NM_009177	20442	Mm.248334	NM_009177	ENSMUSG00000013846	St3gal1	5330418N22Rik|AI467004|ST3GalI|Siat4|Siat4a|St3gal-1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1	protein-coding
chr12-41266	chr12	102577025	102783428	+	2020.2	14.420	intron (NM_172584, intron 1 of 9)	intron (NM_172584, intron 1 of 9)	4794	NR_035457	100316812		NR_035457		Mir1936	mmu-mir-1936	microRNA 1936	ncRNA
chr12-30106	chr12	107116045	107209697	+	2011.5	13.981	Intergenic	Intergenic	-446547	NR_015512	71033	Mm.159404	NR_015512	ENSMUSG00000085820	4933406K04Rik	4930426M03Rik|4930485I22Rik|4933427G14Rik	RIKEN cDNA 4933406K04 gene	ncRNA
chr11-59355	chr11	22779953	22883521	+	1997.2	16.934	Intergenic	B1_Mm|SINE|Alu	27998	NM_016888	53625	Mm.395495	NM_016888	ENSMUSG00000051650	B3gnt2	AA408337|AA409404|AW260308|B3Galt6|B3gnt1|BGnT-1|BGnT-2|BGnT1|BGnT2|Beta3gnt	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	protein-coding
chr14-23234	chr14	66178888	66282799	+	1987.6	16.271	intron (NM_001162365, intron 1 of 30)	L1MA9|LINE|L1	-17291	NM_001162366	19229	Mm.21613	NM_172498	ENSMUSG00000059456	Ptk2b	CADTK|CAKB|CAKbeta|E430023O05Rik|FADK2|FAK2|PYK2|Raftk	PTK2 protein tyrosine kinase 2 beta	protein-coding
chr6-20897	chr6	120009644	120207454	+	1982.8	16.356	intron (NM_016718, intron 1 of 3)	intron (NM_016718, intron 1 of 3)	15169	NM_016718	29862	Mm.103668	NM_016718	ENSMUSG00000041377	Ninj2	-	ninjurin 2	protein-coding
chr15-47175	chr15	77783639	77905946	+	1974.3	16.395	Intergenic	B3|SINE|B2	-2617	NM_022410	17886	Mm.29677	NM_022410	ENSMUSG00000022443	Myh9	Fltn|Myhn-1|Myhn1|NMHCIIA|NMMHC-A|NMMHC-IIA|TU72.6	myosin, heavy polypeptide 9, non-muscle	protein-coding
chr3-10536	chr3	131106189	131229144	+	1971.5	14.595	intron (NM_001276402, intron 3 of 9)	intron (NM_001276402, intron 3 of 9)	54875	NM_001276403	16842	Mm.255219	NM_010703	ENSMUSG00000027985	Lef1	3000002B05|AI451430|Lef-1	lymphoid enhancer binding factor 1	protein-coding
chr13-41921	chr13	41321636	41532695	+	1954.5	12.975	intron (NM_001111324, intron 1 of 7)	intron (NM_001111324, intron 1 of 7)	60195	NM_001111324	18003	Mm.288980	NM_017464	ENSMUSG00000021365	Nedd9	Cas-L|CasL|HEF1|MEF1|Nedd-9|p105	neural precursor cell expressed, developmentally down-regulated gene 9	protein-coding
chr1-37061	chr1	155027976	155175442	+	1952.2	11.846	Intergenic	Intergenic	-2073	NM_010500	15939	Mm.12246	NM_010500	ENSMUSG00000056708	Ier5	-	immediate early response 5	protein-coding
chr11-18157	chr11	98438318	98565101	+	1951.6	11.012	intron (NM_011771, intron 3 of 7)	intron (NM_011771, intron 3 of 7)	44322	NM_011771	22780	Mm.133367	NM_011771	ENSMUSG00000018168	Ikzf3	5830411O07Rik|Aiolos|Zfpn1a3|Znfn1a3	IKAROS family zinc finger 3	protein-coding
chr12-30235	chr12	108600909	108690285	+	1942.5	9.439	intron (NM_001163396, intron 2 of 14)	intron (NM_001163396, intron 2 of 14)	9844	NM_001163396	14026	Mm.238841	NM_007965	ENSMUSG00000021262	Evl	AI528774	Ena-vasodilator stimulated phosphoprotein	protein-coding
chr8-42238	chr8	14931646	15043037	+	1942.3	8.992	intron (NM_001037736, intron 25 of 27)	intron (NM_001037736, intron 25 of 27)	-23684	NM_029116	74901	Mm.46675	NM_029116	ENSMUSG00000055675	Kbtbd11	2900016B01Rik|4930465M17Rik|mKIAA0711	kelch repeat and BTB (POZ) domain containing 11	protein-coding
chr11-52745	chr11	107328517	107480638	+	1935.7	5.560	intron (NM_145823, intron 1 of 9)	B1F|SINE|Alu	66143	NM_145823	71795	Mm.397413	NM_145823	ENSMUSG00000040430	Pitpnc1	1110020B03Rik|5830436L09Rik|AI662802|AI851387|C330017I21Rik|Dnr411|RDGBB|RDGBB1|rdgB-beta	phosphatidylinositol transfer protein, cytoplasmic 1	protein-coding
chr15-43785	chr15	100598196	100761949	+	1931.4	5.927	intron (NM_033612, intron 6 of 7)	ID_B1|SINE|B4	7848	NM_033612	109901	Mm.2131	NM_033612	ENSMUSG00000023031	Cela1	1810009A17Rik|1810062B19Rik|Ela-1|Ela1|PC-TsF	chymotrypsin-like elastase family, member 1	protein-coding
chr11-73103	chr11	33991210	34122337	+	1930.6	8.196	intron (NM_010696, intron 3 of 20)	intron (NM_010696, intron 3 of 20)	9572	NM_010696	16822	Mm.265350	NM_010696	ENSMUSG00000002699	Lcp2	AI323664|BB161688|SLP-76|SLP76|twm	lymphocyte cytosolic protein 2	protein-coding
chr1-25910	chr1	43442559	43565781	+	1929.6	7.513	intron (NM_010879, intron 1 of 4)	intron (NM_010879, intron 1 of 4)	58419	NM_010879	17974	Mm.389903	NM_010879	ENSMUSG00000066877	Nck2	4833426I10Rik|Grb4|NCKbeta|Nck-2	non-catalytic region of tyrosine kinase adaptor protein 2	protein-coding
chr11-72997	chr11	32530825	32651556	+	1928.9	9.033	intron (NM_009288, intron 7 of 18)	MTEb|LTR|ERVL-MaLR	-51365	NM_001271347	103583	Mm.28017	NM_134015	ENSMUSG00000020271	Fbxw11	2310065A07Rik|AA536858|BTRC2|BTRCP2|Fbxw1b|HOS	F-box and WD-40 domain protein 11	protein-coding
chr13-43507	chr13	63168176	63342505	+	1928.2	8.691	intron (NR_110520, intron 2 of 5)	intron (NR_110520, intron 2 of 5)	15311	NR_110520	72061	Mm.188105	NM_028079	ENSMUSG00000021458	2010111I01Rik	2300006M17Rik|AP-O|Aopep	RIKEN cDNA 2010111I01 gene	protein-coding
chr15-46186	chr15	63976080	64114051	+	1924.1	9.466	intron (NM_144846, intron 1 of 11)	intron (NM_144846, intron 1 of 11)	15383	NM_144846	223601	Mm.246108	NM_144846	ENSMUSG00000022378	Fam49b	0910001A06Rik|AW122079	family with sequence similarity 49, member B	protein-coding
chr11-60405	chr11	53735309	53872525	+	1912.8	14.334	intron (NR_033332, intron 3 of 3)	L1M5|LINE|L1	33444	NM_001159396	16362	Mm.105218	NM_008390	ENSMUSG00000018899	Irf1	AU020929|Irf-1	interferon regulatory factor 1	protein-coding
chr7-53990	chr7	102200970	102402047	+	1906.9	16.408	intron (NM_009287, intron 1 of 11)	ORR1C2|LTR|ERVL-MaLR	33684	NM_009287	20866	Mm.645	NM_009287	ENSMUSG00000030987	Stim1	SIM	stromal interaction molecule 1	protein-coding
chr3-17123	chr3	126589284	126771995	+	1899.5	16.962	intron (NM_023813, intron 2 of 17)	ID_B1|SINE|B4	83688	NM_001293664	108058	Mm.255822	NM_023813	ENSMUSG00000053819	Camk2d	2810011D23Rik|8030469K03Rik|CaMK II|[d]-CaMKII	calcium/calmodulin-dependent protein kinase II, delta	protein-coding
chr2-38858	chr2	11602167	11664784	+	1894.5	19.791	Intergenic	Lx2B|LINE|L1	-9317	NM_008367	16184	Mm.915	NM_008367	ENSMUSG00000026770	Il2ra	CD25|Il2r|Ly-43	interleukin 2 receptor, alpha chain	protein-coding
chr1-61168	chr1	51448187	51599959	+	1886.6	19.637	Intergenic	Intergenic	-45674	NM_028696	109019	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding
chr11-68831	chr11	86562363	86653178	+	1862.7	19.298	intron (NM_029478, intron 8 of 11)	ID_B1|SINE|B4	-23612	NR_029738	387140		NR_029738	miRBase:MI0000569	Mir21a	Mir21|Mirn21|mmu-mir-21|mmu-mir-21a	microRNA 21a	ncRNA
chr15-30717	chr15	59507039	59662978	+	1851.9	18.133	intron (NM_026746, intron 4 of 6)	intron (NM_026746, intron 4 of 6)	-63646	NM_144549	211770	Mm.40298	NM_144549	ENSMUSG00000032501	Trib1	A530090O15Rik|TRB-1|Trb1	tribbles homolog 1 (Drosophila)	protein-coding
chr2-58572	chr2	153197418	153361869	+	1848.6	16.858	Intergenic	MLT1F1|LTR|ERVL-MaLR	-11773	NM_008444	16569	Mm.315560	NM_008444	ENSMUSG00000027475	Kif3b	AI854312|AW549267|mKIAA0359	kinesin family member 3B	protein-coding
chr18-26976	chr18	82464162	82571831	+	1834.4	16.807	intron (NM_001025245, intron 2 of 3)	intron (NM_001025245, intron 2 of 3)	-36467	NM_001025256	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding
chr17-28191	chr17	34069297	34219067	+	1831.1	18.930	Intergenic	B4|SINE|B4	-1234	NM_010388	15000	Mm.195060	NM_010388		H2-DMb2	H-2Mb2|H2-Mb2	histocompatibility 2, class II, locus Mb2	protein-coding
chr17-5640	chr17	47484732	47612628	+	1821.3	14.199	intron (NM_001081636, intron 1 of 6)	(TTCC)n|Simple_repeat|Simple_repeat	43629	NM_001081636	12445	Mm.27291	NM_007632	ENSMUSG00000034165	Ccnd3	9230106B05Rik|AA682053|AL024085|AW146355|C78795	cyclin D3	protein-coding
chr15-33938	chr15	64133163	64314237	+	1821.0	14.674	intron (NM_001276462, intron 1 of 27)	intron (NM_001276462, intron 1 of 27)	88973	NM_001276463	13196	Mm.277236	NM_010026	ENSMUSG00000022377	Asap1	AV239055|DEF-1|Ddef1|PAP|mKIAA1249|s19	ArfGAP with SH3 domain, ankyrin repeat and PH domain1	protein-coding
chr13-38218	chr13	52777419	52951179	+	1819.7	14.251	intron (NM_016709, intron 6 of 9)	intron (NM_016709, intron 6 of 9)	65378	NM_016709	11992	Mm.252034	NM_016709	ENSMUSG00000021460	Auh	C77140|W91705	AU RNA binding protein/enoyl-coenzyme A hydratase	protein-coding
chr14-38925	chr14	79468247	79564576	+	1814.9	12.237	intron (NM_001286411, intron 1 of 8)	intron (NM_001286411, intron 1 of 8)	737	NM_001286411	13709	Mm.20938	NM_007920	ENSMUSG00000036461	Elf1	Elf-1|Sts1|mElf-1|p70	E74-like factor 1	protein-coding
chr17-37314	chr17	26465316	26619114	+	1796.9	11.992	Intergenic	L1MB1|LINE|L1	-19297	NM_026170	67458	Mm.30496	NM_026170	ENSMUSG00000001576	Ergic1	1200007D18Rik|maa-136	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	protein-coding
chr8-27063	chr8	94337818	94471061	+	1795.4	13.042	Intergenic	Intergenic	17939	NM_022331	64209	Mm.29151	NM_022331	ENSMUSG00000031770	Herpud1	Herp|Mifl|SUP	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	protein-coding
chr16-29671	chr16	57420726	57607584	+	1782.3	13.755	intron (NM_001040397, intron 4 of 4)	intron (NM_001040397, intron 4 of 4)	-35087	NM_001177871	78749	Mm.328360	NM_001040397	ENSMUSG00000043336	Filip1l	4631422O05Rik|Doc1	filamin A interacting protein 1-like	protein-coding
chr12-42664	chr12	15879126	16017038	+	1781.0	13.522	Intergenic	Intergenic	-131297	NM_144551	217410	Mm.491136	NM_144551	ENSMUSG00000020601	Trib2	AW319517|TRB-2|TRB2	tribbles homolog 2 (Drosophila)	protein-coding
chr9-49779	chr9	63628694	63765473	+	1776.4	13.541	intron (NM_016769, intron 1 of 8)	intron (NM_016769, intron 1 of 8)	60911	NM_016769	17127	Mm.7320	NM_016769	ENSMUSG00000032402	Smad3	AU022421|Madh3	SMAD family member 3	protein-coding
chr7-54695	chr7	122285926	122466207	+	1774.3	9.828	intron (NM_008855, intron 2 of 16)	intron (NM_008855, intron 2 of 16)	86941	NM_008855	18751	Mm.207496	NM_008855	ENSMUSG00000052889	Prkcb	A130082F03Rik|PKC-Beta|Pkcb|Prkcb1|Prkcb2	protein kinase C, beta	protein-coding
chr11-49342	chr11	11496354	11587973	+	1759.5	9.748	Intergenic	Intergenic	52897	NM_028669	73862	Mm.159077	NM_028669	ENSMUSG00000020191	4930415F15Rik	-	RIKEN cDNA 4930415F15 gene	protein-coding
chr19-28134	chr19	57052662	57136382	+	1755.8	7.247	intron (NM_001290813, intron 6 of 20)	intron (NM_001290813, intron 6 of 20)	24502	NM_001103178	226251	Mm.217161	NM_178688	ENSMUSG00000025085	Ablim1	2210411C18Rik|2610209L21Rik|4833406P10Rik|9330196J19Rik|AV079770|AW060987|AW215784|Limab1|mKIAA0059	actin-binding LIM protein 1	protein-coding
chr1-31701	chr1	161653759	161818979	+	1755.6	7.186	Intergenic	PB1D10|SINE|Alu	52126	NM_001205243	14103	Mm.3355	NM_010177	ENSMUSG00000000817	Fasl	APT1LG1|CD178|CD95-L|CD95L|Fas-L|Faslg|Tnfsf6|gld	Fas ligand (TNF superfamily, member 6)	protein-coding
chr11-31545	chr11	68417797	68503720	+	1750.7	10.129	intron (NM_177320, intron 1 of 18)	L1MDa|LINE|L1	28633	NM_177320	320207	Mm.244960	NM_177320	ENSMUSG00000020901	Pik3r5	AV230647|F730038I15Rik	phosphoinositide-3-kinase, regulatory subunit 5, p101	protein-coding
chr12-20862	chr12	107908611	108006765	+	1750.3	11.056	intron (NM_001286343, intron 1 of 1)	intron (NM_001286343, intron 1 of 1)	45726	NM_021399	58208	Mm.392694	NM_021399	ENSMUSG00000048251	Bcl11b	9130430L19Rik|AI604821|B630002E05Rik|BCL-11B|Ctip2|Rit1	B cell leukemia/lymphoma 11B	protein-coding
chr11-66855	chr11	54917169	55039774	+	1749.3	8.421	TTS (NM_001110211)	TTS (NM_001110211)	-15531	NM_001271456	57783	Mm.259671	NM_021327	ENSMUSG00000020400	Tnip1	ABIN|ABIN-1|ABIN1|AU018810|Naf1|Nef|VAN	TNFAIP3 interacting protein 1	protein-coding
chr10-32970	chr10	12709570	12894082	+	1748.0	8.441	intron (NM_011682, intron 1 of 73)	intron (NM_011682, intron 1 of 73)	59909	NM_011682	22288	Mm.331784	NM_011682	ENSMUSG00000019820	Utrn	AA589569|DRP|Dmdl	utrophin	protein-coding
chr12-40604	chr12	86786768	86924165	+	1747.0	9.651	Intergenic	Intergenic	29348	NM_145836	238330	Mm.248358	NM_145836	ENSMUSG00000034168	Irf2bpl	6430527G18Rik|Eap1	interferon regulatory factor 2 binding protein-like	protein-coding
chr11-76640	chr11	87685807	87771020	+	1728.4	9.571	intron (NM_172448, intron 6 of 9)	intron (NM_172448, intron 6 of 9)	-9152	NM_009296	20922	Mm.622	NM_009296	ENSMUSG00000020485	Supt4a	AL022777|Supt4h|Supt4h1|Supt4h1a	suppressor of Ty 4A	protein-coding
chr6-46557	chr6	86522417	86648131	+	1721.9	12.257	Intergenic	Intergenic	-42900	NM_026414	67855	Mm.183043	NM_026414	ENSMUSG00000033508	Asprv1	2300003P22Rik|AA986851|SASP|SASPase|Taps	aspartic peptidase, retroviral-like 1	protein-coding
chr2-79990	chr2	132562861	132711345	+	1719.6	13.617	intron (NR_033468, intron 4 of 5)	RSINE1|SINE|B4	38907	NR_033468	767814	Mm.371752	NR_033468	ENSMUSG00000074783	AU019990	-	expressed sequence AU019990	ncRNA
chr1-53948	chr1	183960315	184084692	+	1715.8	13.903	Intergenic	MT2B2|LTR|ERVL	11495	NM_028516	73363	Mm.50115	NM_028516	ENSMUSG00000044854	1700056E22Rik	-	RIKEN cDNA 1700056E22 gene	protein-coding
chr18-22469	chr18	49978670	50098441	+	1709.9	14.566	intron (NM_001177760, intron 1 of 2)	intron (NM_001177760, intron 1 of 2)	-14727	NM_134131	106869	Mm.27740	NM_134131	ENSMUSG00000062210	Tnfaip8	AA987150|E130304C20Rik|ENSMUSG00000073567|Gg2-1|Gm10539|Nded|Ssc-2	tumor necrosis factor, alpha-induced protein 8	protein-coding
