PeakID (cmd=annotatePeaks.pl enhancers_only_100um_k99a.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
18474	chr10	111159674	111160174	+	0	NA	Intergenic	ORR1B1-int|LTR|ERVL-MaLR	-4878	NM_175489	237542	Mm.220204	NM_175489	ENSMUSG00000020189	Osbpl8	AA536976|AA536995|C730029P18Rik|D330025H14Rik|ORP-8	oxysterol binding protein-like 8	protein-coding
17303	chr14	47740366	47740866	+	0	NA	Intergenic	L1ME2|LINE|L1	76860	NM_008477	16709	Mm.3110	NM_008477	ENSMUSG00000021843	Ktn1	-	kinectin 1	protein-coding
17409	chr1	89603430	89604164	+	0	NA	intron (NM_178119, intron 1 of 17)	intron (NM_178119, intron 1 of 17)	80095	NR_015540	74403	Mm.444291	NR_015540		4933400F21Rik	1700091C04Rik|4930565K10Rik	RIKEN cDNA 4933400F21 gene	ncRNA
19431	chr5	72630510	72631010	+	0	NA	intron (NM_007723, intron 1 of 8)	intron (NM_007723, intron 1 of 8)	11992	NM_007723	12788	Mm.436652	NM_007723	ENSMUSG00000067220	Cnga1	Cncg	cyclic nucleotide gated channel alpha 1	protein-coding
19442	chr5	140266938	140267438	+	0	NA	intron (NM_010752, intron 9 of 17)	intron (NM_010752, intron 9 of 17)	54364	NM_010752	17120	Mm.27250	NM_010752	ENSMUSG00000029554	Mad1l1	AI173502|AW550425|Mad1	MAD1 mitotic arrest deficient 1-like 1	protein-coding
18445	chr9	45289873	45290373	+	0	NA	Intergenic	L1MEc|LINE|L1	-20977	NM_008348	16154	Mm.379327	NM_008348	ENSMUSG00000032089	Il10ra	AW553859|CDw210|CDw210a|Il10r|mIL-10R	interleukin 10 receptor, alpha	protein-coding
20096	chr5	36980617	36981117	+	0	NA	intron (NM_011716, intron 2 of 7)	intron (NM_011716, intron 2 of 7)	8115	NM_011716	22393	Mm.20916	NM_011716	ENSMUSG00000039474	Wfs1	AI481085|wolframin	Wolfram syndrome 1 homolog (human)	protein-coding
19305	chrX	159702897	159703397	+	0	NA	intron (NM_001135727, intron 2 of 17)	intron (NM_001135727, intron 2 of 17)	-5454	NM_021389	58194	Mm.286495	NM_021389	ENSMUSG00000040990	Sh3kbp1	1200007H22Rik|1700125L08Rik|5830464D22Rik|AI447724|IN85|Ruk|Seta	SH3-domain kinase binding protein 1	protein-coding
19855	chr4	135819859	135820359	+	0	NA	Intergenic	Intergenic	-35962	NM_001080387	14105	Mm.10229	NM_010178	ENSMUSG00000028676	Srsf10	FUSIP2|Fusip1|NSSR1|NSSR2|Nssr|SRrp40|Sfrs13a|Srsf13a|TASR|TASR1|TASR2	serine/arginine-rich splicing factor 10	protein-coding
19241	chr16	11091651	11092151	+	0	NA	intron (NM_029582, intron 6 of 11)	intron (NM_029582, intron 6 of 11)	-3971	NM_134105	106200	Mm.291015	NM_029582	ENSMUSG00000022498	Txndc11	2810408E11Rik|AI427833|EFP1|Txdc11	thioredoxin domain containing 11	protein-coding
19520	chr8	85509578	85510078	+	0	NA	intron (NM_173866, intron 5 of 11)	intron (NM_173866, intron 5 of 11)	17211	NM_173866	108682	Mm.200423	NM_173866	ENSMUSG00000031700	Gpt2	4631422C05Rik|ALT2|AU014768|AU041193|C87201	glutamic pyruvate transaminase (alanine aminotransferase) 2	protein-coding
19748	chr17	52593378	52593878	+	0	NA	Intergenic	L1_Mur2|LINE|L1	-9081	NM_001031811	211468	Mm.399068	NM_001031811	ENSMUSG00000035580	Kcnh8	C130090D05Rik|ELK|ELK1|ELK3|Kv12.1	potassium voltage-gated channel, subfamily H (eag-related), member 8	protein-coding
20146	chr12	16898094	16898594	+	0	NA	intron (NM_009072, intron 1 of 32)	intron (NM_009072, intron 1 of 32)	3366	NM_009072	19878	Mm.276024	NM_009072	ENSMUSG00000020580	Rock2	B230113H15Rik|ROKalpha|Rho-kinase|Rock-II|Rock2m|mKIAA0619	Rho-associated coiled-coil containing protein kinase 2	protein-coding
19888	chr7	25211721	25212221	+	0	NA	intron (NM_207677, intron 3 of 4)	B1_Mus2|SINE|Alu	5754	NR_106015	102466794		NR_106015		Mir7048	mmu-mir-7048	microRNA mir-7048	ncRNA
19310	chr1	36894008	36894508	+	0	NA	intron (NM_018872, intron 1 of 40)	intron (NM_018872, intron 1 of 40)	45269	NM_018872	56030	Mm.186943	NM_018872	ENSMUSG00000026116	Tmem131	2610524E03Rik|CC28|D1Bwg0491e|Neg|RW1|YR-23|mKIAA0257	transmembrane protein 131	protein-coding
20103	chr6	4604088	4604588	+	0	NA	intron (NM_145398, intron 1 of 17)	intron (NM_145398, intron 1 of 17)	3272	NM_145398	213819	Mm.270703	NM_145398	ENSMUSG00000015189	Casd1	Cas1|Cast1	CAS1 domain containing 1	protein-coding
19972	chr13	34991392	34991892	+	0	NA	intron (NR_073427, intron 2 of 9)	MER77B|LTR|ERVL	2502	NR_073427	23986	Mm.491141	NM_011868	ENSMUSG00000021417	Eci2	Acbd2|Drs1|Hca88|Peci	enoyl-Coenzyme A delta isomerase 2	protein-coding
18288	chr15	98969828	98970328	+	0	NA	Intergenic	Intergenic	-15887	NR_045991	75951	Mm.441657	NR_045991	ENSMUSG00000097587	4930578M01Rik	3010001K12Rik	RIKEN cDNA 4930578M01 gene	ncRNA
19639	chr13	45153912	45154412	+	0	NA	Intergenic	(TCC)n|Simple_repeat|Simple_repeat	-152066	NM_025772	94245	Mm.352311	NM_025772	ENSMUSG00000057531	Dtnbp1	5430437B18Rik|AW048963|Bloc1s8|dysbindin|sdy	dystrobrevin binding protein 1	protein-coding
18305	chr17	86709035	86709535	+	0	NA	Intergenic	(TG)n|Simple_repeat|Simple_repeat	-44579	NM_010137	13819	Mm.1415	NM_010137	ENSMUSG00000024140	Epas1	HIF-2alpha|HIF2A|HLF|HRF|MOP2|bHLHe73	endothelial PAS domain protein 1	protein-coding
18237	chr11	6698513	6699013	+	0	NA	Intergenic	LTR16A1|LTR|ERVL	21274	NR_046025	626419	Mm.390334	NR_046025	ENSMUSG00000086808	Gm11981	OTTMUSG00000005129	predicted gene 11981	ncRNA
20042	chrX	101433296	101433796	+	0	NA	intron (NM_023144, intron 2 of 11)	intron (NM_023144, intron 2 of 11)	3895	NM_001252518	53610	Mm.280069	NM_023144	ENSMUSG00000031311	Nono	AA407051|AV149256|NRB54|P54NRB|nonA	non-POU-domain-containing, octamer binding protein	protein-coding
19597	chr11	98534386	98534886	+	0	NA	intron (NM_011771, intron 1 of 7)	B1_Mur3|SINE|Alu	11395	NM_011771	22780	Mm.133367	NM_011771	ENSMUSG00000018168	Ikzf3	5830411O07Rik|Aiolos|Zfpn1a3|Znfn1a3	IKAROS family zinc finger 3	protein-coding
18448	chr9	64563571	64564071	+	0	NA	intron (NM_001134399, intron 5 of 24)	intron (NM_001134399, intron 5 of 24)	173935	NM_017382	53869	Mm.1387	NM_017382	ENSMUSG00000004771	Rab11a	-	RAB11A, member RAS oncogene family	protein-coding
20091	chr4	118703622	118704122	+	0	NA	Intergenic	Intergenic	-5537	NM_146853	258852	Mm.377720	NM_146853	ENSMUSG00000046790	Olfr1341	MOR258-1	olfactory receptor 1341	protein-coding
16813	chr17	27611645	27612145	+	0	NA	intron (NM_019837, intron 1 of 4)	MTEa|LTR|ERVL-MaLR	11069	NM_001291046	56409	Mm.144699	NM_019837	ENSMUSG00000024213	Nudt3	1110011B09Rik|AA960325|Dipp|Dipp1	nudix (nucleotide diphosphate linked moiety X)-type motif 3	protein-coding
18156	chr4	116688189	116688689	+	0	NA	intron (NM_011034, intron 2 of 5)	B3|SINE|B2	-2417	NR_040442	100502959	Mm.395400	NR_040442		AV051173	-	expressed sequence AV051173	ncRNA
19067	chr5	31514320	31514820	+	0	NA	TTS (NM_028150)	TTS (NM_028150)	12192	NM_028150	72195	Mm.164187	NM_028150	ENSMUSG00000053134	Supt7l	2610524B01Rik|6030455L14Rik	suppressor of Ty 7-like	protein-coding
18623	chr6	90599316	90599816	+	0	NA	TTS (NM_027406)	TTS (NM_027406)	-5314	NM_027868	71699	Mm.272633	NM_027868	ENSMUSG00000030089	Slc41a3	1010001P06Rik|AI480742|SLC41A1-L2	solute carrier family 41, member 3	protein-coding
17601	chr11	106722855	106723483	+	0	NA	Intergenic	G-rich|Low_complexity|Low_complexity	-7888	NM_001032378	18613	Mm.343951	NM_008816	ENSMUSG00000020717	Pecam1	C85791|Cd31|PECAM-1|Pecam	platelet/endothelial cell adhesion molecule 1	protein-coding
20167	chr15	83452567	83453067	+	0	NA	intron (NM_001159509, intron 1 of 10)	(TCCC)n|Simple_repeat|Simple_repeat	11789	NM_001159509	23970	Mm.23978	NM_011862	ENSMUSG00000016664	Pacsin2	AI197433	protein kinase C and casein kinase substrate in neurons 2	protein-coding
18228	chr10	96574417	96574917	+	0	NA	Intergenic	Intergenic	-42334	NM_007569	12226	Mm.23811	NM_007569	ENSMUSG00000036478	Btg1	AI426953|AW546738	B cell translocation gene 1, anti-proliferative	protein-coding
19822	chr2	124612019	124612519	+	0	NA	intron (NM_001291000, intron 1 of 18)	intron (NM_001291000, intron 1 of 18)	1973	NM_199238	214968	Mm.330536	NM_172537	ENSMUSG00000027200	Sema6d	1110067B02Rik|AA409156|D330011G23|mKIAA1479	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	protein-coding
17496	chr15	80461207	80462025	+	0	NA	intron (NM_001163189, intron 5 of 5)	intron (NM_001163189, intron 5 of 5)	98854	NM_001163189	383075	Mm.297626	NM_001163189	ENSMUSG00000050439	Enthd1	Gm1242|Gm86	ENTH domain containing 1	protein-coding
18560	chr18	55107202	55107702	+	0	NA	Intergenic	Intergenic	-117272	NM_175751	269023	Mm.192984	NM_175751	ENSMUSG00000052713	Zfp608	4932417D18Rik|D430007A19Rik|Znf608	zinc finger protein 608	protein-coding
19390	chr3	144697481	144697981	+	0	NA	intron (NM_001282042, intron 5 of 9)	intron (NM_001282042, intron 5 of 9)	22604	NM_001282037	54673	Mm.271775	NM_019464		Sh3glb1	AA409932|AI314629|AU015566|Bif-1|mKIAA0491	SH3-domain GRB2-like B1 (endophilin)	protein-coding
19809	chr2	11529445	11529945	+	0	NA	intron (NM_001177758, intron 1 of 14)	RMER15|LTR|ERVL	24234	NM_001177758	170768	Mm.19669	NM_133232	ENSMUSG00000026773	Pfkfb3	E330010H22Rik|iPFK-2|uPFK-2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	protein-coding
18175	chr5	142429623	142430257	+	0	NA	intron (NM_199068, intron 1 of 8)	B1F1|SINE|Alu	28443	NM_199068	17425	Mm.24214	NM_010812	ENSMUSG00000056493	Foxk1	A630048H08Rik|AI463295|ENSMUSG00000075577|Gm10868|Mnf	forkhead box K1	protein-coding
18863	chr7	132942001	132942501	+	0	NA	Intergenic	Intergenic	-7371	NM_207302	360216	Mm.389984	NM_207302	ENSMUSG00000030967	Zranb1	9330160G10Rik|D7Wsu87e|Gm1956|Trabid	zinc finger, RAN-binding domain containing 1	protein-coding
19054	chr4	95209483	95209983	+	0	NA	Intergenic	MER2|DNA|TcMar-Tigger	-157511	NM_010591	16476	Mm.275071	NM_010591	ENSMUSG00000052684	Jun	AP-1|Junc|c-jun	jun proto-oncogene	protein-coding
16852	chr13	24442467	24443103	+	0	NA	intron (NM_001284520, intron 9 of 14)	intron (NM_001284520, intron 9 of 14)	27663	NM_007717	12763	Mm.8396	NM_007717	ENSMUSG00000016756	Cmah	-	cytidine monophospho-N-acetylneuraminic acid hydroxylase	protein-coding
16693	chr5	107234502	107235156	+	0	NA	intron (NM_011578, intron 2 of 16)	intron (NM_011578, intron 2 of 16)	54766	NM_011578	21814	Mm.200775	NM_011578	ENSMUSG00000029287	Tgfbr3	1110036H20Rik|AU015626|AW215636|TBRIII	transforming growth factor, beta receptor III	protein-coding
19498	chr7	106490998	106491498	+	0	NA	Intergenic	L1VL4|LINE|L1	-50175	NR_003967	209380	Mm.461779	NM_001001318	ENSMUSG00000053541	Gm4759	EG209380	GTPase, very large interferon inducible 1 pseudogene	pseudo
18255	chr12	64974400	64974900	+	0	NA	intron (NM_177805, intron 1 of 19)	B4A|SINE|B4	8908	NM_177805	328108	Mm.138465	NM_177805	ENSMUSG00000035614	Fam179b	A430041B07Rik|BC062107|C130034K06|mKIAA0423	family with sequence similarity 179, member B	protein-coding
17068	chr6	126812467	126813095	+	0	NA	Intergenic	Intergenic	36363	NM_025358	66108	Mm.29939	NM_025358	ENSMUSG00000000399	Ndufa9	1010001N11Rik	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9	protein-coding
19676	chr14	105269185	105269685	+	0	NA	intron (NM_029561, intron 1 of 7)	L3|LINE|CR1	10762	NM_029561	76273	Mm.290669	NM_029561	ENSMUSG00000053253	Ndfip2	0710001O20Rik|2810436B12Rik|9130207N19Rik|N4wbp5a|mKIAA1165	Nedd4 family interacting protein 2	protein-coding
20201	chr5	25002688	25003188	+	0	NA	intron (NM_145401, intron 3 of 15)	intron (NM_145401, intron 3 of 15)	-94429	NM_001170556	108099	Mm.33649	NM_145401	ENSMUSG00000028944	Prkag2	2410051C13Rik|AAKG|AAKG2|AI854673|H91620p|WPWS	protein kinase, AMP-activated, gamma 2 non-catalytic subunit	protein-coding
18090	chr15	61545054	61545554	+	0	NA	Intergenic	ZP3AR|Satellite|Satellite	229147	NR_040350	432956	Mm.404918	NR_040350		D030024E09Rik	-	RIKEN cDNA D030024E09 gene	ncRNA
19984	chr14	53956465	53956965	+	0	NA	Intergenic	Intergenic	290775	NM_001205242	100568452	Mm.213248	NM_001205242		A430107P09Rik	Va10	RIKEN cDNA A430107P09 gene	protein-coding
19070	chr5	65487201	65487701	+	0	NA	intron (NM_133697, intron 1 of 4)	intron (NM_133697, intron 1 of 4)	5384	NM_133697	68552	Mm.10709	NM_133697	ENSMUSG00000037822	Smim14	1110003E01Rik|1700127H04Rik|5430439C17Rik|MAd4	small integral membrane protein 14	protein-coding
17703	chr6	43618974	43619474	+	0	NA	intron (NM_013861, intron 2 of 8)	intron (NM_013861, intron 2 of 8)	46951	NM_013861	29807	Mm.320979	NM_013861	ENSMUSG00000029735	Tpk1	-	thiamine pyrophosphokinase	protein-coding
19584	chr11	64058820	64059320	+	0	NA	intron (NM_178379, intron 3 of 6)	MTD-int|LTR|ERVL-MaLR	20402	NM_178379	70383	Mm.340211	NM_178379	ENSMUSG00000042148	Cox10	2410004F01Rik|AU042636	cytochrome c oxidase assembly protein 10	protein-coding
19817	chr2	104387604	104388104	+	0	NA	intron (NM_001033347, intron 1 of 20)	intron (NM_001033347, intron 1 of 20)	22480	NM_001033347	241589	Mm.358909	NM_001033347	ENSMUSG00000068373	D430041D05Rik	9630056G07Rik|G2	RIKEN cDNA D430041D05 gene	protein-coding
20140	chr11	75261127	75261627	+	0	NA	intron (NM_177708, intron 1 of 1)	intron (NM_177708, intron 1 of 1)	67384	NM_177708	237847	Mm.82661	NM_177708	ENSMUSG00000045287	Rtn4rl1	Ngr3|Ngrh2|Ngrl2	reticulon 4 receptor-like 1	protein-coding
19704	chr15	86000045	86000545	+	0	NA	intron (NM_009886, intron 1 of 34)	intron (NM_009886, intron 1 of 34)	33482	NM_009886	12614	Mm.22680	NM_009886	ENSMUSG00000016028	Celsr1	Crsh|Scy|crash	cadherin, EGF LAG seven-pass G-type receptor 1 (flamingo homolog, Drosophila)	protein-coding
18157	chr4	119896804	119897304	+	0	NA	intron (NM_010657, intron 1 of 8)	intron (NM_010657, intron 1 of 8)	82376	NM_010657	16656	Mm.302758	NM_010657	ENSMUSG00000028634	Hivep3	2900056N03Rik|A130075N07|AI848000|E030045D18Rik|KBP-1|KBP1|Krc|Rc|Schnurri-3|Shn3|Zas3	human immunodeficiency virus type I enhancer binding protein 3	protein-coding
19072	chr5	72175723	72176223	+	0	NA	Intergenic	Intergenic	-7790	NM_178599	27784	Mm.44223	NM_178599	ENSMUSG00000029213	Commd8	C77770|D5Buc26e	COMM domain containing 8	protein-coding
18122	chr1	72227489	72227989	+	0	NA	Intergenic	Intergenic	-15432	NM_001005423	381269	Mm.422636	NM_001005423	ENSMUSG00000039395	Mreg	Gm974|Wdt2|dsu	melanoregulin	protein-coding
19377	chr3	84014330	84014830	+	0	NA	intron (NM_172681, intron 3 of 34)	intron (NM_172681, intron 3 of 34)	25581	NM_172681	229473	Mm.28838	NM_172681	ENSMUSG00000033767	D930015E06Rik	Kiaa0922|mKIAA0922	RIKEN cDNA D930015E06 gene	protein-coding
19570	chr10	111509303	111509803	+	0	NA	TTS (NM_009344)	TTS (NM_009344)	3267	NM_009344	21664	Mm.3117	NM_009344	ENSMUSG00000020205	Phlda1	DT1P1B11|TDAG51|Tdag	pleckstrin homology-like domain, family A, member 1	protein-coding
19603	chr11	118258435	118258935	+	0	NA	TTS (NM_001033528)	TTS (NM_001033528)	-10093	NM_011180	19157	Mm.86413	NM_011180	ENSMUSG00000017132	Cyth1	CLM1|CTH-1|CYTIP|Pscd1|mKIAA4240	cytohesin 1	protein-coding
18299	chr17	33470715	33471215	+	0	NA	Intergenic	GA-rich|Low_complexity|Low_complexity	38066	NM_183282	69481	Mm.154333	NM_183282	ENSMUSG00000092519	Actl9	1700029I08Rik|AV259599	actin-like 9	protein-coding
17274	chr9	95315012	95315512	+	0	NA	Intergenic	LTR52|LTR|ERVL	92008	NM_018763	54371	Mm.212446	NM_018763	ENSMUSG00000033350	Chst2	AI428561|AW121776|C130041E03Rik|Chts2|GST-2|GlcNAc6ST|Gn6st	carbohydrate sulfotransferase 2	protein-coding
16720	chr13	93592759	93593259	+	0	NA	Intergenic	ORR1B1|LTR|ERVL-MaLR	44749	NM_016668	12116	Mm.329582	NM_016668	ENSMUSG00000074768	Bhmt	-	betaine-homocysteine methyltransferase	protein-coding
17470	chr11	5339313	5339813	+	0	NA	intron (NM_001080924, intron 1 of 8)	intron (NM_001080924, intron 1 of 8)	42177	NM_001290501	407821	Mm.216313	NM_001080924	ENSMUSG00000041961	Znrf3	Gm1167	zinc and ring finger 3	protein-coding
19432	chr5	72926672	72927172	+	0	NA	intron (NM_153567, intron 1 of 8)	intron (NM_153567, intron 1 of 8)	12560	NM_001113423	75991	Mm.121285	NM_153567	ENSMUSG00000036087	Slain2	5033405K12Rik|8030444K12Rik|AI596370	SLAIN motif family, member 2	protein-coding
18497	chr12	99469577	99470077	+	0	NA	Intergenic	Intergenic	-19753	NM_183186	71375	Mm.341972	NM_183186	ENSMUSG00000033713	Foxn3	5430426H20Rik|AA589593|AW556347|Ches1|Ches1l|HTLFL1	forkhead box N3	protein-coding
19372	chr3	38854012	38854512	+	0	NA	Intergenic	Intergenic	-32678	NM_183221	329628	Mm.316210	NM_183221	ENSMUSG00000046743	Fat4	6030410K14Rik|9430004M15	FAT tumor suppressor homolog 4 (Drosophila)	protein-coding
20035	chr19	56765603	56766103	+	0	NA	Intergenic	RMER19B|LTR|ERVK	43481	NM_007419	11554	Mm.46797	NM_007419	ENSMUSG00000035283	Adrb1	Adrb-1|beta-AR	adrenergic receptor, beta 1	protein-coding
19504	chr7	132568285	132568785	+	0	NA	intron (NM_016978, intron 2 of 9)	intron (NM_016978, intron 2 of 9)	7863	NM_016978	18242	Mm.13694	NM_016978	ENSMUSG00000030934	Oat	AI194874	ornithine aminotransferase	protein-coding
18602	chr2	179958808	179959308	+	0	NA	intron (NM_001081092, intron 1 of 14)	intron (NM_001081092, intron 1 of 14)	17588	NM_001081092	228980	Mm.235542	NM_001081092	ENSMUSG00000039117	Taf4a	135kDa|AI450312|TAFII130|TAFII135|Taf2c1	TAF4A RNA polymerase II, TATA box binding protein (TBP)-associated factor	protein-coding
20189	chr19	47514220	47514720	+	0	NA	non-coding (NR_045322, exon 3 of 3)	non-coding (NR_045322, exon 3 of 3)	1488	NR_045322	100503104	Mm.442735	NR_045322	ENSMUSG00000097990	Gm19557	-	predicted gene, 19557	ncRNA
19892	chr7	63948057	63948557	+	0	NA	Intergenic	Intergenic	-9392	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding
19804	chr1	131855108	131855608	+	0	NA	Intergenic	Intergenic	-11919	NM_144875	226422	Mm.34027	NM_144875	ENSMUSG00000026433	Rab29	Rab7l1	RAB29, member RAS oncogene family	protein-coding
17779	chr14	27358513	27359013	+	0	NA	intron (NM_001289687, intron 1 of 9)	intron (NM_001289687, intron 1 of 9)	-2626	NM_001289688	71704	Mm.248606	NM_027871	ENSMUSG00000021895	Arhgef3	1200004I24Rik|9830169H03Rik|C76747|Xpln	Rho guanine nucleotide exchange factor (GEF) 3	protein-coding
18884	chr9	110676649	110677287	+	0	NA	intron (NM_028312, intron 1 of 6)	intron (NM_028312, intron 1 of 6)	20465	NM_028312	72654	Mm.249115	NM_028312	ENSMUSG00000019659	Ccdc12	2700094L05Rik|C76605	coiled-coil domain containing 12	protein-coding
18957	chr16	75917639	75918139	+	0	NA	Intergenic	Intergenic	-8623	NM_023380	67742	Mm.131406	NM_023380	ENSMUSG00000022876	Samsn1	4930571B16Rik|930571B16Rik|Hacs1|SLy2	SAM domain, SH3 domain and nuclear localization signals, 1	protein-coding
17827	chr2	21234959	21235593	+	0	NA	Intergenic	Intergenic	29552	NM_001001297	208967	Mm.268841	NM_177588	ENSMUSG00000048550	Thnsl1	AW413632	threonine synthase-like 1 (bacterial)	protein-coding
18253	chr12	32285299	32285799	+	0	NA	Intergenic	B3|SINE|B2	-76900	NM_001146200	30955	Mm.101369	NM_020272	ENSMUSG00000020573	Pik3cg	5830428L06Rik|PI3Kgamma|p110gamma	phosphoinositide-3-kinase, catalytic, gamma polypeptide	protein-coding
19417	chr4	149709186	149709686	+	0	NA	Intergenic	B3A|SINE|B2	-7807	NM_001029837	18707	Mm.229108	NM_008840	ENSMUSG00000039936	Pik3cd	2410099E07Rik|2610208K16Rik|AW545373|p110delta	phosphatidylinositol 3-kinase catalytic delta polypeptide	protein-coding
17257	chr6	146514105	146514605	+	0	NA	Intergenic	Intergenic	-12132	NM_019923	16439	Mm.7800	NM_010586	ENSMUSG00000030287	Itpr2	AI649341|InsP3R-2|InsP3R-5|Ip3r2|Itpr5|insP3R2	inositol 1,4,5-triphosphate receptor 2	protein-coding
17382	chr11	116380947	116381447	+	0	NA	intron (NM_027258, intron 2 of 18)	PB1D10|SINE|Alu	31835	NM_027258	217340	Mm.426344	NM_027258	ENSMUSG00000052949	Rnf157	2610036E23Rik|A130073L17Rik|mKIAA1917	ring finger protein 157	protein-coding
19714	chr16	23231958	23232458	+	0	NA	intron (NM_001252505, intron 1 of 7)	(TTTC)n|Simple_repeat|Simple_repeat	6187	NM_001252505	20440	Mm.149029	NM_145933	ENSMUSG00000022885	St6gal1	AW742324|Siat1|St6Gal-I|St6gal|St6galI	beta galactoside alpha 2,6 sialyltransferase 1	protein-coding
19856	chr4	136560541	136561041	+	0	NA	intron (NM_133872, intron 9 of 18)	B3|SINE|B2	41932	NM_133872	99982	Mm.28540	NM_133872	ENSMUSG00000036940	Kdm1a	1810043O07Rik|AA408884|Aof2|D4Ertd478e|Kdm1|Lsd1|mKIAA0601	lysine (K)-specific demethylase 1A	protein-coding
18922	chr12	76859810	76860310	+	0	NA	intron (NM_145927, intron 1 of 11)	intron (NM_145927, intron 1 of 11)	22593	NM_145927	110606	Mm.151174	NM_145927	ENSMUSG00000033373	Fntb	2010013E13Rik|AA409500	farnesyltransferase, CAAX box, beta	protein-coding
18221	chr10	59933715	59934353	+	0	NA	Intergenic	(GGAGA)n|Simple_repeat|Simple_repeat	17736	NM_029083	74747	Mm.21697	NM_029083	ENSMUSG00000020108	Ddit4	5830413E08Rik|AA415483|REDD1|Rtp801|dig2	DNA-damage-inducible transcript 4	protein-coding
19788	chrX	73051040	73051540	+	0	NA	Intergenic	Intergenic	-13497	NM_153169	245468	Mm.256249	NM_153169	ENSMUSG00000046287	Pnma3	-	paraneoplastic antigen MA3	protein-coding
18547	chr17	24116733	24117539	+	0	NA	intron (NM_001286662, intron 1 of 13)	intron (NM_001286662, intron 1 of 13)	24458	NM_001080773	18607	Mm.10504	NM_011062	ENSMUSG00000024122	Pdpk1	Pdk1	3-phosphoinositide dependent protein kinase 1	protein-coding
19739	chr17	35575301	35575801	+	0	NA	Intergenic	Intergenic	8066	NM_175148	69542	Mm.265291	NM_175148	ENSMUSG00000039269	2300002M23Rik	Stg|emprin	RIKEN cDNA 2300002M23 gene	protein-coding
19226	chr14	27427061	27427561	+	0	NA	Intergenic	Intergenic	-1536	NM_001114879	218850	Mm.247767	NM_028945	ENSMUSG00000040651	Fam208a	4732418E12|4933409E02Rik|D14Abb1e	family with sequence similarity 208, member A	protein-coding
16992	chr1	85743840	85744340	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	-7484	NM_177055	319997	Mm.116691	NM_177055	ENSMUSG00000052760	A630001G21Rik	-	RIKEN cDNA A630001G21 gene	protein-coding
19319	chr1	127210380	127210880	+	0	NA	intron (NM_145128, intron 1 of 17)	intron (NM_145128, intron 1 of 17)	5644	NM_145128	107895	Mm.214682	NM_145128	ENSMUSG00000036155	Mgat5	4930471A21Rik|5330407H02Rik|AI480971|GlcNAc-TV	mannoside acetylglucosaminyltransferase 5	protein-coding
17058	chr3	131093374	131093874	+	0	NA	Intergenic	B2_Mm2|SINE|B2	-16673	NM_001276402	16842	Mm.255219	NM_010703	ENSMUSG00000027985	Lef1	3000002B05|AI451430|Lef-1	lymphoid enhancer binding factor 1	protein-coding
17812	chr18	75682602	75683102	+	0	NA	intron (NM_201354, intron 1 of 11)	PB1D10|SINE|Alu	14844	NM_201354	269037	Mm.36745	NM_201354	ENSMUSG00000052928	Ctif	Gm672	CBP80/20-dependent translation initiation factor	protein-coding
18628	chr7	24267362	24267862	+	0	NA	Intergenic	RLTR12H|LTR|ERVK	-2806	NM_009567	22755	Mm.459431	NM_009567		Zfp93	Znf235	zinc finger protein 93	protein-coding
19036	chr3	20307865	20308365	+	0	NA	Intergenic	Intergenic	-32386	NM_029706	76703	Mm.34692	NM_029706		Cpb1	0910001A18Rik|1810063F02Rik|2210008M23Rik|AI504870	carboxypeptidase B1 (tissue)	protein-coding
19227	chr14	31596639	31597139	+	0	NA	Intergenic	Intergenic	-19506	NM_009937	382864	Mm.239821	NM_009937	ENSMUSG00000057606	Colq	A130034K24Rik	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase	protein-coding
18060	chr12	28667303	28667949	+	0	NA	Intergenic	Intergenic	-7581	NM_134052	104923	Mm.291504	NM_134052	ENSMUSG00000020629	Adi1	AL024210|Fe-ARD|MTCBP-1|Ni-ARD	acireductone dioxygenase 1	protein-coding
18712	chr15	5777335	5777835	+	0	NA	Intergenic	Intergenic	281267	NR_045274	71432	Mm.291087	NR_045274		5430437J10Rik	-	RIKEN cDNA 5430437J10 gene	ncRNA
18093	chr15	64255132	64255632	+	0	NA	intron (NM_001276462, intron 1 of 27)	intron (NM_001276462, intron 1 of 27)	57291	NM_001276462	13196	Mm.277236	NM_010026	ENSMUSG00000022377	Asap1	AV239055|DEF-1|Ddef1|PAP|mKIAA1249|s19	ArfGAP with SH3 domain, ankyrin repeat and PH domain1	protein-coding
17194	chr15	52752879	52753379	+	0	NA	Intergenic	Intergenic	40684	NM_027212	69790	Mm.195562	NM_027212	ENSMUSG00000038622	Med30	1810038N03Rik|2510044J04Rik|TRAP25|Thrap6	mediator complex subunit 30	protein-coding
