PeakID (cmd=annotatePeaks.pl enhancers_only_10um_k99a.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
15356	chr3	38808469	38808969	+	0	NA	Intergenic	Intergenic	-78221	NM_183221	329628	Mm.316210	NM_183221	ENSMUSG00000046743	Fat4	6030410K14Rik|9430004M15	FAT tumor suppressor homolog 4 (Drosophila)	protein-coding
12086	chr18	56608937	56609437	+	0	NA	Intergenic	Intergenic	20839	NM_026099	67343	Mm.87057	NM_026099	ENSMUSG00000032900	Tex43	1700065I17Rik|Tseg7	testis expressed 43	protein-coding
15519	chr15	100122548	100123048	+	0	NA	intron (NM_001159361, intron 2 of 37)	PB1D11|SINE|Alu	-31598	NM_172819	239667	Mm.243658	NM_172819	ENSMUSG00000023026	Dip2b	4932422C22|AI317237|AI854602|mKIAA1463	DIP2 disco-interacting protein 2 homolog B (Drosophila)	protein-coding
13332	chr6	53985630	53986130	+	0	NA	intron (NR_110484, intron 1 of 3)	intron (NR_110484, intron 1 of 3)	7189	NR_110484	320178	Mm.320413	NR_110484		4921529L05Rik	-	RIKEN cDNA 4921529L05 gene	ncRNA
15172	chr5	100271943	100272443	+	0	NA	Intergenic	RLTR45|LTR|ERVK	61501	NR_040679	69571	Mm.396412	NR_040679		2310034O05Rik	-	RIKEN cDNA 2310034O05 gene	ncRNA
14933	chr18	76544333	76544833	+	0	NA	Intergenic	Intergenic	283462	NM_001252481	17126	Mm.152699	NM_010754		Smad2	7120426M23Rik|Madh2|Madr2|Smad-2|mMad2	SMAD family member 2	protein-coding
14420	chr2	92529162	92529662	+	0	NA	Intergenic	Intergenic	-62794	NR_106080	102466819		NR_106080	miRBase:MI0023716	Mir7221	mmu-mir-7221	microRNA mir-7221	ncRNA
14823	chr10	95305192	95305692	+	0	NA	intron (NM_009950, intron 2 of 2)	MTD|LTR|ERVL-MaLR	18655	NM_009950	12905	Mm.473739	NM_009950	ENSMUSG00000045867	Cradd	RAIDD	CASP2 and RIPK1 domain containing adaptor with death domain	protein-coding
14686	chr2	147030106	147030606	+	0	NA	intron (NM_011917, intron 13 of 29)	intron (NM_011917, intron 13 of 29)	17296	NM_011917	24128	Mm.3065	NM_011917	ENSMUSG00000027433	Xrn2	-	5'-3' exoribonuclease 2	protein-coding
15053	chr12	17782839	17783339	+	0	NA	intron (NM_016677, intron 1 of 3)	intron (NM_016677, intron 1 of 3)	92275	NM_016677	53602	Mm.313619	NM_016677	ENSMUSG00000071379	Hpcal1	NVP-3|Nvp3|VILIP3|Vnsl3|Vsnl3	hippocalcin-like 1	protein-coding
15077	chr15	93879378	93879878	+	0	NA	Intergenic	Intergenic	47483	NR_045737	77248	Mm.410768	NR_045737		9430014N10Rik	-	RIKEN cDNA 9430014N10 gene	ncRNA
15430	chr9	31045595	31046095	+	0	NA	intron (NM_172765, intron 1 of 5)	ORR1A2|LTR|ERVL-MaLR	15201	NM_172765	235132	Mm.239355	NM_172765	ENSMUSG00000047412	Zbtb44	6030404E16Rik|Btbd15|E230011F09	zinc finger and BTB domain containing 44	protein-coding
15269	chr13	111890174	111890674	+	0	NA	Intergenic	Intergenic	-81441	NM_011945	26401	Mm.15918	NM_011945	ENSMUSG00000021754	Map3k1	MAPKKK1|MEKK1|Mekk	mitogen-activated protein kinase kinase kinase 1	protein-coding
14562	chr11	103254988	103255488	+	0	NA	intron (NM_016896, intron 1 of 15)	intron (NM_016896, intron 1 of 15)	12163	NM_016896	53859	Mm.158981	NM_016896	ENSMUSG00000020941	Map3k14	Nik|aly	mitogen-activated protein kinase kinase kinase 14	protein-coding
15612	chr7	25692320	25692820	+	0	NA	intron (NM_011577, intron 2 of 6)	intron (NM_011577, intron 2 of 6)	5568	NM_011577	21803	Mm.248380	NM_011577	ENSMUSG00000002603	Tgfb1	TGF-beta1|TGFbeta1|Tgfb|Tgfb-1	transforming growth factor, beta 1	protein-coding
13520	chr7	128057209	128057907	+	0	NA	Intergenic	PB1D10|SINE|Alu	-5082	NM_008401	16409	Mm.262106	NM_008401	ENSMUSG00000030786	Itgam	CD11b/CD18|CR3|CR3A|Cd11b|F730045J24Rik|Ly-40|MAC1|Mac-1|Mac-1a	integrin alpha M	protein-coding
14915	chr17	29669285	29669785	+	0	NA	intron (NM_028791, intron 2 of 23)	RSINE1|SINE|B4	8934	NM_028791	74157	Mm.475060	NM_028791		Cmtr1	1300018I05Rik|AI451264|Ftsjd2|MTr1|mKIAA0082	cap methyltransferase 1	protein-coding
12853	chr15	52899454	52899954	+	0	NA	Intergenic	Intergenic	187259	NM_027212	69790	Mm.195562	NM_027212	ENSMUSG00000038622	Med30	1810038N03Rik|2510044J04Rik|TRAP25|Thrap6	mediator complex subunit 30	protein-coding
12565	chr16	45952635	45953285	+	0	NA	Intergenic	Intergenic	57453	NM_001134480	433022	Mm.380993	NM_001134480	ENSMUSG00000087141	Plcxd2	AW494639|EG433022	phosphatidylinositol-specific phospholipase C, X domain containing 2	protein-coding
15463	chr11	74421808	74422308	+	0	NA	intron (NM_001015046, intron 11 of 24)	intron (NM_001015046, intron 11 of 24)	57387	NM_001011851	258153	Mm.376124	NM_001011851	ENSMUSG00000058275	Olfr412	MOR127-5P	olfactory receptor 412	protein-coding
12600	chr5	134282413	134282913	+	0	NA	intron (NM_001080749, intron 8 of 32)	PB1D11|SINE|Alu	32097	NM_001080747	14886	Mm.261570	NM_010365	ENSMUSG00000060261	Gtf2i	6030441I21Rik|BAP-135|Diws1t|GtfII-I|Spin|TFII-I|WBSCR6	general transcription factor II I	protein-coding
13413	chr5	34242155	34242785	+	0	NA	intron (NM_001015039, intron 2 of 12)	intron (NM_001015039, intron 2 of 12)	45854	NM_001015039	231125	Mm.113388	NM_001015039	ENSMUSG00000037224	Zfyve28	9630058O20Rik|Gm146|mKIAA1643	zinc finger, FYVE domain containing 28	protein-coding
15540	chr18	69665885	69666385	+	0	NA	intron (NM_001083967, intron 15 of 19)	intron (NM_001083967, intron 15 of 19)	-259424	NM_201362	381175	Mm.266831	NM_201362	ENSMUSG00000038903	Ccdc68	BC046343	coiled-coil domain containing 68	protein-coding
12956	chr1	36892130	36892928	+	0	NA	intron (NM_018872, intron 1 of 40)	(GGGA)n|Simple_repeat|Simple_repeat	46998	NM_018872	56030	Mm.186943	NM_018872	ENSMUSG00000026116	Tmem131	2610524E03Rik|CC28|D1Bwg0491e|Neg|RW1|YR-23|mKIAA0257	transmembrane protein 131	protein-coding
13629	chr3	104545251	104545751	+	0	NA	Intergenic	Intergenic	-33645	NM_001025067	269473	Mm.34855	NM_001025067	ENSMUSG00000032913	Lrig2	4632419I10Rik|BB096938	leucine-rich repeats and immunoglobulin-like domains 2	protein-coding
14618	chr17	45115520	45116020	+	0	NA	intron (NM_178652, intron 11 of 11)	intron (NM_178652, intron 11 of 11)	-234885	NM_029257	75341	Mm.386821	NM_029257		4930564C03Rik	-	RIKEN cDNA 4930564C03 gene	protein-coding
13229	chr9	94998193	94998693	+	0	NA	intron (NM_177909, intron 9 of 15)	intron (NM_177909, intron 9 of 15)	246614	NR_106116	102465763		NR_106116		Mir7656	mmu-mir-7656	microRNA mir-7656	ncRNA
12562	chr15	94254569	94255069	+	0	NA	intron (NR_045629, intron 3 of 3)	intron (NR_045629, intron 3 of 3)	7617	NR_045629	328594	Mm.135523	NR_045629		D630010B17Rik	Gm811	RIKEN cDNA D630010B17 gene	ncRNA
15570	chr2	61602837	61603337	+	0	NA	intron (NM_001164071, intron 2 of 8)	intron (NM_001164071, intron 2 of 8)	9990	NM_001164071	21353	Mm.244393	NM_011529	ENSMUSG00000064289	Tank	C86182|E430026L09Rik|I-TRAF	TRAF family member-associated Nf-kappa B activator	protein-coding
13252	chr12	80248317	80248817	+	0	NA	intron (NM_134156, intron 1 of 20)	intron (NM_134156, intron 1 of 20)	11804	NM_134156	109711	Mm.253564	NM_134156	ENSMUSG00000015143	Actn1	3110023F10Rik|Actn1a	actinin, alpha 1	protein-coding
13432	chr6	134242875	134243375	+	0	NA	intron (NM_007961, intron 4 of 7)	intron (NM_007961, intron 4 of 7)	-153204	NM_025778	66813	Mm.474472	NM_025778	ENSMUSG00000030200	Bcl2l14	4930452K23Rik|4933405K19Rik|9030625M01Rik|AI429211|Bclg	BCL2-like 14 (apoptosis facilitator)	protein-coding
12548	chr10	120247614	120248240	+	0	NA	Intergenic	(TTC)n|Simple_repeat|Simple_repeat	20867	NM_025431	66225	Mm.291755	NM_025431	ENSMUSG00000020224	Llph	1190005P17Rik	LLP homolog, long-term synaptic facilitation (Aplysia)	protein-coding
12963	chr2	120349987	120350487	+	0	NA	intron (NR_027618, intron 1 of 25)	intron (NR_027618, intron 1 of 25)	2896	NR_027618	269338	Mm.246131	NM_147153	ENSMUSG00000027291	Vps39	A230065P22Rik|AW743070|Vam6|Vam6P|mVam6	vacuolar protein sorting 39 (yeast)	protein-coding
14805	chr9	100693468	100693968	+	0	NA	intron (NM_009282, intron 1 of 33)	B3A|SINE|B2	50095	NM_009282	20842	Mm.42135	NM_009282	ENSMUSG00000037286	Stag1	AU045003|SA-1|Scc3	stromal antigen 1	protein-coding
13201	chr5	149252273	149253049	+	0	NA	Intergenic	URR1A|DNA|hAT-Charlie	-12397	NM_009663	11690	Mm.19844	NM_009663	ENSMUSG00000060063	Alox5ap	Flap	arachidonate 5-lipoxygenase activating protein	protein-coding
14503	chr7	74372923	74373423	+	0	NA	intron (NM_001038643, intron 2 of 10)	intron (NM_001038643, intron 2 of 10)	181607	NM_023908	108116	Mm.425467	NM_023908	ENSMUSG00000025790	Slco3a1	5830414C08Rik|Anr1|MJAM|OATP-D|R75096|Slc21a11	solute carrier organic anion transporter family, member 3a1	protein-coding
13561	chr12	80064494	80065136	+	0	NA	Intergenic	Intergenic	48198	NM_007564	12192	Mm.235132	NM_007564	ENSMUSG00000021127	Zfp36l1	AW742437|AW743212|Berg36|Brf1|D530020L18Rik|ERF1|TIS11b|cMG1	zinc finger protein 36, C3H type-like 1	protein-coding
13144	chr1	24045467	24045967	+	0	NA	intron (NM_026604, intron 10 of 20)	intron (NM_026604, intron 10 of 20)	-40077	NM_026503	68002	Mm.250424	NM_026503	ENSMUSG00000026154	1110058L19Rik	1700001E18Rik|C6orf57	RIKEN cDNA 1110058L19 gene	protein-coding
11061	chr14	75516322	75517178	+	0	NA	intron (NM_001128093, intron 1 of 1)	Lx8|LINE|L1	60768	NM_001128093	380918	Mm.484360	NM_001128093	ENSMUSG00000091722	Siah3	Gm912	seven in absentia homolog 3 (Drosophila)	protein-coding
13207	chr6	83598502	83599002	+	0	NA	Intergenic	Intergenic	-26248	NM_024239	70527	Mm.32801	NM_024239	ENSMUSG00000006906	Stambp	5330424L14Rik|5730422L11Rik|AW107289|Amsh|mKIAA4198	STAM binding protein	protein-coding
13644	chr5	107233366	107233866	+	0	NA	intron (NM_011578, intron 2 of 16)	intron (NM_011578, intron 2 of 16)	55979	NM_011578	21814	Mm.200775	NM_011578	ENSMUSG00000029287	Tgfbr3	1110036H20Rik|AU015626|AW215636|TBRIII	transforming growth factor, beta receptor III	protein-coding
12078	chr16	43650342	43650984	+	0	NA	intron (NM_001146325, intron 3 of 3)	(TCC)n|Simple_repeat|Simple_repeat	10008	NR_030576	100124467		NR_030576	miRBase:MI0005517	Mir568	Mirn568|mmu-mir-568	microRNA 568	ncRNA
15082	chr16	19962167	19962667	+	0	NA	intron (NM_183390, intron 2 of 6)	(GGAA)n|Simple_repeat|Simple_repeat	20632	NM_183390	239743	Mm.86699	NM_183390	ENSMUSG00000043008	Klhl6	-	kelch-like 6	protein-coding
14754	chr6	98624067	98624567	+	0	NA	Intergenic	Intergenic	-281563	NM_001128092	330390	Mm.484161	NM_001128092	ENSMUSG00000090667	Gm765	-	predicted gene 765	protein-coding
14465	chr4	139307400	139307900	+	0	NA	intron (NM_145384, intron 2 of 8)	intron (NM_145384, intron 2 of 8)	3050	NM_145384	212555	Mm.45131	NM_145384		Pqlc2	BC019216	PQ loop repeat containing 2	protein-coding
14489	chr6	92107641	92108141	+	0	NA	intron (NM_011630, intron 1 of 14)	ORR1D2|LTR|ERVL-MaLR	16473	NM_011630	22026	Mm.87062	NM_011630	ENSMUSG00000005893	Nr2c2	TAK1|Tr4|mKIAA4145	nuclear receptor subfamily 2, group C, member 2	protein-coding
15706	chrX	94794700	94795200	+	0	NA	non-coding (NR_003292, exon 1 of 1)	non-coding (NR_003292, exon 1 of 1)	3339	NR_003292	668171	Mm.426134	NR_003292		Zxda	4933406P09Rik|AW413531	zinc finger, X-linked, duplicated A	pseudo
13085	chr9	56321232	56321732	+	0	NA	intron (NM_172924, intron 2 of 6)	intron (NM_172924, intron 2 of 6)	96568	NM_172924	244895	Mm.490331	NM_172924	ENSMUSG00000074305	Peak1	1110049L02Rik|9530046P14|AA690169|BE132841|C230081A13Rik|SGK269|mKIAA2002	pseudopodium-enriched atypical kinase 1	protein-coding
14340	chr14	16368849	16369349	+	0	NA	intron (NM_009409, intron 1 of 35)	Lx9|LINE|L1	3893	NM_009409	21974	Mm.130362	NM_009409	ENSMUSG00000017485	Top2b	D230016L12Rik|Top-2	topoisomerase (DNA) II beta	protein-coding
12671	chr2	180445228	180445870	+	0	NA	Intergenic	L1MA9|LINE|L1	-15429	NM_148933	108115	Mm.133687	NM_148933	ENSMUSG00000038963	Slco4a1	OATP-E|Slc21a12	solute carrier organic anion transporter family, member 4a1	protein-coding
13747	chr17	86314331	86314831	+	0	NA	intron (NM_011104, intron 1 of 14)	MIR|SINE|MIR	-27403	NR_045435	72104	Mm.443401	NR_045435		2010106C02Rik	-	RIKEN cDNA 2010106C02 gene	ncRNA
15630	chr9	77528653	77529153	+	0	NA	intron (NM_001146048, intron 1 of 13)	intron (NM_001146048, intron 1 of 13)	15156	NM_172528	214345	Mm.28534	NM_172528	ENSMUSG00000032352	Lrrc1	A430093J20Rik|AU016091|D030059I21|mKIAA4018	leucine rich repeat containing 1	protein-coding
13266	chr15	59106432	59106932	+	0	NA	Intergenic	(CA)n|Simple_repeat|Simple_repeat	-24656	NM_001146180	211401	Mm.215481	NM_144800	ENSMUSG00000022353	Mtss1	2310003N14Rik|BC024131|D130001D01Rik|Mim|mKIAA0429	metastasis suppressor 1	protein-coding
15693	chrX	140510174	140510674	+	0	NA	Intergenic	MLTR14|LTR|ERV1	32244	NR_122039	14605	Mm.22216	NM_010286	ENSMUSG00000031431	Tsc22d3	DIP|Dsip1|Gilz|TSC-22R|Tilz3	TSC22 domain family, member 3	protein-coding
11229	chr12	76866774	76867562	+	0	NA	intron (NM_145927, intron 2 of 11)	intron (NM_145927, intron 2 of 11)	29701	NM_145927	110606	Mm.151174	NM_145927	ENSMUSG00000033373	Fntb	2010013E13Rik|AA409500	farnesyltransferase, CAAX box, beta	protein-coding
14699	chr3	95517362	95517862	+	0	NA	Intergenic	B3A|SINE|B2	-9174	NM_001267695	13040	Mm.3619	NM_021281	ENSMUSG00000038642	Ctss	-	cathepsin S	protein-coding
15445	chr10	20166096	20166596	+	0	NA	intron (NM_001198635, intron 1 of 17)	intron (NM_001198635, intron 1 of 17)	17426	NM_008635	17761	Mm.20928	NM_008635	ENSMUSG00000019996	Map7	E-MAP-115|MAP-7|Mtap7|R75000|mshi|mste|ste	microtubule-associated protein 7	protein-coding
15443	chr9	112100490	112100990	+	0	NA	intron (NM_001177618, intron 17 of 18)	intron (NM_001177618, intron 17 of 18)	17971	NR_029823	723815		NR_029823		Mir128-2	Mirn128-2|Mirn128b|mir-128b	microRNA 128-2	ncRNA
13486	chr2	60842693	60843193	+	0	NA	intron (NM_020296, intron 1 of 13)	intron (NM_020296, intron 1 of 13)	38495	NM_001141931	56878	Mm.259667	NM_020296	ENSMUSG00000026970	Rbms1	2600014B10Rik|AI255215|MSSP-1|MSSP-2|MSSP-3|YC1	RNA binding motif, single stranded interacting protein 1	protein-coding
13616	chr1	85798481	85798981	+	0	NA	intron (NM_133781, intron 1 of 8)	intron (NM_133781, intron 1 of 8)	5284	NM_133781	12283	Mm.26135	NM_133781	ENSMUSG00000036707	Cab39	AA408805|AA960512|C78372|MO25|MO25alpha	calcium binding protein 39	protein-coding
13603	chr19	18621507	18622007	+	0	NA	intron (NM_017375, intron 1 of 9)	Lx3A|LINE|L1	10056	NM_017375	20409	Mm.172222	NM_017375		Ostf1	C78236|SH3P2|Sh3d3	osteoclast stimulating factor 1	protein-coding
15380	chr4	134928326	134928826	+	0	NA	Intergenic	B1_Mur2|SINE|Alu	-2404	NM_026780	68592	Mm.29989	NM_026780	ENSMUSG00000028821	Syf2	1110018L13Rik|Cbpin|D4Bwg1551e|Gcipip|Ntc31|mp29|p29	SYF2 homolog, RNA splicing factor (S. cerevisiae)	protein-coding
11593	chr3	69142505	69143257	+	0	NA	intron (NM_001243000, intron 1 of 2)	intron (NM_001243000, intron 1 of 2)	11648	NM_001243000	381452	Mm.331067	NM_001243000	ENSMUSG00000094763	Gm1647	-	predicted gene 1647	protein-coding
13035	chr1	153038377	153038877	+	0	NA	intron (NM_175460, intron 1 of 10)	ORR1B1|LTR|ERVL-MaLR	83526	NM_175460	226518	Mm.40548	NM_175460	ENSMUSG00000042751	Nmnat2	AI843915|D030041I09Rik|PNAT1|PNAT2	nicotinamide nucleotide adenylyltransferase 2	protein-coding
14831	chr11	23818773	23819273	+	0	NA	Intergenic	L4_C_Mam|LINE|RTE-X	-48053	NM_009044	19696	Mm.4869	NM_009044	ENSMUSG00000020275	Rel	c-Rel	reticuloendotheliosis oncogene	protein-coding
14417	chr2	73404222	73404862	+	0	NA	Intergenic	Intergenic	-18062	NM_001276444	68526	Mm.451014	NM_001080707	ENSMUSG00000041762	Gpr155	1110017O10Rik|DEPDC3|F730029F15Rik|PGR22	G protein-coupled receptor 155	protein-coding
12907	chr9	61392328	61392828	+	0	NA	intron (NM_009389, intron 4 of 19)	intron (NM_009389, intron 4 of 19)	20212	NM_009389	21887	Mm.24255	NM_009389	ENSMUSG00000032280	Tle3	2610103N05Rik|ESG|Grg3a|Grg3b|mKIAA1547	transducin-like enhancer of split 3, homolog of Drosophila E(spl)	protein-coding
12439	chr14	99266115	99266745	+	0	NA	Intergenic	ID_B1|SINE|B4	-32261	NM_009769	12224	Mm.30262	NM_009769	ENSMUSG00000005148	Klf5	4930520J07Rik|Bteb2|CKLF|IKLF	Kruppel-like factor 5	protein-coding
15649	chr12	70192712	70193212	+	0	NA	intron (NM_133198, intron 19 of 19)	intron (NM_133198, intron 19 of 19)	34721	NM_133198	110095	Mm.256926	NM_133198	ENSMUSG00000021069	Pygl	-	liver glycogen phosphorylase	protein-coding
15699	chr6	8059170	8059670	+	0	NA	intron (NM_001037865, intron 26 of 34)	intron (NM_001037865, intron 26 of 34)	133197	NM_001037865	213945	Mm.297404	NM_001037865	ENSMUSG00000068794	Col28a1	Col28|Gm466	collagen, type XXVIII, alpha 1	protein-coding
15399	chr5	127609399	127609899	+	0	NA	intron (NM_133895, intron 1 of 7)	intron (NM_133895, intron 1 of 7)	7743	NM_133895	100561	Mm.28506	NM_133895	ENSMUSG00000029416	Slc15a4	AA987064|AW742963|C130069N12Rik|PHT1|PTR4	solute carrier family 15, member 4	protein-coding
12158	chr1	162295412	162295912	+	0	NA	intron (NM_001038619, intron 10 of 20)	intron (NM_001038619, intron 10 of 20)	72294	NR_029796	387210		NR_029796	miRBase:MI0000698	Mir214	Mirn214|mmu-mir-214	microRNA 214	ncRNA
10970	chr19	3567599	3568761	+	0	NA	intron (NM_029456, intron 1 of 22)	intron (NM_029456, intron 1 of 22)	7569	NM_028999	52036	Mm.284686	NM_028999	ENSMUSG00000024908	Ppp6r3	4930528G08Rik|9130026N02Rik|D19Bwg1430e|D19Ertd703e|Pp6r3|Ppcs3|Pptcs3|Sapl|Saps3|mKIAA1558	protein phosphatase 6, regulatory subunit 3	protein-coding
15494	chr13	99308081	99308581	+	0	NA	Intergenic	Intergenic	36347	NM_026873	68927	Mm.276502	NM_026873	ENSMUSG00000021650	Ptcd2	1190005P08Rik	pentatricopeptide repeat domain 2	protein-coding
15096	chr18	34415521	34416021	+	0	NA	intron (NM_016927, intron 4 of 14)	B1_Mus2|SINE|Alu	6348	NM_001163004	53871	Mm.445792	NM_016927	ENSMUSG00000014503	Pkd2l2	TRPP5	polycystic kidney disease 2-like 2	protein-coding
13214	chr6	149040221	149040861	+	0	NA	intron (NM_177192, intron 6 of 20)	intron (NM_177192, intron 6 of 20)	61139	NM_177192	320560	Mm.426874	NM_177192	ENSMUSG00000030313	Dennd5b	9330160C06Rik|AI852444|D030011O10Rik|ENSMUSG00000072657|Gm17524	DENN/MADD domain containing 5B	protein-coding
13913	chr13	43465953	43466453	+	0	NA	intron (NM_019930, intron 1 of 13)	intron (NM_019930, intron 1 of 13)	14770	NM_019930	56705	Mm.148781	NM_019930	ENSMUSG00000038546	Ranbp9	IBAP-1|Ibap1|RanBPM	RAN binding protein 9	protein-coding
14495	chr7	3648899	3649399	+	0	NA	intron (NM_146176, intron 1 of 17)	intron (NM_146176, intron 1 of 17)	3880	NM_146176	232791	Mm.358731	NM_146176	ENSMUSG00000035632	Cnot3	A930039N10Rik	CCR4-NOT transcription complex, subunit 3	protein-coding
15039	chr11	44373165	44373665	+	0	NA	Intergenic	B3|SINE|B2	-26648	NM_008352	16160	Mm.239707	NM_008352	ENSMUSG00000004296	Il12b	Il-12b|Il-12p40|Il12p40|p40	interleukin 12b	protein-coding
13753	chr19	36220895	36221395	+	0	NA	Intergenic	Lx8b|LINE|L1	-101301	NM_013468	107765	Mm.10279	NM_013468	ENSMUSG00000024803	Ankrd1	Alrp|CARP|Crap|MARP1	ankyrin repeat domain 1 (cardiac muscle)	protein-coding
13362	chr13	101782057	101782557	+	0	NA	Intergenic	MYSERV6-int|LTR|ERVK	-14090	NM_001077495	18708	Mm.259333	NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphatidylinositol 3-kinase, regulatory subunit, polypeptide 1 (p85 alpha)	protein-coding
14221	chr3	60583895	60584395	+	0	NA	intron (NM_001253708, intron 2 of 8)	B1_Mus1|SINE|Alu	82893	NM_020007	56758	Mm.255723	NM_020007	ENSMUSG00000027763	Mbnl1	Mbnl|mKIAA0428	muscleblind-like 1 (Drosophila)	protein-coding
15261	chr12	98602646	98603146	+	0	NA	Intergenic	Intergenic	-24956	NM_029911	72258	Mm.196158	NM_029911	ENSMUSG00000033854	Kcnk10	1700024D23Rik|3010005K24Rik|Trek2	potassium channel, subfamily K, member 10	protein-coding
15108	chr1	46831969	46832469	+	0	NA	intron (NM_172653, intron 3 of 9)	intron (NM_172653, intron 3 of 9)	21290	NM_172653	227059	Mm.233889	NM_172653	ENSMUSG00000025986	Slc39a10	2900042E17Rik|5430433I10|mKIAA1265	solute carrier family 39 (zinc transporter), member 10	protein-coding
14982	chr4	7644567	7645067	+	0	NA	Intergenic	L1M4|LINE|L1	84129	NR_040645	71510	Mm.410775	NR_040645	ENSMUSG00000086070	8430436N08Rik	-	RIKEN cDNA 8430436N08 gene	ncRNA
11731	chr2	83625654	83626280	+	0	NA	Intergenic	Intergenic	-18611	NM_026934	69082	Mm.27804	NM_026934	ENSMUSG00000027091	Zc3h15	1700006A17Rik|1810012H02Rik|2610312B22Rik|FM22|Ierepo4	zinc finger CCCH-type containing 15	protein-coding
11216	chr5	96979800	96980634	+	0	NA	Intergenic	Intergenic	-17472	NM_080708	140780	Mm.281490	NM_080708	ENSMUSG00000034663	Bmp2k	4933417M22Rik|AA673486|AV128808|BIKE	BMP2 inducible kinase	protein-coding
13730	chr14	75512984	75513622	+	0	NA	intron (NM_001128093, intron 1 of 1)	intron (NM_001128093, intron 1 of 1)	57321	NM_001128093	380918	Mm.484360	NM_001128093	ENSMUSG00000091722	Siah3	Gm912	seven in absentia homolog 3 (Drosophila)	protein-coding
15024	chr9	86476763	86477263	+	0	NA	intron (NM_177208, intron 1 of 38)	L1MB2|LINE|L1	9859	NM_177208	320615	Mm.245500	NM_177208	ENSMUSG00000034973	Dopey1	B130005I07Rik|BC035275|C130028L17|D9Ertd809e	dopey family member 1	protein-coding
14194	chr1	7398276	7398776	+	0	NA	Intergenic	CpG	309606	NM_183028	319263	Mm.21539	NM_183028	ENSMUSG00000051285	Pcmtd1	8430411F12Rik|A030012M09Rik	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	protein-coding
15421	chr8	22453960	22454460	+	0	NA	Intergenic	Intergenic	-22490	NM_011394	20516	Mm.323901	NM_011394	ENSMUSG00000037656	Slc20a2	MolPit2|Pit-2|Pit2|Ram-1|Ram1	solute carrier family 20, member 2	protein-coding
14249	chr5	117363116	117363616	+	0	NA	intron (NM_021539, intron 1 of 8)	intron (NM_021539, intron 1 of 8)	6061	NM_021539	59043	Mm.28489	NM_021539	ENSMUSG00000029364	Wsb2	AA673511|Swip2|WSB-2	WD repeat and SOCS box-containing 2	protein-coding
15129	chr2	72135115	72135615	+	0	NA	intron (NM_001204166, intron 1 of 27)	intron (NM_001204166, intron 1 of 27)	80748	NM_001204166	56508	Mm.196153	NM_019688	ENSMUSG00000049044	Rapgef4	1300003D15Rik|5730402K07Rik|6330581N18Rik|EPAC 2|Epac-2|Epac2|mKIAA4040	Rap guanine nucleotide exchange factor (GEF) 4	protein-coding
15643	chr11	49698938	49699438	+	0	NA	intron (NM_001290741, intron 1 of 10)	intron (NM_001290741, intron 1 of 10)	3466	NM_001290741	104625	Mm.247113	NM_212484	ENSMUSG00000020362	Cnot6	CCR4	CCR4-NOT transcription complex, subunit 6	protein-coding
14974	chr2	131266521	131267021	+	0	NA	intron (NM_153501, intron 1 of 6)	intron (NM_153501, intron 1 of 6)	4271	NM_153501	74450	Mm.101264	NM_153501	ENSMUSG00000037514	Pank2	4933409I19Rik|AI642621	pantothenate kinase 2	protein-coding
12156	chr1	69679384	69680184	+	0	NA	intron (NM_011770, intron 3 of 7)	intron (NM_011770, intron 3 of 7)	6176	NM_011770	22779	Mm.106343	NM_011770	ENSMUSG00000025997	Ikzf2	A730095J18Rik|Helios|Zfpn1a2|Znfn1a2	IKAROS family zinc finger 2	protein-coding
12558	chr15	74914599	74915099	+	0	NA	Intergenic	Intergenic	-33145	NM_025929	67038	Mm.154566	NM_025929	ENSMUSG00000063522	2010109I03Rik	-	RIKEN cDNA 2010109I03 gene	protein-coding
13137	chr18	55681181	55681681	+	0	NA	Intergenic	Intergenic	-691251	NM_175751	269023	Mm.192984	NM_175751	ENSMUSG00000052713	Zfp608	4932417D18Rik|D430007A19Rik|Znf608	zinc finger protein 608	protein-coding
13130	chr15	64191502	64192002	+	0	NA	intron (NM_001276462, intron 2 of 27)	intron (NM_001276462, intron 2 of 27)	120921	NM_001276462	13196	Mm.277236	NM_010026	ENSMUSG00000022377	Asap1	AV239055|DEF-1|Ddef1|PAP|mKIAA1249|s19	ArfGAP with SH3 domain, ankyrin repeat and PH domain1	protein-coding
13805	chr4	108779938	108780438	+	0	NA	intron (NM_001254730, intron 3 of 3)	CpG	53396	NM_027453	70533	Mm.379178	NM_027453	ENSMUSG00000028568	Btf3l4	4632412E09Rik|5730434I03Rik|AI316863|AU022207|AW552446	basic transcription factor 3-like 4	protein-coding
15513	chr15	83471099	83471599	+	0	NA	Intergenic	Intergenic	-6743	NM_001159509	23970	Mm.23978	NM_011862	ENSMUSG00000016664	Pacsin2	AI197433	protein kinase C and casein kinase substrate in neurons 2	protein-coding
