PeakID (cmd=annotatePeaks.pl enhancers_only_no_peptide.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
7188	chr10	80072396	80072896	+	0	NA	intron (NM_183426, intron 4 of 31)	L1MB7|LINE|L1	18627	NM_001037741	625249	Mm.332810	NM_008162	ENSMUSG00000075706	Gpx4	GPx-4|GSHPx-4|PHGPx|mtPHGPx|snGPx	glutathione peroxidase 4	protein-coding
4862	chr5	64024559	64025059	+	0	NA	Intergenic	Intergenic	-20164	NR_045384	74757	Mm.159329	NR_045384		5830416I19Rik	-	RIKEN cDNA 5830416I19 gene	ncRNA
4478	chr12	35983445	35983945	+	0	NA	Intergenic	Intergenic	-9230	NM_011783	23795	Mm.7244	NM_011783	ENSMUSG00000020581	Agr2	Agr2h|Gob-4|HAG-2|XAG-2|mAG-2	anterior gradient 2	protein-coding
8471	chr19	34636476	34636976	+	0	NA	intron (NM_053217, intron 1 of 2)	Lx5|LINE|L1	4017	NM_053217	112419	Mm.440727	NM_053217	ENSMUSG00000067297	2010002M12Rik	AW412491	RIKEN cDNA 2010002M12 gene	protein-coding
8939	chr9	72024143	72024643	+	0	NA	intron (NM_001253862, intron 3 of 19)	intron (NM_001253862, intron 3 of 19)	60952	NR_029879	723889		NR_029879		Mir378a	Mir378|Mirn378|mmu-mir-378|mmu-mir-378a	microRNA 378a	ncRNA
7308	chr1	155062025	155062525	+	0	NA	Intergenic	Intergenic	37361	NM_010500	15939	Mm.12246	NM_010500	ENSMUSG00000056708	Ier5	-	immediate early response 5	protein-coding
7082	chr3	115667286	115667786	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	47519	NM_007901	13609	Mm.982	NM_007901	ENSMUSG00000045092	S1pr1	AI849002|Edg1|Lpb1|S1p|S1p1	sphingosine-1-phosphate receptor 1	protein-coding
8053	chr7	73741728	73742228	+	0	NA	intron (NM_001162532, intron 1 of 2)	intron (NM_001162532, intron 1 of 2)	1671	NM_001162532	100038347	Mm.425464	NM_001162532	ENSMUSG00000078670	Fam174b	-	family with sequence similarity 174, member B	protein-coding
8295	chr7	27311241	27311741	+	0	NA	intron (NM_175641, intron 25 of 32)	RLTR31D_MM|LTR|ERVK	22157	NM_001113549	108075	Mm.272251	NM_175641	ENSMUSG00000040488	Ltbp4	2310046A13Rik	latent transforming growth factor beta binding protein 4	protein-coding
8943	chr11	119619626	119620126	+	0	NA	intron (NM_028898, intron 1 of 33)	L1MEg|LINE|L1	16881	NM_028898	74370	Mm.209933	NM_028898	ENSMUSG00000025583	Rptor	4932417H02Rik|Rap|Raptor|mKIAA1303	regulatory associated protein of MTOR, complex 1	protein-coding
8630	chr13	54818691	54819191	+	0	NA	Intergenic	Intergenic	29536	NM_028841	74257	Mm.32883	NM_028841	ENSMUSG00000025875	Tspan17	2210021G21Rik|AI047581|Fbxo23|Tm4sf17	tetraspanin 17	protein-coding
5374	chr3	131176748	131177506	+	0	NA	intron (NM_001276402, intron 3 of 9)	intron (NM_001276402, intron 3 of 9)	64336	NM_001276403	16842	Mm.255219	NM_010703	ENSMUSG00000027985	Lef1	3000002B05|AI451430|Lef-1	lymphoid enhancer binding factor 1	protein-coding
6765	chr13	58206885	58207511	+	0	NA	intron (NM_152234, intron 1 of 9)	B1_Mur4|SINE|Alu	8455	NM_026842	56085	Mm.182053	NM_026842	ENSMUSG00000005312	Ubqln1	1110046H03Rik|1810030E05Rik|AU019746|C77538|D13Ertd372e|Da41|Dsk2|Plic-1|Plic1|Xdrp1	ubiquilin 1	protein-coding
4301	chr18	52909117	52909971	+	0	NA	intron (NM_001199151, intron 11 of 11)	intron (NM_001199151, intron 11 of 11)	-6897	NR_035420	100316749		NR_035420	miRBase:MI0006293	Mir467f	Mirn467f|mmu-mir-467f	microRNA 467f	ncRNA
8245	chr4	152217808	152218308	+	0	NA	intron (NM_133348, intron 3 of 8)	MTD|LTR|ERVL-MaLR	18214	NM_001146058	70025	Mm.296191	NM_133348	ENSMUSG00000028937	Acot7	2410041A17Rik|Ach1|Act|Bach|CTE-IIa|Cte-II|Lach1	acyl-CoA thioesterase 7	protein-coding
6348	chr2	179971837	179972477	+	0	NA	intron (NM_001081092, intron 1 of 14)	intron (NM_001081092, intron 1 of 14)	4489	NM_001081092	228980	Mm.235542	NM_001081092	ENSMUSG00000039117	Taf4a	135kDa|AI450312|TAFII130|TAFII135|Taf2c1	TAF4A RNA polymerase II, TATA box binding protein (TBP)-associated factor	protein-coding
8022	chr3	149497504	149498004	+	0	NA	Intergenic	Intergenic	223017	NR_040591	381482	Mm.393866	NR_040591		Gm1653	-	predicted gene 1653	ncRNA
8378	chr11	119637935	119638435	+	0	NA	intron (NM_028898, intron 1 of 33)	B1_Mur3|SINE|Alu	35190	NM_028898	74370	Mm.209933	NM_028898	ENSMUSG00000025583	Rptor	4932417H02Rik|Rap|Raptor|mKIAA1303	regulatory associated protein of MTOR, complex 1	protein-coding
6646	chr5	123877907	123878407	+	0	NA	3' UTR (NM_175520, exon 1 of 1)	3' UTR (NM_175520, exon 1 of 1)	1863	NM_175520	243270	Mm.33362	NM_175520	ENSMUSG00000049241	Hcar1	Gpr81	hydrocarboxylic acid receptor 1	protein-coding
4658	chr6	126807692	126808320	+	0	NA	Intergenic	B1_Mur3|SINE|Alu	41138	NM_025358	66108	Mm.29939	NM_025358	ENSMUSG00000000399	Ndufa9	1010001N11Rik	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9	protein-coding
7411	chr5	144958689	144959189	+	0	NA	intron (NM_029438, intron 1 of 17)	intron (NM_029438, intron 1 of 17)	6891	NM_001038627	75788	Mm.27735	NM_029438	ENSMUSG00000038780	Smurf1	4930431E10Rik|mKIAA1625	SMAD specific E3 ubiquitin protein ligase 1	protein-coding
5543	chr6	99364177	99364677	+	0	NA	intron (NM_053202, intron 1 of 18)	intron (NM_053202, intron 1 of 18)	70918	NM_053202	108655	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding
8883	chr18	69585913	69586413	+	0	NA	intron (NM_001083967, intron 8 of 19)	intron (NM_001083967, intron 8 of 19)	240442	NM_001083967	21413	Mm.4269	NM_013685	ENSMUSG00000053477	Tcf4	5730422P05Rik|ASP-I2|E2-2|E2.2|ITF-2|ITF-2b|ITF2|ME2|MITF-2A|MITF-2B|SEF-2|SEF2|SEF2-1|TFE|Tcf-4|bHLHb19	transcription factor 4	protein-coding
6660	chr6	99419114	99419746	+	0	NA	intron (NM_053202, intron 1 of 18)	intron (NM_053202, intron 1 of 18)	15915	NM_053202	108655	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding
6373	chr4	132659099	132659599	+	0	NA	intron (NM_010166, intron 3 of 17)	intron (NM_010166, intron 3 of 17)	20303	NM_010166	14050	Mm.227733	NM_010166	ENSMUSG00000028886	Eya3	AI844637	eyes absent 3 homolog (Drosophila)	protein-coding
6616	chr4	33892353	33892853	+	0	NA	Intergenic	Intergenic	-32029	NM_007726	12801	Mm.7992	NM_007726	ENSMUSG00000044288	Cnr1	CB-R|CB1|CB1R	cannabinoid receptor 1 (brain)	protein-coding
6801	chr17	31184575	31185075	+	0	NA	intron (NM_080727, intron 9 of 11)	intron (NM_080727, intron 9 of 11)	12924	NM_080727	140765	Mm.214638	NM_080727	ENSMUSG00000024034	Tmprss3	-	transmembrane protease, serine 3	protein-coding
4782	chr11	69055637	69056417	+	0	NA	Intergenic	Intergenic	-3748	NM_028005	71923	Mm.340257	NM_028005	ENSMUSG00000045176	2310047M10Rik	-	RIKEN cDNA 2310047M10 gene	protein-coding
7557	chr12	59213158	59213658	+	0	NA	intron (NM_001033156, intron 1 of 3)	intron (NM_001033156, intron 1 of 3)	6075	NM_001033156	70611	Mm.311026	NM_001033156	ENSMUSG00000035329	Fbxo33	5730501N20Rik|AI642135	F-box protein 33	protein-coding
6438	chr10	80729556	80730408	+	0	NA	exon (NM_007460, exon 4 of 31)	exon (NM_007460, exon 4 of 31)	12229	NM_007460	11776	Mm.209294	NM_007460	ENSMUSG00000020198	Ap3d1	AA407035|Ap3d|Bolvr|mBLVR1|mh|mocha	adaptor-related protein complex 3, delta 1 subunit	protein-coding
5477	chr1	39100397	39101181	+	0	NA	Intergenic	ORR1A2|LTR|ERVL-MaLR	86203	NR_105767	102466631		NR_105767	miRBase:MI0021877	Mir6349	mmu-mir-6349	microRNA mir-6349	ncRNA
6155	chr19	3855800	3856426	+	0	NA	intron (NR_073190, intron 1 of 12)	intron (NR_073190, intron 1 of 12)	4340	NM_013490	12660	Mm.225505	NM_013490	ENSMUSG00000024843	Chka	CK|CK/EK-alpha|Chetk-alpha|Chk|ChoK|EK|EtnK-alpha	choline kinase alpha	protein-coding
7985	chrX	159261757	159262401	+	0	NA	intron (NM_148945, intron 1 of 21)	intron (NM_148945, intron 1 of 21)	6297	NM_148945	110651	Mm.328476	NM_148945	ENSMUSG00000031309	Rps6ka3	C130006E23|MAPKAPK-1b|MPK-9|Rsk2|S6K-alpha3|p90RSK3|pp90RSK2	ribosomal protein S6 kinase polypeptide 3	protein-coding
7660	chr17	33572558	33573254	+	0	NA	intron (NM_053214, intron 1 of 27)	ID_B1|SINE|B4	17199	NM_053214	17916	Mm.42019	NM_053214	ENSMUSG00000024300	Myo1f	C330006B10Rik	myosin IF	protein-coding
6145	chr17	29167241	29167741	+	0	NA	intron (NM_153166, intron 13 of 20)	intron (NM_153166, intron 13 of 20)	32435	NM_001002786	442827	Mm.440341	NM_001002786	ENSMUSG00000064147	Rab44	9830134C10Rik	RAB44, member RAS oncogene family	protein-coding
8701	chr3	105773972	105774472	+	0	NA	intron (NM_145541, intron 1 of 7)	MER58B|DNA|hAT-Charlie	27159	NM_145541	109905	Mm.101922	NM_145541	ENSMUSG00000068798	Rap1a	AI848598|G-22K|Krev-1|Rap1	RAS-related protein-1a	protein-coding
8736	chr6	51567148	51567648	+	0	NA	intron (NM_028035, intron 2 of 6)	intron (NM_028035, intron 2 of 6)	22875	NM_001127348	71982	Mm.294166	NM_028035	ENSMUSG00000038301	Snx10	2410004M09Rik	sorting nexin 10	protein-coding
8836	chr14	74116638	74117138	+	0	NA	Intergenic	Intergenic	-238639	NR_046059	74425	Mm.399498	NR_046059		4933402J15Rik	-	RIKEN cDNA 4933402J15 gene	ncRNA
6464	chr12	41960673	41961173	+	0	NA	Intergenic	Intergenic	-474866	NM_001271709	16981	Mm.404786	NM_010733	ENSMUSG00000036295	Lrrn3	NLRR-3	leucine rich repeat protein 3, neuronal	protein-coding
7888	chr12	106025140	106025640	+	0	NA	intron (NM_001029843, intron 1 of 13)	intron (NM_001029843, intron 1 of 13)	15127	NM_001029843	22367	Mm.2981	NM_011705	ENSMUSG00000021115	Vrk1	51PK	vaccinia related kinase 1	protein-coding
6318	chrX	13607658	13608290	+	0	NA	intron (NM_009806, intron 9 of 24)	intron (NM_009806, intron 9 of 24)	-24795	NM_011823	23890	Mm.487326	NM_011823	ENSMUSG00000040229	Gpr34	Lypsr1	G protein-coupled receptor 34	protein-coding
7614	chr14	122027629	122028129	+	0	NA	Intergenic	Intergenic	-6795	NM_001037744	223262	Mm.297637	NM_001037744	ENSMUSG00000071229	Timm8a2	-	translocase of inner mitochondrial membrane 8A2	protein-coding
8079	chr9	113984971	113985471	+	0	NA	intron (NM_178624, intron 11 of 14)	intron (NM_178624, intron 11 of 14)	8579	NR_039590	100628597		NR_039590	miRBase:MI0018040	Mir5128	mmu-mir-5128|mu-mir-5128	microRNA 5128	ncRNA
7480	chr8	115618330	115618830	+	0	NA	Intergenic	Intergenic	88314	NM_001025577	17132	Mm.275549	NM_001025577		Maf	2810401A20Rik|A230108G15Rik|AW047063|c-maf	avian musculoaponeurotic fibrosarcoma (v-maf) AS42 oncogene homolog	protein-coding
6043	chr7	74599580	74600080	+	0	NA	Intergenic	Intergenic	-45050	NM_023908	108116	Mm.425467	NM_023908	ENSMUSG00000025790	Slco3a1	5830414C08Rik|Anr1|MJAM|OATP-D|R75096|Slc21a11	solute carrier organic anion transporter family, member 3a1	protein-coding
5962	chr1	64514095	64514731	+	0	NA	Intergenic	Intergenic	-18391	NM_001037726	12912	Mm.422634	NM_009952	ENSMUSG00000025958	Creb1	2310001E10Rik|3526402H21Rik|AV083133|Creb|Creb-1	cAMP responsive element binding protein 1	protein-coding
8965	chr3	27444474	27444974	+	0	NA	intron (NM_173182, intron 22 of 25)	intron (NM_173182, intron 22 of 25)	73373	NM_177330	208188	Mm.194721	NM_177330	ENSMUSG00000051136	Ghsr	C530020I22Rik	growth hormone secretagogue receptor	protein-coding
7271	chr17	58932564	58933064	+	0	NA	intron (NM_027001, intron 6 of 12)	intron (NM_027001, intron 6 of 12)	58561	NM_027001	69239	Mm.246732	NM_027001	ENSMUSG00000024227	2610034M16Rik	AV114557	RIKEN cDNA 2610034M16 gene	protein-coding
8673	chr1	131899923	131900423	+	0	NA	Intergenic	Intergenic	-10285	NM_175294	98415	Mm.246869	NM_175294	ENSMUSG00000026434	Nucks1	2700010L10Rik|8430423A01Rik|AI647518|C78391|Nucks	nuclear casein kinase and cyclin-dependent kinase substrate 1	protein-coding
6291	chr15	78860137	78860637	+	0	NA	Intergenic	MTEb|LTR|ERVL-MaLR	-4858	NM_025622	107753	Mm.390793	NM_025622	ENSMUSG00000043501	Lgals2	2200008F12Rik|AI324147	lectin, galactose-binding, soluble 2	protein-coding
8529	chr4	140639994	140640494	+	0	NA	intron (NM_001112722, intron 1 of 27)	intron (NM_001112722, intron 1 of 27)	8512	NM_172415	72754	Mm.29329	NM_172415	ENSMUSG00000040964	Arhgef10l	2810441C07Rik	Rho guanine nucleotide exchange factor (GEF) 10-like	protein-coding
6664	chr6	142869283	142869921	+	0	NA	intron (NM_011374, intron 3 of 4)	B4A|SINE|B4	55371	NR_045707	665037	Mm.401493	NR_045707	ENSMUSG00000072683	Gm7457	EG665037|ENSMUSG00000072683	predicted gene 7457	ncRNA
8267	chr5	139394999	139395499	+	0	NA	3' UTR (NM_001038703, exon 2 of 2)	3' UTR (NM_001038703, exon 2 of 2)	5345	NM_001038703	80290	Mm.270003	NM_030258	ENSMUSG00000044197	Gpr146	BC003323|PGR8	G protein-coupled receptor 146	protein-coding
7839	chr9	46184064	46184564	+	0	NA	intron (NM_027498, intron 6 of 24)	intron (NM_027498, intron 6 of 24)	-44316	NM_009692	11806	Mm.26743	NM_009692	ENSMUSG00000032083	Apoa1	Alp-1|Apoa-1|Brp-14|Ltw-1|Lvtw-1|Sep-1|Sep-2|Sep2|apo-AI|apoA-I	apolipoprotein A-I	protein-coding
7065	chr2	154675647	154676147	+	0	NA	intron (NM_029362, intron 1 of 4)	ID_B1|SINE|B4	18871	NM_029362	75608	Mm.262480	NM_029362	ENSMUSG00000038467	Chmp4b	2010012F05Rik|C76846|Snf7-2	charged multivesicular body protein 4B	protein-coding
5995	chr3	123091793	123092293	+	0	NA	intron (NM_080451, intron 4 of 4)	intron (NM_080451, intron 4 of 4)	-57056	NM_021503	59006	Mm.141157	NM_021503	ENSMUSG00000028116	Myoz2	1110012I24Rik|Fatz-2|Myozl2	myozenin 2	protein-coding
8720	chr4	149949514	149950014	+	0	NA	intron (NM_029035, intron 1 of 2)	Lx5c|LINE|L1	5242	NM_029035	74646	Mm.30	NM_029035	ENSMUSG00000039911	Spsb1	1110014L01Rik|4930422J18Rik|AI596360|AI854583|SSB-1|SSB1	splA/ryanodine receptor domain and SOCS box containing 1	protein-coding
5840	chr5	89089758	89090258	+	0	NA	intron (NM_018760, intron 7 of 25)	intron (NM_018760, intron 7 of 25)	202748	NM_001197147	54403	Mm.41044	NM_018760	ENSMUSG00000060961	Slc4a4	AI835705|NBC|NBC1	solute carrier family 4 (anion exchanger), member 4	protein-coding
8152	chr17	83735662	83736162	+	0	NA	intron (NM_054082, intron 3 of 16)	MTC|LTR|ERVL-MaLR	29749	NM_001171054	116871	Mm.277668	NM_054082	ENSMUSG00000055817	Mta3	1110002J22Rik|mKIAA1266	metastasis associated 3	protein-coding
8119	chr14	40894601	40895101	+	0	NA	Intergenic	Intergenic	-1886	NM_177816	328381	Mm.235694	NM_177816	ENSMUSG00000037833	Sh2d4b	A430109M18Rik|D030001E08	SH2 domain containing 4B	protein-coding
7301	chr1	130514693	130515193	+	0	NA	Intergenic	C-rich|Low_complexity|Low_complexity	-52203	NM_010016	13136	Mm.101591	NM_010016	ENSMUSG00000026399	Cd55	Daf|Daf-GPI|Daf1|GPI-DAF	CD55 antigen	protein-coding
7798	chr6	87517160	87517660	+	0	NA	intron (NM_001037727, intron 1 of 10)	intron (NM_001037727, intron 1 of 10)	15849	NM_001037727	232201	Mm.119564	NM_175476		Arhgap25	A130039I20Rik	Rho GTPase activating protein 25	protein-coding
8116	chr13	92828457	92828957	+	0	NA	Intergenic	Intergenic	-16080	NM_001162945	382793	Mm.296770	NM_001162945	ENSMUSG00000021704	Mtx3	4930470O13Rik|AA409304|AI853833|AU067765|EG624619|Gm1194|Gm6514	metaxin 3	protein-coding
5295	chr11	54575957	54576457	+	0	NA	intron (NM_001252496, intron 6 of 28)	intron (NM_001252496, intron 6 of 28)	-19939	NM_001252497	192786	Mm.254404	NM_175258	ENSMUSG00000037533	Rapgef6	A530068K01|AI844632|BB085664|C030018K18Rik|PDZ-GEF2|Pdzgef2|RA-GEF-2|Ragef2|mKIAA4052	Rap guanine nucleotide exchange factor (GEF) 6	protein-coding
8480	chrX	73917871	73918371	+	0	NA	intron (NM_019870, intron 6 of 7)	intron (NM_019870, intron 6 of 7)	3823	NM_019870	56292	Mm.246654	NM_019870	ENSMUSG00000031388	Naa10	2310039H09Rik|Ard1|Ard1a|Te2	N(alpha)-acetyltransferase 10, NatA catalytic subunit	protein-coding
8957	chr16	94230156	94230656	+	0	NA	intron (NM_139145, intron 5 of 9)	B2_Mm1a|SINE|B2	57450	NM_139145	110948	Mm.30921	NM_139145	ENSMUSG00000040820	Hlcs	410I21.SP6|D16Jhu34	holocarboxylase synthetase (biotin- [propriony-Coenzyme A-carboxylase (ATP-hydrolysing)] ligase)	protein-coding
6974	chr14	25184830	25185330	+	0	NA	Intergenic	Intergenic	-41839	NR_045718	75862	Mm.109191	NR_045718		4930572O13Rik	-	RIKEN cDNA 4930572O13 gene	ncRNA
6525	chr17	83273936	83274824	+	0	NA	Intergenic	Intergenic	59097	NM_134117	106522	Mm.311974	NM_134117	ENSMUSG00000024247	Pkdcc	AI115348|AW548124|Adtk1|ESTM17|MAd1|Sgk493|Vlk|X83346	protein kinase domain containing, cytoplasmic	protein-coding
4199	chr16	51705021	51705521	+	0	NA	Intergenic	Intergenic	-326278	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding
5718	chr8	77282328	77282828	+	0	NA	intron (NM_030113, intron 19 of 22)	MTC|LTR|ERVL-MaLR	-234478	NR_028125	70345	Mm.411813	NR_028125	ENSMUSG00000097882	0610038B21Rik	-	RIKEN cDNA 0610038B21 gene	ncRNA
6157	chr19	26991551	26992191	+	0	NA	Intergenic	Intergenic	105946	NM_001033407	329047	Mm.293289	NM_001033407	ENSMUSG00000074913	Gm815	-	predicted gene 815	protein-coding
4947	chr18	84804274	84804774	+	0	NA	Intergenic	Intergenic	-46890	NM_025797	109672	Mm.31018	NM_025797		Cyb5a	0610009N12Rik|Cyb5	cytochrome b5 type A (microsomal)	protein-coding
8963	chrX	75082650	75083150	+	0	NA	intron (NM_181584, intron 1 of 9)	B2_Mm2|SINE|B2	2005	NM_181584	210710	Mm.267056	NM_181584	ENSMUSG00000032750	Gab3	5930433H21Rik	growth factor receptor bound protein 2-associated protein 3	protein-coding
8542	chr6	6563535	6564035	+	0	NA	intron (NM_009169, intron 1 of 2)	intron (NM_009169, intron 1 of 2)	14873	NM_009169	20422	Mm.2469	NM_009169		Shfm1	DSS1|Shfdg1|Shfg	split hand/foot malformation (ectrodactyly) type 1	protein-coding
5466	chr17	88190870	88191518	+	0	NA	Intergenic	Intergenic	65682	NM_001190356	225058	Mm.312053	NM_001190356		Gm4832	EG225058	predicted gene 4832	protein-coding
8785	chr10	40425017	40425517	+	0	NA	intron (NM_198164, intron 2 of 11)	intron (NM_198164, intron 2 of 11)	75959	NM_001168304	78334	Mm.200924	NM_198164	ENSMUSG00000038481	Cdk19	2700084L06Rik|AI845279|AW228747|CDK11|Cdc2l6|mKIAA1028	cyclin-dependent kinase 19	protein-coding
6477	chr13	44320675	44321175	+	0	NA	Intergenic	Lx|LINE|L1	-104438	NR_045088	100503592	Mm.184925	NR_045088		A330076C08Rik	-	RIKEN cDNA A330076C08 gene	ncRNA
7825	chr8	35359169	35359669	+	0	NA	Intergenic	Intergenic	-16322	NM_177741	244416	Mm.247126	NM_177741	ENSMUSG00000046794	Ppp1r3b	6430576E21|AW821953|GL|PTG	protein phosphatase 1, regulatory (inhibitor) subunit 3B	protein-coding
8916	chr1	182674542	182675042	+	0	NA	Intergenic	Intergenic	74388	NM_001033547	433386	Mm.338103	NM_001033547	ENSMUSG00000043429	Ccdc185	4922505E12Rik	coiled-coil domain containing 185	protein-coding
5795	chr1	7414233	7414895	+	0	NA	Intergenic	(TG)n|Simple_repeat|Simple_repeat	325644	NM_183028	319263	Mm.21539	NM_183028	ENSMUSG00000051285	Pcmtd1	8430411F12Rik|A030012M09Rik	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	protein-coding
8490	chr1	60078943	60079443	+	0	NA	intron (NM_021312, intron 12 of 12)	PB1D7|SINE|Alu	18714	NM_021312	57750	Mm.281079	NM_021312	ENSMUSG00000026019	Wdr12	4933402C23Rik|Ytm1|Ytm1p	WD repeat domain 12	protein-coding
8746	chr7	6941113	6941613	+	0	NA	intron (NM_001290994, intron 6 of 8)	B1_Mus1|SINE|Alu	35299	NR_036631	116811	Mm.381671	NR_036631		Zim3	1700128I23Rik	zinc finger, imprinted 3	ncRNA
7661	chr17	34173877	34174377	+	0	NA	Intergenic	Intergenic	13203	NM_013585	16912	Mm.390983	NM_013585		Psmb9	Lmp-2|Lmp2	proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)	protein-coding
8209	chr2	117951414	117951914	+	0	NA	Intergenic	Intergenic	129736	NR_040631	73938	Mm.399107	NR_040631	ENSMUSG00000086221	4930412B13Rik	-	RIKEN cDNA 4930412B13 gene	ncRNA
7465	chr8	80916444	80916944	+	0	NA	Intergenic	ORR1E|LTR|ERVL-MaLR	-36175	NM_001301298	14388	Mm.277409	NM_021356	ENSMUSG00000031714	Gab1	AA408973|AW107238	growth factor receptor bound protein 2-associated protein 1	protein-coding
7312	chr1	176852765	176853409	+	0	NA	intron (NM_029756, intron 8 of 17)	intron (NM_029756, intron 8 of 17)	-16954	NR_037996	15365	Mm.441435	NR_037996		Hmga2-ps1	EG666235|Gm7996|Hmgic-ps1|[y]i-c	high mobility group AT-hook 2, pseudogene 1	pseudo
7296	chr1	52127095	52127595	+	0	NA	intron (NM_009283, intron 5 of 24)	intron (NM_009283, intron 5 of 24)	7723	NM_001205313	20846	Mm.277406	NM_009283	ENSMUSG00000026104	Stat1	2010005J02Rik|AA408197	signal transducer and activator of transcription 1	protein-coding
7579	chr13	51110133	51110633	+	0	NA	intron (NM_001283029, intron 1 of 5)	BGLII_Mus|LTR|ERVK	8836	NM_001283029	20729	Mm.188432	NM_011462	ENSMUSG00000021395	Spin1	Spin	spindlin 1	protein-coding
5703	chr6	41218133	41218765	+	0	NA	Intergenic	Intergenic	-83823	NM_011646	22074	Mm.383263	NM_011646	ENSMUSG00000054106	Try4	0910001B19Rik|Td	trypsin 4	protein-coding
8412	chr14	60707253	60707753	+	0	NA	intron (NM_001033272, intron 3 of 12)	ID4|SINE|ID	-60631	NM_183175	239126	Mm.319636	NM_183175	ENSMUSG00000071347	C1qtnf9	9130217G22Rik|CTRP9|Ciqtnf9	C1q and tumor necrosis factor related protein 9	protein-coding
7947	chr17	28735330	28736040	+	0	NA	intron (NM_001168508, intron 8 of 11)	intron (NM_001168508, intron 8 of 11)	-33632	NM_011950	26415	Mm.27970	NM_011950	ENSMUSG00000004864	Mapk13	SAPK4|Serk4	mitogen-activated protein kinase 13	protein-coding
8231	chr3	116434389	116434889	+	0	NA	Intergenic	Intergenic	-10607	NM_001080818	229776	Mm.17647	NM_001080818	ENSMUSG00000033502	Cdc14a	A830059A17Rik|CDC14A2|CDC14a1|Cdc14	CDC14 cell division cycle 14A	protein-coding
8472	chr19	41552536	41553036	+	0	NA	intron (NM_172154, intron 1 of 2)	intron (NM_172154, intron 1 of 2)	3147	NM_172154	212391	Mm.422910	NM_172154	ENSMUSG00000025019	Lcor	3110023F06Rik|A630025C20Rik|Mlr2|mKIAA1795	ligand dependent nuclear receptor corepressor	protein-coding
8706	chr3	154175820	154176320	+	0	NA	intron (NM_001081263, intron 2 of 21)	LTRIS2|LTR|ERV1	154490	NM_010713	16875	Mm.15530	NM_010713	ENSMUSG00000096225	Lhx8	L3|Lhx7	LIM homeobox protein 8	protein-coding
7723	chr1	180302294	180302794	+	0	NA	Intergenic	Intergenic	-27932	NM_001081175	320404	Mm.132535	NM_001081175	ENSMUSG00000038855	Itpkb	1110033J02Rik|E130307H12Rik	inositol 1,4,5-trisphosphate 3-kinase B	protein-coding
8314	chr7	133124779	133125279	+	0	NA	Intergenic	Intergenic	-1546	NM_009980	13017	Mm.246240	NM_009980	ENSMUSG00000030970	Ctbp2	AA407280|D7Ertd45e|Gtrgeo6|Ribeye	C-terminal binding protein 2	protein-coding
6623	chr4	119738598	119739098	+	0	NA	Intergenic	Intergenic	-75830	NM_010657	16656	Mm.302758	NM_010657	ENSMUSG00000028634	Hivep3	2900056N03Rik|A130075N07|AI848000|E030045D18Rik|KBP-1|KBP1|Krc|Rc|Schnurri-3|Shn3|Zas3	human immunodeficiency virus type I enhancer binding protein 3	protein-coding
8410	chr14	45308095	45308595	+	0	NA	intron (NM_015774, intron 1 of 15)	intron (NM_015774, intron 1 of 15)	10227	NM_015774	50527	Mm.387108	NM_015774	ENSMUSG00000021831	Ero1l	ERO1-L	ERO1-like (S. cerevisiae)	protein-coding
7283	chr19	32179207	32179707	+	0	NA	intron (NM_144792, intron 5 of 9)	intron (NM_144792, intron 5 of 9)	31556	NM_001168526	208449	Mm.329810	NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|AI841905|C80702|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding
6698	chr9	37310590	37311090	+	0	NA	intron (NM_001081429, intron 10 of 15)	intron (NM_001081429, intron 10 of 15)	37552	NM_001081429	245902	Mm.390150	NM_001081429	ENSMUSG00000034303	Ccdc15	A630039F14Rik|D030074L19	coiled-coil domain containing 15	protein-coding
8271	chr5	148525318	148525818	+	0	NA	intron (NM_011908, intron 1 of 4)	intron (NM_011908, intron 1 of 4)	27220	NM_011908	24109	Mm.21846	NM_011908	ENSMUSG00000001687	Ubl3	AW108023|HCG	ubiquitin-like 3	protein-coding
4281	chr13	73759994	73760618	+	0	NA	Intergenic	Intergenic	-3391	NM_011390	20499	Mm.275800	NM_011390	ENSMUSG00000017756	Slc12a7	AA408796|D13Ertd261e|Kcc4	solute carrier family 12, member 7	protein-coding
