PeakID (cmd=annotatePeaks.pl enhancers_only_10um_pcc.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
33608	chr2	48315613	48316113	+	0	NA	Intergenic	T-rich|Low_complexity|Low_complexity	-498246	NM_007396	11480	Mm.314338	NM_007396	ENSMUSG00000052155	Acvr2a	ActrIIa|Acvr2|TactrII	activin receptor IIA	protein-coding
31094	chr2	122243820	122244320	+	0	NA	intron (NM_146126, intron 1 of 8)	intron (NM_146126, intron 1 of 8)	9231	NM_146126	20322	Mm.371580	NM_146126	ENSMUSG00000027227	Sord	Sdh-1|Sdh1|Sodh-1	sorbitol dehydrogenase	protein-coding
30092	chr2	173662224	173663358	+	0	NA	intron (NM_024436, intron 2 of 6)	intron (NM_024436, intron 2 of 6)	2946	NM_024436	19334	Mm.275304	NM_024436		Rab22a	3732413A17Rik|AI662177|AW319644|AW550514|E130120E14Rik|Rab22	RAB22A, member RAS oncogene family	protein-coding
30308	chr1	43459769	43460529	+	0	NA	intron (NM_010879, intron 1 of 4)	L1MC3|LINE|L1	14398	NM_010879	17974	Mm.389903	NM_010879	ENSMUSG00000066877	Nck2	4833426I10Rik|Grb4|NCKbeta|Nck-2	non-catalytic region of tyrosine kinase adaptor protein 2	protein-coding
32148	chr11	118085239	118085739	+	0	NA	intron (NM_001167746, intron 37 of 80)	(TG)n|Simple_repeat|Simple_repeat	43730	NM_001167746	69926	Mm.473893	NM_001167746	ENSMUSG00000033987	Dnah17	2810003K23Rik|Dnahc17|Dnahcl1|Gm1178|mKIAA3028	dynein, axonemal, heavy chain 17	protein-coding
32251	chr5	117107403	117107903	+	0	NA	intron (NM_001122666, intron 4 of 12)	intron (NM_001122666, intron 4 of 12)	8340	NM_001122666	71954	Mm.34456	NM_178622	ENSMUSG00000066900	Suds3	2400003N08Rik|2410008L21Rik|AU067672|mSds3	suppressor of defective silencing 3 homolog (S. cerevisiae)	protein-coding
34934	chr10	80690189	80690689	+	0	NA	intron (NM_172457, intron 2 of 3)	intron (NM_172457, intron 2 of 3)	11381	NM_172457	208228	Mm.49309	NM_172457	ENSMUSG00000003348	Mob3a	5330417K06Rik|A630029F06|AV218468|Mobkl2a	MOB kinase activator 3A	protein-coding
34938	chr10	86166504	86167004	+	0	NA	intron (NM_013722, intron 6 of 13)	intron (NM_013722, intron 6 of 13)	70900	NR_038024	78170	Mm.444790	NR_038024		4930486F22Rik	-	RIKEN cDNA 4930486F22 gene	ncRNA
33848	chr11	59213439	59213939	+	0	NA	intron (NM_007476, intron 1 of 4)	intron (NM_007476, intron 1 of 4)	5328	NM_024210	67862	Mm.358708	NM_024210	ENSMUSG00000020441	2310033P09Rik	Mmtag2	RIKEN cDNA 2310033P09 gene	protein-coding
33280	chr3	9759502	9760002	+	0	NA	intron (NM_053182, intron 1 of 7)	intron (NM_053182, intron 1 of 7)	73927	NM_053182	94212	Mm.23897	NM_053182	ENSMUSG00000027508	Pag1	Cbp|F730007C19Rik|Pag	phosphoprotein associated with glycosphingolipid microdomains 1	protein-coding
31634	chr3	79225200	79225700	+	0	NA	intron (NR_045502, intron 1 of 2)	intron (NR_045502, intron 1 of 2)	12531	NR_045502	70924	Mm.444622	NR_045502		4921511C10Rik	-	RIKEN cDNA 4921511C10 gene	ncRNA
34428	chr7	83567960	83568460	+	0	NA	Intergenic	Intergenic	-16721	NM_177695	233424	Mm.486619	NM_177695		Tmc3	9030203A06	transmembrane channel-like gene family 3	protein-coding
32845	chr9	35062446	35062946	+	0	NA	intron (NM_009178, intron 1 of 10)	MYSERV6-int|LTR|ERVK	-54032	NR_029475	78934	Mm.391688	NR_029475	ENSMUSG00000070315	4930581F22Rik	-	RIKEN cDNA 4930581F22 gene	ncRNA
35526	chr16	16039989	16040489	+	0	NA	intron (NM_146068, intron 7 of 19)	L1VL2|LINE|L1	106612	NM_146068	224008	Mm.244703	NM_146068	ENSMUSG00000041974	Spidr	2310008H04Rik|Kiaa0146	scaffolding protein involved i DNA repair	protein-coding
33800	chr9	77970601	77971101	+	0	NA	intron (NM_134255, intron 3 of 7)	intron (NM_134255, intron 3 of 7)	53486	NM_134255	68801	Mm.430736	NM_134255	ENSMUSG00000032349	Elovl5	1110059L23Rik|AI747313|AU043003|HELO1	ELOVL family member 5, elongation of long chain fatty acids (yeast)	protein-coding
31988	chr8	86853391	86853891	+	0	NA	intron (NM_030563, intron 2 of 6)	PB1D11|SINE|Alu	31617	NM_030563	80750	Mm.25117	NM_030563	ENSMUSG00000031652	N4bp1	AI481586|C81621	NEDD4 binding protein 1	protein-coding
33915	chr15	53103730	53104230	+	0	NA	intron (NM_010162, intron 3 of 10)	intron (NM_010162, intron 3 of 10)	242203	NM_010162	14042	Mm.309395	NM_010162		Ext1	AA409028	exostoses (multiple) 1	protein-coding
32377	chr1	39946165	39946665	+	0	NA	intron (NM_008696, intron 2 of 30)	intron (NM_008696, intron 2 of 30)	45502	NM_001252202	26921	Mm.491139	NM_008696	ENSMUSG00000026074	Map4k4	9430080K19Rik|AU043147|AU045934|AW046177|HGK|Nik	mitogen-activated protein kinase kinase kinase kinase 4	protein-coding
32501	chr10	26362860	26363530	+	0	NA	intron (NM_172787, intron 1 of 21)	intron (NM_172787, intron 1 of 21)	11990	NM_172787	237339	Mm.338439	NM_172787	ENSMUSG00000039089	L3mbtl3	AI481284|MBT-1	l(3)mbt-like 3 (Drosophila)	protein-coding
32414	chr3	89587949	89588449	+	0	NA	intron (NM_080466, intron 2 of 7)	MIRb|SINE|MIR	68035	NM_080466	140493	Mm.120250	NM_080466		Kcnn3	KCa2.3|SK3|SKCA3	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 3	protein-coding
33769	chr8	71276207	71276707	+	0	NA	intron (NM_015742, intron 1 of 39)	intron (NM_015742, intron 1 of 39)	3743	NM_001142322	17925	Mm.33779	NM_015742	ENSMUSG00000004677	Myo9b	-	myosin IXb	protein-coding
34699	chr1	170212877	170213377	+	0	NA	intron (NM_010633, intron 1 of 7)	B1_Mm|SINE|Alu	2266	NM_010633	16589	Mm.209150	NM_010633		Uhmk1	4732477C12Rik|4930500M09Rik|AA673513|AI449218|AU021979|KIS|Kist|P-CIP2	U2AF homology motif (UHM) kinase 1	protein-coding
34230	chr14	67051941	67052441	+	0	NA	intron (NM_028032, intron 2 of 9)	intron (NM_028032, intron 2 of 9)	20280	NM_028032	71978	Mm.273997	NM_028032	ENSMUSG00000022052	Ppp2r2a	2410004D02Rik|mKIAA1541	protein phosphatase 2, regulatory subunit B, alpha	protein-coding
33267	chr2	83705793	83706293	+	0	NA	Intergenic	RMER6B|LTR|ERVK	-18354	NM_008402	16410	Mm.227	NM_008402	ENSMUSG00000027087	Itgav	1110004F14Rik|2610028E01Rik|CD51|D430040G12Rik	integrin alpha V	protein-coding
34421	chr7	30086458	30086958	+	0	NA	intron (NM_152814, intron 2 of 3)	RLTR31D_MM|LTR|ERVK	3802	NM_152814	72556	Mm.441512	NM_152814	ENSMUSG00000078768	Zfp566	2700043M03Rik|mszf4	zinc finger protein 566	protein-coding
35500	chr12	73325313	73325813	+	0	NA	intron (NM_001037717, intron 5 of 15)	intron (NM_001037717, intron 5 of 15)	38715	NM_001037717	625098	Mm.32075	NM_001037717	ENSMUSG00000044712	Slc38a6	AW322671|EG625098	solute carrier family 38, member 6	protein-coding
35481	chr10	67530122	67530622	+	0	NA	Intergenic	Intergenic	-7497	NM_010118	13654	Mm.290421	NM_010118	ENSMUSG00000037868	Egr2	Egr-2|Krox-20|Krox20|NGF1-B|Zfp-25|Zfp-6	early growth response 2	protein-coding
30899	chr11	100588838	100589466	+	0	NA	intron (NM_019795, intron 9 of 13)	B1F|SINE|Alu	13261	NM_001146318	12799	Mm.15711	NM_009923	ENSMUSG00000006782	Cnp	CNPase|Cnp-1|Cnp1	2',3'-cyclic nucleotide 3' phosphodiesterase	protein-coding
31141	chr14	79528118	79528754	+	0	NA	intron (NM_001286411, intron 1 of 8)	PB1D10|SINE|Alu	12762	NM_001286411	13709	Mm.20938	NM_007920	ENSMUSG00000036461	Elf1	Elf-1|Sts1|mElf-1|p70	E74-like factor 1	protein-coding
35524	chr15	75923189	75923689	+	0	NA	Intergenic	MT2A|LTR|ERVL	-1879	NM_025412	66194	Mm.250599	NM_025412	ENSMUSG00000022571	Pycrl	1110058B13Rik|2700073G24Rik	pyrroline-5-carboxylate reductase-like	protein-coding
31089	chr1	86354435	86354935	+	0	NA	intron (NM_010880, intron 7 of 13)	B1_Mus1|SINE|Alu	1642	NR_002851	80828		NR_002851		Snord82	Rnu82|U82|Z25	small nucleolar RNA, C/D box 82	snoRNA
35158	chr19	37333159	37333659	+	0	NA	Intergenic	Intergenic	-2796	NM_031156	15925	Mm.28366	NM_031156	ENSMUSG00000056999	Ide	1300012G03Rik|4833415K22Rik|AA675336|AI507533	insulin degrading enzyme	protein-coding
33411	chr10	66951467	66951967	+	0	NA	Intergenic	B3|SINE|B2	-53358	NR_110511	102634101	Mm.445258	NR_110511		LOC102634101	-	uncharacterized LOC102634101	ncRNA
34122	chr6	129217167	129217667	+	0	NA	Intergenic	Intergenic	20628	NR_040265	76432	Mm.261738	NR_040265	ENSMUSG00000097354	2310001H17Rik	AI646108	RIKEN cDNA 2310001H17 gene	ncRNA
32682	chr11	21083656	21084156	+	0	NA	Intergenic	PB1D9|SINE|Alu	-7418	NM_023324	67245	Mm.28957	NM_023324	ENSMUSG00000020134	Peli1	2810468L03Rik|A930031K15Rik|AA409794|AI586297|D11Ertd676e	pellino 1	protein-coding
34429	chr7	90231057	90231557	+	0	NA	intron (NM_183293, intron 7 of 10)	intron (NM_183293, intron 7 of 10)	34125	NM_029256	75338	Mm.487222	NM_029256	ENSMUSG00000030617	Ccdc83	4930549K11Rik|4930554C01Rik|4932423M01Rik	coiled-coil domain containing 83	protein-coding
34925	chr10	23725804	23726304	+	0	NA	Intergenic	B1_Mur3|SINE|Alu	59397	NR_037680	100529074	Mm.371846	NR_037680		Snora33	ACA33|MBI-42	small nucleolar RNA, H/ACA box 33	snoRNA
35194	chr2	17683319	17683819	+	0	NA	intron (NM_028757, intron 2 of 6)	intron (NM_028757, intron 2 of 6)	47499	NM_028757	74103	Mm.120298	NM_028757	ENSMUSG00000053702	Nebl	1200007O21Rik|A630080F05Rik|BB140644|D830029A09Rik|Lnebl	nebulette	protein-coding
33699	chr5	124330324	124330824	+	0	NA	intron (NM_028310, intron 1 of 1)	B4A|SINE|B4	2485	NM_028310	72650	Mm.121658	NM_028310	ENSMUSG00000047635	2810006K23Rik	-	RIKEN cDNA 2810006K23 gene	protein-coding
34533	chr11	120253328	120253828	+	0	NA	intron (NM_198423, intron 2 of 27)	intron (NM_198423, intron 2 of 27)	20631	NM_198423	268515	Mm.309498	NM_198423	ENSMUSG00000039741	Bahcc1	B930044J06|BC060615	BAH domain and coiled-coil containing 1	protein-coding
33658	chr4	59532505	59533005	+	0	NA	intron (NM_178164, intron 1 of 13)	intron (NM_178164, intron 1 of 13)	16609	NM_178164	230257	Mm.331640	NM_144904	ENSMUSG00000028382	Ptbp3	5830471K22Rik|AA407443|AI462022|AW107884|C86549|Rod1	polypyrimidine tract binding protein 3	protein-coding
33691	chr5	110273843	110274343	+	0	NA	TTS (NM_008993)	TTS (NM_008993)	-4194	NM_001163538	72542	Mm.61682	NM_028273	ENSMUSG00000029500	Pgam5	2610528A17Rik	phosphoglycerate mutase family member 5	protein-coding
34604	chr15	98626677	98627177	+	0	NA	Intergenic	Intergenic	-5401	NM_001044741	12297	Mm.3544	NM_007581	ENSMUSG00000003352	Cacnb3	Beta3|CAB3|Ca(v)beta3|Cchb3	calcium channel, voltage-dependent, beta 3 subunit	protein-coding
33827	chr10	95302517	95303017	+	0	NA	intron (NM_009950, intron 2 of 2)	MER58B|DNA|hAT-Charlie	21330	NM_009950	12905	Mm.473739	NM_009950	ENSMUSG00000045867	Cradd	RAIDD	CASP2 and RIPK1 domain containing adaptor with death domain	protein-coding
32081	chr4	47273445	47273945	+	0	NA	intron (NM_009928, intron 14 of 39)	intron (NM_009928, intron 14 of 39)	65683	NM_009928	12819	Mm.233547	NM_009928	ENSMUSG00000028339	Col15a1	-	collagen, type XV, alpha 1	protein-coding
31972	chr5	62853565	62854065	+	0	NA	intron (NM_001170705, intron 7 of 8)	intron (NM_001170705, intron 7 of 8)	39992	NM_001170705	100322896	Mm.479821	NM_001170705	ENSMUSG00000090326	Dthd1	Gm17384	death domain containing 1	protein-coding
33663	chr4	101203630	101204130	+	0	NA	intron (NM_146145, intron 1 of 24)	intron (NM_146145, intron 1 of 24)	61402	NM_146145	16451	Mm.289657	NM_146145	ENSMUSG00000028530	Jak1	AA960307|C130039L05Rik	Janus kinase 1	protein-coding
32315	chr11	60927255	60927755	+	0	NA	intron (NR_027800, intron 1 of 1)	intron (NR_027800, intron 1 of 1)	4362	NR_027800	24082	Mm.46270	NM_025293	ENSMUSG00000042549	Map2k3os	F3-1|Gm16516|Gtlf3a	mitogen-activated protein kinase kinase 3, opposite strand	ncRNA
34117	chr6	99047998	99048498	+	0	NA	intron (NM_053202, intron 5 of 18)	intron (NM_053202, intron 5 of 18)	-19950	NM_001197322	108655	Mm.234965	NM_053202	ENSMUSG00000030067	Foxp1	3110052D19Rik|4932443N09Rik|AI461938|AW494214	forkhead box P1	protein-coding
34297	chr1	161864196	161864696	+	0	NA	intron (NM_172645, intron 1 of 23)	intron (NM_172645, intron 1 of 23)	12215	NM_172645	226551	Mm.170002	NM_172645	ENSMUSG00000040297	Suco	4732491B11|AI848100|AU016931|Opt	SUN domain containing ossification factor	protein-coding
32535	chr13	29974876	29975376	+	0	NA	intron (NM_010093, intron 1 of 6)	intron (NM_010093, intron 1 of 6)	9265	NM_001289920	13557	Mm.268356	NM_010093	ENSMUSG00000016477	E2f3	E2F3b|E2f3a	E2F transcription factor 3	protein-coding
31096	chr3	27330516	27331016	+	0	NA	intron (NM_009425, intron 3 of 4)	L1MA4|LINE|L1	13689	NM_009425	22035	Mm.1062	NM_009425	ENSMUSG00000039304	Tnfsf10	A330042I21Rik|AI448571|APO-2L|Ly81|TL2|Trail	tumor necrosis factor (ligand) superfamily, member 10	protein-coding
32496	chr10	5080255	5080755	+	0	NA	intron (NM_001079686, intron 37 of 54)	intron (NM_001079686, intron 37 of 54)	-11442	NM_022027	64009	Mm.331626	NM_022027	ENSMUSG00000019769	Syne1	8B|A330049M09Rik|BE692247|C130039F11Rik|CPG2|Myne1|mKIAA1756	spectrin repeat containing, nuclear envelope 1	protein-coding
33095	chr10	42206126	42206788	+	0	NA	intron (NM_019740, intron 2 of 3)	intron (NM_019740, intron 2 of 3)	70285	NM_019740	56484	Mm.338613	NM_019740	ENSMUSG00000048756	Foxo3	1110048B16Rik|2010203A17Rik|C76856|FKHRL1|Fkhr2|Foxo3a	forkhead box O3	protein-coding
32554	chr14	78529764	78530264	+	0	NA	intron (NM_001164503, intron 1 of 11)	Lx8|LINE|L1	6846	NM_001164503	219181	Mm.89413	NM_001164503	ENSMUSG00000022016	Akap11	6330501D17Rik|AKAP220|Gm80|PRKA11|mKIAA0629	A kinase (PRKA) anchor protein 11	protein-coding
33826	chr10	93364840	93365340	+	0	NA	Intergenic	Intergenic	28858	NR_038014	432488	Mm.32833	NR_038014		Gm17745	-	predicted gene, 17745	ncRNA
35413	chr1	155069584	155070084	+	0	NA	Intergenic	Intergenic	29802	NM_010500	15939	Mm.12246	NM_010500	ENSMUSG00000056708	Ier5	-	immediate early response 5	protein-coding
35372	chr17	29067581	29068081	+	0	NA	intron (NR_036469, intron 1 of 1)	Lx2|LINE|L1	11295	NR_036469	100504267	Mm.438550	NR_036469	ENSMUSG00000085912	Trp53cor1	Gm16197|OTTMUSG00000031656|linc-p21|lincRNA-p21	tumor protein p53 pathway corepressor 1	ncRNA
32915	chr16	17193686	17194334	+	0	NA	intron (NM_009456, intron 1 of 3)	intron (NM_009456, intron 1 of 3)	7482	NM_009456	22195	Mm.3074	NM_009456	ENSMUSG00000038965	Ube2l3	C79827|UbcM4|Ubce7	ubiquitin-conjugating enzyme E2L 3	protein-coding
34152	chr8	72269899	72270399	+	0	NA	Intergenic	(GA)n|Simple_repeat|Simple_repeat	30017	NM_007456	11767	Mm.290086	NM_007456	ENSMUSG00000003033	Ap1m1	AA408894|AP47|Adtm1A|Cltnm|[m]1A|mu1A	adaptor-related protein complex AP-1, mu subunit 1	protein-coding
34477	chr9	119897326	119898000	+	0	NA	intron (NM_026236, intron 1 of 18)	intron (NM_026236, intron 1 of 18)	2768	NM_026236	67561	Mm.104789	NM_026236	ENSMUSG00000032512	Wdr48	8430408H12Rik|Uaf1|mKIAA1449	WD repeat domain 48	protein-coding
34713	chr2	11336767	11337267	+	0	NA	Intergenic	(TG)n|Simple_repeat|Simple_repeat	-2472	NR_040369	100503147	Mm.91961	NR_040369		Gm13293	OTTMUSG00000011311	predicted gene 13293	ncRNA
31757	chr15	76756533	76757033	+	0	NA	intron (NM_001168288, intron 2 of 11)	B1_Mus1|SINE|Alu	-32938	NM_145472	223665	Mm.291713	NM_145472	ENSMUSG00000079002	C030006K11Rik	1110033I13Rik	RIKEN cDNA C030006K11 gene	protein-coding
32562	chr15	101273883	101274383	+	0	NA	exon (NM_010444, exon 7 of 7)	exon (NM_010444, exon 7 of 7)	7287	NM_010444	15370	Mm.119	NM_010444	ENSMUSG00000023034	Nr4a1	GFRP1|Gfrp|Hbr-1|Hbr1|Hmr|N10|NGFI-B|NGFIB|NP10|TIS1|TR3|nur77	nuclear receptor subfamily 4, group A, member 1	protein-coding
34920	chr9	123147614	123148114	+	0	NA	Intergenic	Intergenic	-3082	NM_011606	21922	Mm.34588	NM_011606	ENSMUSG00000025784	Clec3b	Tna	C-type lectin domain family 3, member b	protein-coding
31311	chr8	4475018	4475518	+	0	NA	Intergenic	Intergenic	-18137	NM_026058	67260	Mm.35511	NM_026058	ENSMUSG00000008206	Cers4	2900019C14Rik|Lass4|Trh1	ceramide synthase 4	protein-coding
32980	chr2	18679725	18680225	+	0	NA	intron (NM_007552, intron 1 of 9)	intron (NM_007552, intron 1 of 9)	2957	NM_007552	12151	Mm.289584	NM_007552	ENSMUSG00000026739	Bmi1	AW546694|Bmi-1|Pcgf4	Bmi1 polycomb ring finger oncogene	protein-coding
32796	chr4	62761076	62761576	+	0	NA	Intergenic	Intergenic	141654	NM_001081650	50780	Mm.286753	NM_019492	ENSMUSG00000059810	Rgs3	4930506N09Rik|C2PA-RGS3|C2pa|PDZ-RGS3|RGS3S	regulator of G-protein signaling 3	protein-coding
34498	chr10	117942583	117943083	+	0	NA	intron (NR_045342, intron 3 of 3)	intron (NR_045342, intron 3 of 3)	17374	NR_045342	71067	Mm.410793	NR_045342		4933411E08Rik	-	RIKEN cDNA 4933411E08 gene	ncRNA
33884	chr13	41600403	41600903	+	0	NA	Intergenic	RMER4B|LTR|ERVK	-5563	NM_001163572	621976	Mm.259830	NM_001163572	ENSMUSG00000087370	Tmem170b	EG621976	transmembrane protein 170B	protein-coding
32410	chr3	63978846	63979484	+	0	NA	intron (NM_001033300, intron 1 of 15)	MTC|LTR|ERVL-MaLR	3022	NM_001033300	229363	Mm.331051	NM_001033300		Gmps	AA591640|AI047208	guanine monophosphate synthetase	protein-coding
33309	chr4	106918160	106918660	+	0	NA	intron (NM_198438, intron 4 of 16)	intron (NM_198438, intron 4 of 16)	6940	NM_198438	72475	Mm.195635	NM_023672	ENSMUSG00000061887	Ssbp3	2610021L12Rik|2610200M23Rik|5730488C10Rik|AI854733|AW551939|LAST|SSDP1	single-stranded DNA binding protein 3	protein-coding
34777	chr4	40827211	40827711	+	0	NA	intron (NM_022305, intron 1 of 5)	intron (NM_022305, intron 1 of 5)	22677	NR_039584	100628614		NR_039584		Mir5123	mmu-mir-5123|mu-mir-5123	microRNA 5123	ncRNA
33883	chr13	38501252	38501752	+	0	NA	3' UTR (NM_001289599, exon 10 of 10)	3' UTR (NM_001289599, exon 10 of 10)	26412	NM_001289599	105245	Mm.28622	NM_145367	ENSMUSG00000038991	Txndc5	AL022641|ERp46|PC-TRP	thioredoxin domain containing 5	protein-coding
33238	chr1	85758861	85759361	+	0	NA	Intergenic	(TC)n|Simple_repeat|Simple_repeat	7163	NR_106172	102466882		NR_106172	miRBase:MI0026024	Mir8096	mmu-mir-8096	microRNA mir-8096	ncRNA
33923	chr15	77625008	77625508	+	0	NA	non-coding (NR_033577, exon 1 of 1)	non-coding (NR_033577, exon 1 of 1)	6290	NR_033577	666661	Mm.390818	NR_033577		Gm8221	-	apolipoprotein L 7c pseudogene	pseudo
32929	chr17	33677691	33678191	+	0	NA	intron (NM_001109913, intron 1 of 16)	intron (NM_001109913, intron 1 of 16)	7517	NM_001109913	76936	Mm.311439	NM_029804	ENSMUSG00000059208	Hnrnpm	2610023M21Rik|AA409009|Hnrpm|mKIAA4193	heterogeneous nuclear ribonucleoprotein M	protein-coding
35190	chr1	164439661	164440161	+	0	NA	intron (NM_009721, intron 4 of 5)	intron (NM_009721, intron 4 of 5)	18444	NM_009721	11931	Mm.4550	NM_009721	ENSMUSG00000026576	Atp1b1	Atp4b|Atpb|Atpb-1|NKbeta1	ATPase, Na+/K+ transporting, beta 1 polypeptide	protein-coding
34499	chr10	122604287	122604787	+	0	NA	Intergenic	Intergenic	-34646	NR_040616	319272	Mm.411763	NR_040616		A130077B15Rik	-	RIKEN cDNA A130077B15 gene	ncRNA
33870	chr12	25231379	25231879	+	0	NA	Intergenic	Intergenic	102455	NR_045844	432641	Mm.112955	NR_045844		Gm17746	-	predicted gene, 17746	ncRNA
32485	chr9	44540407	44540907	+	0	NA	Intergenic	Intergenic	-14236	NM_007551	12145	Mm.6246	NM_007551	ENSMUSG00000047880	Cxcr5	Blr1|CXC-R5|CXCR-5|Gpcr6|MDR15	chemokine (C-X-C motif) receptor 5	protein-coding
33657	chr4	58234924	58235424	+	0	NA	Intergenic	L1MEf|LINE|L1	-28578	NM_022814	64817	Mm.261024	NM_022814	ENSMUSG00000028369	Svep1	1110021D17Rik|4833413O10Rik|AA387071|D430029O09Rik|Polydom	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	protein-coding
33271	chr2	161097294	161097918	+	0	NA	intron (NM_173368, intron 1 of 36)	MIR|SINE|MIR	11450	NM_173368	71389	Mm.122738	NM_173368	ENSMUSG00000057133	Chd6	5430439G14Rik|6330406J24Rik|CHD-6	chromodomain helicase DNA binding protein 6	protein-coding
35067	chr15	34091810	34092310	+	0	NA	intron (NM_026002, intron 1 of 11)	intron (NM_026002, intron 1 of 11)	9341	NM_026002	67154	Mm.130883	NM_026002	ENSMUSG00000022255	Mtdh	2610103J23Rik|3D3|3D3/Lyric|AEG-1|AV353288|D8Bwg1112e|Lyric	metadherin	protein-coding
34718	chr2	44956129	44956629	+	0	NA	Intergenic	Intergenic	66798	NR_039591	100628598		NR_039591		Mir5129	mmu-mir-5129|mu-mir-5129	microRNA 5129	ncRNA
33410	chr10	61447411	61447911	+	0	NA	intron (NM_010124, intron 1 of 2)	intron (NM_010124, intron 1 of 2)	5008	NM_010124	13688	Mm.259516	NM_010124	ENSMUSG00000020091	Eif4ebp2	2810011I19Rik|4E-BP2|AA792569|BC010348|PHAS-II	eukaryotic translation initiation factor 4E binding protein 2	protein-coding
34049	chr2	128973115	128973615	+	0	NA	intron (NM_178404, intron 1 of 11)	intron (NM_178404, intron 1 of 11)	5963	NM_178404	78751	Mm.26377	NM_178404	ENSMUSG00000042851	Zc3h6	4631426G04Rik|4833425H18Rik|AU024389|AW060453|Zc3hdc6|mKIAA2035	zinc finger CCCH type containing 6	protein-coding
32627	chr4	32428250	32428750	+	0	NA	intron (NM_001109661, intron 1 of 4)	intron (NM_001109661, intron 1 of 4)	11065	NM_001109661	12014	Mm.491223	NM_007521	ENSMUSG00000040270	Bach2	E030004N02Rik	BTB and CNC homology 2	protein-coding
35302	chr10	117143889	117144389	+	0	NA	intron (NM_177798, intron 1 of 9)	(TG)n|Simple_repeat|Simple_repeat	4335	NM_177798	327826	Mm.135965	NM_177798	ENSMUSG00000020170	Frs2	4732458E18|C330018A15Rik|Frs2alpha|SNT1	fibroblast growth factor receptor substrate 2	protein-coding
31828	chr4	56893168	56893668	+	0	NA	intron (NM_175518, intron 14 of 17)	Tigger1|DNA|TcMar-Tigger	1880	NR_029789	723837		NR_029789		Mir32	Mirn32|mmu-mir-32	microRNA 32	ncRNA
32782	chr2	166699027	166699527	+	0	NA	intron (NR_105783, intron 2 of 2)	L1MEc|LINE|L1	14555	NM_177782	277360	Mm.34420	NM_177782	ENSMUSG00000039621	Prex1	G630042G04|P-REX1|Setd6	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1	protein-coding
31425	chr9	25208147	25208647	+	0	NA	Intergenic	Intergenic	-44042	NM_001205367	235072	Mm.270259	NM_009859	ENSMUSG00000001833	Sept7	Cdc10|E430034N22	septin 7	protein-coding
32747	chr1	37518377	37519015	+	0	NA	intron (NM_001290801, intron 1 of 14)	MTE2b-int|LTR|ERVL-MaLR	17708	NM_001290801	269181	Mm.25861	NM_173870	ENSMUSG00000026110	Mgat4a	9530018I07Rik|GnT-IVa|glcNAc-T-IVa	mannoside acetylglucosaminyltransferase 4, isoenzyme A	protein-coding
32456	chr6	88412067	88412567	+	0	NA	intron (NM_023060, intron 1 of 6)	intron (NM_023060, intron 1 of 6)	34222	NM_023060	65967	Mm.333237	NM_023060	ENSMUSG00000033216	Eefsec	Selb|sec	eukaryotic elongation factor, selenocysteine-tRNA-specific	protein-coding
32900	chr14	121895381	121895881	+	0	NA	intron (NM_026861, intron 1 of 8)	intron (NM_026861, intron 1 of 8)	17025	NM_026861	68889	Mm.441151	NM_026861	ENSMUSG00000041765	Ubac2	1190008A14Rik|AW554959|Phgdhl1	ubiquitin associated domain containing 2	protein-coding
32345	chr15	62161656	62162290	+	0	NA	intron (NR_003368, intron 4 of 8)	intron (NR_003368, intron 4 of 8)	57478	NR_003523	67552	Mm.484027	NM_026230		H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo
32950	chr19	32329828	32330328	+	0	NA	intron (NM_144792, intron 2 of 9)	intron (NM_144792, intron 2 of 9)	19238	NM_001168525	208449	Mm.329810	NM_144792	ENSMUSG00000040451	Sgms1	9530058O11Rik|AI841905|C80702|Mob|Sms1|Sor1|Tmem23	sphingomyelin synthase 1	protein-coding
35324	chr12	84706660	84707160	+	0	NA	Intergenic	(TTTG)n|Simple_repeat|Simple_repeat	-8103	NM_001033334	627191	Mm.152484	NM_001033334	ENSMUSG00000071234	Syndig1l	DSPC1|Gm261|Tmem90a	synapse differentiation inducing 1 like	protein-coding
35224	chr3	122022135	122022635	+	0	NA	Intergenic	B1_Mur4|SINE|Alu	-22075	NM_007378	11304	Mm.3918	NM_007378	ENSMUSG00000028125	Abca4	AW050280|Abc10|Abcr|D430003I15Rik|RmP	ATP-binding cassette, sub-family A (ABC1), member 4	protein-coding
33997	chr19	4380425	4380925	+	0	NA	intron (NM_001001984, intron 2 of 20)	RSINE1|SINE|B4	16402	NM_001001984	225876	Mm.31941	NM_001001984	ENSMUSG00000054611	Kdm2a	100043628|5530401A10Rik|AA589516|AW536790|Cxxc8|Fbl11|Fbl7|Fbxl11|Gm4560|Jhdm1|Jhdm1a|lalina	lysine (K)-specific demethylase 2A	protein-coding
