PeakID (cmd=annotatePeaks.pl enhancers_only_0_1um_pcc.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
27177	chr5	150584012	150584512	+	0	NA	intron (NM_133898, intron 1 of 4)	intron (NM_133898, intron 1 of 4)	10263	NM_133898	100637	Mm.279932	NM_133898	ENSMUSG00000041132	N4bp2l1	2410024N18Rik|AI428195|B230342M21Rik	NEDD4 binding protein 2-like 1	protein-coding
25011	chr16	76669782	76670570	+	0	NA	Intergenic	Intergenic	-297127	NM_173440	268903	Mm.74711	NM_173440	ENSMUSG00000048490	Nrip1	6030458L20Rik|8430438I05Rik|9630050P12|AA959574|AW456757|RIP140	nuclear receptor interacting protein 1	protein-coding
23942	chr18	38424868	38425502	+	0	NA	intron (NM_022996, intron 1 of 7)	intron (NM_022996, intron 1 of 7)	6210	NM_022996	65113	Mm.102496	NM_022996	ENSMUSG00000024425	Ndfip1	0610010M22Rik|N4wbp5	Nedd4 family interacting protein 1	protein-coding
28830	chr11	100678433	100678933	+	0	NA	Intergenic	Intergenic	25588	NM_030150	80861	Mm.271830	NM_030150	ENSMUSG00000017830	Dhx58	B430001I08Rik|D11Lgp2e|LPG2|Lgp2|RLR-3	DEXH (Asp-Glu-X-His) box polypeptide 58	protein-coding
28770	chr7	102309815	102310315	+	0	NA	intron (NM_009287, intron 1 of 11)	intron (NM_009287, intron 1 of 11)	42241	NM_009287	20866	Mm.645	NM_009287	ENSMUSG00000030987	Stim1	SIM	stromal interaction molecule 1	protein-coding
26296	chr16	93798613	93799113	+	0	NA	intron (NM_027293, intron 27 of 36)	intron (NM_027293, intron 27 of 36)	-33258	NM_001045529	338467	Mm.287329	NM_001045529	ENSMUSG00000039456	Morc3	1110051N18Rik|AI452146|BF318192|D16Jhu32e|NXP2|Zcwcc3	microrchidia 3	protein-coding
25191	chr6	17633602	17634394	+	0	NA	Intergenic	RMER15|LTR|ERVL	-3100	NM_007604	12343	Mm.392504	NM_007604		Capza2	1110053K06Rik|AW208808|Cappa2	capping protein (actin filament) muscle Z-line, alpha 2	protein-coding
24940	chr6	129277457	129278115	+	0	NA	Intergenic	MTA_Mm|LTR|ERVL-MaLR	-2417	NM_001033122	12515	Mm.74745	NM_001033122	ENSMUSG00000030156	Cd69	5830438K24Rik|AI452015|AIM|VEA	CD69 antigen	protein-coding
28356	chr14	20781471	20781971	+	0	NA	intron (NM_178597, intron 2 of 20)	MIRb|SINE|MIR	12367	NM_178597	12325	Mm.235182	NM_178597	ENSMUSG00000021820	Camk2g	Camkg	calcium/calmodulin-dependent protein kinase II gamma	protein-coding
26072	chr12	28829416	28829916	+	0	NA	intron (NM_201357, intron 4 of 8)	intron (NM_201357, intron 4 of 8)	77838	NM_201357	380752	Mm.273724	NM_201357	ENSMUSG00000036613	Tssc1	D12Ertd604e	tumor suppressing subtransferable candidate 1	protein-coding
28214	chr6	113096944	113097444	+	0	NA	intron (NM_028385, intron 1 of 21)	intron (NM_028385, intron 1 of 21)	19555	NM_028385	72895	Mm.367159	NM_028385	ENSMUSG00000034269	Setd5	2900045N06Rik|C330007C20|C85544|mKIAA1757	SET domain containing 5	protein-coding
26869	chr5	114439892	114440392	+	0	NA	intron (NM_029956, intron 2 of 8)	intron (NM_029956, intron 2 of 8)	3885	NM_029956	77697	Mm.105182	NM_029956	ENSMUSG00000029575	Mmab	9130222L19Rik|ATR	methylmalonic aciduria (cobalamin deficiency) type B homolog (human)	protein-coding
27596	chr8	126882693	126883193	+	0	NA	Intergenic	MLT1B|LTR|ERVL-MaLR	62978	NM_024214	67952	Mm.6932	NM_024214	ENSMUSG00000093904	Tomm20	1810060K07Rik|BB284719|Gm19268|MAS20|MOM19|TOM20|mKIAA0016	translocase of outer mitochondrial membrane 20 homolog (yeast)	protein-coding
27773	chr17	46520276	46520776	+	0	NA	exon (NM_001081335, exon 24 of 41)	exon (NM_001081335, exon 24 of 41)	23737	NM_207161	381101	Mm.35801	NM_207161	ENSMUSG00000040658	Dnph1	C76683|Rcl	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	protein-coding
26862	chr5	53608557	53609057	+	0	NA	intron (NM_001277116, intron 3 of 12)	intron (NM_001277116, intron 3 of 12)	18321	NM_001080927	19664	Mm.209292	NM_009035	ENSMUSG00000039191	Rbpj	AI843960|CBF1|Igkjrb|Igkrsbp|RBP-J|RBP-J kappa|RBPjk|Rbpsuh	recombination signal binding protein for immunoglobulin kappa J region	protein-coding
25932	chr17	87502799	87503299	+	0	NA	Intergenic	C-rich|Low_complexity|Low_complexity	-56114	NM_007589	12314	Mm.329243	NM_007589	ENSMUSG00000036438	Calm2	1500001E21Rik|AL024017	calmodulin 2	protein-coding
23129	chr19	4080539	4081177	+	0	NA	Intergenic	Intergenic	-1630	NM_001160253	29866	Mm.46268	NM_013878	ENSMUSG00000024857	Cabp2	-	calcium binding protein 2	protein-coding
28235	chr7	123380277	123380777	+	0	NA	intron (NM_025304, intron 1 of 10)	intron (NM_025304, intron 1 of 10)	2545	NM_025304	30949	Mm.260527	NM_025304	ENSMUSG00000030763	Lcmt1	AL033290|LCMT-1|Lcmt	leucine carboxyl methyltransferase 1	protein-coding
28841	chr12	51900419	51900919	+	0	NA	intron (NM_177171, intron 23 of 35)	Lx8|LINE|L1	70652	NM_177171	320487	Mm.131941	NM_177171	ENSMUSG00000035181	Heatr5a	C230081H03Rik|D930036F22Rik|mKIAA1316	HEAT repeat containing 5A	protein-coding
26153	chr3	52307080	52307580	+	0	NA	intron (NM_019739, intron 1 of 2)	intron (NM_019739, intron 1 of 2)	38993	NM_019739	56458	Mm.29891	NM_019739	ENSMUSG00000044167	Foxo1	AI876417|Afxh|FKHR|Fkhr1|Foxo1a	forkhead box O1	protein-coding
28449	chrX	75056133	75056633	+	0	NA	intron (NM_181584, intron 1 of 9)	intron (NM_181584, intron 1 of 9)	28522	NM_181584	210710	Mm.267056	NM_181584	ENSMUSG00000032750	Gab3	5930433H21Rik	growth factor receptor bound protein 2-associated protein 3	protein-coding
27408	chr1	128625969	128626469	+	0	NA	Intergenic	B4A|SINE|B4	-33920	NM_009911	12767	Mm.1401	NM_009911	ENSMUSG00000045382	Cxcr4	CD184|Cmkar4|LESTR|PB-CKR|PBSF/SDF-1|Sdf1r|b2b220Clo	chemokine (C-X-C motif) receptor 4	protein-coding
28572	chr10	78403367	78403867	+	0	NA	intron (NM_010925, intron 8 of 12)	intron (NM_010925, intron 8 of 12)	4928	NR_105872	102465547		NR_105872		Mir6907	mmu-mir-6907	microRNA mir-6907	ncRNA
25807	chr3	146421924	146422424	+	0	NA	intron (NM_001253768, intron 5 of 14)	L1M2|LINE|L1	17532	NM_138744	99167	Mm.200783	NM_138744	ENSMUSG00000036825	Ssx2ip	AU014939|AU042321|Adip	synovial sarcoma, X breakpoint 2 interacting protein	protein-coding
27490	chr4	108359931	108360431	+	0	NA	Intergenic	Intergenic	23474	NM_001099303	545667	Mm.380025	NM_001099303		Fam159a	OTTMUSG00000008243	family with sequence similarity 159, member A	protein-coding
26739	chr12	115122186	115122686	+	0	NA	Intergenic	L1_Mus3|LINE|L1	573358	NR_105810	102465205		NR_105810	miRBase:MI0021920	Mir6388	mmu-mir-6388	microRNA mir-6388	ncRNA
27564	chr7	64035805	64036305	+	0	NA	Intergenic	Intergenic	-97140	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding
27623	chr9	116150108	116150608	+	0	NA	intron (NM_029575, intron 1 of 6)	intron (NM_029575, intron 1 of 6)	25005	NM_029575	21813	Mm.172346	NM_009371	ENSMUSG00000032440	Tgfbr2	1110020H15Rik|AU042018|DNIIR|RIIDN|TBR-II|TbetaR-II|TbetaRII	transforming growth factor, beta receptor II	protein-coding
27950	chr10	57001156	57001798	+	0	NA	Intergenic	Intergenic	484876	NR_045353	74928	Mm.416643	NR_045353	ENSMUSG00000097370	4930467K11Rik	-	RIKEN cDNA 4930467K11 gene	ncRNA
25120	chr11	86396520	86397148	+	0	NA	Intergenic	Intergenic	-19010	NR_030571	100124487		NR_030571		Mir467c	Mirn467c	microRNA 467c	ncRNA
24922	chr4	99659695	99660373	+	0	NA	Intergenic	Intergenic	3735	NM_010425	15221	Mm.4758	NM_010425	ENSMUSG00000067261	Foxd3	CWH3|Genesis|Hfh2	forkhead box D3	protein-coding
27432	chr2	117962480	117962980	+	0	NA	Intergenic	MLT1B|LTR|ERVL-MaLR	140802	NR_040631	73938	Mm.399107	NR_040631	ENSMUSG00000086221	4930412B13Rik	-	RIKEN cDNA 4930412B13 gene	ncRNA
26703	chr9	64830283	64830783	+	0	NA	intron (NM_001162917, intron 2 of 34)	intron (NM_001162917, intron 2 of 34)	19522	NM_001162917	102442	Mm.222473	NM_176935	ENSMUSG00000053641	Dennd4a	AI115600|AI851943|F730015K02Rik	DENN/MADD domain containing 4A	protein-coding
28635	chr16	87798665	87799165	+	0	NA	Intergenic	Intergenic	99961	NM_007520	12013	Mm.26147	NM_007520	ENSMUSG00000025612	Bach1	6230421P05Rik|AI323795	BTB and CNC homology 1	protein-coding
26780	chr18	68286958	68287458	+	0	NA	intron (NM_153794, intron 1 of 3)	B3|SINE|B2	13125	NM_153794	108654	Mm.125857	NM_153794	ENSMUSG00000038121	Fam210a	4933403F05Rik|AA987140|AV134576|AW491926	family with sequence similarity 210, member A	protein-coding
27876	chr4	121205938	121206438	+	0	NA	Intergenic	Intergenic	-17654	NM_001081013	109263	Mm.215745	NM_001081013	ENSMUSG00000049878	Rlf	9230110M18Rik|AI195322|MommeD8	rearranged L-myc fusion sequence	protein-coding
27656	chr11	75591923	75592423	+	0	NA	intron (NM_008850, intron 1 of 10)	intron (NM_008850, intron 1 of 10)	4065	NM_008850	18738	Mm.3128	NM_008850	ENSMUSG00000017781	Pitpna	Pitpn|vb|vibrator	phosphatidylinositol transfer protein, alpha	protein-coding
27862	chr3	132860382	132860882	+	0	NA	intron (NR_102297, intron 1 of 3)	intron (NR_102297, intron 1 of 3)	17964	NR_102297	101243624	Mm.306256	NR_102297		LOC101243624	-	uncharacterized LOC101243624	ncRNA
26660	chr6	24660758	24661258	+	0	NA	intron (NM_028459, intron 1 of 10)	intron (NM_028459, intron 1 of 10)	3987	NM_001167745	73178	Mm.1574	NM_028459	ENSMUSG00000029684	Wasl	2900021I12Rik|3110031I02Rik|N-WASP	Wiskott-Aldrich syndrome-like (human)	protein-coding
28199	chr6	38147928	38148428	+	0	NA	intron (NM_194061, intron 14 of 19)	intron (NM_194061, intron 14 of 19)	-23592	NM_080467	140494	Mm.462308	NM_080467	ENSMUSG00000038600	Atp6v0a4	Atp6n1b|a4	ATPase, H+ transporting, lysosomal V0 subunit A4	protein-coding
27690	chr13	35115240	35115740	+	0	NA	Intergenic	MTE2a|LTR|ERVL-MaLR	-66133	NR_045616	100503727	Mm.32214	NR_045616		1700011B04Rik	-	RIKEN cDNA 1700011B04 gene	ncRNA
28751	chr6	70829955	70830455	+	0	NA	Intergenic	Intergenic	-14322	NM_010121	13666	Mm.247167	NM_010121	ENSMUSG00000031668	Eif2ak3	AI427929|Pek|Perk	eukaryotic translation initiation factor 2 alpha kinase 3	protein-coding
28277	chr10	4203397	4203897	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	-62682	NM_031185	83397	Mm.27481	NM_031185	ENSMUSG00000038587	Akap12	AI317366|SSeCKS|Srcs5|Tsga12	A kinase (PRKA) anchor protein (gravin) 12	protein-coding
26389	chr4	132808304	132808966	+	0	NA	Intergenic	Intergenic	-12271	NM_001033308	230787	Mm.290912	NM_001033308	ENSMUSG00000037731	Themis2	ICB-1	thymocyte selection associated family member 2	protein-coding
26429	chr7	43582286	43582786	+	0	NA	intron (NM_172482, intron 1 of 3)	RLTR9A|LTR|ERVK	2950	NM_172482	210105	Mm.234422	NM_172482	ENSMUSG00000030469	Zfp719	8030458J18|9430094P17Rik|C630016O21Rik|mszf6	zinc finger protein 719	protein-coding
27322	chr13	113610632	113611132	+	0	NA	intron (NM_130796, intron 1 of 1)	intron (NM_130796, intron 1 of 1)	7682	NM_130796	170625	Mm.33721	NM_130796	ENSMUSG00000042364	Snx18	Snag1	sorting nexin 18	protein-coding
28911	chr18	50012708	50013208	+	0	NA	intron (NM_001177760, intron 1 of 2)	intron (NM_001177760, intron 1 of 2)	33531	NM_001177759	106869	Mm.27740	NM_134131	ENSMUSG00000062210	Tnfaip8	AA987150|E130304C20Rik|ENSMUSG00000073567|Gg2-1|Gm10539|Nded|Ssc-2	tumor necrosis factor, alpha-induced protein 8	protein-coding
28494	chr3	97611236	97611736	+	0	NA	Intergenic	Intergenic	-1296	NM_026539	68058	Mm.41447	NM_026539	ENSMUSG00000028089	Chd1l	4432404A22Rik|Alc1|Snf2p	chromodomain helicase DNA binding protein 1-like	protein-coding
25900	chr14	27325563	27326063	+	0	NA	intron (NM_027871, intron 2 of 10)	intron (NM_027871, intron 2 of 10)	-10224	NM_001289687	71704	Mm.248606	NM_027871	ENSMUSG00000021895	Arhgef3	1200004I24Rik|9830169H03Rik|C76747|Xpln	Rho guanine nucleotide exchange factor (GEF) 3	protein-coding
28849	chr12	100957814	100958314	+	0	NA	intron (NM_026681, intron 10 of 29)	intron (NM_026681, intron 10 of 29)	-49866	NM_001177673	238377	Mm.32160	NM_175493	ENSMUSG00000047415	Gpr68	BB131428|Ogr1	G protein-coupled receptor 68	protein-coding
26316	chr18	73752730	73753358	+	0	NA	intron (NM_053255, intron 1 of 3)	PB1D10|SINE|Alu	1435	NM_053255	114615	Mm.50642	NM_053255	ENSMUSG00000036941	Elac1	2610018O07Rik|8430417G19Rik	elaC homolog 1 (E. coli)	protein-coding
25538	chr13	59028189	59028689	+	0	NA	intron (NM_001282961, intron 13 of 17)	intron (NM_001282961, intron 13 of 17)	220742	NM_001025074	18212	Mm.130054	NM_008745	ENSMUSG00000055254	Ntrk2	GP145-TrkB/GP95-TrkB|Tkrb|trk-B|trkB	neurotrophic tyrosine kinase, receptor, type 2	protein-coding
25551	chr16	44026414	44026914	+	0	NA	intron (NM_001172107, intron 1 of 12)	L1M4|LINE|L1	1281	NM_001172107	207798	Mm.19316	NM_153528	ENSMUSG00000036292	Gramd1c	4921521N14Rik	GRAM domain containing 1C	protein-coding
26909	chr8	70346067	70346567	+	0	NA	intron (NM_030680, intron 1 of 23)	intron (NM_030680, intron 1 of 23)	6956	NM_001122829	19704	Mm.390048	NM_030680	ENSMUSG00000058301	Upf1	B430202H16Rik|NORF1|PNORF-1|Rent1|Upflp	UPF1 regulator of nonsense transcripts homolog (yeast)	protein-coding
26920	chr9	13312187	13312687	+	0	NA	Intergenic	A-rich|Low_complexity|Low_complexity	65458	NM_025534	66396	Mm.290620	NM_025534		Ccdc82	2310043N13Rik	coiled-coil domain containing 82	protein-coding
27467	chr3	84570392	84570892	+	0	NA	intron (NM_001293801, intron 1 of 7)	intron (NM_001293801, intron 1 of 7)	11983	NM_001293801	99889	Mm.316536	NM_001081093	ENSMUSG00000074513	Arfip1	2310030I10Rik|Arfaptin|D3Ertd598e	ADP-ribosylation factor interacting protein 1	protein-coding
28707	chr3	102490435	102490935	+	0	NA	intron (NM_001112698, intron 1 of 2)	intron (NM_001112698, intron 1 of 2)	20766	NM_001112698	18049	Mm.1259	NM_013609	ENSMUSG00000027859	Ngf	Ngfb	nerve growth factor	protein-coding
25708	chr11	114654987	114655487	+	0	NA	intron (NR_037269, intron 2 of 4)	intron (NR_037269, intron 2 of 4)	-13306	NM_023372	67671	Mm.238817	NM_023372	ENSMUSG00000057322	Rpl38	0610025G13Rik|Rbt|Ts|Tss	ribosomal protein L38	protein-coding
27005	chr14	120318600	120319384	+	0	NA	intron (NM_175341, intron 1 of 8)	intron (NM_175341, intron 1 of 8)	43323	NM_175341	105559	Mm.238266	NM_175341	ENSMUSG00000022139	Mbnl2	1110002M11Rik|AI047808|AI837313|AI849185|AL118326|MBLL|R75232|mKIAA4072	muscleblind-like 2	protein-coding
28894	chr17	14264588	14265088	+	0	NA	Intergenic	MTD|LTR|ERVL-MaLR	-14668	NM_022315	64074	Mm.30162	NM_022315	ENSMUSG00000023886	Smoc2	1700056C05Rik|5430426J21Rik|Smoc2l	SPARC related modular calcium binding 2	protein-coding
28641	chr17	32341912	32342412	+	0	NA	intron (NM_017476, intron 2 of 13)	MT2A|LTR|ERVL	8415	NM_017476	54194	Mm.281005	NM_017476	ENSMUSG00000002625	Akap8l	HAP95|Nakap95	A kinase (PRKA) anchor protein 8-like	protein-coding
28645	chr17	53601039	53601539	+	0	NA	intron (NM_001190846, intron 1 of 17)	intron (NM_001190846, intron 1 of 17)	17163	NM_001190846	18519	Mm.255025	NM_020005	ENSMUSG00000000708	Kat2b	A930006P13Rik|AI461839|AW536563|Pcaf|p/CAF	K(lysine) acetyltransferase 2B	protein-coding
25054	chr4	55355489	55355989	+	0	NA	intron (NM_009011, intron 1 of 9)	intron (NM_009011, intron 1 of 9)	5697	NM_009011	19359	Mm.196846	NM_009011	ENSMUSG00000028426	Rad23b	0610007D13Rik|AV001138|HR23B|mHR23B|p58	RAD23b homolog (S. cerevisiae)	protein-coding
27205	chr7	63997246	63997746	+	0	NA	Intergenic	URR1B|DNA|hAT-Charlie	-58581	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding
25664	chr9	13897927	13898427	+	0	NA	Intergenic	Intergenic	70450	NM_176836	72826	Mm.246174	NM_176836	ENSMUSG00000037808	Fam76b	2810485I05Rik|C78303	family with sequence similarity 76, member B	protein-coding
27797	chr19	10692114	10692614	+	0	NA	intron (NM_181403, intron 1 of 4)	intron (NM_181403, intron 1 of 4)	3549	NM_181403	107305	Mm.19091	NM_181403	ENSMUSG00000048832	Vps37c	5730409F24Rik|AU042646	vacuolar protein sorting 37C (yeast)	protein-coding
24646	chr7	90074306	90074806	+	0	NA	Intergenic	Intergenic	45397	NR_110365	319711	Mm.31753	NR_015614		E230029C05Rik	AI452102|B230337J15	RIKEN cDNA E230029C05 gene	ncRNA
26548	chr15	64197266	64197766	+	0	NA	intron (NM_001276462, intron 2 of 27)	intron (NM_001276462, intron 2 of 27)	115157	NM_001276463	13196	Mm.277236	NM_010026	ENSMUSG00000022377	Asap1	AV239055|DEF-1|Ddef1|PAP|mKIAA1249|s19	ArfGAP with SH3 domain, ankyrin repeat and PH domain1	protein-coding
27439	chr2	131493400	131493900	+	0	NA	intron (NM_001177840, intron 1 of 3)	intron (NM_001177840, intron 1 of 3)	1788	NM_145533	228608	Mm.136586	NM_145533	ENSMUSG00000027333	Smox	B130066H01Rik|PAO|PAOh1|SMO	spermine oxidase	protein-coding
26551	chr15	67398295	67398795	+	0	NA	Intergenic	Intergenic	171776	NR_045140	69334	Mm.63770	NR_045140		1700012I11Rik	-	RIKEN cDNA 1700012I11 gene	ncRNA
28194	chr5	117088186	117088686	+	0	NA	Intergenic	B4A|SINE|B4	27557	NM_001122666	71954	Mm.34456	NM_178622	ENSMUSG00000066900	Suds3	2400003N08Rik|2410008L21Rik|AU067672|mSds3	suppressor of defective silencing 3 homolog (S. cerevisiae)	protein-coding
27101	chr2	117402625	117403125	+	0	NA	Intergenic	Lx|LINE|L1	-59998	NM_011246	19419	Mm.42150	NM_011246	ENSMUSG00000027347	Rasgrp1	Rasgrp	RAS guanyl releasing protein 1	protein-coding
26657	chr5	135540649	135541149	+	0	NA	intron (NM_146001, intron 1 of 30)	intron (NM_146001, intron 1 of 30)	4223	NM_146001	215114	Mm.280805	NM_146001	ENSMUSG00000039959	Hip1	2610109B09Rik|A930014B11Rik|E130315I21Rik|mKIAA4113	huntingtin interacting protein 1	protein-coding
28435	chr19	11530396	11530896	+	0	NA	TTS (NM_027209)	TTS (NM_027209)	-6203	NM_025658	66607	Mm.441056	NM_025658	ENSMUSG00000024678	Ms4a4d	2210417J23Rik	membrane-spanning 4-domains, subfamily A, member 4D	protein-coding
27262	chr10	115244037	115244671	+	0	NA	intron (NM_025706, intron 1 of 16)	AT_rich|Low_complexity|Low_complexity	7139	NM_025706	66687	Mm.22252	NM_025706	ENSMUSG00000020130	Tbc1d15	4432405K22Rik|AU022358|AU023730|AW557774|Ly6dl|Rab7-GAP	TBC1 domain family, member 15	protein-coding
24753	chr8	124302042	124302542	+	0	NA	intron (NM_139272, intron 2 of 15)	intron (NM_139272, intron 2 of 15)	70898	NM_139272	108148	Mm.33808	NM_139272	ENSMUSG00000089704	Galnt2	AI480629	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
26307	chr17	83975556	83976056	+	0	NA	Intergenic	Intergenic	-102854	NR_045458	74473	Mm.399575	NR_045458		4933433H22Rik	-	RIKEN cDNA 4933433H22 gene	ncRNA
27128	chr3	105761972	105762472	+	0	NA	intron (NM_145541, intron 1 of 7)	intron (NM_145541, intron 1 of 7)	39159	NM_145541	109905	Mm.101922	NM_145541	ENSMUSG00000068798	Rap1a	AI848598|G-22K|Krev-1|Rap1	RAS-related protein-1a	protein-coding
24538	chr8	121649668	121650588	+	0	NA	intron (NM_080855, intron 1 of 12)	intron (NM_080855, intron 1 of 12)	1805	NM_080855	142682	Mm.103202	NM_080855	ENSMUSG00000061410	Zcchc14	AA792890|BDG29	zinc finger, CCHC domain containing 14	protein-coding
28511	chr4	141767024	141767524	+	0	NA	intron (NM_172338, intron 11 of 14)	MTD|LTR|ERVL-MaLR	20599	NM_001081408	75986	Mm.30032	NM_001081408	ENSMUSG00000040706	Agmat	5033405N08Rik	agmatine ureohydrolase (agmatinase)	protein-coding
28436	chr19	12462125	12462625	+	0	NA	exon (NM_010821, exon 2 of 2)	exon (NM_010821, exon 2 of 2)	1596	NM_010821	17476	Mm.3999	NM_010821	ENSMUSG00000046805	Mpeg1	MPS1|Mpg-1	macrophage expressed gene 1	protein-coding
26825	chr2	77341392	77341892	+	0	NA	Intergenic	Intergenic	-61050	NM_175465	228071	Mm.27120	NM_175465	ENSMUSG00000042272	Sestd1	1500031J16Rik|A930010O20|Solo/Trio8	SEC14 and spectrin domains 1	protein-coding
26334	chr1	64513374	64513874	+	0	NA	Intergenic	Intergenic	-19180	NM_009952	12912	Mm.422634	NM_009952	ENSMUSG00000025958	Creb1	2310001E10Rik|3526402H21Rik|AV083133|Creb|Creb-1	cAMP responsive element binding protein 1	protein-coding
24909	chr3	37645282	37645782	+	0	NA	TTS (NM_011896)	TTS (NM_011896)	5582	NM_011896	24063	Mm.330986	NM_011896	ENSMUSG00000037211	Spry1	sprouty1	sprouty homolog 1 (Drosophila)	protein-coding
27602	chr9	46049929	46050429	+	0	NA	intron (NM_027498, intron 1 of 24)	RLTR11A2|LTR|ERVK	37359	NM_027498	70661	Mm.219459	NM_027498	ENSMUSG00000034135	Sik3	5730525O22Rik|9030204A07Rik|AI447252|AI846254|AI849445|Qsk|SIK-3|mKIAA0999	SIK family kinase 3	protein-coding
27870	chr4	8791893	8792393	+	0	NA	intron (NM_001277149, intron 3 of 37)	intron (NM_001277149, intron 3 of 37)	101737	NM_001277149	320790	Mm.138792	NM_001033395	ENSMUSG00000041235	Chd7	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|GENA 60|Gena 52|Lda|Mt|Obt|Todo|WBE1|Whi|metis	chromodomain helicase DNA binding protein 7	protein-coding
28266	chr9	65539507	65540007	+	0	NA	Intergenic	Intergenic	40330	NM_153119	102595	Mm.247303	NM_153119		Plekho2	AI840980|Plekhq1	pleckstrin homology domain containing, family O member 2	protein-coding
25659	chr8	88221313	88221813	+	0	NA	intron (NM_001164498, intron 2 of 12)	intron (NM_001164498, intron 2 of 12)	22350	NM_001164499	214627	Mm.491211	NM_001164497	ENSMUSG00000036779	Papd5	5730445M16Rik|5830428A09	PAP associated domain containing 5	protein-coding
25123	chr11	118215386	118215886	+	0	NA	intron (NM_001112699, intron 1 of 12)	B4A|SINE|B4	-2894	NM_001112700	19157	Mm.86413	NM_011180	ENSMUSG00000017132	Cyth1	CLM1|CTH-1|CYTIP|Pscd1|mKIAA4240	cytohesin 1	protein-coding
28590	chr11	117663601	117664101	+	0	NA	intron (NM_198022, intron 1 of 21)	intron (NM_198022, intron 1 of 21)	9562	NM_198022	217351	Mm.40272	NM_198022	ENSMUSG00000025571	Tnrc6c	9930033H14Rik|mKIAA1582	trinucleotide repeat containing 6C	protein-coding
27492	chr4	121207333	121207833	+	0	NA	Intergenic	RMER6B|LTR|ERVK	-19049	NM_001081013	109263	Mm.215745	NM_001081013	ENSMUSG00000049878	Rlf	9230110M18Rik|AI195322|MommeD8	rearranged L-myc fusion sequence	protein-coding
28181	chr4	150120565	150121065	+	0	NA	intron (NM_019741, intron 3 of 13)	intron (NM_019741, intron 3 of 13)	1471	NM_019741	56485	Mm.260220	NM_019741	ENSMUSG00000028976	Slc2a5	AI526984|Glut5|Slc5a	solute carrier family 2 (facilitated glucose transporter), member 5	protein-coding
26572	chr16	94607541	94608041	+	0	NA	intron (NM_001113389, intron 1 of 11)	intron (NM_001113389, intron 1 of 11)	36884	NM_001113389	13548	Mm.310973	NM_007890	ENSMUSG00000022897	Dyrk1a	2310043O08Rik|D16Ertd272e|D16Ertd493e|Dyrk|ENSMUSG00000074897|Gm10783|Mnbh|Mp86|mmb	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a	protein-coding
27662	chr11	90349952	90350452	+	0	NA	intron (NM_172563, intron 2 of 3)	intron (NM_172563, intron 2 of 3)	40715	NM_172563	217082	Mm.158903	NM_172563	ENSMUSG00000003949	Hlf	E230015K02Rik	hepatic leukemia factor	protein-coding
28676	chr1	87648015	87648515	+	0	NA	intron (NR_122078, intron 2 of 27)	B1_Mm|SINE|Alu	27953	NM_001110193	16331	Mm.15105	NM_010566	ENSMUSG00000026288	Inpp5d	SHIP|SHIP-1|SHIP1|SIP-145|p150Ship|s-SHIP	inositol polyphosphate-5-phosphatase D	protein-coding
25510	chr11	23954313	23954813	+	0	NA	Intergenic	Intergenic	-59293	NM_172555	216578	Mm.470599	NM_172555	ENSMUSG00000020273	Papolg	9630006B20Rik	poly(A) polymerase gamma	protein-coding
28766	chr7	45886375	45886875	+	0	NA	TTS (NM_001291064)	TTS (NM_001291064)	10086	NM_021482	58867	Mm.214217	NM_021482	ENSMUSG00000040231	Syngr4	1700016O14Rik	synaptogyrin 4	protein-coding
25952	chr1	91984951	91985451	+	0	NA	intron (NM_207225, intron 8 of 25)	intron (NM_207225, intron 8 of 25)	163192	NM_207225	208727	Mm.318567	NM_207225	ENSMUSG00000026313	Hdac4	4932408F19Rik|AI047285	histone deacetylase 4	protein-coding
27967	chr11	61619943	61620443	+	0	NA	Intergenic	Intergenic	-33128	NM_027817	71520	Mm.202760	NM_027817	ENSMUSG00000004837	Grap	8430435N19Rik|BB233594	GRB2-related adaptor protein	protein-coding
25604	chr3	101711903	101712403	+	0	NA	Intergenic	Intergenic	-107446	NM_144900	11928	Mm.280103	NM_144900	ENSMUSG00000033161	Atp1a1	Atpa-1|BC010319	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein-coding
