PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-1uM-24h-MNase-All-Conditions/regions.txt mm10 -size given -d AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	1uM K99A	1uM PCC	No Peptide
chr15-24620	chr15	62734439	62736679	+	63.5	27.023000000000003	Intergenic	Intergenic	-516108.0	NR_003523	67552.0	Mm.484027	NM_026230	0	H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo	53.26	85.04	41.47
chr13-22157	chr13	52913350	52915372	+	63.3	36.016999999999996	intron (NM_016709, intron 3 of 9)	(T)n|Simple_repeat|Simple_repeat	15316.0	NM_016709	11992.0	Mm.252034	NM_016709	ENSMUSG00000021460	Auh	C77140|W91705	AU RNA binding protein/enoyl-coenzyme A hydratase	protein-coding	49.65	117.98	37.91
chr4-18837	chr4	136122310	136124096	+	62.9	71.773	Intergenic	Intergenic	-20619.0	NM_008321	15903.0	Mm.110	NM_008321	0	Id3	Hlh462|Idb3|bHLHb25	inhibitor of DNA binding 3	protein-coding	46.9	102.27	38.12
chr18-2746	chr18	23843627	23845875	+	62.8	26.93	intron (NM_153058, intron 2 of 6)	intron (NM_153058, intron 2 of 6)	40781.0	NM_153058	212307.0	Mm.132237	NM_153058	ENSMUSG00000024277	Mapre2	AI314113|C820009F03Rik|D18Abb1e|EB1|EB2|RP1	microtubule-associated protein, RP/EB family, member 2	protein-coding	53.95	101.19	42.93
chr1-10624	chr1	39734071	39735429	+	62.7	55.36	Intergenic	Intergenic	-13761.0	NM_001145660	619289.0	Mm.334107	NM_001145660	ENSMUSG00000057173	Rfx8	4933400N17Rik	regulatory factor X 8	protein-coding	58.93	84.83	41.68
chr5-3249	chr5	3496748	3498380	+	62.4	25.933000000000003	intron (NM_009873, intron 4 of 6)	intron (NM_009873, intron 4 of 6)	-46269.0	NM_001042501	68152.0	Mm.240265	NM_026583	0	Fam133b	2900022K02Rik|5830415L20Rik	family with sequence similarity 133, member B	protein-coding	47.76	89.13	42.3
chr16-5932	chr16	23143693	23145499	+	61.9	53.97	Intergenic	Intergenic	-1940.0	NM_009605	11450.0	Mm.3969	NM_009605	ENSMUSG00000022878	Adipoq	30kDa|APN|Acdc|Acrp30|GBP28|adipo|apM1	adiponectin, C1Q and collagen domain containing	protein-coding	71.81	77.51	38.33
chr9-1398	chr9	56103737	56105267	+	61.7	57.763000000000005	intron (NM_011193, intron 1 of 14)	intron (NM_011193, intron 1 of 14)	14526.0	NM_011193	19200.0	Mm.2534	NM_011193	ENSMUSG00000032322	Pstpip1	CD2BP1|def-2	proline-serine-threonine phosphatase-interacting protein 1	protein-coding	51.37	99.04	45.24
chr6-3370	chr6	31208673	31210769	+	61.2	36.41	intron (NR_110469, intron 1 of 3)	intron (NR_110469, intron 1 of 3)	8753.0	NR_110471	232685.0	Mm.443019	NM_144555	0	Lincpint	MNCb-1768|Pint|linc-Pint	long intergenic non-protein coding RNA, Trp53 induced transcript	ncRNA	59.62	84.18	41.47
chr11-1585	chr11	57573486	57574750	+	60.9	62.086999999999996	Intergenic	Intergenic	55453.0	NM_145426	216760.0	Mm.30501	NM_145426	ENSMUSG00000020522	Mfap3	2610509F16Rik|2700079M14Rik|AW536327	microfibrillar-associated protein 3	protein-coding	51.71	90.21	43.35
chr4-16386	chr4	43903221	43904535	+	60.9	53.907	intron (NM_016678, intron 6 of 20)	intron (NM_016678, intron 6 of 20)	28348.0	NM_016678	53614.0	Mm.331573	NM_016678	ENSMUSG00000028476	Reck	St15|mRECK	reversion-inducing-cysteine-rich protein with kazal motifs	protein-coding	58.24	79.01	37.49
chr7-13345	chr7	74527492	74529614	+	60.8	20.49	intron (NM_001038643, intron 1 of 10)	intron (NM_001038643, intron 1 of 10)	26227.0	NM_023908	108116.0	Mm.425467	NM_023908	ENSMUSG00000025790	Slco3a1	5830414C08Rik|Anr1|MJAM|OATP-D|R75096|Slc21a11	solute carrier organic anion transporter family, member 3a1	protein-coding	42.61	117.34	35.39
chr18-57852	chr18	32562607	32565229	+	60.0	44.117	Intergenic	Intergenic	-3884.0	NM_001048207	71683.0	Mm.292145	NM_027863	ENSMUSG00000090523	Gypc	0610037F22Rik|Cd236r	glycophorin C	protein-coding	58.07	82.89	41.05
chr12-18704	chr12	33157371	33159507	+	59.9	35.183	intron (NM_028139, intron 2 of 3)	intron (NM_028139, intron 2 of 3)	10753.0	NM_028139	380753.0	Mm.41540	NM_028139	ENSMUSG00000020564	Atxn7l1	2810423G08Rik|Atxn7l4	ataxin 7-like 1	protein-coding	47.76	83.75	40.42
chr17-92485	chr17	78244122	78245836	+	59.6	36.7	intron (NM_015800, intron 2 of 16)	intron (NM_015800, intron 2 of 16)	44731.0	NM_015800	50766.0	Mm.311912	NM_015800	ENSMUSG00000024074	Crim1	AU015004	cysteine rich transmembrane BMP regulator 1 (chordin like)	protein-coding	49.31	89.35	43.98
chr15-535	chr15	102150340	102151618	+	59.5	59.836999999999996	intron (NM_146064, intron 1 of 14)	intron (NM_146064, intron 1 of 14)	404.0	NM_146064	223920.0	Mm.358862	NM_146064	ENSMUSG00000023045	Soat2	ACAT2|D15Wsu97e	sterol O-acyltransferase 2	protein-coding	51.2	97.96	42.09
chr2-4016	chr2	131509556	131510942	+	59.4	80.767	intron (NM_001177840, intron 1 of 3)	intron (NM_001177840, intron 1 of 3)	18387.0	NM_001177833	228608.0	Mm.136586	NM_145533	ENSMUSG00000027333	Smox	B130066H01Rik|PAO|PAOh1|SMO	spermine oxidase	protein-coding	52.74	95.59	36.02
chr5-12450	chr5	3355470	3357300	+	59.4	37.567	intron (NM_009873, intron 1 of 6)	intron (NM_009873, intron 1 of 6)	12073.0	NM_009873	12571.0	Mm.31672	NM_009873	ENSMUSG00000040274	Cdk6	5830411I20|AI504062|Crk2	cyclin-dependent kinase 6	protein-coding	59.27	79.45	37.91
chr5-4834	chr5	96878249	96880013	+	59.1	65.047	Intergenic	Intergenic	85746.0	NM_013470	11745.0	Mm.7214	NM_013470	ENSMUSG00000029484	Anxa3	Anx3	annexin A3	protein-coding	41.23	94.73	29.32
chr5-18414	chr5	53591122	53593672	+	58.9	26.3	intron (NM_001080927, intron 1 of 10)	intron (NM_001080927, intron 1 of 10)	1911.0	NM_001080927	19664.0	Mm.209292	NM_009035	ENSMUSG00000039191	Rbpj	AI843960|CBF1|Igkjrb|Igkrsbp|RBP-J|RBP-J kappa|RBPjk|Rbpsuh	recombination signal binding protein for immunoglobulin kappa J region	protein-coding	43.81	118.84	37.91
chr12-19145	chr12	86809988	86811870	+	58.8	57.39	Intergenic	Intergenic	73885.0	NM_145836	238330.0	Mm.248358	NM_145836	ENSMUSG00000034168	Irf2bpl	6430527G18Rik|Eap1	interferon regulatory factor 2 binding protein-like	protein-coding	56.87	87.84	41.89
chr12-3300	chr12	25358819	25360683	+	58.7	41.48	Intergenic	Intergenic	230577.0	NR_045844	432641.0	Mm.112955	NR_045844	0	Gm17746	-	predicted gene, 17746	ncRNA	50.0	71.69	30.79
chr7-3899	chr7	110164224	110165660	+	58.7	110.553	Intergenic	Intergenic	42883.0	NM_009516	22390.0	Mm.287173	NM_009516	0	Wee1	Wee1A	WEE 1 homolog 1 (S. pombe)	protein-coding	48.62	91.5	36.86
chr9-8922	chr9	80265882	80267438	+	58.6	58.727	intron (NM_001039546, intron 16 of 32)	intron (NM_001039546, intron 16 of 32)	101626.0	NM_001039546	17920.0	Mm.4040	NM_008662	ENSMUSG00000033577	Myo6	BC029719|Tlc|sv	myosin VI	protein-coding	59.79	72.13	36.02
chr5-72658	chr5	53587607	53590315	+	58.6	55.836999999999996	intron (NM_001080928, intron 1 of 10)	intron (NM_001080928, intron 1 of 10)	-1385.0	NM_009035	19664.0	Mm.209292	NM_009035	ENSMUSG00000039191	Rbpj	AI843960|CBF1|Igkjrb|Igkrsbp|RBP-J|RBP-J kappa|RBPjk|Rbpsuh	recombination signal binding protein for immunoglobulin kappa J region	protein-coding	45.36	94.73	40.0
chr1-8096	chr1	118399366	118400748	+	57.9	54.523	intron (NM_001293301, intron 1 of 35)	L1M4|LINE|L1	10999.0	NM_029709	76707.0	Mm.138740	NM_029709	ENSMUSG00000064302	Clasp1	1700030C23Rik|5730583A19Rik|B130045P17Rik|CLASP1alpha	CLIP associating protein 1	protein-coding	43.81	78.58	26.39
chr13-8686	chr13	117241965	117243409	+	57.9	37.827	intron (NM_010330, intron 2 of 8)	MIR|SINE|MIR	22114.0	NM_010330	13723.0	Mm.274926	NM_010330	ENSMUSG00000021728	Emb	AL022799|Gp70	embigin	protein-coding	60.48	72.13	35.81
chr3-1920	chr3	37654090	37655308	+	57.9	80.27	Intergenic	Intergenic	14749.0	NM_011896	24063.0	Mm.330986	NM_011896	ENSMUSG00000037211	Spry1	sprouty1	sprouty homolog 1 (Drosophila)	protein-coding	46.73	92.15	38.33
chr4-38611	chr4	87981862	87984240	+	57.5	46.29	intron (NM_027326, intron 2 of 10)	intron (NM_027326, intron 2 of 10)	50356.0	NM_027326	70122.0	Mm.288898	NM_027326	ENSMUSG00000028496	Mllt3	2210011H10Rik|2610012I03Rik|3830408D16Rik|Af9|D4Ertd321e	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	protein-coding	44.15	92.79	35.6
chr15-15085	chr15	76203375	76205003	+	57.2	60.23	intron (NM_011117, intron 1 of 31)	intron (NM_011117, intron 1 of 31)	2132.0	NM_001163540	18810.0	Mm.234912	NM_011117	ENSMUSG00000022565	Plec	AA591047|AU042537|EBS1|PCN|PLTN|Plec1	plectin	protein-coding	38.48	112.6	30.79
chr15-13085	chr15	6623117	6624889	+	57.0	46.516999999999996	intron (NM_011815, intron 2 of 17)	intron (NM_011815, intron 2 of 17)	44156.0	NM_001278269	23880.0	Mm.170905	NM_011815	0	Fyb	ADAP|B630013F22Rik|FYB-120/130|Slap130|p120/130|p120/p130	FYN binding protein	protein-coding	57.04	76.65	36.65
chr10-92154	chr10	117434708	117436502	+	56.5	95.48299999999999	Intergenic	Intergenic	-58632.0	NM_001013391	432508.0	Mm.478881	NM_001013391	ENSMUSG00000055531	Cpsf6	4733401N12Rik|AI256641|CFIM|CFIM68|HPBRII-4|HPBRII-7	cleavage and polyadenylation specific factor 6	protein-coding	56.52	76.0	33.93
chr10-18780	chr10	13831777	13833933	+	56.2	42.29	intron (NM_025446, intron 1 of 5)	intron (NM_025446, intron 1 of 5)	35975.0	NM_025446	66253.0	Mm.45755	NM_025446	ENSMUSG00000019806	Aig1	1500031O19Rik|AV064870|AW413422|CGI-103	androgen-induced 1	protein-coding	36.25	110.45	30.37
chr11-18902	chr11	46359228	46360912	+	56.1	39.727	intron (NM_001281967, intron 5 of 8)	URR1A|DNA|hAT-Charlie	29445.0	NM_001281968	16428.0	Mm.339927	NM_010583	ENSMUSG00000020395	Itk	Emt|Tcsk|Tsk	IL2 inducible T cell kinase	protein-coding	43.64	90.43	34.97
chr16-17109	chr16	95359240	95361488	+	56.0	55.06	3' UTR (NM_133659, exon 11 of 11)	3' UTR (NM_133659, exon 11 of 11)	102806.0	NM_001271694	16516.0	Mm.272239	NM_019664	ENSMUSG00000062609	Kcnj15	4930414N08Rik|AI182284|AI267127|IRKK|Kir4.2	potassium inwardly-rectifying channel, subfamily J, member 15	protein-coding	45.36	99.68	28.69
chr11-15763	chr11	23846012	23847314	+	55.6	39.097	Intergenic	Intergenic	48607.0	NM_172555	216578.0	Mm.470599	NM_172555	ENSMUSG00000020273	Papolg	9630006B20Rik	poly(A) polymerase gamma	protein-coding	47.93	82.89	39.37
chr5-24519	chr5	96979258	96981158	+	55.4	54.457	Intergenic	Intergenic	-17481.0	NM_080708	140780.0	Mm.281490	NM_080708	ENSMUSG00000034663	Bmp2k	4933417M22Rik|AA673486|AV128808|BIKE	BMP2 inducible kinase	protein-coding	57.38	73.85	36.44
chr7-3814	chr7	66110405	66111737	+	55.1	38.02	intron (NM_001081163, intron 1 of 2)	intron (NM_001081163, intron 1 of 2)	1556.0	NM_001081163	269941.0	Mm.333916	NM_001081163	ENSMUSG00000032640	Chsy1	mKIAA0990	chondroitin sulfate synthase 1	protein-coding	36.77	94.52	25.13
chr18-12849	chr18	5989167	5990391	+	55.1	135.09	Intergenic	Intergenic	146319.0	NM_001039692	75415.0	Mm.239675	NM_029277	ENSMUSG00000041225	Arhgap12	2810011M08Rik	Rho GTPase activating protein 12	protein-coding	54.12	85.9	42.3
chr18-11700	chr18	32939521	32941295	+	54.9	35.453	intron (NM_009793, intron 1 of 10)	intron (NM_009793, intron 1 of 10)	1367.0	NM_009793	12326.0	Mm.222329	NM_009793	ENSMUSG00000038128	Camk4	A430110E23Rik|AI666733|CaMKIV|CaMKIV/Gr|D18Bwg0362e	calcium/calmodulin-dependent protein kinase IV	protein-coding	49.48	73.2	35.6
chr2-133473	chr2	75890651	75893021	+	54.7	53.483000000000004	exon (NM_172666, exon 13 of 20)	exon (NM_172666, exon 13 of 20)	46626.0	NM_028235	72421.0	Mm.275109	NM_028235	ENSMUSG00000075273	Ttc30b	2510042P03Rik|Tcc30b	tetratricopeptide repeat domain 30B	protein-coding	49.31	81.6	35.18
chr11-8932	chr11	62875807	62877537	+	54.2	90.557	exon (NM_001291441, exon 13 of 13)	exon (NM_001291441, exon 13 of 13)	-2818.0	NM_026210	67510.0	Mm.9806	NM_026210	ENSMUSG00000014177	Tvp23b	1810036I24Rik|Fam18b|Fam18b1	trans-golgi network vesicle protein 23B	protein-coding	30.24	109.16	24.71
chr13-46908	chr13	17625565	17628245	+	53.6	29.816999999999997	intron (NM_138654, intron 6 of 13)	Lx2|LINE|L1	67860.0	NM_138654	192136.0	Mm.364180	NM_138654	0	Sugct	5033411D12Rik|D17907	succinyl-CoA glutarate-CoA transferase	protein-coding	45.87	83.75	40.63
chr16-3356	chr16	10758317	10759659	+	53.5	43.573	Intergenic	Intergenic	26548.0	NM_009896	12703.0	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	30.58	116.05	33.93
chr11-15447	chr11	46404263	46406119	+	53.3	49.117	exon (NM_001013783, exon 1 of 2)	exon (NM_001013783, exon 1 of 2)	463.0	NM_001013783	432552.0	Mm.443244	NM_001013783	ENSMUSG00000020401	Fam71b	Gari-l3|OTTMUSG00000005491	family with sequence similarity 71, member B	protein-coding	51.37	65.88	32.46
chr4-8305	chr4	63557876	63559696	+	52.6	56.683	Intergenic	CpG	-1574.0	NM_144905	230279.0	Mm.41523	NM_144905	ENSMUSG00000045917	6330416G13Rik	AW492431|bM230C2.2	RIKEN cDNA 6330416G13 gene	protein-coding	50.51	81.6	38.33
chr10-54223	chr10	75431751	75434639	+	52.6	15.99	intron (NM_133995, intron 6 of 9)	intron (NM_133995, intron 6 of 9)	-16315.0	NR_045841	71125.0	Mm.399516	NR_045841	0	4933407G14Rik	-	RIKEN cDNA 4933407G14 gene	ncRNA	44.5	93.22	43.14
chr15-969	chr15	36727703	36728455	+	51.6	95.17299999999999	Intergenic	RMER17C-int|LTR|ERVK	62853.0	NM_001253807	22631.0	Mm.3360	NM_011740	ENSMUSG00000022285	Ywhaz	1110013I11Rik|14-3-3zeta|AI596267|AL022924|AU020854	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide	protein-coding	37.11	60.71	28.06
chr3-25776	chr3	93542664	93545514	+	51.2	19.56	Intergenic	MMERGLN_LTR|LTR|ERV1	-11028.0	NM_009112	20194.0	Mm.1	NM_009112	ENSMUSG00000041959	S100a10	42C|AA409961|AL024248|CAL12|CLP11|Cal1l|p10|p11	S100 calcium binding protein A10 (calpactin)	protein-coding	39.0	70.83	33.72
chr16-15946	chr16	84681180	84683798	+	50.9	30.393	intron (NR_040537, intron 2 of 2)	intron (NR_040537, intron 2 of 2)	2700.0	NR_040537	78023.0	Mm.243853	NR_040537	0	4930529L06Rik	-	RIKEN cDNA 4930529L06 gene	ncRNA	36.08	94.52	27.64
chr3-7408	chr3	100443137	100444607	+	50.9	36.2	Intergenic	G-rich|Low_complexity|Low_complexity	17467.0	NR_040543	73806.0	Mm.396549	NR_040543	ENSMUSG00000086923	4930406D18Rik	-	RIKEN cDNA 4930406D18 gene	ncRNA	30.93	85.47	29.74
chr5-27222	chr5	137501610	137502716	+	50.7	179.467	intron (NM_028753, intron 1 of 1)	intron (NM_028753, intron 1 of 1)	266.0	NM_028753	74097.0	Mm.290242	NM_028753	ENSMUSG00000029715	Pop7	0610037N12Rik|AI852017|Rpp20	processing of precursor 7, ribonuclease P family, (S. cerevisiae)	protein-coding	52.06	69.54	33.3
chr5-16820	chr5	67394262	67395860	+	50.5	19.063	3' UTR (NM_001164806, exon 5 of 5)	3' UTR (NM_001164806, exon 5 of 5)	32738.0	NM_001164806	666938.0	Mm.101339	NM_001164806	ENSMUSG00000092060	Bend4	D330027G24Rik|EG666938	BEN domain containing 4	protein-coding	37.45	78.37	29.74
chr12-4423	chr12	54312276	54313702	+	50.5	40.723	Intergenic	Intergenic	78329.0	NR_033689	665239.0	Mm.26856	NR_033689	0	Gm7550	EG665239|Gm666	predicted gene 7550	ncRNA	39.52	88.49	38.33
chr12-39286	chr12	104998823	105000895	+	50.1	16.78	intron (NM_172500, intron 1 of 16)	intron (NM_172500, intron 1 of 16)	-1182.0	NM_001042699	212073.0	Mm.212688	NM_172500	ENSMUSG00000054150	Syne3	nesprin-3	spectrin repeat containing, nuclear envelope family member 3	protein-coding	45.87	84.18	41.05
chr2-18575	chr2	52314688	52315966	+	50.1	54.243	TTS (NR_040620)	TTS (NR_040620)	23471.0	NM_010889	17996.0	Mm.389247	NM_010889	ENSMUSG00000026950	Neb	AI595938	nebulin	protein-coding	57.73	77.08	34.14
chr2-8362	chr2	104172307	104173483	+	49.7	87.62299999999999	intron (NM_001033347, intron 16 of 20)	intron (NM_001033347, intron 16 of 20)	50126.0	NM_026634	68243.0	Mm.158191	NM_026634	ENSMUSG00000032671	A930018P22Rik	-	RIKEN cDNA A930018P22 gene	protein-coding	43.81	76.0	31.41
chr10-18371	chr10	62850868	62852716	+	49.5	51.637	intron (NM_027384, intron 2 of 10)	PB1D9|SINE|Alu	28222.0	NM_027384	52463.0	Mm.17774	NM_027384	ENSMUSG00000047146	Tet1	2510010B09Rik|AA517754|BB001228|Cxxc6|D10Ertd17e|LCX|mKIAA1676	tet methylcytosine dioxygenase 1	protein-coding	42.09	68.03	31.41
chr17-2748	chr17	29077723	29079381	+	49.3	29.623	intron (NR_036469, intron 1 of 1)	ID_B1|SINE|B4	574.0	NR_036469	100504267.0	Mm.438550	NR_036469	ENSMUSG00000085912	Trp53cor1	Gm16197|OTTMUSG00000031656|linc-p21|lincRNA-p21	tumor protein p53 pathway corepressor 1	ncRNA	32.81	73.42	23.46
chr17-8152	chr17	73081157	73082853	+	49.3	26.34	Intergenic	Intergenic	-25980.0	NM_001177967	225010.0	Mm.329194	NM_001081071	ENSMUSG00000054469	Lclat1	AI181996|Agpat8|Alcat1|Gm91|Lycat	lysocardiolipin acyltransferase 1	protein-coding	39.0	72.99	32.46
chr16-3706	chr16	8823355	8824487	+	49.3	109.743	Intergenic	MLT1J|LTR|ERVL-MaLR	-6179.0	NM_001081400	69053.0	Mm.390868	NM_001081400	ENSMUSG00000022507	1810013L24Rik	1110017P05Rik|3010002C02Rik|AA792997|AW124177|Gm19906|R74903	RIKEN cDNA 1810013L24 gene	protein-coding	52.06	65.24	30.37
chr11-8143	chr11	88552886	88554374	+	49.2	22.423000000000002	intron (NM_054043, intron 6 of 13)	intron (NM_054043, intron 6 of 13)	164599.0	NM_054043	76626.0	Mm.400451	NM_054043	ENSMUSG00000069769	Msi2	1700105C15Rik|AI451722|AI563628|AW489193|Msi2h	musashi RNA-binding protein 2	protein-coding	37.8	75.35	37.07
chr16-5368	chr16	45352419	45353301	+	49.1	119.81	Intergenic	Intergenic	56193.0	NM_010818	17470.0	Mm.245851	NM_010818	ENSMUSG00000022661	Cd200	Mox2|OX2	CD200 antigen	protein-coding	36.94	85.9	31.2
chr13-19877	chr13	30659516	30661144	+	48.8	36.713	intron (NM_001037955, intron 1 of 6)	intron (NM_001037955, intron 1 of 6)	271.0	NM_134068	105352.0	Mm.289646	NM_134068	ENSMUSG00000069255	Dusp22	JKAP|JSP1|LMW-DSP2|MKPX	dual specificity phosphatase 22	protein-coding	47.93	77.94	35.81
chr6-53457	chr6	34175373	34177217	+	48.5	14.867	intron (NM_021435, intron 1 of 9)	intron (NM_021435, intron 1 of 9)	759.0	NM_021435	58246.0	Mm.245527	NM_021435	0	Slc35b4	4930474D06Rik|AB041549|AW494345	solute carrier family 35, member B4	protein-coding	45.19	69.97	32.88
chr2-36623	chr2	11253605	11255237	+	47.9	111.22	intron (NM_008859, intron 10 of 17)	intron (NM_008859, intron 10 of 17)	82039.0	NM_008859	18761.0	Mm.329993	NM_008859	ENSMUSG00000026778	Prkcq	A130035A12Rik|AW494342|PKC-0|PKC-theta|PKCtheta|Pkcq	protein kinase C, theta	protein-coding	44.15	67.82	30.58
chr3-6403	chr3	135628494	135630190	+	47.4	38.306999999999995	intron (NM_008689, intron 6 of 24)	intron (NM_008689, intron 6 of 24)	62205.0	NM_008689	18033.0	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	44.33	72.13	32.88
chr5-11056	chr5	53399969	53401447	+	47.3	18.57	Intergenic	Intergenic	133602.0	NM_001145433	66278.0	Mm.27900	NM_001145433	0	Smim20	1110067B18Rik|1810013D10Rik|N28078	small integral membrane protein 20	protein-coding	32.64	83.11	25.97
chr10-3900	chr10	107931981	107933121	+	47.2	35.597	Intergenic	(GA)n|Simple_repeat|Simple_repeat	-20417.0	NM_001177567	628870.0	Mm.336090	NM_001177567	ENSMUSG00000091455	Otogl	EG628870|Gm6924	otogelin-like	protein-coding	32.99	73.85	30.58
chr7-18201	chr7	63924540	63926082	+	46.8	35.8	intron (NM_021366, intron 1 of 1)	intron (NM_021366, intron 1 of 1)	8454.0	NM_001256311	381994.0	Mm.425466	NM_001256311	ENSMUSG00000095061	E030018B13Rik	Gm1697	RIKEN cDNA E030018B13 gene	protein-coding	39.52	64.37	30.79
chr1-4997	chr1	64304968	64306498	+	46.5	39.923	Intergenic	Intergenic	-184344.0	NM_033563	93691.0	Mm.29466	NM_033563	ENSMUSG00000025959	Klf7	9830124P08Rik	Kruppel-like factor 7 (ubiquitous)	protein-coding	32.81	81.6	30.16
chr10-5409	chr10	128779165	128780799	+	46.5	30.403000000000002	Intergenic	(TCTA)n|Simple_repeat|Simple_repeat	-10928.0	NM_001164197	58223.0	Mm.131266	NM_021412	ENSMUSG00000025355	Mmp19	-	matrix metallopeptidase 19	protein-coding	35.74	69.11	29.74
chr4-6471	chr4	88030539	88032431	+	46.4	40.417	intron (NM_027326, intron 2 of 10)	intron (NM_027326, intron 2 of 10)	1922.0	NM_027326	70122.0	Mm.288898	NM_027326	ENSMUSG00000028496	Mllt3	2210011H10Rik|2610012I03Rik|3830408D16Rik|Af9|D4Ertd321e	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3	protein-coding	44.15	69.11	34.14
chr2-12779	chr2	122665540	122666638	+	46.4	36.037	Intergenic	MER63B|DNA|hAT-Blackjack	25286.0	NR_030547	387165.0	0	NR_030547	miRBase:MI0005482	Mir147	Mirn147|mmu-mir-147	microRNA 147	ncRNA	30.75	83.97	25.13
chr1-5483	chr1	21959954	21961230	+	46.3	56.1	intron (NM_001160139, intron 1 of 14)	intron (NM_001160139, intron 1 of 14)	1350.0	NM_023872	226922.0	Mm.336519	NM_023872	ENSMUSG00000028033	Kcnq5	7730402H11|9230107O05Rik|AA589396|D1Mgi1	potassium voltage-gated channel, subfamily Q, member 5	protein-coding	34.7	83.32	24.5
chr10-501	chr10	82797008	82798144	+	46.3	44.187	Intergenic	(TA)n|Simple_repeat|Simple_repeat	-14547.0	NR_038042	70003.0	Mm.48789	NR_038042	ENSMUSG00000056821	1700028I16Rik	-	RIKEN cDNA 1700028I16 gene	ncRNA	24.05	50.6	21.15
chr3-17071	chr3	95209916	95212002	+	45.8	46.703	intron (NM_029885, intron 2 of 9)	intron (NM_029885, intron 2 of 9)	-6498.0	NR_108026	100504029.0	Mm.478537	NR_108026	ENSMUSG00000097167	Gm16740	-	predicted gene, 16740	ncRNA	30.58	89.35	26.6
chr18-1717	chr18	4366160	4367388	+	45.7	33.61	intron (NR_040328, intron 2 of 3)	intron (NR_040328, intron 2 of 3)	-8818.0	NM_026157	67440.0	Mm.49826	NM_026157	ENSMUSG00000024234	Mtpap	0610027A18Rik|AW551379|Papd1	mitochondrial poly(A) polymerase	protein-coding	39.52	66.31	25.76
chr10-2191	chr10	75302957	75303965	+	45.7	40.24	intron (NM_153406, intron 13 of 15)	intron (NM_153406, intron 13 of 15)	-13416.0	NM_009630	11540.0	Mm.333734	NM_009630	ENSMUSG00000020178	Adora2a	A2AAR|A2aR|AA2AR	adenosine A2a receptor	protein-coding	42.09	60.93	27.64
chr17-17608	chr17	51876290	51877640	+	45.7	23.316999999999997	Intergenic	Charlie5|DNA|hAT-Charlie	-5762.0	NR_045095	100504169.0	Mm.417731	NR_045095	0	Gm20098	-	predicted gene, 20098	ncRNA	45.87	60.5	27.85
chr1-16796	chr1	80749333	80751207	+	45.2	28.287	intron (NM_175291, intron 1 of 55)	intron (NM_175291, intron 1 of 55)	8283.0	NM_175291	210293.0	Mm.133473	NM_175291	ENSMUSG00000038608	Dock10	9330153B10Rik|A630054M16Rik|Jr4|Jr5|R75174|ZIZ3|Zizimin3|mKIAA0694	dedicator of cytokinesis 10	protein-coding	34.19	70.4	28.9
chr15-2291	chr15	62697898	62699446	+	45.1	27.803	Intergenic	Intergenic	-479221.0	NR_003523	67552.0	Mm.484027	NM_026230	0	H2afy3	4933432H23Rik	H2A histone family, member Y3	pseudo	39.0	89.78	34.14
chr11-14173	chr11	96822135	96823553	+	45.0	51.393	intron (NM_008686, intron 2 of 4)	intron (NM_008686, intron 2 of 4)	1169.0	NM_001130453	18023.0	Mm.6743	NM_008686	ENSMUSG00000038615	Nfe2l1	AA408798|AW212678|LCR-F1|Lcrf1|NRF1|TCF-11|TCF11	nuclear factor, erythroid derived 2,-like 1	protein-coding	29.21	79.45	27.85
chr7-6543	chr7	114171343	114172485	+	44.9	52.266999999999996	Intergenic	Intergenic	-54133.0	NM_025846	66922.0	Mm.276572	NM_025846	ENSMUSG00000055723	Rras2	2610016H24Rik|C86394|TC21	related RAS viral (r-ras) oncogene homolog 2	protein-coding	36.42	68.03	27.23
chr12-3892	chr12	33284066	33285518	+	44.9	32.503	Intergenic	RLTR53_Mm|LTR|ERVK	-17723.0	NM_001033436	380753.0	Mm.41540	NM_028139	ENSMUSG00000020564	Atxn7l1	2810423G08Rik|Atxn7l4	ataxin 7-like 1	protein-coding	33.67	67.82	30.16
