PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K27Ac/AND-CD4TCell-H3K27Ac-1uM-24h-MNase-All-Conditions/regions.txt mm10 -size given -d AND-CD4TCell-H3K27Ac-1uM-K99A-24h-MNase-Combined AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	1uM K99A	1uM PCC	No Peptide
chr9-15371	chr9	66898243	66899989	+	57.9	59.497	intron (NM_173413, intron 1 of 7)	intron (NM_173413, intron 1 of 7)	20589.0	NM_173413	235442.0	Mm.260376	NM_173413	ENSMUSG00000036943	Rab8b	5930437D16|D330025I23Rik	RAB8B, member RAS oncogene family	protein-coding	61.85	59.42	44.61
chr3-1920	chr3	37654090	37655308	+	57.9	80.27	Intergenic	Intergenic	14749.0	NM_011896	24063.0	Mm.330986	NM_011896	ENSMUSG00000037211	Spry1	sprouty1	sprouty homolog 1 (Drosophila)	protein-coding	46.73	92.15	38.33
chr19-3344	chr19	10813530	10815914	+	57.3	23.247	intron (NM_009852, intron 1 of 12)	RLTR17B_Mm|LTR|ERVK	15336.0	NM_001037801	12511.0	Mm.290897	NM_009852	ENSMUSG00000024670	Cd6	-	CD6 antigen	protein-coding	60.82	51.89	54.24
chr10-12229	chr10	61648187	61649745	+	57.2	93.78299999999999	intron (NM_026438, intron 1 of 10)	CpG	345.0	NM_026438	67895.0	Mm.28897	NM_026438	ENSMUSG00000020089	Ppa1	2010317E03Rik|Pyp	pyrophosphatase (inorganic) 1	protein-coding	58.07	79.45	40.0
chr11-18902	chr11	46359228	46360912	+	56.1	39.727	intron (NM_001281967, intron 5 of 8)	URR1A|DNA|hAT-Charlie	29445.0	NM_001281968	16428.0	Mm.339927	NM_010583	ENSMUSG00000020395	Itk	Emt|Tcsk|Tsk	IL2 inducible T cell kinase	protein-coding	43.64	90.43	34.97
chr1-10629	chr1	51513614	51515050	+	56.0	51.773	Intergenic	MTB|LTR|ERVL-MaLR	-35933.0	NM_028696	109019.0	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	56.35	68.25	45.45
chr4-1503	chr4	152197256	152199290	+	56.0	20.69	intron (NM_001146057, intron 1 of 8)	(TCTCC)n|Simple_repeat|Simple_repeat	-1571.0	NM_001146058	70025.0	Mm.296191	NM_133348	ENSMUSG00000028937	Acot7	2410041A17Rik|Ach1|Act|Bach|CTE-IIa|Cte-II|Lach1	acyl-CoA thioesterase 7	protein-coding	64.6	49.95	50.68
chr7-18537	chr7	126696236	126699044	+	55.8	15.867	TTS (NM_175103)	TTS (NM_175103)	1640.0	NM_175103	66162.0	Mm.358692	NM_175103	0	Bola2	1110025L05Rik|BolA-2	bolA-like 2 (E. coli)	protein-coding	51.71	62.65	53.82
chr11-66427	chr11	48786961	48788941	+	55.3	81.297	Intergenic	ORR1E|LTR|ERVL-MaLR	-12409.0	NM_008143	14694.0	Mm.5305	NM_008143	ENSMUSG00000020372	Gnb2l1	AL033335|GB-like|Gnb2-rs1|Rack1|p205	guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1	protein-coding	57.56	56.19	45.86
chr11-65150	chr11	58009731	58011447	+	54.6	41.303000000000004	intron (NM_028451, intron 1 of 18)	intron (NM_028451, intron 1 of 18)	1525.0	NM_028451	73158.0	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding	51.71	79.88	42.93
chr17-5289	chr17	35209547	35211279	+	54.5	24.76	Intergenic	Intergenic	-5062.0	NM_010735	16992.0	Mm.87787	NM_010735	ENSMUSG00000024402	Lta	LT|LT-[a]|LT-alpha|LT[a]|LTalpha|Ltx|TNF-beta|TNFSF1|Tnfb|Tnfsf1b|hlb382	lymphotoxin A	protein-coding	54.46	63.94	48.8
chr16-3356	chr16	10758317	10759659	+	53.5	43.573	Intergenic	Intergenic	26548.0	NM_009896	12703.0	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	30.58	116.05	33.93
chrX-1717	chrX	20662486	20664250	+	53.4	36.573	intron (NM_001136085, intron 1 of 25)	intron (NM_001136085, intron 1 of 25)	472.0	NM_001136085	22201.0	Mm.1104	NM_009457	ENSMUSG00000001924	Uba1	A1S9|Sbx|Ube-1|Ube1x	ubiquitin-like modifier activating enzyme 1	protein-coding	51.89	56.84	43.35
chr12-40780	chr12	73850055	73852031	+	53.3	47.19	Intergenic	Intergenic	-56824.0	NM_010431	15251.0	Mm.3879	NM_010431	ENSMUSG00000021109	Hif1a	AA959795|HIF1alpha|MOP1|bHLHe78	hypoxia inducible factor 1, alpha subunit	protein-coding	62.54	53.82	50.05
chr11-11886	chr11	99130412	99132158	+	53.3	19.067	Intergenic	Intergenic	23792.0	NM_007719	12775.0	Mm.2932	NM_007719	ENSMUSG00000037944	Ccr7	CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	chemokine (C-C motif) receptor 7	protein-coding	48.62	54.26	38.53
chr6-81728	chr6	67182805	67184413	+	51.7	34.5	Intergenic	RLTR26C_MM|LTR|ERVK	-83370.0	NM_001113566	66870.0	Mm.240490	NM_025814	ENSMUSG00000036371	Serbp1	1200009K13Rik|9330147J08Rik|AL022786|Pairbp1	serpine1 mRNA binding protein 1	protein-coding	51.89	63.08	39.79
chr11-11774	chr11	100860270	100861714	+	50.9	34.223	intron (NM_001164062, intron 1 of 17)	intron (NM_001164062, intron 1 of 17)	508.0	NM_001164062	20850.0	Mm.277403	NM_011488	ENSMUSG00000004043	Stat5a	AA959963|STAT5	signal transducer and activator of transcription 5A	protein-coding	52.06	59.21	43.14
chr10-6466	chr10	30801637	30803331	+	50.6	31.07	intron (NM_172495, intron 1 of 15)	intron (NM_172495, intron 1 of 15)	623.0	NM_172495	211329.0	Mm.297903	NM_172495	ENSMUSG00000039697	Ncoa7	9030406N13Rik	nuclear receptor coactivator 7	protein-coding	36.08	40.48	30.79
chr1-9391	chr1	51591512	51593120	+	50.4	40.266999999999996	Intergenic	Intergenic	-113917.0	NM_028696	109019.0	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	50.85	57.48	47.33
chr16-40979	chr16	52131500	52133656	+	50.3	27.416999999999998	intron (NM_001033238, intron 5 of 17)	intron (NM_001033238, intron 5 of 17)	101029.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	57.38	42.84	49.22
chr3-20959	chr3	129830277	129832047	+	50.1	99.663	5' UTR (NM_026578, exon 1 of 7)	5' UTR (NM_026578, exon 1 of 7)	234.0	NM_026578	68147.0	Mm.24873	NM_026578	ENSMUSG00000028010	Gar1	AA409823|AI326794|C430047J18Rik|Nola1	GAR1 ribonucleoprotein homolog (yeast)	protein-coding	52.23	62.87	42.93
chr3-7339	chr3	101603169	101605069	+	49.9	48.923	intron (NM_144900, intron 1 of 22)	CpG	588.0	NM_144900	11928.0	Mm.280103	NM_144900	ENSMUSG00000033161	Atp1a1	Atpa-1|BC010319	ATPase, Na+/K+ transporting, alpha 1 polypeptide	protein-coding	55.32	60.28	41.89
chr3-3961	chr3	108458662	108459944	+	49.7	31.767	intron (NM_001033304, intron 20 of 20)	(TC)n|Simple_repeat|Simple_repeat	-14044.0	NM_011319	20226.0	Mm.28688	NM_011319	ENSMUSG00000068739	Sars	Sars1|Strs|serRS	seryl-aminoacyl-tRNA synthetase	protein-coding	43.12	39.18	43.56
chr5-11033	chr5	148341716	148343444	+	49.6	63.643	intron (NM_007513, intron 6 of 12)	intron (NM_007513, intron 6 of 12)	57324.0	NM_007513	11987.0	Mm.275489	NM_007513	ENSMUSG00000041313	Slc7a1	4831426K01Rik|AI447493|Atrc-1|Atrc1|Cat1|Rec-1|Rev-1|mCAT-1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	protein-coding	62.71	40.69	44.61
chr8-5180	chr8	94734732	94736098	+	49.4	41.22	Intergenic	B1_Mus2|SINE|Alu	-10269.0	NM_009137	20299.0	Mm.12895	NM_009137	ENSMUSG00000031779	Ccl22	ABCD-1|DCBCK|MDC|Scya22	chemokine (C-C motif) ligand 22	protein-coding	58.59	42.41	49.01
chr16-32483	chr16	52180335	52183267	+	49.2	22.943	intron (NM_001033238, intron 13 of 17)	intron (NM_001033238, intron 13 of 17)	150252.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	55.15	40.26	45.45
chr10-14992	chr10	117062445	117064289	+	49.1	102.82700000000001	intron (NM_007636, intron 1 of 15)	CpG	447.0	NM_007636	12461.0	Mm.247788	NM_007636	ENSMUSG00000034024	Cct2	Cctb	chaperonin containing Tcp1, subunit 2 (beta)	protein-coding	45.53	60.71	33.51
chr1-19086	chr1	60973571	60975413	+	49.1	37.626999999999995	Intergenic	Intergenic	-3422.0	NM_017480	54167.0	Mm.42044	NM_017480	ENSMUSG00000026009	Icos	AILIM|CCLP|CRP-1|H4|Ly115	inducible T cell co-stimulator	protein-coding	47.76	58.78	38.33
chr16-5368	chr16	45352419	45353301	+	49.1	119.81	Intergenic	Intergenic	56193.0	NM_010818	17470.0	Mm.245851	NM_010818	ENSMUSG00000022661	Cd200	Mox2|OX2	CD200 antigen	protein-coding	36.94	85.9	31.2
chr11-3816	chr11	53784954	53786024	+	48.6	75.507	TTS (NR_033332)	TTS (NR_033332)	15016.0	NM_001159396	16362.0	Mm.105218	NM_008390	ENSMUSG00000018899	Irf1	AU020929|Irf-1	interferon regulatory factor 1	protein-coding	47.42	49.09	36.86
chr12-7967	chr12	110695007	110697057	+	48.0	54.86	intron (NM_010480, intron 1 of 10)	CpG	363.0	NM_010480	15519.0	Mm.1843	NM_010480	ENSMUSG00000021270	Hsp90aa1	86kDa|89kDa|AL024080|AL024147|Hsp86-1|Hsp89|Hsp90|Hspca|hsp4	heat shock protein 90, alpha (cytosolic), class A member 1	protein-coding	37.45	54.69	32.04
chr4-15788	chr4	63868948	63871210	+	47.4	26.923000000000002	Intergenic	Intergenic	-8795.0	NM_009403	21949.0	Mm.4664	NM_009403	0	Tnfsf8	CD153|CD30LG|Cd30l	tumor necrosis factor (ligand) superfamily, member 8	protein-coding	46.04	57.27	35.6
chr3-6403	chr3	135628494	135630190	+	47.4	38.306999999999995	intron (NM_008689, intron 6 of 24)	intron (NM_008689, intron 6 of 24)	62205.0	NM_008689	18033.0	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	44.33	72.13	32.88
chr13-22786	chr13	9026498	9028612	+	46.8	28.583000000000002	Intergenic	Intergenic	-31543.0	NM_027000	69237.0	Mm.41800	NM_027000	ENSMUSG00000021149	Gtpbp4	2610028C09Rik|Crfg|Gtpbp3|NGB|Nog1	GTP binding protein 4	protein-coding	51.03	40.91	47.75
chr11-14845	chr11	51615308	51616334	+	46.1	109.85	Intergenic	Intergenic	-3952.0	NM_026631	52530.0	Mm.28203	NM_026631	ENSMUSG00000001056	Nhp2	2410130M07Rik|D11Ertd175e|Nola2	NHP2 ribonucleoprotein	protein-coding	46.39	37.89	37.28
chr15-25255	chr15	101245987	101247715	+	45.3	63.387	Intergenic	Intergenic	-19995.0	NM_010444	15370.0	Mm.119	NM_010444	ENSMUSG00000023034	Nr4a1	GFRP1|Gfrp|Hbr-1|Hbr1|Hmr|N10|NGFI-B|NGFIB|NP10|TIS1|TR3|nur77	nuclear receptor subfamily 4, group A, member 1	protein-coding	48.45	52.53	40.84
chr3-5611	chr3	37151872	37153044	+	44.1	23.393	Intergenic	Intergenic	-26504.0	NM_008366	16183.0	Mm.14190	NM_008366	ENSMUSG00000027720	Il2	Il-2	interleukin 2	protein-coding	41.06	54.04	33.3
chr11-14559	chr11	57957711	57958865	+	44.0	38.023	Intergenic	ID_B1|SINE|B4	-50776.0	NM_028451	73158.0	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding	37.11	46.5	39.16
chr10-4238	chr10	127063416	127064980	+	43.8	27.353	intron (NM_009870, intron 1 of 7)	intron (NM_009870, intron 1 of 7)	595.0	NM_009870	12567.0	Mm.6839	NM_009870	0	Cdk4	Crk3	cyclin-dependent kinase 4	protein-coding	41.06	52.1	37.49
chr19-6371	chr19	46075897	46077385	+	43.3	36.573	intron (NM_001039351, intron 1 of 12)	intron (NM_001039351, intron 1 of 12)	794.0	NM_001039353	70769.0	Mm.402190	NM_053086	ENSMUSG00000015176	Nolc1	NOPP130|NOPP140|P130	nucleolar and coiled-body phosphoprotein 1	protein-coding	37.11	60.07	36.44
chr2-73533	chr2	167056851	167059523	+	43.2	18.907	intron (NM_001033196, intron 2 of 13)	intron (NM_001033196, intron 2 of 13)	-4747.0	NM_001081005	68949.0	Mm.391959	NM_001081005	ENSMUSG00000074578	1500012F01Rik	Zfas1	RIKEN cDNA 1500012F01 gene	protein-coding	49.82	32.94	41.26
chr16-14890	chr16	51806701	51808379	+	42.5	55.007	Intergenic	Intergenic	-224009.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	39.17	54.47	25.97
chr1-24388	chr1	167283511	167284961	+	42.1	37.573	intron (NM_030724, intron 1 of 6)	CpG	891.0	NM_030724	80914.0	Mm.280895	NM_030724	ENSMUSG00000026558	Uck2	AA407809|AI481316|AU018180|AU020720|TSA903|UK|UMK|Umpk	uridine-cytidine kinase 2	protein-coding	32.3	54.69	26.39
chr18-16812	chr18	34926216	34928770	+	41.8	19.257	intron (NM_144866, intron 2 of 10)	intron (NM_144866, intron 2 of 10)	4510.0	NM_144866	225363.0	Mm.329353	NM_144866	ENSMUSG00000024360	Etf1	AI463371|D6Ertd109e|ERF|ERF1|SUP45L1|TB3-1	eukaryotic translation termination factor 1	protein-coding	48.28	29.93	39.58
chr17-2074	chr17	29431291	29432675	+	41.2	38.647	Intergenic	Intergenic	-59062.0	NM_008842	18712.0	Mm.405293	NM_008842	0	Pim1	Pim-1	proviral integration site 1	protein-coding	51.37	40.48	39.58
chr11-20058	chr11	99125968	99127556	+	40.6	23.726999999999997	Intergenic	Intergenic	28315.0	NM_007719	12775.0	Mm.2932	NM_007719	ENSMUSG00000037944	Ccr7	CD197|Cdw197|Cmkbr7|EBI1|Ebi1h	chemokine (C-C motif) receptor 7	protein-coding	39.52	35.74	46.28
chr1-20433	chr1	51525351	51527025	+	40.5	49.34	Intergenic	Intergenic	-47789.0	NM_028696	109019.0	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	33.33	53.61	32.04
chr17-2899	chr17	51812959	51814399	+	39.6	28.67	intron (NM_001163632, intron 1 of 10)	intron (NM_001163632, intron 1 of 10)	-1625.0	NM_001163630	20230.0	Mm.311655	NM_009122	ENSMUSG00000023927	Satb1	2610306G12Rik|AW413156	special AT-rich sequence binding protein 1	protein-coding	27.49	34.02	20.11
chr2-89962	chr2	152808464	152810618	+	39.5	16.52	intron (NM_001289717, intron 2 of 2)	intron (NM_001289717, intron 2 of 2)	21176.0	NM_001289739	12048.0	Mm.238213	NM_009743	ENSMUSG00000007659	Bcl2l1	Bcl(X)L|Bcl-XL|Bcl2l|BclX|bcl-x|bcl2-L-1	BCL2-like 1	protein-coding	38.14	54.69	39.16
chr9-30540	chr9	78488590	78489768	+	39.3	78.10300000000001	Intergenic	Intergenic	-7455.0	NM_010106	13627.0	Mm.138471	NM_010106	ENSMUSG00000037742	Eef1a1	-	eukaryotic translation elongation factor 1 alpha 1	protein-coding	45.7	43.92	34.14
chr4-15282	chr4	129058929	129060469	+	39.2	26.243000000000002	intron (NM_029219, intron 1 of 8)	intron (NM_029219, intron 1 of 8)	1428.0	NM_029219	75234.0	Mm.259672	NM_029219	ENSMUSG00000028793	Rnf19b	4930534K13Rik|4930555L03Rik|Ibrdc3	ring finger protein 19B	protein-coding	35.05	51.89	27.85
chr5-22305	chr5	148376930	148378850	+	39.0	33.86	intron (NM_007513, intron 1 of 12)	intron (NM_007513, intron 1 of 12)	22014.0	NM_007513	11987.0	Mm.275489	NM_007513	ENSMUSG00000041313	Slc7a1	4831426K01Rik|AI447493|Atrc-1|Atrc1|Cat1|Rec-1|Rev-1|mCAT-1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1	protein-coding	33.5	49.95	32.46
chr7-5556	chr7	45465949	45467231	+	38.9	37.626999999999995	intron (NM_007527, intron 1 of 5)	CpG	308.0	NM_007527	12028.0	Mm.19904	NM_007527	ENSMUSG00000003873	Bax	-	BCL2-associated X protein	protein-coding	31.27	57.05	30.37
chr6-101131	chr6	124687637	124689389	+	38.9	26.997	intron (NM_145130, intron 1 of 12)	intron (NM_145130, intron 1 of 12)	23665.0	NM_013536	14791.0	Mm.6390	NM_013536	ENSMUSG00000004268	Emg1	C2f|Grcc2f	EMG1 nucleolar protein homolog (S. cerevisiae)	protein-coding	39.34	36.6	43.56
chr17-19048	chr17	80168760	80170574	+	38.8	39.023	intron (NM_176963, intron 4 of 6)	intron (NM_176963, intron 4 of 6)	37638.0	NR_036615	225027.0	Mm.292016	NM_146083	ENSMUSG00000024097	Srsf7	35kDa|9430065L19Rik|9G8|NX-96|Sfrs7	serine/arginine-rich splicing factor 7	protein-coding	44.15	41.55	37.07
chr19-7095	chr19	10809103	10811073	+	38.7	12.972999999999999	intron (NM_009852, intron 1 of 12)	RMER10A|LTR|ERVL	19970.0	NM_001037801	12511.0	Mm.290897	NM_009852	ENSMUSG00000024670	Cd6	-	CD6 antigen	protein-coding	34.36	29.93	37.49
chr16-8848	chr16	92059129	92060255	+	38.7	32.77	intron (NM_080456, intron 1 of 2)	intron (NM_080456, intron 1 of 2)	1356.0	NM_080456	121022.0	Mm.217354	NM_080456	ENSMUSG00000039680	Mrps6	AW046321	mitochondrial ribosomal protein S6	protein-coding	30.58	63.3	25.76
chr9-2930	chr9	66887585	66888765	+	38.6	53.887	intron (NM_173413, intron 1 of 7)	intron (NM_173413, intron 1 of 7)	31530.0	NM_173413	235442.0	Mm.260376	NM_173413	ENSMUSG00000036943	Rab8b	5930437D16|D330025I23Rik	RAB8B, member RAS oncogene family	protein-coding	44.15	36.82	29.53
chr3-46226	chr3	37680322	37681590	+	38.5	30.2	Intergenic	B4|SINE|B4	41006.0	NM_011896	24063.0	Mm.330986	NM_011896	ENSMUSG00000037211	Spry1	sprouty1	sprouty homolog 1 (Drosophila)	protein-coding	12.71	97.96	8.59
chr7-22559	chr7	125616672	125618864	+	38.3	17.2	intron (NM_021887, intron 1 of 8)	intron (NM_021887, intron 1 of 8)	14339.0	NM_021887	60504.0	Mm.155643	NM_021887	ENSMUSG00000030745	Il21r	NILR	interleukin 21 receptor	protein-coding	42.78	28.85	44.19
chr10-18891	chr10	75847486	75849206	+	37.9	29.68	Intergenic	Intergenic	11904.0	NM_010798	17319.0	Mm.2326	NM_010798	ENSMUSG00000033307	Mif	GIF|Glif	macrophage migration inhibitory factor	protein-coding	41.75	33.37	38.74
chr6-9311	chr6	83316534	83317880	+	37.5	52.027	intron (NM_008638, intron 1 of 7)	intron (NM_008638, intron 1 of 7)	397.0	NM_008638	17768.0	Mm.443	NM_008638	ENSMUSG00000005667	Mthfd2	AW558851|NMDMC	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	protein-coding	28.69	58.99	24.5
chr3-5409	chr3	135602556	135603776	+	36.9	51.507	intron (NM_008689, intron 16 of 24)	intron (NM_008689, intron 16 of 24)	88381.0	NM_008689	18033.0	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	33.33	43.28	36.02
chr8-16719	chr8	121905540	121907014	+	36.7	28.86	intron (NM_011404, intron 1 of 9)	intron (NM_011404, intron 1 of 9)	1409.0	NM_011404	20539.0	Mm.27943	NM_011404	ENSMUSG00000040010	Slc7a5	4F2LC|D0H16S474E|LAT1|TA1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	protein-coding	32.99	46.5	29.74
chr16-3845	chr16	52006309	52007599	+	36.6	18.38	Intergenic	Intergenic	-24595.0	NM_001033238	208650.0	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	35.74	39.83	29.53
chr2-5277	chr2	93445175	93446185	+	36.2	20.88	intron (NM_001136055, intron 1 of 9)	MIRb|SINE|MIR	6992.0	NM_001271462	12521.0	Mm.4261	NM_007656	ENSMUSG00000027215	Cd82	AA682076|AL023070|C33|IA4|Kai1|Tspan27	CD82 antigen	protein-coding	33.16	38.32	36.86
chr14-4354	chr14	52106408	52107412	+	35.6	48.53	Intergenic	Intergenic	-2882.0	NM_001170984	15381.0	Mm.427321	NM_016884	ENSMUSG00000060373	Hnrnpc	AL022939|D14Wsu171e|Hnrpc|Hnrpc1|Hnrpc2|hnRNPC1|hnRNPC2|hnrnp-C	heterogeneous nuclear ribonucleoprotein C	protein-coding	39.52	41.34	27.43
chr5-567	chr5	135794418	135795044	+	35.3	94.79	Intergenic	Intergenic	16082.0	NM_008617	17448.0	Mm.297096	NM_008617	ENSMUSG00000019179	Mdh2	MDH|Mdh-2|Mor-1|Mor1	malate dehydrogenase 2, NAD (mitochondrial)	protein-coding	28.18	25.84	23.87
chr18-8277	chr18	38422178	38424788	+	35.3	14.79	intron (NM_022996, intron 1 of 7)	L1MB3|LINE|L1	4508.0	NM_022996	65113.0	Mm.102496	NM_022996	ENSMUSG00000024425	Ndfip1	0610010M22Rik|N4wbp5	Nedd4 family interacting protein 1	protein-coding	36.08	40.91	30.37
chr9-80338	chr9	66896112	66897866	+	35.1	23.416999999999998	intron (NM_173413, intron 1 of 7)	intron (NM_173413, intron 1 of 7)	22716.0	NM_173413	235442.0	Mm.260376	NM_173413	ENSMUSG00000036943	Rab8b	5930437D16|D330025I23Rik	RAB8B, member RAS oncogene family	protein-coding	39.34	38.11	31.0
chr14-5839	chr14	78319212	78320464	+	34.7	19.11	Intergenic	Intergenic	-11795.0	NM_011613	21943.0	Mm.249221	NM_011613	ENSMUSG00000022015	Tnfsf11	Ly109l|ODF|OPG|OPGL|RANKL|Trance	tumor necrosis factor (ligand) superfamily, member 11	protein-coding	35.05	29.71	33.51
chr11-37334	chr11	69918927	69920645	+	34.7	43.223	intron (NM_001166593, intron 1 of 6)	intron (NM_001166593, intron 1 of 6)	844.0	NM_001166590	276770.0	Mm.18026	NM_181582	ENSMUSG00000078812	Eif5a	AA410058|D19Wsu54e|Eif4d|Eif5a1|eIF-4D|eIF-5A|eIF-5A-1|eIF-5A1	eukaryotic translation initiation factor 5A	protein-coding	32.81	43.06	29.95
chr6-4811	chr6	140678321	140679329	+	34.4	46.313	Intergenic	Intergenic	54527.0	NM_009637	11569.0	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding	29.38	42.84	23.25
chrX-499	chrX	75095587	75096563	+	34.4	60.983000000000004	5' UTR (NM_001030307, exon 1 of 15)	5' UTR (NM_001030307, exon 1 of 15)	221.0	NM_001030307	245474.0	Mm.291062	NM_001030307	ENSMUSG00000031403	Dkc1	BC068171	dyskeratosis congenita 1, dyskerin	protein-coding	33.5	46.5	22.2
chr16-7423	chr16	91917559	91918451	+	34.3	115.87	3' UTR (NM_010587, exon 39 of 39)	3' UTR (NM_010587, exon 39 of 39)	13625.0	NM_138597	28080.0	Mm.41	NM_138597	ENSMUSG00000022956	Atp5o	ATPO|D12Wsu28e|OSCP	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit	protein-coding	34.19	40.48	26.39
chr3-52093	chr3	135711094	135713778	+	34.0	15.37	Intergenic	MTC|LTR|ERVL-MaLR	-20889.0	NM_008689	18033.0	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	15.46	63.3	12.98
chr3-5087	chr3	87909899	87911075	+	33.9	27.503	intron (NM_008231, intron 1 of 5)	intron (NM_008231, intron 1 of 5)	4166.0	NM_008231	15191.0	Mm.292208	NM_008231	ENSMUSG00000004897	Hdgf	AI118077|D3Ertd299e	hepatoma-derived growth factor	protein-coding	29.04	23.68	25.13
chr2-16210	chr2	155825597	155826565	+	33.9	33.913000000000004	intron (NM_010579, intron 2 of 5)	intron (NM_010579, intron 2 of 5)	844.0	NM_010579	16418.0	Mm.271674	NM_010579	ENSMUSG00000027613	Eif6	1110004P11|AA408895|CAB|Itgb4bp|eIF-6|imc-415|p27(BBP)|p27BBP	eukaryotic translation initiation factor 6	protein-coding	29.04	40.26	28.48
chr4-5885	chr4	119292418	119293468	+	33.8	51.253	intron (NM_011732, intron 2 of 7)	intron (NM_011732, intron 2 of 7)	1570.0	NM_011732	22608.0	Mm.258204	NM_011732	ENSMUSG00000028639	Ybx1	1700102N10Rik|C79409|EF1A|MSY1|Nsep1|YB-1|dbpB|mYB-1a	Y box protein 1	protein-coding	29.55	29.93	26.39
chr11-16130	chr11	46374889	46376269	+	33.7	24.47	intron (NM_001281966, intron 1 of 16)	intron (NM_001281966, intron 1 of 16)	13936.0	NM_001281968	16428.0	Mm.339927	NM_010583	ENSMUSG00000020395	Itk	Emt|Tcsk|Tsk	IL2 inducible T cell kinase	protein-coding	19.59	29.07	21.99
chr18-13767	chr18	82558334	82559628	+	33.7	18.073	TTS (NM_001025245)	TTS (NM_001025245)	4473.0	NM_001025254	17196.0	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	30.41	37.68	28.69
chr1-26943	chr1	51528871	51530315	+	33.7	22.623	Intergenic	Intergenic	-51194.0	NM_028696	109019.0	Mm.196290	NM_028696	ENSMUSG00000026107	Nabp1	4930434H03Rik|4930442A21Rik|4930488J04Rik|4933440J18Rik|5830411E10Rik|AI852561|Nbp1|Obfc2a|Ssb2	nucleic acid binding protein 1	protein-coding	37.63	31.22	29.53
