PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K4me2/AND-CD4TCell-ChIP-H3K4me2-All-Conditions-KAA-14-10-20/regions.txt mm10 -size given -d AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	0.1uM PCC	100uM K99A	10uM K99A	10uM PCC	No Peptide
chr2-23182	chr2	164941546	164944710	+	107.4	29.283	Intergenic	Intergenic	-5091	NM_013599	17395	Mm.4406	NM_013599	ENSMUSG00000017737	Mmp9	AW743869|B/MMP9|Clg4b|MMP-9|pro-MMP-9	matrix metallopeptidase 9	protein-coding	119.79	109.15	108.12	92.42	108.46
chr9-2456	chr9	7763795	7765217	+	106.9	36.473	intron (NM_133739, intron 1 of 4)	intron (NM_133739, intron 1 of 4)	429	NM_133739	71929	Mm.283293	NM_133739	ENSMUSG00000050912	Tmem123	2310075C12Rik	transmembrane protein 123	protein-coding	56.19	44.11	73.45	44.48	95.95
chr7-12308	chr7	64010643	64012757	+	104.6	61.56	Intergenic	Intergenic	-72785	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding	111.14	101.8	107.21	83.76	110.97
chr8-8420	chr8	119811931	119814297	+	103.5	27.163	intron (NM_028071, intron 3 of 3)	intron (NM_028071, intron 3 of 3)	27465	NM_028071	72042	Mm.393405	NM_028071	ENSMUSG00000031827	Cotl1	1810074P22Rik|2010004C08Rik|Clp	coactosin-like 1 (Dictyostelium)	protein-coding	111.14	86.53	118.15	90.69	108.46
chr2-36857	chr2	157117931	157121281	+	102.0	13.517000000000001	intron (NM_001139520, intron 6 of 16)	intron (NM_001139520, intron 6 of 16)	15616	NM_001139520	56045	Mm.248478	NM_018851	ENSMUSG00000027639	Samhd1	E330031J07Rik|Mg11	SAM domain and HD domain, 1	protein-coding	109.91	76.91	102.19	67.58	114.3
chr2-19716	chr2	148874263	148876375	+	101.8	16.663	exon (NM_009976, exon 1 of 3)	exon (NM_009976, exon 1 of 3)	149	NM_009976	13010	Mm.4263	NM_009976	ENSMUSG00000027447	Cst3	CysC	cystatin C	protein-coding	106.82	83.7	104.01	70.47	119.31
chr14-6105	chr14	64439368	64441790	+	101.5	41.13	intron (NM_001253715, intron 1 of 4)	CpG	447	NM_001253715	110265	Mm.26713	NM_026322	ENSMUSG00000054733	Msra	2310045J23Rik|6530413P12Rik|MSR-A	methionine sulfoxide reductase A	protein-coding	107.44	84.83	124.08	83.18	111.8
chr8-4334	chr8	13648146	13650540	+	100.4	20.07	intron (NM_009025, intron 1 of 23)	L1M4|LINE|L1	28244	NM_009025	19414	Mm.18517	NM_009025	ENSMUSG00000031453	Rasa3	AI326412|C86362|E130011G04|GAPIII|scat	RAS p21 protein activator 3	protein-coding	102.5	104.63	94.89	98.78	107.63
chr6-3320	chr6	42349699	42351417	+	99.1	18.29	intron (NM_001289619, intron 2 of 8)	intron (NM_001289619, intron 2 of 8)	730	NM_001289619	22793	Mm.282303	NM_011777	ENSMUSG00000029860	Zyx	9530098H06Rik|R75157	zyxin	protein-coding	86.44	36.76	78.01	47.37	85.94
chr14-4104	chr14	47394964	47396738	+	99.1	31.32	exon (NM_144553, exon 14 of 19)	exon (NM_144553, exon 14 of 19)	21991	NM_001145953	16854	Mm.248615	NM_010705	ENSMUSG00000050335	Lgals3	GBP|L-34|Mac-2|gal3	lectin, galactose binding, soluble 3	protein-coding	103.73	82.57	109.49	88.96	101.79
chr7-22907	chr7	63998373	64000533	+	98.6	30.026999999999997	Intergenic	Intergenic	-60538	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding	101.88	79.74	99.91	95.89	130.99
chr10-9457	chr10	78424785	78427091	+	98.4	42.533	intron (NM_007793, intron 1 of 2)	CpG	268	NM_007793	13014	Mm.6095	NM_007793	ENSMUSG00000005054	Cstb	AA960480|Stfb	cystatin B	protein-coding	108.67	79.74	103.1	84.91	107.63
chr13-18056	chr13	55016262	55019578	+	97.9	9.607000000000001	intron (NM_001206392, intron 1 of 17)	intron (NM_001206392, intron 1 of 17)	2899	NM_001206391	212032	Mm.267479	NM_001033245	ENSMUSG00000025877	Hk3	HK III|HK-III	hexokinase 3	protein-coding	98.79	86.53	112.22	77.4	146.01
chr9-6572	chr9	107623894	107625630	+	97.2	45.21	intron (NM_008138, intron 1 of 8)	intron (NM_008138, intron 1 of 8)	10580	NM_008138	14678	Mm.196464	NM_008138	ENSMUSG00000032562	Gnai2	C76432|Galphai2|Gia|Gnai-2	guanine nucleotide binding protein (G protein), alpha inhibiting 2	protein-coding	106.82	87.66	98.99	90.11	105.13
chr16-14774	chr16	10991556	10993794	+	95.3	27.57	intron (NM_019980, intron 1 of 3)	CpG	446	NM_019980	56722	Mm.294753	NM_019980	ENSMUSG00000022500	Litaf	3222402J11Rik|C85531|N4WBP3|TBX1	LPS-induced TN factor	protein-coding	101.26	65.6	110.86	76.25	120.98
chr10-21164	chr10	84577005	84579069	+	94.7	27.21	intron (NM_146008, intron 1 of 9)	intron (NM_146008, intron 1 of 9)	1090	NM_146008	216198	Mm.296142	NM_146008	ENSMUSG00000020034	Tcp11l2	E430026E19Rik	t-complex 11 (mouse) like 2	protein-coding	109.29	67.87	110.86	64.7	106.79
chr9-23147	chr9	42096656	42098774	+	94.4	13.293	intron (NM_011436, intron 3 of 47)	intron (NM_011436, intron 3 of 47)	26574	NM_011436	20660	Mm.121920	NM_011436	0	Sorl1	2900010L19Rik|AI596264|AW261561|LR11|SorLA|gp250|mSorLA	sortilin-related receptor, LDLR class A repeats-containing	protein-coding	94.47	84.27	91.24	73.94	101.79
chr13-12037	chr13	55022017	55023689	+	93.9	63.413000000000004	Intergenic	Intergenic	-1468	NM_001033245	212032	Mm.267479	NM_001033245	ENSMUSG00000025877	Hk3	HK III|HK-III	hexokinase 3	protein-coding	102.5	85.4	98.54	73.36	116.81
chr1-8406	chr1	39904305	39908187	+	93.5	9.847000000000001	intron (NM_008696, intron 2 of 30)	intron (NM_008696, intron 2 of 30)	5333	NM_001252200	26921	Mm.491139	NM_008696	ENSMUSG00000026074	Map4k4	9430080K19Rik|AU043147|AU045934|AW046177|HGK|Nik	mitogen-activated protein kinase kinase kinase kinase 4	protein-coding	90.77	93.32	109.03	77.98	100.12
chr17-5645	chr17	24736339	24737885	+	93.3	57.763000000000005	TTS (NM_001163945)	TTS (NM_001163945)	470	NM_013759	27361	Mm.28212	NM_013759	ENSMUSG00000075705	Msrb1	D17Wsu82e|SELX|SelR|Sepr|Sepx1	methionine sulfoxide reductase B1	protein-coding	97.56	85.4	85.76	95.89	102.62
chr1-7508	chr1	193207370	193209384	+	93.0	58.69	Intergenic	Intergenic	-6831	NM_153137	215243	Mm.261259	NM_153137	ENSMUSG00000037318	Traf3ip3	6030423D04Rik|AI115021|T3jam	TRAF3 interacting protein 3	protein-coding	112.99	88.23	82.11	94.73	91.78
chr15-33197	chr15	82986959	82988803	+	91.3	79.0	Intergenic	Intergenic	35257	NM_001271414	74039	Mm.32584	NM_028728	0	Nfam1	4921501M20Rik|Cnaip	Nfat activating molecule with ITAM motif 1	protein-coding	96.32	72.96	114.96	74.52	127.65
chr6-4621	chr6	122763989	122765679	+	91.1	73.193	Intergenic	CpG	-22089	NM_011401	20527	Mm.395108	NM_011401	ENSMUSG00000003153	Slc2a3	AA408729|AL023014|AL024341|AU040424|C78366|Glut-3|Glut3	solute carrier family 2 (facilitated glucose transporter), member 3	protein-coding	83.97	53.73	107.66	77.4	140.17
chr5-42162	chr5	113840358	113842958	+	90.8	28.933000000000003	TTS (NM_011779)	TTS (NM_011779)	-11157	NM_009151	20345	Mm.332590	NM_009151	ENSMUSG00000048163	Selplg	CD162|Psgl-1|Psgl1|Selp1|Selpl	selectin, platelet (p-selectin) ligand	protein-coding	91.38	83.14	88.96	70.47	95.11
chr8-4257	chr8	72359183	72361705	+	90.7	20.17	intron (NM_007944, intron 21 of 23)	B3A|SINE|B2	41382	NM_008452	16598	Mm.26938	NM_008452	ENSMUSG00000055148	Klf2	Lklf	Kruppel-like factor 2 (lung)	protein-coding	74.71	78.05	101.27	73.36	108.46
chr5-24808	chr5	43779816	43782442	+	89.8	16.273	intron (NM_178729, intron 1 of 8)	intron (NM_178729, intron 1 of 8)	1020	NM_001159963	242960	Mm.25794	NM_178729	ENSMUSG00000039753	Fbxl5	Fbl4|Fir4	F-box and leucine-rich repeat protein 5	protein-coding	94.47	78.61	91.69	70.47	67.58
chr11-12195	chr11	80066485	80068899	+	88.5	14.92	intron (NM_001277106, intron 1 of 6)	intron (NM_001277106, intron 1 of 6)	13299	NM_001277106	54394	Mm.272093	NM_018776	ENSMUSG00000017561	Crlf3	BB164954|Creme9|Cytor4	cytokine receptor-like factor 3	protein-coding	92.0	78.61	80.29	79.14	114.3
chr12-7523	chr12	108629798	108632074	+	88.5	18.7	intron (NM_001163395, intron 1 of 12)	intron (NM_001163395, intron 1 of 12)	-4817	NM_001163396	14026	Mm.238841	NM_007965	ENSMUSG00000021262	Evl	AI528774	Ena-vasodilator stimulated phosphoprotein	protein-coding	93.85	92.75	82.11	94.16	81.76
chr3-6552	chr3	115728525	115730771	+	87.7	22.44	Intergenic	Intergenic	-14593	NM_007901	13609	Mm.982	NM_007901	ENSMUSG00000045092	S1pr1	AI849002|Edg1|Lpb1|S1p|S1p1	sphingosine-1-phosphate receptor 1	protein-coding	83.97	77.48	104.01	86.65	89.27
chr15-11816	chr15	76246040	76248224	+	87.2	46.46	intron (NM_023168, intron 1 of 6)	CpG	325	NM_023168	66168	Mm.41665	NM_023168	ENSMUSG00000022564	Grina	1110025J15Rik|Lag|Tmbim3	glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)	protein-coding	98.79	59.38	98.99	76.83	105.96
chr13-9556	chr13	75842755	75845311	+	86.7	9.472999999999999	intron (NM_053108, intron 1 of 2)	intron (NM_053108, intron 1 of 2)	4147	NM_053108	93692	Mm.25844	NM_053108	ENSMUSG00000021591	Glrx	C86710|D13Wsu156e|Glrx1|Grx1|TTase	glutaredoxin	protein-coding	72.24	60.51	74.36	59.5	74.26
chr15-13253	chr15	102223939	102225447	+	85.6	45.16	exon (NM_013566, exon 3 of 15)	exon (NM_013566, exon 3 of 15)	7242	NM_013566	16421	Mm.58	NM_013566	ENSMUSG00000001281	Itgb7	Ly69	integrin beta 7	protein-coding	96.94	57.12	81.66	57.19	94.28
chr11-12646	chr11	76013695	76015557	+	84.4	29.533	Intergenic	ID_B1|SINE|B4	13156	NM_029658	76566	Mm.34131	NM_029658	ENSMUSG00000020846	Fam101b	1500005K14Rik|RefilinB|cfm	family with sequence similarity 101, member B	protein-coding	80.27	71.82	98.08	69.32	100.95
chr5-12772	chr5	134241699	134244491	+	84.4	11.383	intron (NM_001080749, intron 26 of 32)	intron (NM_001080749, intron 26 of 32)	-13470	NM_010876	17969	Mm.425296	NM_010876	ENSMUSG00000015950	Ncf1	NCF-47K|NOXO2|Ncf-1|p47-phox|p47<phox>|p47phox	neutrophil cytosolic factor 1	protein-coding	79.03	72.39	86.68	56.61	158.52
chr19-6447	chr19	53163090	53165876	+	83.6	9.437000000000001	intron (NM_013758, intron 1 of 15)	L1_Mus2|LINE|L1	20486	NM_013758	27360	Mm.426080	NM_013758	ENSMUSG00000025026	Add3	AI463285|R75380	adducin 3 (gamma)	protein-coding	68.54	61.08	62.95	61.81	76.76
chr19-9979	chr19	57071957	57073831	+	83.1	35.61	intron (NM_001290813, intron 8 of 20)	intron (NM_001290813, intron 8 of 20)	46130	NM_001103178	226251	Mm.217161	NM_178688	ENSMUSG00000025085	Ablim1	2210411C18Rik|2610209L21Rik|4833406P10Rik|9330196J19Rik|AV079770|AW060987|AW215784|Limab1|mKIAA0059	actin-binding LIM protein 1	protein-coding	85.83	61.08	86.22	73.94	71.75
chr6-29799	chr6	88840491	88842567	+	82.3	29.03	intron (NM_030251, intron 1 of 11)	intron (NM_030251, intron 1 of 11)	406	NM_030251	80283	Mm.166858	NM_030251	ENSMUSG00000030083	Abtb1	AI847549|BC003234|BPOZ|EF1ABP	ankyrin repeat and BTB (POZ) domain containing 1	protein-coding	95.09	65.04	93.06	65.85	102.62
chr2-46294	chr2	32726701	32729289	+	81.1	25.747	intron (NM_001252547, intron 1 of 10)	B1_Mus1|SINE|Alu	306	NM_001252547	27387	Mm.9593	NM_013781	ENSMUSG00000059013	Sh2d3c	Chat|Nsp3|Shep1	SH2 domain containing 3C	protein-coding	96.94	63.34	93.52	70.47	80.93
chr9-15219	chr9	41950588	41952080	+	81.0	100.84700000000001	Intergenic	Intergenic	172955	NM_011436	20660	Mm.121920	NM_011436	0	Sorl1	2900010L19Rik|AI596264|AW261561|LR11|SorLA|gp250|mSorLA	sortilin-related receptor, LDLR class A repeats-containing	protein-coding	80.89	57.69	100.82	71.05	90.94
chrX-3299	chrX	155213625	155217079	+	80.9	16.793	intron (NM_001291865, intron 3 of 6)	intron (NM_001291865, intron 3 of 6)	1097	NM_001291865	20229	Mm.2734	NM_009121	ENSMUSG00000025283	Sat1	AA617398|SSAT|Sat	spermidine/spermine N1-acetyl transferase 1	protein-coding	100.03	58.25	94.43	84.34	79.26
chr15-4309	chr15	31165829	31167807	+	80.1	34.823	Intergenic	Intergenic	-57567	NM_146057	223453	Mm.222867	NM_146057	ENSMUSG00000039168	Dap	4921531N22Rik|AI789753|AU040360	death-associated protein	protein-coding	95.7	82.0	78.01	79.14	90.11
chr19-15402	chr19	57081607	57084443	+	79.7	20.477	intron (NM_001290813, intron 7 of 20)	intron (NM_001290813, intron 7 of 20)	35999	NM_001103178	226251	Mm.217161	NM_178688	ENSMUSG00000025085	Ablim1	2210411C18Rik|2610209L21Rik|4833406P10Rik|9330196J19Rik|AV079770|AW060987|AW215784|Limab1|mKIAA0059	actin-binding LIM protein 1	protein-coding	74.09	80.31	69.34	80.29	76.76
chr7-22353	chr7	45915957	45917935	+	79.7	50.687	3' UTR (NM_144801, exon 8 of 8)	3' UTR (NM_144801, exon 8 of 8)	3903	NM_001146346	13732	Mm.20829	NM_010129	ENSMUSG00000040212	Emp3	H-4|H4|HNMP-1|MI-35|Ymp	epithelial membrane protein 3	protein-coding	91.38	49.2	90.78	51.99	130.99
chr2-20422	chr2	22783419	22785295	+	79.7	47.75	intron (NM_019456, intron 1 of 13)	intron (NM_019456, intron 1 of 13)	10030	NM_019456	54519	Mm.14255	NM_019456	ENSMUSG00000026786	Apbb1ip	9930118P07Rik|Prp48	amyloid beta (A4) precursor protein-binding, family B, member 1 interacting protein	protein-coding	80.27	64.47	83.94	73.36	102.62
chr7-14361	chr7	126758835	126760785	+	78.5	34.26	exon (NM_011952, exon 1 of 9)	exon (NM_011952, exon 1 of 9)	184	NM_011952	26417	Mm.8385	NM_011952	ENSMUSG00000063065	Mapk3	Erk-1|Erk1|Ert2|Esrk1|Mnk1|Mtap2k|Prkm3|p44|p44erk1|p44mapk	mitogen-activated protein kinase 3	protein-coding	84.59	66.73	85.76	65.85	74.26
chr13-759	chr13	49188352	49190996	+	78.3	7.727	intron (NM_013610, intron 1 of 3)	intron (NM_013610, intron 1 of 3)	2127	NM_013610	18081	Mm.18503	NM_013610	ENSMUSG00000037966	Ninj1	AU024536	ninjurin 1	protein-coding	56.81	55.42	56.57	46.79	53.4
chr1-35293	chr1	53790629	53793059	+	77.7	24.987	Intergenic	MIRb|SINE|MIR	-6629	NM_133810	98267	Mm.25559	NM_133810	ENSMUSG00000026094	Stk17b	3110009A03Rik|AI120141|Drak2	serine/threonine kinase 17b (apoptosis-inducing)	protein-coding	99.41	83.7	70.71	75.67	75.92
chr7-9709	chr7	18883634	18886062	+	77.7	27.503	exon (NM_009402, exon 1 of 3)	exon (NM_009402, exon 1 of 3)	158	NM_009402	21946	Mm.21855	NM_009402	ENSMUSG00000030413	Pglyrp1	PGRP|PGRP-S|Pglyrp|Tag7|Tasg7|Tnfsf3l	peptidoglycan recognition protein 1	protein-coding	86.44	73.52	78.92	78.56	102.62
chr9-25813	chr9	42122460	42125378	+	77.6	40.963	exon (NM_011436, exon 1 of 48)	exon (NM_011436, exon 1 of 48)	370	NM_011436	20660	Mm.121920	NM_011436	0	Sorl1	2900010L19Rik|AI596264|AW261561|LR11|SorLA|gp250|mSorLA	sortilin-related receptor, LDLR class A repeats-containing	protein-coding	79.03	60.51	88.5	60.65	89.27
chr9-16127	chr9	42033668	42035234	+	77.6	14.28	intron (NM_011436, intron 18 of 47)	B1F1|SINE|Alu	89838	NM_011436	20660	Mm.121920	NM_011436	0	Sorl1	2900010L19Rik|AI596264|AW261561|LR11|SorLA|gp250|mSorLA	sortilin-related receptor, LDLR class A repeats-containing	protein-coding	71.01	66.73	70.25	58.92	84.27
chr15-13961	chr15	6521955	6523597	+	77.3	44.36	Intergenic	Intergenic	-57071	NM_011815	23880	Mm.170905	NM_011815	0	Fyb	ADAP|B630013F22Rik|FYB-120/130|Slap130|p120/130|p120/p130	FYN binding protein	protein-coding	61.75	51.47	67.97	45.63	68.41
chr7-22087	chr7	64042170	64043864	+	77.2	36.707	Intergenic	Intergenic	-104102	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding	77.18	63.34	73.45	59.5	119.31
chr5-30497	chr5	124048865	124051515	+	77.1	18.183	Intergenic	Intergenic	-17930	NM_177876	330192	Mm.4079	NM_177876	ENSMUSG00000066278	Vps37b	2300007F24Rik|AI415429|BC026744	vacuolar protein sorting 37B (yeast)	protein-coding	83.97	69.56	94.89	86.07	105.13
chr2-40161	chr2	164937812	164939872	+	77.1	39.94	Intergenic	Intergenic	-9377	NM_013599	17395	Mm.4406	NM_013599	ENSMUSG00000017737	Mmp9	AW743869|B/MMP9|Clg4b|MMP-9|pro-MMP-9	matrix metallopeptidase 9	protein-coding	74.09	66.73	85.31	70.47	68.41
chr8-6896	chr8	14988321	14990447	+	76.7	15.263	intron (NM_001037736, intron 25 of 27)	intron (NM_001037736, intron 25 of 27)	-21641	NM_029116	74901	Mm.46675	NM_029116	ENSMUSG00000055675	Kbtbd11	2900016B01Rik|4930465M17Rik|mKIAA0711	kelch repeat and BTB (POZ) domain containing 11	protein-coding	79.03	69.0	62.95	74.52	79.26
chr7-9647	chr7	63989091	63991297	+	76.4	15.92	Intergenic	MTC|LTR|ERVL-MaLR	-51279	NM_021366	50794	Mm.240473	NM_021366	ENSMUSG00000052040	Klf13	0610043C13Rik|9430029L20Rik|Bteb3|FKLF-2|FKLF2|NSLP1|RFLAT-1|RFLAT1	Kruppel-like factor 13	protein-coding	60.51	65.04	62.04	64.12	88.44
chr1-1633	chr1	39917380	39918672	+	75.9	18.44	intron (NM_008696, intron 2 of 30)	URR1B|DNA|hAT-Charlie	17113	NM_001252200	26921	Mm.491139	NM_008696	ENSMUSG00000026074	Map4k4	9430080K19Rik|AU043147|AU045934|AW046177|HGK|Nik	mitogen-activated protein kinase kinase kinase kinase 4	protein-coding	87.68	66.73	75.73	62.96	77.59
chr4-11495	chr4	101212185	101214769	+	75.0	7.223	intron (NM_146145, intron 1 of 24)	B3|SINE|B2	51805	NM_146145	16451	Mm.289657	NM_146145	ENSMUSG00000028530	Jak1	AA960307|C130039L05Rik	Janus kinase 1	protein-coding	77.8	66.73	82.57	64.7	85.1
chr6-7059	chr6	42352860	42355090	+	74.9	19.527	intron (NM_001289619, intron 4 of 8)	(TG)n|Simple_repeat|Simple_repeat	4147	NM_001289619	22793	Mm.282303	NM_011777	ENSMUSG00000029860	Zyx	9530098H06Rik|R75157	zyxin	protein-coding	79.03	54.29	88.96	69.89	85.94
chr11-9968	chr11	52317892	52319582	+	74.6	40.367	Intergenic	Intergenic	-36166	NM_009331	21414	Mm.31630	NM_009331	ENSMUSG00000000782	Tcf7	AI465550|TCF-1|Tcf1	transcription factor 7, T cell specific	protein-coding	82.12	70.13	75.27	69.89	88.44
chr3-12257	chr3	115758080	115759672	+	74.3	39.667	Intergenic	Intergenic	-43821	NM_007901	13609	Mm.982	NM_007901	ENSMUSG00000045092	S1pr1	AI849002|Edg1|Lpb1|S1p|S1p1	sphingosine-1-phosphate receptor 1	protein-coding	82.74	59.95	76.64	68.16	85.94
chr2-17805	chr2	91087394	91089592	+	74.0	19.793	Intergenic	Intergenic	-8304	NM_011355	20375	Mm.1302	NM_011355	0	Spi1	Dis-1|Dis1|PU.1|Sfpi-1|Sfpi1|Spi-1|Tcfpu1|Tfpu.1	spleen focus forming virus (SFFV) proviral integration oncogene	protein-coding	81.5	71.82	64.78	60.65	82.6
chr16-4167	chr16	19976038	19978314	+	73.7	9.652999999999999	intron (NM_183390, intron 1 of 6)	MER58B|DNA|hAT-Charlie	5873	NM_183390	239743	Mm.86699	NM_183390	ENSMUSG00000043008	Klhl6	-	kelch-like 6	protein-coding	59.28	50.33	73.9	50.26	68.41
chr5-12915	chr5	149324538	149325940	+	73.7	30.826999999999998	Intergenic	ORR1F|LTR|ERVL-MaLR	60181	NM_009663	11690	Mm.19844	NM_009663	ENSMUSG00000060063	Alox5ap	Flap	arachidonate 5-lipoxygenase activating protein	protein-coding	68.54	54.29	74.82	67.01	85.94
chr4-4729	chr4	101244297	101245747	+	73.1	25.14	intron (NM_146145, intron 1 of 24)	intron (NM_146145, intron 1 of 24)	20260	NM_146145	16451	Mm.289657	NM_146145	ENSMUSG00000028530	Jak1	AA960307|C130039L05Rik	Janus kinase 1	protein-coding	79.65	57.12	77.55	58.92	90.94
chr19-4989	chr19	11512552	11514224	+	71.9	39.08	TTS (NM_001164202)	TTS (NM_001164202)	-5171	NM_027209	69774	Mm.436639	NM_027209	ENSMUSG00000024677	Ms4a6b	1810027D10Rik	membrane-spanning 4-domains, subfamily A, member 6B	protein-coding	77.18	57.12	71.62	69.89	90.94
chr8-11351	chr8	13623276	13624882	+	71.6	30.43	intron (NM_009025, intron 2 of 23)	intron (NM_009025, intron 2 of 23)	53508	NM_009025	19414	Mm.18517	NM_009025	ENSMUSG00000031453	Rasa3	AI326412|C86362|E130011G04|GAPIII|scat	RAS p21 protein activator 3	protein-coding	59.28	52.6	76.64	61.81	74.26
chr3-6053	chr3	115641728	115643318	+	71.1	66.263	Intergenic	Intergenic	72532	NM_007901	13609	Mm.982	NM_007901	ENSMUSG00000045092	S1pr1	AI849002|Edg1|Lpb1|S1p|S1p1	sphingosine-1-phosphate receptor 1	protein-coding	88.3	48.07	72.53	71.63	70.92
chr11-20092	chr11	3931037	3932657	+	70.6	52.203	intron (NM_001130458, intron 1 of 9)	C-rich|Low_complexity|Low_complexity	114	NM_001130459	21452	Mm.20948	NM_015749	ENSMUSG00000020432	Tcn2	AW208754|Tcn-2	transcobalamin 2	protein-coding	82.12	57.69	76.64	64.12	80.1
chr6-6734	chr6	86584371	86585893	+	69.7	30.523000000000003	Intergenic	Intergenic	-43042	NM_026414	67855	Mm.183043	NM_026414	ENSMUSG00000033508	Asprv1	2300003P22Rik|AA986851|SASP|SASPase|Taps	aspartic peptidase, retroviral-like 1	protein-coding	73.48	57.12	84.85	50.83	84.27
chr3-2678	chr3	93520015	93521683	+	69.2	41.427	intron (NM_016740, intron 1 of 2)	CpG	353	NM_016740	20195	Mm.280038	NM_016740	ENSMUSG00000027907	S100a11	EMAPI|Emap1|S100a14|S100c|cal	S100 calcium binding protein A11 (calgizzarin)	protein-coding	66.07	55.99	87.59	57.76	73.42
chrX-10691	chrX	140504464	140507328	+	69.1	22.49	Intergenic	Intergenic	36772	NR_122039	14605	Mm.22216	NM_010286	ENSMUSG00000031431	Tsc22d3	DIP|Dsip1|Gilz|TSC-22R|Tilz3	TSC22 domain family, member 3	protein-coding	77.18	62.21	66.15	68.74	87.6
chr11-4314	chr11	50025455	50027527	+	69.0	19.503	intron (NM_001290750, intron 1 of 7)	intron (NM_001290750, intron 1 of 7)	1160	NM_001290749	59044	Mm.359004	NM_021540	ENSMUSG00000020376	Rnf130	G1RZFP|G1rp|GOLIATH|GP	ring finger protein 130	protein-coding	67.3	56.56	64.78	60.07	75.92
chr15-24864	chr15	83033786	83036928	+	68.9	7.042999999999999	Intergenic	Intergenic	-1960	NM_001271412	74039	Mm.32584	NM_028728	0	Nfam1	4921501M20Rik|Cnaip	Nfat activating molecule with ITAM motif 1	protein-coding	79.03	60.51	74.36	58.92	72.59
chr2-31545	chr2	79086481	79087793	+	68.6	20.756999999999998	Intergenic	Intergenic	-168289	NM_010576	16401	Mm.31903	NM_010576	ENSMUSG00000027009	Itga4	CD49D|Itga4B	integrin alpha 4	protein-coding	68.54	50.33	75.27	51.99	72.59
chr8-8448	chr8	14984963	14986469	+	67.6	26.807	intron (NM_001037736, intron 25 of 27)	intron (NM_001037736, intron 25 of 27)	-25309	NM_029116	74901	Mm.46675	NM_029116	ENSMUSG00000055675	Kbtbd11	2900016B01Rik|4930465M17Rik|mKIAA0711	kelch repeat and BTB (POZ) domain containing 11	protein-coding	75.33	65.04	55.2	54.3	89.27
chr19-10872	chr19	6398029	6399559	+	66.7	34.343	TTS (NM_011224)	TTS (NM_011224)	-1789	NM_011242	19395	Mm.77017	NM_011242	ENSMUSG00000032946	Rasgrp2	CDC25L|Caldaggef1	RAS, guanyl releasing protein 2	protein-coding	81.5	50.33	69.34	54.88	75.92
chr7-24673	chr7	121058758	121060546	+	66.5	18.91	intron (NM_021554, intron 4 of 4)	intron (NM_021554, intron 4 of 4)	14878	NM_030691	80719	Mm.160384	NM_030691	ENSMUSG00000035004	Igsf6	-	immunoglobulin superfamily, member 6	protein-coding	71.62	57.69	66.6	59.5	85.94
chr8-11631	chr8	14965803	14968955	+	65.8	5.603	intron (NM_001037736, intron 17 of 27)	B1_Mus2|SINE|Alu	-43646	NM_029116	74901	Mm.46675	NM_029116	ENSMUSG00000055675	Kbtbd11	2900016B01Rik|4930465M17Rik|mKIAA0711	kelch repeat and BTB (POZ) domain containing 11	protein-coding	74.71	53.73	69.34	59.5	57.57
chr3-5978	chr3	93505819	93507119	+	65.5	35.957	Intergenic	Intergenic	-14027	NM_016740	20195	Mm.280038	NM_016740	ENSMUSG00000027907	S100a11	EMAPI|Emap1|S100a14|S100c|cal	S100 calcium binding protein A11 (calgizzarin)	protein-coding	71.01	53.73	73.45	47.37	93.44
chr2-18677	chr2	157138292	157140176	+	65.3	26.503	Intergenic	Intergenic	-4012	NM_018851	56045	Mm.248478	NM_018851	ENSMUSG00000027639	Samhd1	E330031J07Rik|Mg11	SAM domain and HD domain, 1	protein-coding	59.28	61.65	52.01	45.63	76.76
