PeakID (cmd=annotatePeaks.pl /data/mm10/CD4/ChIP/H3K4me2/AND-CD4TCell-ChIP-H3K4me2-All-Conditions-KAA-14-10-20/regions.txt mm10 -size given -d AND-CD4TCell-ChIP-H3K4me2-0_1uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-100uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-K99A-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-10uM-PCC-24h-Rep1-KAA-14-10-20 AND-CD4TCell-ChIP-H3K4me2-No-Peptide-24h-Rep1-KAA-14-10-20)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	0.1uM PCC	100uM K99A	10uM K99A	10uM PCC	No Peptide
chr6-5624	chr6	140706930	140709726	+	116.1	28.42	Intergenic	Intergenic	84030	NM_009637	11569	Mm.86453	NM_009637	ENSMUSG00000030232	Aebp2	AU023766|B230313N05Rik	AE binding protein 2	protein-coding	124.11	101.8	120.44	108.02	137.66
chr18-3702	chr18	34928861	34931447	+	115.5	26.22	intron (NM_144866, intron 2 of 10)	intron (NM_144866, intron 2 of 10)	1849	NM_144866	225363	Mm.329353	NM_144866	ENSMUSG00000024360	Etf1	AI463371|D6Ertd109e|ERF|ERF1|SUP45L1|TB3-1	eukaryotic translation termination factor 1	protein-coding	121.02	108.02	116.33	119.57	122.65
chr3-29278	chr3	130727705	130730775	+	115.4	12.837	exon (NM_001199350, exon 2 of 5)	exon (NM_001199350, exon 2 of 5)	1089	NM_001199350	619547	Mm.391636	NM_001199350	0	Rpl34-ps1	EG619547|ENSMUSG00000068396|Gm10239	ribosomal protein L34, pseudogene 1	protein-coding	136.46	102.93	123.63	114.37	107.63
chr11-11371	chr11	88047846	88050094	+	114.8	20.967	intron (NM_173374, intron 2 of 3)	intron (NM_173374, intron 2 of 3)	1597	NM_001078167	110809	Mm.391719	NM_173374	ENSMUSG00000018379	Srsf1	1110054N12Rik|5730507C05Rik|6330415C05Rik|AI482334|AW491331|Asf|Sf2|Sfrs1	serine/arginine-rich splicing factor 1	protein-coding	111.14	63.91	102.64	83.76	121.81
chr3-14030	chr3	130898877	130901413	+	114.8	21.467	Intergenic	Intergenic	-169747	NM_001005859	68436	Mm.140568	NM_026724	ENSMUSG00000062006	Rpl34	1100001I22Rik	ribosomal protein L34	protein-coding	115.46	82.0	105.84	80.87	106.79
chr1-16756	chr1	160245405	160248085	+	114.7	25.276999999999997	intron (NM_001038621, intron 4 of 8)	PB1D10|SINE|Alu	-33853	NM_009786	12301	Mm.10702	NM_009786	ENSMUSG00000014226	Cacybp	SIP	calcyclin binding protein	protein-coding	107.44	96.14	122.26	95.31	159.36
chr4-8231	chr4	48039341	48043003	+	114.5	10.207	Intergenic	Intergenic	-10076	NM_015743	18124	Mm.247261	NM_015743	ENSMUSG00000028341	Nr4a3	AI573420|CHN|CSMF|MINOR|NOR-1|Nor1|TEC	nuclear receptor subfamily 4, group A, member 3	protein-coding	128.43	100.67	112.22	118.99	104.29
chr7-31424	chr7	97399013	97401789	+	113.8	55.283	intron (NM_024220, intron 1 of 2)	intron (NM_024220, intron 1 of 2)	398	NM_024220	68197	Mm.334031	NM_024220	ENSMUSG00000030647	Ndufc2	1810004I06Rik|2010300P09Rik|G1|R75094	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2	protein-coding	99.41	100.67	119.98	97.62	105.13
chr1-22609	chr1	118320811	118323201	+	113.4	42.35	intron (NM_026472, intron 1 of 6)	CpG	163	NM_026472	67949	Mm.280311	NM_026472	ENSMUSG00000026377	Nifk	AI852665|C130020J04Rik|Mki67ip	nucleolar protein interacting with the FHA domain of MKI67	protein-coding	125.96	82.0	125.45	80.87	115.97
chr18-4339	chr18	82484212	82486868	+	113.2	20.616999999999997	intron (NM_001025245, intron 1 of 3)	intron (NM_001025245, intron 1 of 3)	10417	NM_001025245	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	122.26	118.2	105.38	118.42	93.44
chr7-36823	chr7	46830494	46834140	+	112.8	17.3	Intergenic	Intergenic	-13487	NM_010699	16828	Mm.29324	NM_010699	ENSMUSG00000063229	Ldha	Ldh1|Ldhm|l7R2	lactate dehydrogenase A	protein-coding	131.52	94.45	131.84	101.67	132.66
chr14-8406	chr14	56295643	56298331	+	112.8	43.946999999999996	Intergenic	Intergenic	-34727	NM_013542	14939	Mm.14874	NM_013542	ENSMUSG00000015437	Gzmb	AI553453|CCP-1/C11|CCP1|Ctla-1|Ctla1|GZB	granzyme B	protein-coding	135.84	106.32	114.05	93.0	112.63
chr4-31726	chr4	107878904	107881088	+	112.7	33.63	intron (NM_001282737, intron 1 of 4)	CpG	241	NM_001282737	17149	Mm.808	NM_010760	ENSMUSG00000028609	Magoh	Mago-m|Mos2	mago-nashi homolog, proliferation-associated (Drosophila)	protein-coding	137.07	92.75	113.59	112.64	124.32
chr6-11187	chr6	83314231	83316597	+	112.0	16.49	intron (NM_008638, intron 1 of 7)	intron (NM_008638, intron 1 of 7)	2190	NM_008638	17768	Mm.443	NM_008638	ENSMUSG00000005667	Mthfd2	AW558851|NMDMC	methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	protein-coding	111.76	70.69	100.36	106.86	32.54
chr3-17964	chr3	94885013	94887529	+	111.4	29.233	intron (NM_008945, intron 2 of 6)	intron (NM_008945, intron 2 of 6)	687	NM_008945	19172	Mm.368	NM_008945	ENSMUSG00000005779	Psmb4	Pros-27	proteasome (prosome, macropain) subunit, beta type 4	protein-coding	114.23	96.71	120.44	108.6	123.48
chr7-15252	chr7	114290144	114292906	+	111.3	37.077	Intergenic	Intergenic	-15409	NM_011965	26440	Mm.121265	NM_011965	ENSMUSG00000030751	Psma1	C2|HC2|Pros-30|alpha-type	proteasome (prosome, macropain) subunit, alpha type 1	protein-coding	104.35	100.1	119.98	99.35	120.14
chr16-12282	chr16	52092767	52095945	+	110.8	11.397	intron (NM_001033238, intron 3 of 17)	intron (NM_001033238, intron 3 of 17)	62807	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding	123.49	104.06	103.1	105.71	114.3
chr2-10485	chr2	61710806	61713062	+	110.7	31.43	intron (NM_021526, intron 1 of 11)	CpG	240	NM_021526	59029	Mm.218198	NM_021526	ENSMUSG00000026914	Psmd14	2610312C03Rik|3200001M20Rik|AA986732|Pad1|Poh1|rpm11	proteasome (prosome, macropain) 26S subunit, non-ATPase, 14	protein-coding	112.38	79.74	104.01	95.31	99.29
chr13-4292	chr13	30759466	30761672	+	110.1	19.053	intron (NM_013674, intron 7 of 8)	intron (NM_013674, intron 7 of 8)	11311	NM_013674	16364	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	152.51	110.85	111.31	123.62	78.43
chr10-15339	chr10	61647664	61650146	+	110.0	37.196999999999996	intron (NM_026438, intron 1 of 10)	CpG	284	NM_026438	67895	Mm.28897	NM_026438	ENSMUSG00000020089	Ppa1	2010317E03Rik|Pyp	pyrophosphatase (inorganic) 1	protein-coding	133.37	102.93	118.15	91.27	100.95
chr7-170	chr7	13025109	13026947	+	108.6	18.95	intron (NM_011588, intron 3 of 16)	intron (NM_011588, intron 3 of 16)	1876	NM_011588	21849	Mm.15701	NM_011588	ENSMUSG00000005566	Trim28	AA408787|KAP-1|KRIP-1|MommeD9|Tif1b|Tif1beta	tripartite motif-containing 28	protein-coding	124.11	91.05	122.72	126.5	92.61
chr18-9290	chr18	38482767	38484649	+	108.3	62.607	Intergenic	Intergenic	64733	NM_022996	65113	Mm.102496	NM_022996	ENSMUSG00000024425	Ndfip1	0610010M22Rik|N4wbp5	Nedd4 family interacting protein 1	protein-coding	104.35	84.83	108.57	92.42	123.48
chr18-4077	chr18	34932392	34934818	+	108.1	18.313	Intergenic	Intergenic	-1602	NM_144866	225363	Mm.329353	NM_144866	ENSMUSG00000024360	Etf1	AI463371|D6Ertd109e|ERF|ERF1|SUP45L1|TB3-1	eukaryotic translation termination factor 1	protein-coding	123.49	74.09	111.31	108.6	103.46
chr11-45076	chr11	93966620	93969540	+	107.6	13.657	intron (NM_008704, intron 1 of 4)	intron (NM_008704, intron 1 of 4)	441	NM_008704	18102	Mm.439702	NM_008704	0	Nme1	AL024257|NDPK-A|NM23-M1|NM23A	NME/NM23 nucleoside diphosphate kinase 1	protein-coding	114.85	84.83	116.79	99.93	126.82
chr14-10188	chr14	37133420	37136542	+	106.8	19.953	5' UTR (NM_001199122, exon 1 of 9)	5' UTR (NM_001199122, exon 1 of 9)	158	NM_001199122	66092	Mm.182912	NM_078478	ENSMUSG00000041028	Ghitm	1010001P14Rik|C77840|MICS1|PTD010|Tmbim5	growth hormone inducible transmembrane protein	protein-coding	113.61	73.52	117.24	92.42	105.13
chr1-15552	chr1	160210289	160212325	+	106.1	23.82	intron (NM_009786, intron 1 of 5)	L1MB7|LINE|L1	1585	NM_009786	12301	Mm.10702	NM_009786	ENSMUSG00000014226	Cacybp	SIP	calcyclin binding protein	protein-coding	135.22	72.96	102.64	112.06	91.78
chr10-4282	chr10	127310519	127312565	+	106.0	33.707	exon (NM_001003913, exon 1 of 21)	exon (NM_001003913, exon 1 of 21)	244	NM_001171582	216443	Mm.28173	NM_001003913	ENSMUSG00000040354	Mars	Metrs|Mtrns	methionine-tRNA synthetase	protein-coding	137.69	76.35	111.31	85.49	128.49
chr16-16411	chr16	10730833	10733581	+	105.9	20.59	intron (NM_177562, intron 22 of 22)	intron (NM_177562, intron 22 of 22)	53329	NM_009896	12703	Mm.130	NM_009896	ENSMUSG00000038037	Socs1	Cish1|Cish7|JAB|SOCS-1|SSI-1	suppressor of cytokine signaling 1	protein-coding	119.17	95.01	93.06	107.44	117.64
chr10-165	chr10	127063180	127064462	+	105.5	25.41	intron (NM_009870, intron 1 of 7)	CpG	218	NM_009870	12567	Mm.6839	NM_009870	0	Cdk4	Crk3	cyclin-dependent kinase 4	protein-coding	78.42	57.12	83.94	52.57	97.62
chr5-21106	chr5	134636997	134639489	+	102.0	12.837	intron (NM_033561, intron 1 of 6)	intron (NM_033561, intron 1 of 6)	1085	NM_033561	22384	Mm.27955	NM_033561	ENSMUSG00000040731	Eif4h	AU018978|D5Ertd355e|E430026L18Rik|Ef4h|Wbscr1|Wscr1|mKIAA0038	eukaryotic translation initiation factor 4H	protein-coding	108.05	80.31	104.01	80.29	85.1
chr13-6082	chr13	30543728	30546176	+	101.8	38.18	intron (NM_025710, intron 1 of 1)	CpG	364	NM_025710	66694	Mm.181933	NM_025710	ENSMUSG00000038462	Uqcrfs1	4430402G14Rik|AI875505	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	protein-coding	111.14	80.87	112.68	103.4	67.58
chr11-14708	chr11	53297787	53300095	+	101.5	26.68	intron (NM_008300, intron 1 of 18)	intron (NM_008300, intron 1 of 18)	1538	NM_008300	15525	Mm.239865	NM_008300	ENSMUSG00000020361	Hspa4	70kDa|AI317151|APG-2|Hsp110|Hsp70RY|mKIAA4025	heat shock protein 4	protein-coding	101.88	78.05	116.33	91.85	76.76
chr11-9878	chr11	57950496	57952330	+	101.4	31.453000000000003	Intergenic	MIRc|SINE|MIR	-57651	NM_028451	73158	Mm.248843	NM_028451	ENSMUSG00000037331	Larp1	1810024J12Rik|3110040D16Rik|Larp|mKIAA0731	La ribonucleoprotein domain family, member 1	protein-coding	80.89	66.17	75.27	61.23	77.59
chr8-7746	chr8	111034097	111036473	+	101.3	34.02	intron (NM_146217, intron 1 of 20)	(TTTA)n|Simple_repeat|Simple_repeat	1443	NM_146217	234734	Mm.24174	NM_146217	0	Aars	AI316495|C76919|sti	alanyl-tRNA synthetase	protein-coding	121.64	84.83	120.89	101.09	70.92
chr16-1092	chr16	20673171	20674683	+	100.8	46.84	exon (NM_145941, exon 2 of 33)	exon (NM_145941, exon 2 of 33)	1178	NM_145941	208643	Mm.260256	NM_145941	ENSMUSG00000045983	Eif4g1	E030015G23Rik|eIF4GI	eukaryotic translation initiation factor 4, gamma 1	protein-coding	111.76	65.04	89.41	84.34	98.45
chr9-7461	chr9	40801688	40804600	+	100.7	14.75	exon (NM_031165, exon 5 of 9)	exon (NM_031165, exon 5 of 9)	1871	NM_031165	15481	Mm.290774	NM_031165	ENSMUSG00000015656	Hspa8	2410008N15Rik|Hsc70|Hsc71|Hsc73|Hsp73|Hspa10	heat shock protein 8	protein-coding	115.46	73.52	117.7	86.07	104.29
chr4-578	chr4	152326416	152328040	+	99.4	24.09	intron (NR_102291, intron 1 of 4)	intron (NR_102291, intron 1 of 4)	1502	NM_001277114	19934	Mm.307846	NM_009079	ENSMUSG00000028936	Rpl22	2700038K18Rik	ribosomal protein L22	protein-coding	104.35	70.13	93.98	94.73	81.76
chr12-6677	chr12	17265736	17267836	+	98.4	45.583	intron (NM_027959, intron 1 of 12)	CpG	191	NM_027959	71853	Mm.222825	NM_027959	ENSMUSG00000020571	Pdia6	1700015E05Rik|AL023058|C77895|CaBP5|P5|Txndc7	protein disulfide isomerase associated 6	protein-coding	101.26	71.26	105.38	85.49	104.29
chr12-9502	chr12	55445594	55448130	+	98.0	36.277	intron (NR_035430, intron 1 of 3)	intron (NR_035430, intron 1 of 3)	45785	NM_010907	18035	Mm.170515	NM_010907	ENSMUSG00000021025	Nfkbia	AI462015|Nfkbi	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	protein-coding	98.17	92.18	111.77	86.65	98.45
chr1-16115	chr1	135820268	135823344	+	97.7	17.523	intron (NM_133664, intron 1 of 9)	intron (NM_133664, intron 1 of 9)	3208	NM_133664	16763	Mm.36726	NM_133664	ENSMUSG00000041782	Lad1	-	ladinin	protein-coding	93.24	97.84	132.3	94.16	20.86
chr11-25315	chr11	22990967	22992963	+	97.4	19.323	intron (NM_009837, intron 1 of 13)	B2_Mm2|SINE|B2	1372	NM_009837	12464	Mm.296985	NM_009837	ENSMUSG00000007739	Cct4	2610204B21Rik|A45|C78323|Cctd	chaperonin containing Tcp1, subunit 4 (delta)	protein-coding	114.23	91.05	102.64	101.09	88.44
chr2-9987	chr2	26911150	26912974	+	97.4	21.953000000000003	exon (NM_013721, exon 4 of 8)	exon (NM_013721, exon 4 of 8)	1255	NM_013721	27176	Mm.328601	NM_013721	ENSMUSG00000062647	Rpl7a	Surf3	ribosomal protein L7A	protein-coding	100.64	89.36	99.45	94.16	105.13
chr9-18532	chr9	20897297	20899109	+	97.1	36.683	intron (NM_016876, intron 2 of 10)	intron (NM_016876, intron 2 of 10)	387	NM_016876	53356	Mm.427309	NM_016876	ENSMUSG00000070319	Eif3g	44kDa|D0Jmb4|Eif3s4|TU-189B2|eIF3-p44|p44	eukaryotic translation initiation factor 3, subunit G	protein-coding	87.06	86.53	89.87	76.83	74.26
chr11-29465	chr11	97663715	97665555	+	96.9	59.097	intron (NM_139311, intron 1 of 19)	(AGGGGG)n|Simple_repeat|Simple_repeat	1223	NM_139311	246198	Mm.23685	NM_139311	ENSMUSG00000038437	Mllt6	AI315037|Af17	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6	protein-coding	105.58	67.3	100.36	82.6	123.48
chr18-8052	chr18	38439338	38441904	+	96.7	17.74	intron (NM_022996, intron 1 of 7)	intron (NM_022996, intron 1 of 7)	21646	NM_022996	65113	Mm.102496	NM_022996	ENSMUSG00000024425	Ndfip1	0610010M22Rik|N4wbp5	Nedd4 family interacting protein 1	protein-coding	104.97	95.58	93.98	90.11	77.59
chr10-8683	chr10	75530777	75533077	+	96.1	24.91	intron (NM_026095, intron 2 of 3)	intron (NM_026095, intron 2 of 3)	13885	NM_026095	67332	Mm.45151	NM_026095	ENSMUSG00000020180	Snrpd3	1700043E15Rik|2310009E13Rik|AW046420|SMD3	small nuclear ribonucleoprotein D3	protein-coding	88.3	87.09	90.33	76.83	101.79
chr4-2261	chr4	129058405	129060205	+	96.1	18.012999999999998	intron (NM_029219, intron 1 of 8)	intron (NM_029219, intron 1 of 8)	1034	NM_029219	75234	Mm.259672	NM_029219	ENSMUSG00000028793	Rnf19b	4930534K13Rik|4930555L03Rik|Ibrdc3	ring finger protein 19B	protein-coding	86.44	63.34	94.89	53.72	100.12
chr13-16111	chr13	98314222	98317006	+	95.1	25.243000000000002	intron (NM_001170540, intron 2 of 5)	(TAA)n|Simple_repeat|Simple_repeat	1353	NM_145455	218490	Mm.371688	NM_145455	ENSMUSG00000021660	Btf3	1700054E11Rik	basic transcription factor 3	protein-coding	98.17	73.52	97.17	93.0	60.91
chr11-25331	chr11	33160003	33163417	+	94.8	15.297	intron (NM_001252261, intron 1 of 9)	intron (NM_001252261, intron 1 of 9)	1496	NM_001252261	18148	Mm.485384	NM_008722	ENSMUSG00000057113	Npm1	B23|NO38|Npm	nucleophosmin 1	protein-coding	92.62	69.56	83.03	72.21	83.43
chr7-15105	chr7	125629583	125631555	+	94.6	27.793000000000003	intron (NM_021887, intron 7 of 8)	intron (NM_021887, intron 7 of 8)	27140	NM_021887	60504	Mm.155643	NM_021887	ENSMUSG00000030745	Il21r	NILR	interleukin 21 receptor	protein-coding	79.03	86.53	97.17	79.14	109.3
chr3-9910	chr3	37151045	37152937	+	94.5	14.76	Intergenic	(TG)n|Simple_repeat|Simple_repeat	-26037	NM_008366	16183	Mm.14190	NM_008366	ENSMUSG00000027720	Il2	Il-2	interleukin 2	protein-coding	79.65	66.73	72.99	68.74	95.95
chr11-9546	chr11	40753986	40756262	+	94.5	19.12	5' UTR (NM_009831, exon 1 of 6)	5' UTR (NM_009831, exon 1 of 6)	162	NM_009831	12450	Mm.2103	NM_009831	ENSMUSG00000020326	Ccng1	AI314029	cyclin G1	protein-coding	90.77	63.34	111.31	62.96	112.63
chr17-11596	chr17	29435902	29439012	+	94.5	45.043	Intergenic	CpG	-53588	NM_008842	18712	Mm.405293	NM_008842	0	Pim1	Pim-1	proviral integration site 1	protein-coding	102.5	65.04	109.49	78.56	96.78
chr16-1063	chr16	32610057	32611863	+	94.4	19.512999999999998	intron (NM_011638, intron 1 of 18)	intron (NM_011638, intron 1 of 18)	2064	NM_011638	22042	Mm.28683	NM_011638	ENSMUSG00000022797	Tfrc	2610028K12Rik|AI195355|AI426448|AU015758|CD71|E430033M20Rik|Mtvr-1|Mtvr1|TFR|TFR1|TR|Trfr|p90	transferrin receptor	protein-coding	80.27	60.51	60.67	95.31	40.05
chr4-18640	chr4	152178324	152180012	+	93.5	61.283	intron (NM_133348, intron 1 of 8)	intron (NM_133348, intron 1 of 8)	1068	NM_133348	70025	Mm.296191	NM_133348	ENSMUSG00000028937	Acot7	2410041A17Rik|Ach1|Act|Bach|CTE-IIa|Cte-II|Lach1	acyl-CoA thioesterase 7	protein-coding	112.38	72.96	95.34	80.87	78.43
chr6-996	chr6	137735959	137737765	+	93.4	21.933000000000003	intron (NM_011499, intron 2 of 9)	intron (NM_011499, intron 2 of 9)	1780	NM_011499	20901	Mm.22584	NM_011499	ENSMUSG00000030224	Strap	AW557906|C78091|C79202|Unrip	serine/threonine kinase receptor associated protein	protein-coding	75.95	59.38	65.24	80.29	50.89
chr2-23824	chr2	38642713	38644765	+	93.3	37.327	intron (NM_011187, intron 1 of 7)	CpG	167	NM_011187	19177	Mm.389251	NM_011187	ENSMUSG00000026750	Psmb7	AU020723|MC14	proteasome (prosome, macropain) subunit, beta type 7	protein-coding	100.03	67.87	102.64	73.94	130.99
chr1-27408	chr1	167282627	167285025	+	93.1	40.1	intron (NM_030724, intron 1 of 6)	CpG	1301	NM_030724	80914	Mm.280895	NM_030724	ENSMUSG00000026558	Uck2	AA407809|AI481316|AU018180|AU020720|TSA903|UK|UMK|Umpk	uridine-cytidine kinase 2	protein-coding	92.62	62.21	96.71	77.4	90.11
chr4-11681	chr4	3833996	3836788	+	93.1	18.087	intron (NM_026147, intron 1 of 3)	CpG-9696	208	NM_026147	67427	Mm.21938	NM_026147	0	Rps20	4632426K06Rik|Dsk4	ribosomal protein S20	protein-coding	100.64	61.65	83.48	73.94	93.44
chr18-7915	chr18	82525231	82527331	+	91.9	21.34	intron (NM_001025245, intron 3 of 3)	intron (NM_001025245, intron 3 of 3)	-28182	NM_001025255	17196	Mm.252063	NM_010777	ENSMUSG00000041607	Mbp	C76307|Hmbpr|R75289|golli-mbp|mld|shi	myelin basic protein	protein-coding	106.2	79.74	98.54	85.49	111.8
chr10-14623	chr10	80939365	80942191	+	91.1	35.653	Intergenic	Intergenic	10687	NM_008655	17873	Mm.1360	NM_008655	ENSMUSG00000015312	Gadd45b	AI323528|Myd118	growth arrest and DNA-damage-inducible 45 beta	protein-coding	94.47	88.23	93.98	102.24	59.24
chrX-6741	chrX	140455660	140459506	+	90.6	13.887	intron (NM_021463, intron 1 of 6)	intron (NM_021463, intron 1 of 6)	980	NM_021463	19139	Mm.287178	NM_021463	ENSMUSG00000031432	Prps1	2310010D17Rik|C76571|C76678|PRS-I|Prps-1	phosphoribosyl pyrophosphate synthetase 1	protein-coding	103.73	66.73	108.12	76.83	127.65
chrX-5630	chrX	75094219	75098289	+	90.4	12.58	intron (NM_001030307, intron 1 of 14)	intron (NM_001030307, intron 1 of 14)	400	NM_001030307	245474	Mm.291062	NM_001030307	ENSMUSG00000031403	Dkc1	BC068171	dyskeratosis congenita 1, dyskerin	protein-coding	93.24	54.86	100.82	75.67	90.11
chr4-2183	chr4	48043424	48044854	+	90.4	44.547	Intergenic	GC_rich|Low_complexity|Low_complexity	-7109	NM_015743	18124	Mm.247261	NM_015743	ENSMUSG00000028341	Nr4a3	AI573420|CHN|CSMF|MINOR|NOR-1|Nor1|TEC	nuclear receptor subfamily 4, group A, member 3	protein-coding	101.26	73.52	108.57	62.96	106.79
chr3-5126	chr3	88578789	88580783	+	89.8	47.023	5' UTR (NM_025448, exon 1 of 5)	5' UTR (NM_025448, exon 1 of 5)	115	NM_025448	66256	Mm.7091	NM_025448	ENSMUSG00000041355	Ssr2	1500032E05Rik|AI315033|AU020133|TLAP|TRAPB|TRAPbeta	signal sequence receptor, beta	protein-coding	93.85	72.96	101.73	79.14	81.76
chr8-12711	chr8	121897500	121899844	+	89.4	22.346999999999998	intron (NM_011404, intron 1 of 9)	intron (NM_011404, intron 1 of 9)	9014	NM_011404	20539	Mm.27943	NM_011404	ENSMUSG00000040010	Slc7a5	4F2LC|D0H16S474E|LAT1|TA1	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	protein-coding	111.76	95.01	72.08	120.73	40.88
chr10-21893	chr10	128562976	128565564	+	89.0	17.5	intron (NM_011119, intron 1 of 11)	intron (NM_011119, intron 1 of 11)	1664	NM_011119	18813	Mm.4742	NM_011119	ENSMUSG00000025364	Pa2g4	38kDa|AA672939|Ebp1|Plfap	proliferation-associated 2G4	protein-coding	102.5	76.35	98.08	107.44	51.73
chr13-6247	chr13	30833101	30835503	+	88.6	26.103	intron (NM_025588, intron 23 of 27)	intron (NM_025588, intron 23 of 27)	85044	NM_013674	16364	Mm.4677	NM_013674	ENSMUSG00000021356	Irf4	AI385587|IRF-4|LSIRF|Spip	interferon regulatory factor 4	protein-coding	88.91	84.27	93.06	56.61	96.78
chr2-15738	chr2	180039977	180041895	+	88.6	16.02	intron (NM_011969, intron 1 of 6)	B3A|SINE|B2	1528	NM_001289476	26444	Mm.21728	NM_011969	ENSMUSG00000027566	Psma7	C6-I	proteasome (prosome, macropain) subunit, alpha type 7	protein-coding	115.46	75.22	98.54	80.87	70.08
chr18-1530	chr18	77773666	77775288	+	88.3	20.503	intron (NM_007505, intron 1 of 11)	intron (NM_007505, intron 1 of 11)	709	NM_007505	11946	Mm.276137	NM_007505	ENSMUSG00000025428	Atp5a1	AI035633|AL022851|AL023067|Atpm|D18Ertd206e|Mom2	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1	protein-coding	54.95	39.02	53.83	41.01	82.6
chr3-18318	chr3	135718012	135719516	+	88.0	42.94	Intergenic	Intergenic	-27217	NM_008689	18033	Mm.256765	NM_008689	ENSMUSG00000028163	Nfkb1	NF-KB1|NF-kappaB|NF-kappaB1|p105|p50|p50/p105	nuclear factor of kappa light polypeptide gene enhancer in B cells 1, p105	protein-coding	100.03	83.14	109.03	93.58	96.78
chr11-19293	chr11	48788045	48789567	+	87.9	43.766999999999996	Intergenic	Intergenic	-11554	NM_008143	14694	Mm.5305	NM_008143	ENSMUSG00000020372	Gnb2l1	AL033335|GB-like|Gnb2-rs1|Rack1|p205	guanine nucleotide binding protein (G protein), beta polypeptide 2 like 1	protein-coding	95.7	67.3	95.34	64.12	89.27
chr3-8846	chr3	130809521	130811049	+	87.0	31.72	Intergenic	Intergenic	-79887	NM_001005859	68436	Mm.140568	NM_026724	ENSMUSG00000062006	Rpl34	1100001I22Rik	ribosomal protein L34	protein-coding	95.09	84.83	85.31	77.4	91.78
chr16-1472	chr16	57121904	57123558	+	86.8	32.66	intron (NM_138599, intron 1 of 11)	intron (NM_138599, intron 1 of 11)	1017	NM_138599	28185	Mm.213292	NM_138599	ENSMUSG00000022752	Tomm70a	2610044B22Rik|D16Ium22|D16Ium22e|D16Wsu109e|Tom70|mKIAA0719	translocase of outer mitochondrial membrane 70 homolog A (yeast)	protein-coding	95.09	54.86	88.5	71.05	58.4
chr13-6853	chr13	38657970	38659374	+	85.7	34.977	intron (NM_025380, intron 1 of 3)	CpG	356	NM_025380	66143	Mm.490319	NM_025380	ENSMUSG00000001707	Eef1e1	1110003A02Rik	eukaryotic translation elongation factor 1 epsilon 1	protein-coding	68.54	55.42	88.5	57.19	83.43
chr7-6169	chr7	114316652	114318522	+	85.7	27.79	intron (NR_029437, intron 3 of 3)	intron (NR_029437, intron 3 of 3)	-41471	NM_011965	26440	Mm.121265	NM_011965	ENSMUSG00000030751	Psma1	C2|HC2|Pros-30|alpha-type	proteasome (prosome, macropain) subunit, alpha type 1	protein-coding	88.91	86.53	86.68	82.6	86.77
chr7-41353	chr7	105742596	105745406	+	85.3	40.766999999999996	TTS (NM_009906)	TTS (NM_009906)	337	NM_020024	24075	Mm.274846	NM_020024	0	Taf10	30kDa|AU041226|TAFII30|Taf2h	TAF10 RNA polymerase II, TATA box binding protein (TBP)-associated factor	protein-coding	90.15	68.43	86.68	82.6	90.11
chr1-3955	chr1	178368289	178369819	+	85.1	71.767	Intergenic	CpG	-31270	NM_016805	51810	Mm.86589	NM_016805	ENSMUSG00000039630	Hnrnpu	AA408410|AI256620|AL024194|AL024437|AW557595|C86794|Hnrpu|SAFA|Sp120|hnRNP U	heterogeneous nuclear ribonucleoprotein U	protein-coding	87.06	62.78	90.33	57.19	86.77
chr15-5383	chr15	34442124	34443570	+	84.5	13.87	intron (NM_009083, intron 1 of 3)	intron (NM_009083, intron 1 of 3)	378	NM_009083	19946	Mm.358632	NM_009083	ENSMUSG00000058600	Rpl30	-	ribosomal protein L30	protein-coding	58.66	42.42	68.89	53.72	81.76
chr15-1862	chr15	76343516	76345912	+	83.3	50.563	intron (NM_025567, intron 3 of 6)	intron (NM_025567, intron 3 of 6)	1191	NM_025567	66445	Mm.29196	NM_025567	ENSMUSG00000022551	Cyc1	2610002H19Rik|AA408921	cytochrome c-1	protein-coding	57.42	46.38	60.67	49.68	58.4
